,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-02-28,0.0,1.0,0.0,78,286,2.0
1,2019-03-06,0.0,4.0,0.15,49,180,153.0
2,2019-03-07,0.0,29.0,3.892,21,60,1391.0
3,2019-03-08,0.0,55.0,3.74,16,42,2054.0
4,2019-03-09,0.0,39.0,2.33,18,53,2467.0
5,2019-03-10,0.0,40.0,5.14,18,50,3102.0
6,2019-03-11,0.0,95.0,7.99,11,28,2651.0
7,2019-03-12,0.0,81.0,9.6132,12,35,2749.0
8,2019-03-13,0.0,98.0,7.0021,10,29,5066.0
9,2019-03-14,0.0,106.0,8.8923,10,25,6501.0
10,2019-03-15,0.0,108.0,14.3625,11,29,5543.0
11,2019-03-16,0.0,77.0,5.3946,10,33,3722.0
12,2019-03-17,0.0,114.0,11.8801,10,24,3431.0
13,2019-03-18,0.0,126.0,12.8182,9,25,4625.0
14,2019-03-19,0.0,143.0,9.7591,9,23,3962.0
15,2019-03-20,0.0,127.0,7.24,9,26,1761.0
16,2019-03-21,0.0,154.0,9.1015,9,24,3117.0
17,2019-03-22,0.0,173.0,23.3776,9,22,4666.0
18,2019-03-23,0.0,174.0,17.3075,8,18,3757.0
19,2019-03-24,0.0,166.0,11.8496,8,21,3149.0
20,2019-03-25,0.0,155.0,11.3016,8,22,3145.0
21,2019-03-26,0.0,158.0,12.2907,10,23,2774.0
22,2019-03-27,0.0,177.0,11.4992660345382,8,21,3046.0
23,2019-03-28,0.0,174.0,12.1383,9,22,2194.0
24,2019-03-29,0.0,189.0,10.5602,8,22,2707.0
25,2019-03-30,0.0,179.0,7.7414,9,22,2059.0
26,2019-03-31,0.0,162.0,6.6929,11,28,1970.0
27,2019-04-01,0.0,200.0,7.3024,8,22,2725.0
28,2019-04-02,0.0,185.0,8.8805,9,29,2540.0
29,2019-04-03,0.0,152.0,4.7735,11,33,2101.0
30,2019-04-04,0.0,162.0,5.2137,9,28,2371.0
31,2019-04-05,0.0,149.0,6.9335,9,29,2410.0
32,2019-04-06,0.0,145.0,6.1529,12,29,2264.0
33,2019-04-07,0.0,146.0,5.3441,11,29,2130.0
34,2019-04-08,0.0,152.0,4.8742,10,31,1973.0
35,2019-04-09,0.0,168.0,4.9633,8,29,2255.0
36,2019-04-10,0.0,151.0,13.2826,11,33,2173.0
37,2019-04-11,0.0,202.0,27.11173949,6,24,2111.0
38,2019-04-12,0.0,204.0,36.8415,7,26,1221.0
39,2019-04-13,0.0,199.0,13.1525,7,25,593.0
40,2019-04-14,0.0,190.0,22.7913,6,21,665.0
41,2019-04-15,0.0,183.0,20.8626,7,24,542.0
42,2019-04-16,0.0,149.0,16.0124,11,31,474.0
43,2019-04-17,0.0,175.0,70.8054596,9,28,488.0
44,2019-04-18,0.0,150.0,15.4284,11,33,424.0
45,2019-04-19,0.0,143.0,9.4222,11,30,377.0
46,2019-04-20,0.0,138.0,8.5531,10,27,346.0
47,2019-04-21,0.0,134.0,12.794,12,30,306.0
48,2019-04-22,0.0,141.0,6.2345,10,29,324.0
49,2019-04-23,0.0,147.0,14.3435,10,33,345.0
50,2019-04-24,0.0,133.0,8.3933,11,31,349.0
51,2019-04-25,0.0,152.0,14.3702,9,29,455.0
52,2019-04-26,0.0,162.0,12.8022,9,31,441.0
53,2019-04-27,0.0,111.0,10.4441,12,37,381.0
54,2019-04-28,0.0,137.0,10.6641,10,28,247.0
55,2019-04-29,0.0,137.0,12.4942,10,34,332.0
56,2019-04-30,0.0,135.0,13.3737,10,36,357.0
57,2019-05-01,0.0,128.0,14.659311,11,34,323.0
58,2019-05-02,0.0,150.0,11.2238,9,29,352.0
59,2019-05-03,0.0,125.0,14.5258,11,35,409.0
60,2019-05-04,0.0,137.0,6.6141,10,34,299.0
61,2019-05-05,0.0,130.0,7.02411,10,29,330.0
62,2019-05-06,0.0,133.0,8.8131,11,36,342.0
63,2019-05-07,0.0,109.0,7.8154,11,33,252.0
64,2019-05-08,0.0,159.0,9.3732,10,34,392.0
65,2019-05-09,0.0,168.0,11.0329,9,28,433.0
66,2019-05-10,0.0,168.0,9.516,9,30,355.0
67,2019-05-11,0.0,127.0,6.6346,11,40,281.0
68,2019-05-12,0.0,123.0,5.145,10,35,216.0
69,2019-05-13,0.0,162.0,6.2456,8,27,312.0
70,2019-05-14,0.0,142.0,7.1756,10,32,250.0
71,2019-05-15,0.0,151.0,6.1138,8,31,253.0
72,2019-05-16,0.0,157.0,8.7248,5,26,301.0
73,2019-05-17,0.0,164.0,6.2346,5,24,316.0
74,2019-05-18,0.0,150.0,9.2955,10,30,300.0
75,2019-05-19,0.0,154.0,7.704,10,31,324.0
76,2019-05-20,280.81,160.0,4.6045,8,28,292.0
77,2019-05-21,283.64,185.0,7.4636,7,27,475.0
78,2019-05-22,287.75,160.0,6.9953,9,29,339.0
79,2019-05-23,290.94,187.0,9.3472,9,28,378.0
80,2019-05-24,292.99,169.0,8.3869,9,31,359.0
81,2019-05-25,298.53,171.0,14.1864,10,31,377.0
82,2019-05-26,299.69,165.0,4.3271,10,31,264.0
83,2019-05-27,300.55,124.0,5.0999052552434,10,35,211.0
84,2019-05-28,303.77,190.0,8.5662,8,27,318.0
85,2019-05-29,305.15,201.0,5.913,8,28,276.0
86,2019-05-30,307.07,234.0,10.0298,7,25,362.0
87,2019-05-31,308.23,259.0,4.8545,6,22,369.0
88,2019-06-01,308.83,149.0,3.2674,8,31,250.0
89,2019-06-02,312.8,192.0,7.0366,7,25,301.0
90,2019-06-03,313.98,238.0,3.2758,6,23,359.0
91,2019-06-04,315.32,204.0,3.309699,7,25,372.0
92,2019-06-05,317.54,313.0,8.6203,6,21,740.0
93,2019-06-06,318.12,121.0,2.678,11,35,211.0
94,2019-06-07,320.17,294.0,4.6858,6,22,470.0
95,2019-06-08,323.51,264.0,6.775,6,23,413.0
96,2019-06-09,331.69,253.0,11.6944,6,23,416.0
97,2019-06-10,334.2,219.0,7.3455,6,24,346.0
98,2019-06-11,337.92,270.0,7.8158,6,24,423.0
99,2019-06-12,340.41,274.0,7.1052,6,23,535.0
100,2019-06-13,343.14,254.0,7.574,6,25,528.0
101,2019-06-14,346.02,249.0,8.8744,6,26,479.0
102,2019-06-15,348.65,241.0,7.21726338931091,6,26,331.0
103,2019-06-16,351.52,239.0,7.5851,6,25,399.0
104,2019-06-17,353.24,245.0,10.8347,6,24,441.0
105,2019-06-18,356.27,249.0,9.9744,6,24,471.0
106,2019-06-19,356.77,248.0,10.4144,6,25,426.0
107,2019-06-20,357.43,389.0,6.7746,4,20,533.0
108,2019-06-21,362.24,488.0,8.1751,4,19,661.0
109,2019-06-22,362.72,460.0,2.83693,3,19,631.0
110,2019-06-23,363.78,270.0,1.8793,5,22,386.0
111,2019-06-24,365.72,554.0,13.074,4,18,914.0
112,2019-06-25,367.42,464.0,6.8965,5,19,592.0
113,2019-06-26,371.14,457.0,13.1055,3,18,628.0
114,2019-06-27,372.68,462.0,4.4873,3,17,589.0
115,2019-06-28,373.26,430.0,4.8647,4,18,632.0
116,2019-06-29,374.62,422.0,3.5473,5,21,514.0
117,2019-06-30,376.39,412.0,3.2378,4,19,492.0
118,2019-07-01,376.69,426.0,4.0157,5,19,488.0
119,2019-07-02,377.45,425.0,9.5064,4,17,628.0
120,2019-07-03,378.63,539.0,9.326,4,17,731.0
121,2019-07-04,380.4,507.0,12.577,4,16,836.0
122,2019-07-05,384.23,536.0,12.4061,3,15,768.0
123,2019-07-06,386.35,509.0,9.0269,3,14,694.0
124,2019-07-07,386.95,516.0,9.7368,3,14,641.0
125,2019-07-08,387.83,556.0,10.9658,4,16,685.0
