,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-11-30,0,1.0,0,91,316,1.0
1,2018-12-01,0,1.0,0,97,295,4.0
2,2018-12-02,0,1.0,0,94,295,8.0
3,2018-12-03,0,1.0,0,104,321,4.0
4,2018-12-04,0,1.0,0,100,322,1.0
5,2018-12-05,0,1.0,0,95,323,4.0
6,2018-12-06,0,1.0,0,95,316,8.0
7,2018-12-08,0,1.0,0,96,300,6.0
8,2018-12-09,0,1.0,0,91,301,18.0
9,2018-12-11,0,1.0,0,104,341,6.0
10,2018-12-12,0,1.0,0,100,340,6.0
11,2018-12-13,0,1.0,0,90,328,2.0
12,2018-12-14,0,1.0,0,96,337,4.0
13,2018-12-15,0,1.0,0,95,317,4.0
14,2018-12-16,0,1.0,0,95,328,3.0
15,2018-12-17,0,1.0,0,100,341,8.0
16,2018-12-18,0,1.0,0,93,326,5.0
17,2018-12-19,0,1.0,0,95,328,3.0
18,2018-12-20,0,1.0,0,98,350,5.0
19,2018-12-21,0,1.0,0,93,335,3.0
20,2018-12-23,0,2.0,0,78,270,7.0
21,2018-12-26,0,2.0,0,73,266,10.0
22,2018-12-27,0,3.0,0,64,238,9.0
23,2018-12-28,0,2.0,0,80,274,6.0
24,2018-12-29,0,1.0,0,87,316,5.0
25,2018-12-30,0,1.0,0,86,296,5.0
26,2019-01-02,0,1.0,0,92,319,1.0
27,2019-01-05,0,1.0,0,89,320,1.0
28,2019-01-06,0,1.0,0,87,309,4.0
29,2019-01-08,0,1.0,0,86,320,4.0
30,2019-01-09,0,2.0,0,76,277,4.0
31,2019-01-11,0,1.0,0,81,305,3.0
32,2019-01-12,0,1.0,0,84,304,3.0
33,2019-01-15,0,1.0,0,84,309,1.0
34,2019-01-16,0,1.0,0,90,311,1.0
35,2019-01-20,0,1.0,0,80,275,2.0
36,2019-01-21,0,1.0,0,89,318,3.0
37,2019-01-22,0,1.0,0,82,312,1.0
38,2019-01-28,0,1.0,0,78,298,4.0
39,2019-01-30,0,1.0,0,83,298,1.0
40,2019-01-31,0,3.0,0,63,218,12.0
41,2019-02-18,0,1.0,0,75,294,1.0
42,2019-03-30,0,1.0,0,84,286,19.0
43,2019-04-01,0,1.0,0,81,333,3.0
44,2019-04-02,0,1.0,0,79,332,3.0
45,2019-04-08,0,1.0,0,79,322,5.0
46,2019-04-09,0,1.0,0,83,330,12.0
47,2019-04-10,0,1.0,0,75,316,7.0
48,2019-04-11,0,1.0,0,68,294,8.0
49,2019-04-12,0,1.0,0,73,303,7.0
50,2019-04-13,0,1.0,0,71,291,2.0
51,2019-04-14,0,1.0,0,70,298,7.0
52,2019-04-15,0,1.0,0,70,309,7.0
53,2019-04-16,0,1.0,0,64,295,10.0
54,2019-04-17,0,2.0,0,62,248,8.0
55,2019-04-18,0,2.0,0,63,249,3.0
56,2019-04-19,0,1.0,0,69,299,1.0
57,2019-04-21,0,1.0,0,67,282,2.0
58,2019-04-22,0,1.0,0,68,293,3.0
59,2019-04-23,0,2.0,0,58,245,7.0
60,2019-04-24,0,1.0,0,77,303,2.0
61,2019-04-25,0,1.0,0,73,295,2.0
62,2019-04-26,0,1.0,0,70,295,2.0
63,2019-04-27,0,1.0,0,67,268,2.0
