,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-12-21,0.0,2.0,0.0,74,274,58.0
1,2018-12-22,0.0,15.0,0.6349,40,109,221.0
2,2018-12-23,0.0,11.0,0.0,42,133,116.0
3,2018-12-24,0.0,10.0,0.2,44,136,49.0
4,2018-12-27,0.95,13.0,0.1625,37,118,40.0
5,2018-12-28,1.05,16.0,0.1675,37,116,155.0
6,2018-12-29,1.1,15.0,0.08,36,108,50.0
7,2018-12-30,1.15,12.0,0.07,41,113,36.0
8,2018-12-31,1.3,13.0,0.16,39,105,22.0
9,2019-01-01,1.4,7.0,0.105,45,139,11.0
10,2019-01-02,1.55,18.0,0.19,30,88,95.0
11,2019-01-03,1.7,15.0,0.1725,37,110,39.0
12,2019-01-04,1.9,18.0,0.44,38,99,314.0
13,2019-01-05,1.9,15.0,0.03,39,100,47.0
14,2019-01-06,1.9,11.0,0.015,40,119,22.0
15,2019-01-07,2.05,17.0,0.1875,38,99,83.0
16,2019-01-08,2.1,18.0,0.105,34,97,95.0
17,2019-01-09,2.15,16.0,0.0775,37,99,36.0
18,2019-01-10,2.5,21.0,0.4025,30,84,83.0
19,2019-01-11,2.7,20.0,0.2475,27,85,97.0
20,2019-01-12,2.7,15.0,0.02,31,88,25.0
21,2019-01-13,2.7,11.0,0.0225,36,102,27.0
22,2019-01-14,2.7,17.0,0.03,28,93,49.0
23,2019-01-15,2.7,18.0,0.055,29,88,65.0
24,2019-01-17,2.8,19.0,0.1725,33,97,103.0
25,2019-01-18,2.95,15.0,0.2325,31,94,176.0
26,2019-01-19,3.0,17.0,0.0775,29,87,36.0
27,2019-01-20,3.1,17.0,0.15,32,89,70.0
28,2019-01-21,3.1,19.0,0.0375,29,84,62.0
29,2019-01-22,3.1,18.0,0.055,28,83,98.0
30,2019-01-23,3.1,17.0,0.025,29,92,34.0
31,2019-01-24,3.1,6.0,0.0075,44,163,9.0
32,2019-01-25,3.2,21.0,0.1825,25,79,111.0
33,2019-01-26,0.0,19.0,0.0375,30,78,49.0
34,2019-01-27,0.0,19.0,0.1025,29,79,67.0
35,2019-01-28,3.3,19.0,0.085,29,84,51.0
36,2019-01-29,3.35,19.0,0.09,25,81,62.0
37,2019-01-30,3.35,21.0,0.0425,24,72,52.0
38,2019-01-31,3.35,20.0,0.0325,22,72,66.0
39,2019-02-01,3.45,18.0,0.13,24,71,41.0
40,2019-02-02,3.45,15.0,0.0225,29,83,30.0
41,2019-02-03,3.45,9.0,0.01,36,105,12.0
42,2019-02-04,3.6,21.0,0.1975,23,65,70.0
43,2019-02-05,3.65,11.0,0.0575,32,100,15.0
44,2019-02-06,3.65,19.0,0.0275,23,73,34.0
45,2019-02-07,3.65,20.0,0.0375,21,68,230.0
46,2019-02-08,3.65,9.0,0.0075,36,122,14.0
47,2019-02-09,3.7,14.0,0.065,27,79,23.0
