,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-09-13,0,1.0,0.0,117,311,1.0
1,2018-09-27,0,1.0,0.0,133,333,1.0
2,2018-10-12,0,1.0,0.0,154,362,1.0
3,2018-10-17,0,1.0,0.0,168,396,1.0
4,2018-10-18,0,1.0,0.0,166,389,1.0
5,2018-10-22,0,1.0,0.0,150,382,6.0
6,2018-10-23,0,2.0,0.0,121,325,223.0
7,2018-10-24,0,1.0,0.0,141,378,1.0
8,2018-10-25,0,1.0,0.0,134,376,1.0
9,2018-10-26,0,1.0,0.0,134,372,1.0
10,2018-10-29,0,1.0,0.0,127,369,15.0
11,2018-10-31,0,2.0,0.0,105,315,2.0
12,2018-11-01,0,4.0,0.0,79,250,5.0
13,2018-11-02,0,1.0,0.0,121,354,3.0
14,2018-11-07,0,2.0,0.0,88,288,2.0
15,2018-11-08,0,6.0,0.0,55,202,6.0
16,2018-11-09,0,5.0,0.0,65,215,5.0
17,2018-11-10,0,1.0,0.0,108,331,1.0
18,2018-11-11,0,1.0,0.0,103,325,1.0
19,2018-11-12,0,1.0,0.0,110,336,20.0
20,2018-11-16,0,3.0,0.0,71,247,8.0
21,2018-11-17,0,1.0,0.0,93,317,1.0
22,2018-11-18,0,5.0,0.0,53,192,42.0
23,2018-11-19,0,4.0,0.0,58,219,16.0
24,2018-11-20,0,2.0,0.0,76,266,2.0
25,2018-11-21,0,3.0,0.0,68,247,8.0
26,2018-11-22,0,1.0,0.0,103,337,1.0
27,2018-11-23,0,3.0,0.0,70,242,66.0
28,2018-11-24,0,3.0,0.0,68,229,140.0
29,2018-11-25,0,3.0,0.0,65,227,124.0
30,2018-11-26,0,4.0,0.0,65,216,149.0
31,2018-11-27,0,5.0,0.0,59,199,130.0
32,2018-11-28,0,4.0,0.0,71,228,799.0
33,2018-11-29,0,6.0,0.0,55,177,403.0
34,2018-11-30,0,5.0,0.0,54,186,71.0
35,2018-12-01,0,8.0,0.0,47,141,123.0
36,2018-12-02,0,4.0,0.0,61,184,50.0
37,2018-12-03,0,7.0,0.0,55,166,29.0
38,2018-12-04,0,4.0,0.0,60,202,163.0
39,2018-12-05,0,5.0,0.0,57,196,14.0
40,2018-12-06,0,4.0,0.0,62,212,53.0
41,2018-12-07,0,7.0,0.0,47,164,29.0
42,2018-12-08,0,4.0,0.0,63,203,103.0
43,2018-12-09,0,12.0,0.0,39,122,34.0
44,2018-12-10,0,22.0,0.0,29,84,78.0
45,2018-12-11,0,6.0,0.0,59,187,58.0
46,2018-12-12,0,5.0,0.0,59,198,31.0
47,2018-12-13,0,4.0,0.0,69,222,98.0
48,2018-12-14,0,6.0,0.0,49,176,15.0
49,2018-12-15,0,6.0,0.0,51,157,12.0
50,2018-12-16,0,5.0,0.0,58,189,11.0
51,2018-12-17,0,7.0,0.0,47,176,50.0
52,2018-12-18,0,6.0,0.0,54,190,22.0
53,2018-12-19,0,5.0,0.0,58,202,14.0
54,2018-12-20,0,3.0,0.0,69,257,9.0
55,2018-12-21,0,5.0,0.0,55,190,15.0
56,2018-12-22,0,4.0,0.0,63,201,7.0
57,2018-12-23,0,3.0,0.0,66,236,7.0
58,2018-12-24,0,4.0,0.0,65,222,9.0
59,2018-12-25,0,4.0,0.0,55,198,33.0
60,2018-12-26,0,4.0,0.0,62,206,7.0
61,2018-12-27,0,7.0,0.0,52,172,34.0
62,2018-12-28,0,5.0,0.0,54,194,13.0
63,2018-12-29,0,4.0,0.0,58,199,11.0
64,2018-12-30,0,4.0,0.0,56,194,6.0
65,2018-12-31,0,5.0,0.0,48,173,18.0
66,2019-01-01,0,4.0,0.0,51,171,23.0
67,2019-01-02,0,4.0,0.0,61,206,4.0
68,2019-01-03,0,5.0,0.0,60,202,28.0
69,2019-01-04,0,4.0,0.0,63,227,30.0
70,2019-01-05,0,5.0,0.0,52,169,20.0
71,2019-01-06,0,2.0,0.0,71,254,3.0
72,2019-01-07,0,6.0,0.0,52,175,16.0
73,2019-01-08,0,4.0,0.0,57,207,5.0
74,2019-01-09,0,4.0,0.0,56,213,66.0
75,2019-01-10,0,6.0,0.0,51,166,12.0
76,2019-01-11,0,6.0,0.0,44,159,12.0
77,2019-01-12,0,4.0,0.0,55,182,6.0
78,2019-01-13,0,5.0,0.0,46,159,7.0
79,2019-01-14,0,4.0,0.0,50,185,10.0
80,2019-01-15,0,3.0,0.0,59,222,4.0
81,2019-01-16,0,3.0,0.0,61,213,4.0
82,2019-01-18,0,3.0,0.0,56,215,38.0
83,2019-01-19,0,6.0,0.0,45,153,27.0
84,2019-01-20,0,4.0,0.0,52,180,9.0
85,2019-01-21,0,5.0,0.0,52,172,19.0
86,2019-01-22,0,5.0,0.0,48,177,10.0
87,2019-01-23,0,8.0,0.0,42,148,17.0
88,2019-01-24,0,7.0,0.0,42,144,10.0
89,2019-01-25,0,4.0,0.0,52,190,13.0
90,2019-01-26,0,1.0,0.0,82,285,1.0
91,2019-01-27,0,3.0,0.0,60,198,5.0
92,2019-01-28,0,4.0,0.0,60,196,8.0
93,2019-01-29,0,2.0,0.0,67,260,2.0
94,2019-01-30,0,3.0,0.0,61,221,6.0
95,2019-01-31,0,5.0,0.0,47,166,6.0
96,2019-02-01,0,5.0,0.0,44,161,60.0
97,2019-02-02,0,6.0,0.0,44,132,32.0
98,2019-02-03,0,4.0,0.0,50,163,12.0
99,2019-02-04,0,9.0,0.0,39,109,52.0
100,2019-02-05,0,4.0,0.0,48,177,61.0
101,2019-02-06,0,4.0,0.0,54,173,9.0
102,2019-02-07,0,5.0,0.0,47,154,14.0
103,2019-02-08,0,7.0,0.0,41,140,68.0
104,2019-02-09,0,6.0,0.0,40,130,10.0
105,2019-02-10,0,10.0,0.0,31,106,16.0
106,2019-02-11,0,7.0,0.0,36,126,82.0
107,2019-02-12,0,230.0,0.0,7,17,354.0
108,2019-02-13,0,41.0,0.0,18,48,360.0
109,2019-02-14,0,36.0,0.0,17,53,96.0
110,2019-02-15,0,28.0,0.0,19,56,43.0
111,2019-02-16,0,18.0,0.0,24,77,23.0
112,2019-02-17,0,8.0,0.0,33,120,9.0
113,2019-02-18,0,53.0,0.0,15,41,843.0
114,2019-02-19,0,93.0,0.0,11,32,563.0
115,2019-02-20,0,45.0,0.0,15,42,389.0
116,2019-02-21,0,46.0,0.0,15,44,284.0
117,2019-02-22,0,36.0,0.0,17,49,126.0
118,2019-02-23,0,33.0,0.0,15,46,94.0
119,2019-02-24,0,26.0,0.0,19,59,121.0
120,2019-02-25,0,13.0,0.0,25,92,119.0
121,2019-02-26,0,26.0,0.0,22,64,160.0
122,2019-02-27,0,19.0,0.0,21,75,78.0
123,2019-02-28,0,11.0,0.0,23,93,73.0
124,2019-03-01,0,16.0,0.0,22,81,22.0
125,2019-03-02,0,6.0,0.0,40,152,11.0
126,2019-03-03,0,22.0,0.0,21,64,39.0
127,2019-03-04,0,10.0,0.0,30,113,20.0
128,2019-03-05,0,13.0,0.0,27,98,15.0
129,2019-03-06,0,5.0,0.0,45,165,5.0
130,2019-03-07,0,6.0,0.0,44,158,6.0
131,2019-03-08,0,7.0,0.0,40,143,7.0
132,2019-03-09,0,38.0,0.0,19,56,349.0
133,2019-03-10,0,17.0,0.0,27,81,82.0
134,2019-03-11,0,6.0,0.0,41,149,51.0
135,2019-03-12,0,63.0,0.0,15,45,166.0
136,2019-03-13,0,9.0,0.0,37,133,19.0
137,2019-03-14,0,15.0,0.0,29,99,42.0
138,2019-03-15,0,19.0,0.0,24,83,59.0
139,2019-03-16,0,10.0,0.0,31,112,50.0
140,2019-03-17,0,7.0,0.0,37,133,15.0
141,2019-03-18,0,7.0,0.0,36,143,20.0
142,2019-03-19,0,17.0,0.0,26,87,41.0
143,2019-03-20,0,10.0,0.0,31,114,31.0
144,2019-03-21,0,6.0,0.0,41,143,9.0
145,2019-03-22,0,17.0,0.0,23,83,21.0
146,2019-03-23,0,6.0,0.0,44,146,6.0
147,2019-03-24,0,6.0,0.0,35,140,10.0
148,2019-03-25,0,20.0,0.0,24,83,60.0
149,2019-03-26,0,5.0,0.0,40,171,19.0
150,2019-03-27,0,16.0,0.0,23,89,45.0
151,2019-03-28,0,9.0,0.0,36,127,24.0
152,2019-03-29,0,11.0,0.0,30,116,30.0
153,2019-03-30,0,6.0,0.0,40,144,6.0
154,2019-03-31,0,8.0,0.0,35,127,11.0
155,2019-04-01,0,13.0,0.0,31,114,18.0
156,2019-04-02,0,16.0,0.0,30,115,18.0
157,2019-04-03,0,7.0,0.0,42,174,9.0
158,2019-04-04,0,9.0,0.0,38,151,10.0
159,2019-04-05,0,2.0,0.0,59,257,2.0
160,2019-04-06,0,2.0,0.0,57,237,2.0
161,2019-04-07,0,1.0,0.0,70,298,1.0
162,2019-04-08,0,4.0,0.0,50,216,4.0
163,2019-04-09,0,4.0,0.0,48,204,7.0
164,2019-04-10,0,7.0,0.0,38,164,9.0
165,2019-04-11,0,8.0,0.0,33,147,37.0
166,2019-04-12,0,8.0,0.0,33,143,89.0
167,2019-04-13,0,7.0,0.0,34,130,39.0
168,2019-04-14,0,5.0,0.0,43,166,35.0
169,2019-04-15,0,9.0,0.0,35,136,46.0
170,2019-04-16,0,8.0,0.0,34,138,46.0
171,2019-04-17,0,51.0,0.0,17,57,105.0
172,2019-04-18,0,9.0,0.0,33,131,28.0
173,2019-04-19,0,10.0,0.0,32,123,22.0
174,2019-04-20,0,12.0,0.0,29,116,26.0
175,2019-04-21,0,8.0,0.0,32,124,12.0
176,2019-04-22,0,14.0,0.0,27,113,18.0
177,2019-04-23,0,12.0,0.0,29,116,18.0
178,2019-04-24,0,11.0,0.0,29,117,20.0
179,2019-04-25,0,15.0,0.0,24,104,28.0
180,2019-04-26,0,28.0,0.0,16,67,37.0
181,2019-04-27,0,1.0,0.0,67,268,1.0
182,2019-04-28,0,1.0,0.0,62,262,1.0
183,2019-04-29,0,3.0,0.0,54,210,3.0
184,2019-04-30,0,13.0,0.0,29,117,17.0
185,2019-05-01,0,10.0,0.0,35,136,10.0
186,2019-05-02,0,2.0,0.0,57,237,3.0
187,2019-05-03,0,3.0,0.0,55,217,3.0
188,2019-05-04,0,6.0,0.0,39,151,7.0
189,2019-05-05,0,12.0,0.0,32,119,13.0
190,2019-05-07,0,11.0,0.0,32,129,11.0
191,2019-05-08,0,6.0,0.0,46,182,10.0
192,2019-05-09,0,10.0,0.0,36,138,11.0
193,2019-05-10,0,45.0,0.0,17,62,61.0
194,2019-05-11,0,14.0,0.0,31,119,25.0
195,2019-05-12,0,20.0,0.0,23,95,52.0
196,2019-05-13,0,30.0,0.0,20,78,52.0
197,2019-05-14,0,45.0,0.0,16,60,51.0
198,2019-05-15,0,16.0,0.0,24,115,28.0
199,2019-05-16,0,18.0,0.0,25,111,27.0
200,2019-05-17,0,22.0,0.0,25,93,28.0
201,2019-05-18,0,16.0,0.0,32,110,25.0
202,2019-05-19,0,18.0,0.0,27,110,23.0
203,2019-05-20,0,60.0,0.0,16,58,91.0
204,2019-05-21,0,37.0,0.0,18,67,50.0
205,2019-05-22,0,17.0,0.0,27,108,51.0
206,2019-05-23,0,20.0,0.0,26,97,43.0
207,2019-05-24,0,93.0,0.0,13,41,147.0
208,2019-05-25,0,70.0,0.0,16,47,104.0
209,2019-05-26,0,32.0,0.0,20,70,41.0
210,2019-05-27,0,53.0,0.0,17,56,86.0
211,2019-05-28,0,24.0,0.0,21,85,45.0
212,2019-05-29,0,32.0,0.0,19,71,42.0
213,2019-05-30,0,16.0,0.0,25,106,32.0
214,2019-05-31,0,43.0,0.0,17,56,57.0
215,2019-06-01,0,20.0,0.0,23,87,28.0
216,2019-06-02,0,55.0,0.0,15,51,64.0
217,2019-06-03,0,45.0,0.0,14,63,64.0
218,2019-06-04,0,39.0,0.0,15,62,61.0
219,2019-06-05,0,18.0,0.0,27,97,19.0
220,2019-06-06,0,2.0,0.0,52,235,4.0
221,2019-06-07,0,15.0,0.0,28,116,33.0
222,2019-06-08,0,10.0,0.0,29,121,30.0
223,2019-06-09,0,17.0,0.0,24,90,20.0
224,2019-06-10,0,19.0,0.0,23,92,29.0
225,2019-06-11,0,13.0,0.0,30,115,27.0
226,2019-06-12,0,55.0,0.0,17,56,79.0
227,2019-06-13,0,103.0,0.0,13,43,164.0
228,2019-06-14,0,160.0,0.0,9,31,1211.0
229,2019-06-15,0,127.0,0.0,10,34,629.0
230,2019-06-16,0,77.0,0.0,13,48,303.0
231,2019-06-17,0,104.0,0.0,13,39,560.0
232,2019-06-18,0,136.0,1e-05,10,34,194.0
233,2019-06-19,0,155.0,0.0,10,33,1154.0
234,2019-06-20,0,116.0,0.0,11,34,918.0
235,2019-06-21,0,54.0,0.0,17,63,99.0
236,2019-06-22,0,59.0,0.0,15,54,88.0
237,2019-06-23,0,34.0,0.0,19,72,64.0
238,2019-06-24,0,70.0,0.0,13,48,143.0
239,2019-06-25,0,48.0,0.0,17,61,97.0
240,2019-06-26,0,50.0,0.0,16,64,110.0
241,2019-06-27,0,36.0,0.0,19,68,64.0
242,2019-06-28,0,49.0,0.0,14,53,93.0
243,2019-06-29,0,31.0,0.0,17,74,49.0
244,2019-06-30,0,26.0,0.0,21,80,39.0
245,2019-07-01,0,161.0,0.0,6,28,198.0
246,2019-07-02,0,55.0,0.0,12,49,257.0
247,2019-07-03,0,64.0,0.0,13,46,119.0
248,2019-07-04,0,29.0,0.0,21,79,49.0
249,2019-07-05,0,20.0,0.0,23,93,30.0
250,2019-07-06,0,14.0,0.0,30,109,25.0
251,2019-07-07,0,16.0,0.0,28,101,23.0
252,2019-07-08,0,45.0,0.0,16,58,96.0
253,2019-07-09,0,78.0,0.0,13,47,566.0
254,2019-07-10,0,131.0,0.0,13,39,304.0
255,2019-07-11,0,571.0,0.0,3,17,661.0
256,2019-07-12,0,12.0,0.0,28,110,19.0
257,2019-07-13,0,13.0,0.0,26,98,15.0
258,2019-07-14,0,12.0,0.0,26,104,38.0
259,2019-07-15,0,20.0,0.0,24,81,47.0
260,2019-07-16,0,28.0,0.0,18,58,85.0
261,2019-07-17,0,37.0,0.0,19,61,99.0
262,2019-07-18,0,34.0,0.0,20,64,85.0
263,2019-07-19,0,21.0,0.0,24,74,38.0
264,2019-07-20,0,8.0,0.0,34,123,25.0
265,2019-07-21,0,7.0,0.0,33,120,11.0
266,2019-07-22,0,24.0,0.0,22,69,85.0
267,2019-07-23,0,31.0,0.0,20,61,124.0
268,2019-07-24,0,11.0,0.0,29,111,41.0
269,2019-07-25,0,25.0,0.0,19,63,77.0
270,2019-07-26,0,14.0,0.0,30,96,45.0
271,2019-07-27,0,15.0,0.0,28,86,31.0
272,2019-07-28,0,18.0,0.0,27,84,42.0
273,2019-07-29,0,67.0,0.0,14,42,126.0
274,2019-07-30,0,19.0,0.0,28,92,74.0
275,2019-07-31,0,20.0,0.0,25,86,80.0
276,2019-08-01,0,8.0,0.0,35,136,40.0
277,2019-08-02,0,16.0,0.0,28,95,30.0
278,2019-08-03,0,84.0,0.0,13,35,111.0
279,2019-08-04,0,53.0,0.0,16,49,68.0
280,2019-08-05,0,35.0,0.0,19,65,58.0
281,2019-08-06,0,32.0,0.0,20,66,52.0
282,2019-08-07,0,24.0,0.0,22,74,44.0
283,2019-08-08,0,39.0,0.0,17,56,57.0
284,2019-08-09,0,48.0,0.0,16,52,103.0
285,2019-08-10,0,21.0,0.0,22,76,52.0
286,2019-08-11,0,44.0,0.0,18,54,72.0
287,2019-08-12,0,22.0,0.0,22,82,187.0
288,2019-08-13,0,21.0,0.0,25,85,57.0
289,2019-08-14,0,17.0,0.0,26,103,45.0
290,2019-08-15,0,12.0,0.0,28,110,36.0
291,2019-08-16,0,9.0,0.0,32,124,28.0
292,2019-08-17,0,12.0,0.0,28,100,28.0
293,2019-08-18,0,10.0,0.0,28,109,23.0
294,2019-08-19,0,20.0,0.0,23,82,51.0
295,2019-08-20,0,37.0,0.0,16,55,571.0
296,2019-08-21,0,56.0,0.0,16,52,198.0
297,2019-08-22,0,38.0,0.0,18,60,85.0
298,2019-08-23,0,64.0,0.0,15,46,112.0
299,2019-08-24,0,46.0,0.0,17,50,119.0
300,2019-08-25,0,75.0,0.0,16,41,174.0
301,2019-08-26,0,52.0,0.0,18,51,214.0
302,2019-08-27,0,56.0,0.0,18,51,181.0
303,2019-08-28,0,55.0,0.0,18,52,145.0
304,2019-08-29,0,44.0,0.0,21,54,113.0
305,2019-08-30,0,41.0,0.0,20,56,147.0
306,2019-08-31,0,42.0,0.0,20,55,133.0
307,2019-09-01,0,19.0,0.0,29,87,32.0
308,2019-09-02,0,28.0,0.0,22,65,118.0
309,2019-09-03,0,33.0,0.0,20,62,156.0
310,2019-09-04,0,71.0,0.0,18,44,131.0
311,2019-09-05,0,44.0,0.0,19,50,167.0
312,2019-09-06,0,21.0,0.0,22,73,56.0
313,2019-09-07,0,17.0,0.0,22,74,38.0
314,2019-09-08,0,26.0,0.0,15,49,85.0
315,2019-09-09,0,23.0,0.0,19,56,87.0
316,2019-09-10,0,70.0,0.0,9,32,147.0
317,2019-09-11,0,32.0,0.0,14,50,74.0
318,2019-09-12,0,14.0,0.0,21,85,26.0
319,2019-09-13,0,30.0,0.0,15,51,38.0
320,2019-09-14,0,13.0,0.0,25,81,34.0
321,2019-09-15,0,13.0,0.0,24,94,19.0
322,2019-09-16,0,12.0,0.0,25,98,32.0
323,2019-09-17,0,23.0,0.0,17,66,41.0
324,2019-09-18,0,22.0,0.0,20,73,61.0
325,2019-09-19,0,26.0,0.0,13,61,56.0
326,2019-09-20,0,47.0,0.0,11,44,124.0
327,2019-09-21,0,23.0,0.0,22,74,46.0
328,2019-09-22,0,15.0,0.0,27,83,25.0
329,2019-09-23,0,30.0,0.0,21,63,77.0
330,2019-09-24,0,24.0,0.0,18,63,56.0
331,2019-09-25,0,24.0,0.0,19,67,52.0
332,2019-09-26,0,31.0,0.0,19,59,67.0
333,2019-09-27,0,24.0,0.0,20,65,59.0
334,2019-09-28,0,19.0,0.0,24,78,50.0
335,2019-09-29,0,33.0,0.0,16,54,98.0
336,2019-09-30,0,46.0,0.0,18,56,246.0
337,2019-10-01,0,39.0,0.0,19,61,245.0
338,2019-10-02,0,34.0,0.0,20,61,111.0
339,2019-10-03,0,24.0,0.0,22,67,70.0
340,2019-10-04,0,23.0,0.0,23,75,93.0
341,2019-10-05,0,14.0,0.0,31,100,46.0
342,2019-10-06,0,10.0,0.0,34,107,33.0
343,2019-10-07,0,22.0,0.0,26,79,81.0
344,2019-10-08,0,25.0,0.0,23,75,85.0
345,2019-10-09,0,172.0,0.0,10,34,193.0
346,2019-10-10,0,20.0,0.0,26,86,58.0
347,2019-10-11,0,24.0,0.0,24,72,52.0
348,2019-10-12,0,10.0,0.0,33,120,18.0
349,2019-10-13,0,16.0,0.0,27,86,26.0
350,2019-10-14,0,22.0,0.0,22,78,58.0
351,2019-10-15,0,24.0,0.0,25,79,53.0
352,2019-10-16,0,40.0,0.0,19,62,102.0
353,2019-10-17,0,15.0,0.0,28,103,35.0
354,2019-10-18,0,16.0,0.0,27,96,32.0
355,2019-10-19,0,13.0,0.0,33,102,30.0
356,2019-10-20,0,6.0,0.0,35,131,20.0
357,2019-10-21,0,18.0,0.0,24,88,54.0
358,2019-10-22,0,18.0,0.0,29,100,62.0
359,2019-10-23,0,14.0,0.0,32,112,34.0
360,2019-10-24,0,10.0,0.0,35,124,29.0
361,2019-10-25,0,24.0,0.0,22,81,89.0
362,2019-10-26,0,12.0,0.0,31,113,36.0
363,2019-10-27,0,15.0,0.0,31,101,44.0
364,2019-10-28,0,13.0,0.0,30,114,33.0
365,2019-10-29,0,17.0,0.0,29,104,60.0
366,2019-10-30,0,50.0,0.0,18,54,274.0
367,2019-10-31,0,21.0,0.0,22,84,153.0
368,2019-11-01,0,15.0,0.0,29,102,35.0
369,2019-11-02,0,5.0,0.0,42,164,10.0
370,2019-11-03,0,8.0,0.0,35,126,14.0
371,2019-11-04,0,22.0,0.0,25,85,51.0
372,2019-11-05,0,12.0,0.0,33,131,45.0
373,2019-11-06,0,11.0,0.0,30,126,39.0
374,2019-11-07,0,11.0,0.0,29,122,49.0
375,2019-11-08,0,24.0,0.0,24,81,50.0
376,2019-11-09,0,10.0,0.0,30,124,18.0
377,2019-11-10,0,7.0,0.0,37,140,23.0
378,2019-11-11,0,11.0,0.0,30,124,45.0
379,2019-11-12,0,7.0,0.0,37,158,28.0
380,2019-11-13,0,7.0,0.0,36,150,19.0
381,2019-11-14,0,8.0,0.0,34,146,28.0
382,2019-11-15,0,7.0,0.0,35,155,26.0
383,2019-11-16,0,4.0,0.0,41,173,13.0
384,2019-11-17,0,4.0,0.0,40,165,14.0
385,2019-11-18,0,5.0,0.0,36,168,19.0
386,2019-11-19,0,11.0,0.0,33,123,21.0
387,2019-11-20,0,6.0,0.0,36,154,22.0
388,2019-11-21,0,10.0,0.0,33,134,32.0
389,2019-11-22,0,16.0,0.0,27,111,130.0
390,2019-11-23,0,5.0,0.0,39,161,16.0
391,2019-11-24,0,8.0,0.0,33,136,13.0
392,2019-11-25,0,8.0,0.0,32,141,27.0
393,2019-11-26,0,7.0,0.0,34,149,19.0
394,2019-11-27,0,9.0,0.0,33,135,21.0
395,2019-11-28,0,3.0,0.0,44,187,6.0
396,2019-11-29,0,3.0,0.0,45,195,7.0
397,2019-11-30,0,3.0,0.0,43,192,5.0
398,2019-12-01,0,2.0,0.0,50,210,5.0
399,2019-12-02,0,9.0,0.0,32,136,11.0
