,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-10-31,0.0,1.0,0.0,66,283,1.0
1,2019-11-01,0.0,2.0,0.2,52,234,6.0
2,2019-11-05,0.13,1.0,0.0,60,275,3.0
3,2019-11-06,0.1,4.0,0.0054,41,179,21.0
4,2019-11-07,0.1,3.0,0.016,45,201,5.0
5,2019-11-08,0.16,4.0,0.0745,44,192,10.0
6,2019-11-09,0.04,1.0,0.0,62,268,7.0
7,2019-11-10,0.01,1.0,0.0,59,262,4.0
8,2019-11-11,1.65,2.0,1.7025,52,230,5.0
9,2019-11-12,1.66,2.0,0.011,52,233,2.0
10,2019-11-13,1.66,0.0,0.0,NULL,NULL,0.0
11,2019-11-14,1.66,1.0,0.002,62,280,1.0
12,2019-11-15,1.63,3.0,0.0148,43,198,6.0
13,2019-11-16,1.35,3.0,0.004,43,190,3.0
14,2019-11-17,1.35,0.0,0.0,NULL,NULL,0.0
15,2019-11-18,1.35,0.0,0.0,NULL,NULL,0.0
16,2019-11-19,1.38,4.0,0.06059,42,186,9.0
17,2019-11-20,1.39,2.0,0.0075,49,212,2.0
18,2019-11-21,1.41,2.0,0.02,49,216,2.0
19,2019-11-22,1.41,0.0,0.0,NULL,NULL,0.0
20,2019-11-23,1.41,0.0,0.0,NULL,NULL,0.0
21,2019-11-24,1.43,1.0,0.02,64,259,1.0
22,2019-11-25,1.44,1.0,0.011,60,267,1.0
23,2019-11-26,1.44,0.0,0.0,NULL,NULL,0.0
24,2019-11-27,1.41,2.0,0.011,51,214,3.0
25,2019-11-28,1.41,0.0,0.0,NULL,NULL,0.0
26,2019-11-29,1.41,0.0,0.0,NULL,NULL,0.0
27,2019-11-30,1.42,1.0,0.012,61,262,1.0
28,2019-12-01,1.41,1.0,0.0,60,255,1.0
29,2019-12-02,1.41,0.0,0.0,NULL,NULL,0.0
30,2019-12-03,1.38,1.0,0.0,69,280,1.0
31,2019-12-04,1.4,1.0,0.02,61,263,1.0
32,2019-12-05,1.4,1.0,0.002,56,271,3.0
33,2019-12-06,1.36,1.0,0.0,62,274,3.0
34,2019-12-07,1.36,0.0,0.0,NULL,NULL,0.0
35,2019-12-08,1.36,0.0,0.0,NULL,NULL,0.0
36,2019-12-09,1.36,0.0,0.0,NULL,NULL,0.0
37,2019-12-10,1.36,0.0,0.0,NULL,NULL,0.0
38,2019-12-11,1.36,1.0,0.0022,62,274,1.0
39,2019-12-12,1.36,0.0,0.0,NULL,NULL,0.0
40,2019-12-13,1.36,0.0,0.0,NULL,NULL,0.0
41,2019-12-14,1.36,0.0,0.0,NULL,NULL,0.0
42,2019-12-15,1.36,0.0,0.0,NULL,NULL,0.0
43,2019-12-16,1.36,0.0,0.0,NULL,NULL,0.0
44,2019-12-17,1.36,0.0,0.0,NULL,NULL,0.0
45,2019-12-18,1.34,1.0,0.0,60,279,1.0
46,2019-12-19,1.34,12.0,0.0043,28,111,19.0
47,2019-12-20,1.35,10.0,0.0046,29,121,22.0
48,2019-12-21,1.35,12.0,0.0014,29,105,23.0
49,2019-12-22,1.35,15.0,0.0046,24,91,23.0
50,2019-12-23,1.37,13.0,0.0137,28,107,22.0
51,2019-12-24,1.34,14.0,0.0029,26,100,24.0
52,2019-12-25,1.34,9.0,0.0018,29,118,15.0
53,2019-12-26,1.34,10.0,0.0021,28,113,17.0
54,2019-12-27,1.35,7.0,0.0021,30,130,10.0
55,2019-12-28,1.35,11.0,0.0014,26,104,22.0
56,2019-12-29,1.35,7.0,0.0006,33,132,10.0
57,2019-12-30,1.35,7.0,0.0006,32,128,13.0
58,2019-12-31,1.35,6.0,0.0014,39,151,10.0
59,2020-01-01,1.35,9.0,0.0015,30,118,15.0
60,2020-01-02,1.35,10.0,0.0008,32,119,15.0
61,2020-01-03,1.35,7.0,0.0009,35,136,10.0
62,2020-01-04,1.35,6.0,0.0001,37,147,7.0
63,2020-01-05,1.35,9.0,0.0007,31,120,12.0
64,2020-01-06,1.35,5.0,0.0002,37,154,9.0
65,2020-01-07,1.36,9.0,0.001,35,134,15.0
66,2020-01-08,1.36,9.0,0.0006,32,131,12.0
67,2020-01-09,1.36,9.0,0.0002,32,129,10.0
68,2020-01-10,1.36,6.0,0.0,33,147,7.0
69,2020-01-11,1.36,6.0,0.0002,36,149,6.0
70,2020-01-12,1.36,5.0,0.0002,36,158,6.0
