,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-05-08,0,1.0,0.0,75,310,3.0
1,2019-05-12,0,2.0,0.0,59,244,61.0
2,2019-05-14,0,2.0,0.0,64,268,2.0
3,2019-05-15,0,2.0,0.0,57,258,2.0
4,2019-05-16,0,1.0,0.0,69,302,1.0
5,2019-05-18,0,1.0,0.0,70,284,1.0
6,2019-05-20,0,1.0,0.0,76,297,1.0
7,2019-05-21,0,1.0,0.0,78,309,1.0
8,2019-05-26,0,3.0,0.0,59,218,3.0
9,2019-05-27,0,5.0,0.03,42,187,163.0
10,2019-05-28,0,8.0,0.32,36,148,34.0
11,2019-05-29,0,4.0,0.33,46,200,34.0
12,2019-05-30,0,2.0,0.23,67,262,25.0
13,2019-05-31,0,4.0,0.09,48,201,10.0
14,2019-06-01,0,3.0,0.35,51,211,36.0
15,2019-06-02,0,2.0,0.03,58,242,6.0
16,2019-06-03,0,4.0,0.1,42,204,11.0
17,2019-06-04,0,3.0,0.09,50,223,11.0
18,2019-06-05,0,4.0,0.11,47,195,14.0
19,2019-06-06,0,2.0,0.0,52,235,2.0
20,2019-06-07,0,6.0,0.08,42,162,10.0
21,2019-06-08,0,6.0,0.45,37,156,56.0
22,2019-06-09,0,2.0,0.41,55,243,42.0
23,2019-06-10,0,3.0,0.12,47,201,44.0
24,2019-06-11,0,4.0,0.07,43,185,15.0
25,2019-06-12,0,1.0,0.2,69,286,1.0
26,2019-06-13,0,4.0,0.3,45,206,37.0
27,2019-06-14,0,3.0,0.68,52,229,74.0
28,2019-06-15,0,2.0,0.11,49,222,11.0
29,2019-06-16,0,3.0,0.37,46,206,44.0
30,2019-06-17,0,2.0,0.0,59,251,5.0
31,2019-06-18,0,3.0,0.11,55,225,14.0
32,2019-06-19,0,1.0,0.0,68,309,3.0
33,2019-06-20,0,3.0,0.0,46,216,7.0
34,2019-06-21,0,6.0,0.12,42,174,22.0
35,2019-06-22,0,7.0,0.04,39,167,44.0
36,2019-06-23,0,2.0,0.0,58,242,7.0
37,2019-06-24,0,1.0,0.0,66,295,14.0
38,2019-06-25,0,6.0,0.02,42,179,32.0
39,2019-06-26,0,2.0,0.05,59,265,11.0
40,2019-06-27,0,6.0,0.1,38,175,25.0
41,2019-06-28,0,2.0,0.0,50,229,4.0
42,2019-06-29,0,5.0,0.27,40,173,50.0
43,2019-06-30,0,3.0,0.14,50,200,21.0
44,2019-07-01,0,5.0,0.23,39,169,32.0
45,2019-07-02,0,12.0,1.25,29,118,158.0
46,2019-07-03,0,7.0,0.05,42,158,17.0
47,2019-07-04,0,3.0,1.09,50,214,123.0
48,2019-07-05,0,6.0,0.74,41,163,90.0
49,2019-07-06,0,4.0,0.25,47,187,32.0
50,2019-07-07,0,1.0,0.09,63,264,10.0
51,2019-07-08,0,3.0,0.01,50,211,7.0
52,2019-07-09,0,3.0,0.07,55,223,9.0
53,2019-07-10,0,4.0,0.1,47,195,18.0
54,2019-07-11,0,4.0,0.17,42,180,22.0
55,2019-07-12,0,6.0,0.08,40,159,29.0
56,2019-07-13,0,4.0,0.0,42,172,5.0
57,2019-07-14,0,4.0,0.02,40,169,18.0
58,2019-07-15,0,3.0,0.0,50,209,6.0
59,2019-07-16,0,4.0,0.0,37,162,10.0
60,2019-07-17,0,9.0,0.34,31,124,55.0
61,2019-07-18,0,10.0,0.74,32,122,95.0
62,2019-07-19,0,20.0,0.67,28,80,94.0
63,2019-07-20,0,17.0,2.36,25,82,267.0
64,2019-07-21,0,16.0,1.37,24,82,205.0
65,2019-07-22,0,22.0,0.96,26,74,162.0
66,2019-07-23,0,9.0,1.11,35,131,137.0
67,2019-07-24,0,22.0,0.41,21,70,81.0
68,2019-07-25,0,12.0,0.84,32,104,99.0
69,2019-07-26,0,26.0,4.41,21,67,543.0
70,2019-07-27,0,16.0,1.11,26,83,204.0
71,2019-07-28,0,24.0,2.9,23,72,365.0
72,2019-07-29,0,20.0,3.37,26,83,394.0
73,2019-07-30,0,21.0,9.16,25,85,999.0
74,2019-07-31,0,21.0,2.04,23,82,321.0
75,2019-08-01,0,8.0,0.1,35,136,25.0
76,2019-08-02,0,6.0,0.11,41,155,40.0
77,2019-08-03,0,7.0,0.03,38,135,36.0
78,2019-08-04,0,8.0,0.58,34,125,63.0
79,2019-08-05,0,17.0,2.77,28,100,324.0
