,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-04-01,0.0,5.0,0.289,44,176,36.0
1,2019-04-02,0.0,8.0,1.07,40,167,134.0
2,2019-04-03,0.0,4.0,0.102,49,222,22.0
3,2019-04-05,0.0,3.0,0.017,51,221,14.0
4,2019-04-06,0.0,5.0,0.124,44,171,8.0
5,2019-04-07,0.0,6.0,0.032,40,162,16.0
6,2019-04-08,0.0,2.0,0.017,64,270,2.0
7,2019-04-09,0.0,5.0,0.034,43,182,11.0
8,2019-04-10,0.0,8.0,0.396920070214383,34,150,25.0
9,2019-04-12,0.0,3.0,0.017,53,228,38.0
10,2019-04-13,0.0,5.0,0.102,44,162,13.0
11,2019-04-15,0.0,1.0,0.0,70,309,2.0
12,2019-04-16,0.0,1.0,0.0,64,295,1.0
13,2019-04-17,0.0,1.0,0.0,72,308,1.0
14,2019-04-18,0.0,5.0,1.105,47,176,136.0
15,2019-04-19,0.0,5.0,0.026,42,180,7.0
16,2019-04-20,0.0,7.0,0.371,37,141,49.0
17,2019-04-22,0.0,2.0,0.014,59,245,2.0
18,2019-04-23,0.0,7.0,1.428,39,155,30.0
19,2019-04-24,0.0,4.0,0.056,44,185,8.0
20,2019-04-26,0.0,5.0,0.042,40,170,55.0
21,2019-04-27,0.0,10.0,0.154,33,117,27.0
22,2019-04-28,0.0,2.0,0.014,53,224,2.0
23,2019-04-29,0.0,3.0,0.028,54,210,4.0
24,2019-05-01,0.0,11.0,0.812,31,128,120.0
25,2019-05-02,0.0,2.0,0.0,57,237,2.0
26,2019-05-03,0.0,7.0,0.14,39,155,24.0
27,2019-05-04,0.0,4.0,0.027,50,182,9.0
28,2019-05-05,0.0,5.0,0.374,48,173,43.0
29,2019-05-08,0.0,5.0,0.294,50,193,43.0
30,2019-05-09,0.0,2.0,0.0,59,245,20.0
31,2019-05-10,0.0,10.0,1.204,40,152,175.0
32,2019-05-11,0.0,9.0,0.462,44,155,68.0
33,2019-05-12,0.0,5.0,0.028,46,182,21.0
34,2019-05-13,0.0,12.0,0.112,32,132,59.0
35,2019-05-14,0.0,10.0,0.042,36,153,19.0
36,2019-05-15,0.0,5.0,0.056,41,189,9.0
37,2019-05-16,0.0,9.0,0.05,33,152,18.0
38,2019-05-17,0.0,4.0,0.0,45,200,5.0
39,2019-05-18,0.0,2.0,0.0,61,244,2.0
40,2019-05-20,0.0,3.0,0.0,52,216,3.0
41,2019-05-21,0.0,3.0,0.01,50,223,3.0
42,2019-05-22,0.0,3.0,0.01,53,222,3.0
