,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-05-09,0,1.0,0.0,71,306,4.0
1,2019-05-10,0,3.0,0.05,58,220,3.0
2,2019-05-11,0,10.0,0.0,40,144,31.0
3,2019-05-12,0,5.0,0.1,46,182,9.0
4,2019-05-13,0,5.0,0.2,45,180,20.0
5,2019-05-14,0,2.0,0.0,64,268,8.0
6,2019-05-15,0,5.0,0.0,41,189,6.0
7,2019-05-16,0,9.0,0.0,33,152,23.0
8,2019-05-17,0,10.0,0.15,32,137,30.0
9,2019-05-18,0,27.0,0.3,24,86,112.0
10,2019-05-19,0,19.0,0.15,26,106,67.0
11,2019-05-20,0,21.0,0.45,22,97,66.0
12,2019-05-21,0,24.0,0.4,27,96,58.0
13,2019-05-22,0,16.0,0.2,29,112,23.0
14,2019-05-23,0,16.0,2.05,33,112,58.0
15,2019-05-24,0,20.0,0.05,27,97,69.0
16,2019-05-25,0,16.0,0.15,29,100,36.0
17,2019-05-26,0,14.0,0.25,28,109,36.0
18,2019-05-27,0,6.0,0.0,38,172,19.0
19,2019-05-28,0,11.0,0.2,31,127,26.0
20,2019-05-29,0,11.0,0.05,34,126,15.0
21,2019-05-30,0,10.0,0.1,35,138,36.0
22,2019-05-31,0,7.0,0.1,35,150,11.0
23,2019-06-01,0,8.0,0.0,33,136,32.0
24,2019-06-02,0,9.0,0.1,34,133,26.0
25,2019-06-03,0,25.0,0.211,25,85,56.0
26,2019-06-04,0,7.0,0.011,40,161,61.0
27,2019-06-05,0,26.0,0.333,22,76,69.0
28,2019-06-06,0,13.0,0.8,30,116,39.0
29,2019-06-07,0,25.0,0.8,22,83,85.0
30,2019-06-08,0,3.0,0.055,50,200,7.0
31,2019-06-09,0,6.0,0.0,37,157,13.0
32,2019-06-10,0,3.0,0.0,47,201,3.0
33,2019-06-11,0,32.0,0.661,22,76,186.0
34,2019-06-12,0,16.0,0.1,26,112,72.0
35,2019-06-13,0,14.0,0.0,31,126,43.0
36,2019-06-14,0,5.0,0.0,44,184,6.0
37,2019-06-15,0,23.0,0.922,22,84,54.0
38,2019-06-16,0,12.0,0.0291,29,111,33.0
39,2019-06-17,0,9.0,0.0,32,141,38.0
40,2019-06-18,0,11.0,1.095,35,129,17.0
41,2019-06-19,0,12.0,0.05,32,128,49.0
42,2019-06-20,0,3.0,0.0,46,216,16.0
43,2019-06-21,0,7.0,0.0,39,168,18.0
44,2019-06-22,0,8.0,0.1,35,153,11.0
45,2019-06-23,0,14.0,0.2,32,120,23.0
46,2019-06-24,0,5.0,0.0,44,193,8.0
47,2019-06-25,0,8.0,0.0,37,158,13.0
48,2019-06-26,0,3.0,0.0,54,238,4.0
49,2019-06-27,0,5.0,0.0,42,188,9.0
50,2019-06-28,0,7.0,0.0,38,155,17.0
51,2019-06-29,0,1.0,0.0,66,286,1.0
52,2019-06-30,0,4.0,0.0,44,182,6.0
53,2019-07-01,0,7.0,0.05,35,148,18.0
54,2019-07-02,0,9.0,0.8,35,138,25.0
55,2019-07-03,0,10.0,0.0,32,135,46.0
56,2019-07-04,0,9.0,0.0,33,145,55.0
57,2019-07-05,0,8.0,0.0,36,143,29.0
58,2019-07-06,0,4.0,0.0,47,187,38.0
59,2019-07-07,0,8.0,0.0,38,139,24.0
60,2019-07-08,0,6.0,0.0,40,166,43.0
61,2019-07-09,0,5.0,0.0,47,191,16.0
62,2019-07-10,0,17.0,0.0,30,109,45.0
63,2019-07-11,0,2.0,0.0,56,237,2.0
64,2019-07-12,0,7.0,0.0,37,147,14.0
65,2019-07-13,0,4.0,0.0,42,172,24.0
66,2019-07-14,0,3.0,0.0,51,195,7.0
67,2019-07-15,0,2.0,0.0,54,233,2.0
68,2019-07-16,0,1.0,0.0,57,249,1.0
69,2019-07-17,0,5.0,0.0,43,170,8.0
70,2019-07-18,0,11.0,0.0,29,114,25.0
71,2019-07-19,0,6.0,0.0,40,148,9.0
72,2019-07-20,0,6.0,0.0,39,139,31.0
73,2019-07-21,0,6.0,0.0,37,130,13.0
74,2019-07-22,0,13.0,0.0,31,103,26.0
75,2019-07-23,0,16.0,0.0,28,90,39.0
76,2019-07-24,0,3.0,0.0,44,187,4.0
77,2019-07-25,0,3.0,0.0,53,198,4.0
78,2019-07-26,0,5.0,0.0,44,165,11.0
79,2019-07-27,0,9.0,0.0,33,111,15.0
80,2019-07-28,0,15.0,0.05,30,93,44.0
81,2019-07-29,0,10.0,0.0,34,125,19.0
82,2019-07-30,0,6.0,0.0,42,154,20.0
83,2019-07-31,0,5.0,0.0,42,167,44.0
84,2019-08-01,0,7.0,0.0,38,145,11.0
85,2019-08-02,0,9.0,0.0,36,133,10.0
86,2019-08-03,0,4.0,0.0,42,166,16.0
87,2019-08-04,0,6.0,0.0,38,146,79.0
88,2019-08-05,0,3.0,0.0,47,204,6.0
89,2019-08-06,0,6.0,0.0,41,157,7.0
90,2019-08-07,0,8.0,0.0,38,137,48.0
91,2019-08-08,0,3.0,0.0,47,191,5.0
92,2019-08-09,0,9.0,0.0,36,127,17.0
93,2019-08-10,0,5.0,0.0,42,149,9.0
94,2019-08-11,0,3.0,0.0,57,195,3.0
95,2019-08-12,0,3.0,0.0,53,202,3.0
96,2019-08-13,0,9.0,0.0,34,123,19.0
97,2019-08-14,0,6.0,0.0,37,150,8.0
98,2019-08-15,0,3.0,0.0,46,194,5.0
99,2019-08-16,0,3.0,0.0,48,187,3.0
100,2019-08-17,0,13.0,0.0,27,94,45.0
101,2019-08-18,0,4.0,0.0,41,157,78.0
102,2019-08-19,0,5.0,0.0,38,161,12.0
103,2019-08-20,0,3.0,0.0,46,188,4.0
104,2019-08-21,0,3.0,0.0,45,198,8.0
105,2019-08-22,0,4.0,0.0,45,180,24.0
106,2019-08-23,0,5.0,0.0,39,161,22.0
107,2019-08-24,0,8.0,0.0,41,134,49.0
108,2019-08-25,0,3.0,0.0,46,172,5.0
109,2019-08-26,0,2.0,0.0,47,202,3.0
110,2019-08-27,0,2.0,0.0,53,209,2.0
111,2019-08-28,0,5.0,0.0,43,165,10.0
112,2019-08-29,0,6.0,0.0,41,150,63.0
113,2019-08-30,0,7.0,0.0,41,152,19.0
114,2019-08-31,0,4.0,0.0,48,169,18.0
115,2019-09-01,0,4.0,0.0,45,162,6.0
116,2019-09-02,0,6.0,0.0,42,156,14.0
117,2019-09-03,0,3.0,0.0,56,205,3.0
118,2019-09-04,0,3.0,0.0,47,194,3.0
119,2019-09-05,0,0.0,0.0,NULL,NULL,0.0
120,2019-09-06,0,0.0,0.0,NULL,NULL,0.0
121,2019-09-07,0,0.0,0.0,NULL,NULL,0.0
122,2019-09-08,0,1.0,0.0,53,234,1.0
123,2019-09-09,0,1.0,0.0,57,239,1.0
124,2019-09-10,0,0.0,0.0,NULL,NULL,0.0
125,2019-09-11,0,2.0,0.0,43,202,2.0
126,2019-09-12,0,0.0,0.0,NULL,NULL,0.0
127,2019-09-13,0,1.0,0.0,50,232,2.0
128,2019-09-14,0,2.0,0.0,44,187,2.0
129,2019-09-15,0,1.0,0.0,50,231,2.0
130,2019-09-16,0,2.0,0.0,47,209,2.0
131,2019-09-17,0,1.0,0.0,51,231,1.0
132,2019-09-18,0,0.0,0.0,NULL,NULL,0.0
133,2019-09-19,0,1.0,0.0,54,255,4.0
134,2019-09-20,0,3.0,0.0,37,185,5.0
135,2019-09-21,0,3.0,0.0,44,187,5.0
136,2019-09-22,0,3.0,0.0,41,175,4.0
