,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-08-21,0.0,8.0,2.7,35,130,81.0
1,2019-08-22,0.0,6.0,7.3,36,151,26.0
2,2019-08-25,0.0,11.0,75.15,34,109,512.0
3,2019-08-26,25.99,369.0,31.75,6,22,936.0
4,2019-08-27,37.11,269.0,12.95,7,26,359.0
5,2019-08-28,50.54,153.0,15.3,12,37,209.0
6,2019-08-29,62.39,95.0,12.2,16,42,164.0
7,2019-08-30,67.71,35.0,5.4,25,63,91.0
8,2019-08-31,73.13,21.0,6.0,30,79,62.0
9,2019-09-01,74.08,28.0,1.0,22,64,61.0
10,2019-09-02,75.17,25.0,1.1,24,69,53.0
11,2019-09-03,80.66,33.0,7.15,20,62,212.0
12,2019-09-04,87.69,318.0,6.75,7,25,380.0
13,2019-09-05,97.0,51.0,9.45,18,48,160.0
14,2019-09-06,97.94,30.0,1.4,16,55,56.0
15,2019-09-07,100.55,20.0,2.65,19,63,37.0
16,2019-09-08,102.97,22.0,2.8,17,55,114.0
17,2019-09-09,104.22,29.0,2.0,13,47,84.0
18,2019-09-10,112.05,18.0,8.85,22,66,83.0
19,2019-09-11,116.41,36.0,4.5,13,46,98.0
20,2019-09-12,116.75,16.0,0.35,19,80,21.0
21,2019-09-13,117.03,14.0,0.35,23,84,22.0
22,2019-09-14,118.02,18.0,1.25,19,66,45.0
23,2019-09-15,122.72,57.0,5.45,13,42,195.0
24,2019-09-16,145.19,36.0,25.2,14,49,456.0
25,2019-09-17,164.37,38.0,22.707,12,48,227.0
26,2019-09-18,177.87,55.0,29.1,12,45,325.0
27,2019-09-19,180.18,21.0,2.45,16,71,78.0
28,2019-09-20,180.18,1.0,0.0,50,240,2.0
29,2019-09-21,180.18,5.0,0.35,39,152,11.0
30,2019-09-22,180.18,1.0,0.0,54,250,6.0
31,2019-09-23,0.0,2.0,0.0,50,213,4.0
32,2019-09-24,0.0,5.0,0.0,34,154,11.0
33,2019-09-25,3.21,57.0,3.32,13,43,464.0
34,2019-09-26,5.22,27.0,2.01,22,63,44.0
35,2019-09-27,19.82,22.0,14.6,22,70,127.0
36,2019-09-28,30.45,22.0,10.63,20,70,124.0
37,2019-09-29,36.81,19.0,6.36,26,79,82.0
38,2019-09-30,36.92,10.0,0.12,38,135,61.0
39,2019-10-01,37.94,16.0,1.02,31,109,22.0
40,2019-10-02,38.78,21.0,0.84,27,85,66.0
41,2019-10-03,41.92,23.0,3.18,24,71,76.0
42,2019-10-04,46.35,22.0,4.39,25,79,64.0
43,2019-10-05,47.73,41.0,1.38,17,58,180.0
44,2019-10-06,48.9,30.0,1.17,21,63,57.0
45,2019-10-07,49.28,20.0,0.38,28,86,69.0
46,2019-10-08,50.02,17.0,0.74,29,101,51.0
47,2019-10-09,50.55,23.0,0.53,26,84,79.0
48,2019-10-10,50.82,20.0,0.27,26,86,47.0
49,2019-10-11,50.98,15.0,0.16,30,96,47.0
50,2019-10-12,51.97,12.0,0.99,32,113,29.0
51,2019-10-13,52.15,11.0,0.18,31,103,25.0
52,2019-10-14,52.27,10.0,0.12,33,123,26.0
53,2019-10-15,52.43,8.0,0.16,35,140,18.0
54,2019-10-16,54.87,8.0,2.44,36,135,12.0
55,2019-10-17,55.1,11.0,0.23,32,116,30.0
56,2019-10-18,55.62,9.0,0.52,33,122,16.0
57,2019-10-19,55.76,9.0,0.14,35,114,17.0
58,2019-10-20,56.16,9.0,0.4,34,114,29.0
59,2019-10-21,56.2,5.0,0.04,40,162,10.0
60,2019-10-22,56.24,7.0,0.04,39,136,18.0
61,2019-10-23,80.7,19.0,24.46,25,93,51.0
62,2019-10-24,90.77,13.0,10.07,29,110,32.0
63,2019-10-25,95.69,11.0,4.92,34,124,30.0
64,2019-10-26,101.92,12.0,6.23,31,113,94.0
65,2019-10-27,102.76,9.0,0.84,34,120,43.0
66,2019-10-28,103.02,9.0,0.26,34,135,27.0
67,2019-10-29,103.94,6.0,0.92,39,158,18.0
68,2019-10-30,105.36,17.0,1.42,26,98,41.0
69,2019-10-31,105.54,15.0,0.18,30,111,35.0
70,2019-11-01,118.12,21.0,12.58,23,87,57.0
71,2019-11-02,120.56,9.0,2.44,34,126,19.0
72,2019-11-03,121.95,10.0,1.39,33,111,21.0
73,2019-11-04,124.79,13.0,2.84,31,113,33.0
74,2019-11-05,127.09,14.0,2.3,30,120,51.0
75,2019-11-06,128.47,12.0,1.38,29,118,57.0
76,2019-11-07,129.02,11.0,0.55,29,122,32.0
77,2019-11-08,129.06,7.0,0.04,37,153,21.0
78,2019-11-09,129.66,10.0,0.6,30,124,31.0
79,2019-11-10,140.57,13.0,11.31,29,105,43.0
80,2019-11-11,141.64,11.0,0.67,30,124,22.0
81,2019-11-12,142.84,6.0,1.2,38,168,8.0
82,2019-11-13,143.28,10.0,0.44,33,135,17.0
83,2019-11-14,143.32,4.0,0.04,39,180,7.0
84,2019-11-15,157.72,3.0,14.4,43,198,8.0
85,2019-11-16,157.72,2.0,0.0,48,214,8.0
86,2019-11-17,159.03,11.0,1.31,29,114,26.0
87,2019-11-18,159.27,14.0,0.24,27,116,39.0
88,2019-11-19,159.88,6.0,0.61,36,159,15.0
89,2019-11-20,160.27,14.0,0.39,25,106,52.0
90,2019-11-21,162.75,9.0,2.48,34,137,32.0
91,2019-11-22,162.75,4.0,0.0,41,184,4.0
92,2019-11-23,162.87,9.0,0.12,32,131,31.0
93,2019-11-24,163.31,10.0,0.44,31,121,17.0
94,2019-11-25,163.31,1.0,0.0,60,267,4.0
95,2019-11-26,163.85,8.0,0.54,32,144,11.0
96,2019-11-27,33.46,15.0,10.74,28,109,64.0
97,2019-11-28,81.1,12.0,47.64,32,128,66.0
98,2019-11-29,88.7,6.0,7.6,34,150,19.0
99,2019-11-30,89.28,7.0,0.59,34,145,16.0
100,2019-12-01,90.08,4.0,0.8,39,167,12.0
101,2019-12-02,90.08,3.0,0.0,48,205,4.0
102,2019-12-03,90.95,5.0,0.87,34,161,9.0
103,2019-12-04,91.06,4.0,0.11,41,180,7.0
104,2019-12-05,91.24,5.0,0.18,37,172,21.0
105,2019-12-06,91.24,5.0,0.0,35,171,13.0
106,2019-12-07,91.42,5.0,0.18,33,156,16.0
107,2019-12-08,91.42,2.0,0.0,46,215,4.0
108,2019-12-09,91.42,3.0,0.0,44,194,19.0
109,2019-12-10,91.5,6.0,0.08,35,156,13.0
110,2019-12-11,91.5,2.0,0.0,50,230,8.0
111,2019-12-12,91.5,2.0,0.0,46,234,2.0
112,2019-12-13,91.5,1.0,0.0,59,269,1.0
113,2019-12-14,91.54,4.0,0.04,41,175,11.0
114,2019-12-15,91.54,2.0,0.0,48,212,2.0
115,2019-12-16,91.54,2.0,0.0,51,227,5.0
116,2019-12-17,91.58,2.0,0.04,44,218,4.0
117,2019-12-18,113.45,23.0,21.87,20,80,120.0
118,2019-12-19,24.86,24.0,1.42,24,79,84.0
119,2019-12-20,25.11,10.0,0.25,29,121,46.0
120,2019-12-21,25.12,9.0,0.01,30,115,74.0
121,2019-12-22,25.29,15.0,0.2,24,91,96.0
