,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-03-31,0,21.0,0,24,80,24.0
1,2019-04-01,0,31.0,0,20,72,37.0
2,2019-04-02,0,17.0,0,27,112,18.0
3,2019-04-03,0,21.0,0,24,100,24.0
4,2019-04-04,0,23.0,0,24,95,25.0
5,2019-04-05,0,26.0,0,19,81,28.0
6,2019-04-06,0,22.0,0,23,79,23.0
7,2019-04-07,0,22.0,0,25,83,24.0
8,2019-04-08,0,28.0,0,19,76,34.0
9,2019-04-09,0,21.0,0,21,90,22.0
10,2019-04-10,0,19.0,0,23,92,26.0
11,2019-04-11,0,18.0,0,25,101,19.0
12,2019-04-12,0,15.0,0,23,101,15.0
13,2019-04-13,0,28.0,0,18,67,31.0
14,2019-04-14,0,12.0,0,26,101,17.0
15,2019-04-15,0,17.0,0,26,100,18.0
16,2019-04-16,0,23.0,0,23,83,25.0
17,2019-04-17,0,25.0,0,21,76,26.0
18,2019-04-18,0,20.0,0,22,86,22.0
19,2019-04-19,0,18.0,0,24,93,18.0
20,2019-04-20,0,20.0,0,22,86,21.0
21,2019-04-21,0,18.0,0,22,84,19.0
22,2019-04-22,0,21.0,0,21,94,29.0
23,2019-04-23,0,18.0,0,26,98,19.0
24,2019-04-24,0,25.0,0,20,74,33.0
25,2019-04-25,0,15.0,0,24,104,17.0
26,2019-04-26,0,15.0,0,22,96,15.0
27,2019-04-27,0,23.0,0,17,70,24.0
28,2019-04-28,0,15.0,0,25,96,15.0
29,2019-04-29,0,19.0,0,24,84,24.0
30,2019-04-30,0,16.0,0,26,102,16.0
31,2019-05-01,0,14.0,0,27,112,18.0
32,2019-05-02,0,23.0,0,20,78,30.0
33,2019-05-03,0,32.0,0,19,74,34.0
34,2019-05-04,0,18.0,0,22,90,18.0
35,2019-05-05,0,17.0,0,27,97,18.0
36,2019-05-06,0,16.0,0,24,107,17.0
37,2019-05-07,0,6.0,0,37,160,8.0
38,2019-05-08,0,22.0,0,25,96,24.0
39,2019-05-09,0,23.0,0,22,84,91.0
40,2019-05-10,0,30.0,0,21,76,238.0
41,2019-05-11,0,42.0,0,18,72,143.0
42,2019-05-12,0,31.0,0,19,78,84.0
43,2019-05-13,0,24.0,0,23,91,54.0
44,2019-05-14,0,20.0,0,26,105,26.0
45,2019-05-15,0,24.0,0,20,91,50.0
46,2019-05-16,0,42.0,0,17,67,49.0
47,2019-05-17,0,28.0,0,20,80,39.0
48,2019-05-18,0,30.0,0,20,78,33.0
49,2019-05-19,0,41.0,0,17,67,45.0
50,2019-05-20,0,19.0,0,25,104,22.0
51,2019-05-21,0,23.0,0,28,100,28.0
52,2019-05-22,0,19.0,0,25,101,23.0
53,2019-05-23,0,5.0,0,44,179,5.0
54,2019-05-24,0,32.0,0,22,76,48.0
55,2019-05-25,0,18.0,0,26,92,21.0
56,2019-05-26,0,16.0,0,27,99,16.0
57,2019-05-27,0,15.0,0,29,108,16.0
58,2019-05-28,0,9.0,0,34,143,10.0
59,2019-05-29,0,15.0,0,29,111,19.0
60,2019-05-30,0,11.0,0,33,130,12.0
61,2019-05-31,0,8.0,0,33,143,11.0
62,2019-06-01,0,13.0,0,29,111,15.0
63,2019-06-02,0,12.0,0,32,121,15.0
64,2019-06-03,0,14.0,0,32,116,16.0
65,2019-06-04,0,9.0,0,34,140,14.0
66,2019-06-05,0,12.0,0,31,117,14.0
67,2019-06-06,0,16.0,0,26,102,17.0
68,2019-06-07,0,16.0,0,26,107,19.0
69,2019-06-08,0,7.0,0,33,142,8.0
70,2019-06-09,0,10.0,0,31,125,10.0
71,2019-06-10,0,11.0,0,30,121,12.0
72,2019-06-11,0,11.0,0,32,124,12.0
73,2019-06-12,0,12.0,0,31,131,12.0
74,2019-06-13,0,16.0,0,29,118,18.0
75,2019-06-14,0,20.0,0,25,94,20.0
76,2019-06-15,0,2.0,0,49,222,2.0
77,2019-06-16,0,25.0,0,24,87,26.0
78,2019-06-17,0,17.0,0,25,100,19.0
79,2019-06-18,0,15.0,0,29,111,18.0
80,2019-06-19,0,15.0,0,27,116,17.0
81,2019-06-20,0,6.0,0,40,168,7.0
82,2019-06-21,0,12.0,0,33,136,14.0
83,2019-06-22,0,20.0,0,28,107,21.0
84,2019-06-23,0,12.0,0,36,132,14.0
85,2019-06-24,0,19.0,0,27,109,21.0
86,2019-06-25,0,11.0,0,32,141,16.0
87,2019-06-26,0,21.0,0,25,106,23.0
88,2019-06-27,0,18.0,0,27,109,19.0
89,2019-06-28,0,8.0,0,33,144,9.0
90,2019-06-29,0,7.0,0,38,151,7.0
91,2019-06-30,0,4.0,0,44,182,4.0
92,2019-07-01,0,12.0,0,30,122,13.0
93,2019-07-02,0,5.0,0,42,180,5.0
94,2019-07-03,0,10.0,0,32,135,11.0
95,2019-07-04,0,8.0,0,36,155,10.0
96,2019-07-05,0,7.0,0,38,148,7.0
97,2019-07-06,0,15.0,0,29,104,18.0
98,2019-07-07,0,9.0,0,37,133,11.0
99,2019-07-08,0,12.0,0,32,126,12.0
100,2019-07-09,0,14.0,0,30,123,15.0
101,2019-07-10,0,20.0,0,27,96,26.0
102,2019-07-11,0,5.0,0,37,167,5.0
103,2019-07-12,0,11.0,0,29,116,13.0
104,2019-07-13,0,11.0,0,28,108,11.0
105,2019-07-14,0,10.0,0,29,115,10.0
106,2019-07-15,0,8.0,0,33,135,8.0
107,2019-07-16,0,3.0,0,44,184,4.0
108,2019-07-17,0,13.0,0,27,101,20.0
109,2019-07-18,0,4.0,0,45,186,5.0
110,2019-07-19,0,8.0,0,35,132,10.0
111,2019-07-20,0,8.0,0,34,123,8.0
112,2019-07-21,0,7.0,0,33,120,8.0
113,2019-07-22,0,9.0,0,38,127,10.0
114,2019-07-23,0,14.0,0,30,96,15.0
115,2019-07-24,0,6.0,0,37,146,6.0
116,2019-07-25,0,16.0,0,26,81,19.0
117,2019-07-26,0,19.0,0,28,83,21.0
118,2019-07-27,0,12.0,0,30,100,12.0
119,2019-07-28,0,16.0,0,28,89,20.0
120,2019-07-29,0,18.0,0,27,88,20.0
121,2019-07-30,0,9.0,0,37,136,10.0
122,2019-07-31,0,11.0,0,31,109,11.0
123,2019-08-01,0,3.0,0,54,192,4.0
124,2019-08-02,0,7.0,0,38,143,7.0
125,2019-08-03,0,10.0,0,33,113,12.0
126,2019-08-04,0,30.0,0,20,64,35.0
127,2019-08-05,0,20.0,0,26,92,20.0
128,2019-08-06,0,13.0,0,29,111,14.0
129,2019-08-07,0,9.0,0,35,127,9.0
130,2019-08-08,0,9.0,0,33,123,10.0
131,2019-08-09,0,16.0,0,28,96,16.0
132,2019-08-10,0,19.0,0,25,80,20.0
133,2019-08-11,0,28.0,0,22,68,38.0
134,2019-08-12,0,12.0,0,29,106,12.0
135,2019-08-13,0,22.0,0,24,81,27.0
136,2019-08-14,0,10.0,0,31,122,10.0
137,2019-08-15,0,7.0,0,33,135,9.0
138,2019-08-16,0,6.0,0,37,152,6.0
139,2019-08-17,0,15.0,0,26,87,15.0
140,2019-08-18,0,10.0,0,28,109,11.0
141,2019-08-19,0,10.0,0,29,115,13.0
142,2019-08-20,0,9.0,0,35,130,9.0
143,2019-08-21,0,7.0,0,36,141,7.0
144,2019-08-22,0,5.0,0,39,162,5.0
145,2019-08-23,0,12.0,0,32,108,14.0
146,2019-08-24,0,14.0,0,33,101,16.0
147,2019-08-25,0,9.0,0,36,113,10.0
148,2019-08-26,0,10.0,0,33,112,12.0
149,2019-08-27,0,10.0,0,35,123,11.0
150,2019-08-28,0,12.0,0,34,111,12.0
151,2019-08-29,0,5.0,0,42,168,5.0
152,2019-08-30,0,10.0,0,38,129,10.0
153,2019-08-31,0,12.0,0,36,106,12.0
154,2019-09-01,0,4.0,0,45,162,4.0
155,2019-09-02,0,12.0,0,35,116,12.0
156,2019-09-03,0,5.0,0,45,169,5.0
157,2019-09-04,0,6.0,0,37,152,7.0
158,2019-09-05,0,5.0,0,39,151,5.0
159,2019-09-06,0,3.0,0,41,172,3.0
160,2019-09-07,0,5.0,0,37,145,6.0
161,2019-09-08,0,6.0,0,34,130,6.0
162,2019-09-09,0,11.0,0,29,102,12.0
163,2019-09-10,0,10.0,0,27,97,14.0
164,2019-09-11,0,6.0,0,33,137,8.0
165,2019-09-12,0,2.0,0,43,202,2.0
166,2019-09-13,0,6.0,0,31,129,6.0
167,2019-09-14,0,7.0,0,34,122,7.0
168,2019-09-15,0,8.0,0,29,117,9.0
169,2019-09-16,0,9.0,0,29,114,10.0
170,2019-09-17,0,12.0,0,24,94,12.0
171,2019-09-18,0,11.0,0,27,107,11.0
172,2019-09-19,0,4.0,0,38,164,4.0
173,2019-09-20,0,11.0,0,26,102,17.0
174,2019-09-21,0,17.0,0,26,85,20.0
175,2019-09-22,0,10.0,0,31,107,10.0
176,2019-09-23,0,9.0,0,33,118,9.0
177,2019-09-24,0,6.0,0,32,147,6.0
178,2019-09-25,0,5.0,0,35,155,6.0
179,2019-09-26,0,5.0,0,36,156,5.0
180,2019-09-27,0,5.0,0,36,150,6.0
181,2019-09-28,0,10.0,0,33,113,12.0
182,2019-09-29,0,17.0,0,28,87,17.0
183,2019-09-30,0,19.0,0,27,94,20.0
184,2019-10-01,0,13.0,0,35,123,17.0
185,2019-10-02,0,18.0,0,28,92,21.0
186,2019-10-03,0,11.0,0,32,111,13.0
187,2019-10-04,0,22.0,0,25,79,28.0
188,2019-10-05,0,12.0,0,34,114,12.0
189,2019-10-06,0,14.0,0,30,91,17.0
190,2019-10-07,0,19.0,0,29,90,20.0
191,2019-10-08,0,14.0,0,31,109,15.0
192,2019-10-09,0,30.0,0,22,73,37.0
193,2019-10-10,0,27.0,0,21,70,28.0
194,2019-10-11,0,76.0,0,15,47,95.0
195,2019-10-12,0,35.0,0,19,59,35.0
196,2019-10-13,0,26.0,0,21,65,28.0
197,2019-10-14,0,20.0,0,23,85,21.0
198,2019-10-15,0,31.0,0,22,69,33.0
199,2019-10-16,0,19.0,0,24,90,19.0
200,2019-10-17,0,28.0,0,20,70,29.0
201,2019-10-18,0,14.0,0,29,102,16.0
202,2019-10-19,0,31.0,0,20,60,37.0
203,2019-10-20,0,41.0,0,18,54,51.0
204,2019-10-21,0,21.0,0,23,82,25.0
205,2019-10-22,0,15.0,0,31,105,16.0
206,2019-10-23,0,25.0,0,21,75,28.0
207,2019-10-24,0,8.0,0,36,133,8.0
208,2019-10-25,0,10.0,0,35,127,12.0
209,2019-10-26,0,15.0,0,29,104,16.0
210,2019-10-27,0,19.0,0,27,90,23.0
211,2019-10-28,0,18.0,0,26,96,23.0
212,2019-10-29,0,22.0,0,24,88,24.0
213,2019-10-30,0,17.0,0,26,98,18.0
214,2019-10-31,0,21.0,0,22,84,24.0
215,2019-11-01,0,11.0,0,34,121,13.0
216,2019-11-02,0,12.0,0,31,111,14.0
217,2019-11-03,0,10.0,0,33,111,10.0
218,2019-11-04,0,16.0,0,30,106,21.0
219,2019-11-05,0,14.0,0,30,120,16.0
220,2019-11-06,0,16.0,0,27,103,17.0
221,2019-11-07,0,10.0,0,33,130,10.0
222,2019-11-08,0,5.0,0,39,172,6.0
223,2019-11-09,0,9.0,0,32,131,11.0
224,2019-11-10,0,11.0,0,31,116,16.0
225,2019-11-11,0,12.0,0,28,120,14.0
226,2019-11-12,0,17.0,0,26,99,20.0
227,2019-11-13,0,12.0,0,29,126,12.0
228,2019-11-14,0,10.0,0,33,129,11.0
229,2019-11-15,0,11.0,0,29,125,16.0
230,2019-11-16,0,7.0,0,32,142,8.0
231,2019-11-17,0,21.0,0,24,85,25.0
232,2019-11-18,0,5.0,0,36,168,6.0
233,2019-11-19,0,13.0,0,30,115,14.0
234,2019-11-20,0,8.0,0,33,139,9.0
235,2019-11-21,0,7.0,0,36,148,9.0
236,2019-11-22,0,8.0,0,36,153,9.0
237,2019-11-23,0,22.0,0,24,91,24.0
238,2019-11-24,0,10.0,0,31,121,14.0
239,2019-11-25,0,15.0,0,28,111,16.0
240,2019-11-26,0,9.0,0,31,135,10.0
241,2019-11-27,0,11.0,0,31,123,16.0
242,2019-11-28,0,9.0,0,33,138,10.0
243,2019-11-29,0,11.0,0,31,116,17.0
244,2019-11-30,0,8.0,0,32,138,11.0
245,2019-12-01,0,5.0,0,35,155,6.0
246,2019-12-02,0,13.0,0,29,120,14.0
247,2019-12-03,0,13.0,0,28,115,13.0
248,2019-12-04,0,8.0,0,30,139,8.0
249,2019-12-05,0,14.0,0,27,113,15.0
250,2019-12-06,0,5.0,0,35,171,5.0
251,2019-12-07,0,5.0,0,33,156,5.0
252,2019-12-08,0,7.0,0,32,134,10.0
253,2019-12-09,0,4.0,0,39,175,4.0
254,2019-12-10,0,22.0,0,21,81,25.0
255,2019-12-11,0,9.0,0,30,132,11.0
256,2019-12-12,0,8.0,0,29,136,14.0
257,2019-12-13,0,14.0,0,25,103,18.0
258,2019-12-14,0,6.0,0,33,142,9.0
259,2019-12-15,0,5.0,0,34,145,5.0
260,2019-12-16,0,7.0,0,32,142,9.0
261,2019-12-17,0,3.0,0,38,183,4.0
262,2019-12-18,0,6.0,0,30,152,8.0
263,2019-12-19,0,7.0,0,32,147,9.0
264,2019-12-20,0,9.0,0,32,128,9.0
265,2019-12-21,0,3.0,0,43,192,3.0
266,2019-12-22,0,13.0,0,30,105,14.0
267,2019-12-23,0,11.0,0,31,114,13.0
268,2019-12-24,0,8.0,0,31,125,9.0
269,2019-12-25,0,7.0,0,33,130,7.0
270,2019-12-26,0,5.0,0,34,156,6.0
271,2019-12-27,0,4.0,0,40,168,4.0
272,2019-12-28,0,4.0,0,38,159,4.0
273,2019-12-29,0,6.0,0,36,140,6.0
274,2019-12-30,0,9.0,0,30,121,10.0
275,2019-12-31,0,15.0,0,26,97,18.0
276,2020-01-01,0,2.0,0,45,201,3.0
277,2020-01-02,0,5.0,0,42,161,5.0
278,2020-01-03,0,11.0,0,29,110,11.0
279,2020-01-04,0,9.0,0,30,120,10.0
280,2020-01-05,0,7.0,0,34,130,7.0
281,2020-01-06,0,13.0,0,26,111,26.0
282,2020-01-07,0,4.0,0,44,193,4.0
283,2020-01-08,0,9.0,0,32,131,13.0
284,2020-01-09,0,13.0,0,29,114,26.0
285,2020-01-10,0,15.0,0,27,101,22.0
286,2020-01-11,0,12.0,0,27,108,14.0
287,2020-01-12,0,9.0,0,31,132,9.0
