,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-04-01,0.0,136.0,0.0,11,32,159.0
1,2019-04-02,0.0,62.0,0.0,16,55,90.0
2,2019-04-03,0.0,38.0,0.0,18,70,48.0
3,2019-04-04,0.0,24.0,0.0,22,90,24.0
4,2019-04-05,0.0,25.0,0.0,21,83,467.0
5,2019-04-06,0.0,18.0,0.0,26,90,18.0
6,2019-04-07,0.0,11.0,0.0,31,124,16.0
7,2019-04-08,0.0,8.0,0.0,38,151,30.0
8,2019-04-09,0.0,12.0,0.0,27,116,17.0
9,2019-04-10,0.0,14.0,0.0,26,107,18.0
10,2019-04-11,0.0,18.0,0.0,25,101,1679.0
11,2019-04-12,0.0,17.0,0.0,21,93,115.0
12,2019-04-13,0.0,6.0,0.0,40,144,27.0
13,2019-04-14,0.0,10.0,0.0,29,111,10.0
14,2019-04-15,0.0,6.0,0.0,41,166,7.0
15,2019-04-16,0.0,18.0,0.0,24,91,31.0
16,2019-04-17,0.0,3.0,0.0,52,215,6.0
17,2019-04-18,0.0,7.0,0.0,40,151,13.0
18,2019-04-19,0.0,4.0,0.0,46,195,6.0
19,2019-04-20,0.0,3.0,0.0,53,206,7.0
20,2019-04-21,0.0,3.0,0.0,51,197,5.0
21,2019-04-22,0.0,3.0,0.0,53,218,8.0
22,2019-04-23,0.0,4.0,0.0,50,191,7.0
23,2019-04-24,0.0,2.0,0.0,58,243,51.0
24,2019-04-25,0.0,2.0,0.0,61,243,2.0
25,2019-04-26,0.0,1.0,0.0,70,295,1.0
26,2019-04-27,0.0,2.0,0.0,55,214,6.0
27,2019-04-28,0.0,1.0,0.0,62,262,1.0
28,2019-04-29,0.0,2.0,0.0,61,237,5.0
29,2019-04-30,0.0,7.0,0.0,37,148,3597.0
30,2019-05-01,0.0,2.0,0.0,57,239,1441.0
31,2019-05-02,0.0,2.0,0.0,57,237,2.0
32,2019-05-05,0.0,1.0,0.0,71,288,2.0
33,2019-05-06,0.0,7.0,0.0,40,155,15.0
34,2019-05-07,0.0,3.0,0.0,50,213,12.0
35,2019-05-08,0.0,14.0,0.0,31,124,39.0
36,2019-05-09,0.0,10.0,0.0,36,138,17.0
37,2019-05-10,0.0,19.0,0.0,26,103,37.0
38,2019-05-11,0.0,36.0,0.0,20,79,55.0
39,2019-05-12,0.0,16.0,0.0,26,107,31.0
40,2019-05-13,0.0,22.0,0.0,25,95,25.0
41,2019-05-14,0.0,2.0,0.0,64,268,5.0
42,2019-05-15,0.0,6.0,0.0,40,179,10.0
43,2019-05-16,0.0,3.0,0.0,47,225,3.0
44,2019-05-17,0.0,1.0,0.0,70,297,1.0
45,2019-05-18,0.0,1.0,0.0,70,284,1.0
46,2019-05-19,0.0,1.0,0.0,66,281,1.0
47,2019-05-20,0.0,7.0,0.0,38,163,22.0
48,2019-05-21,0.0,7.0,0.0,41,176,17.0
49,2019-05-22,0.0,1.0,0.0,71,295,1.0
50,2019-05-23,0.0,1.0,0.0,73,301,1.0
51,2019-05-24,0.0,1.0,0.0,72,294,1.0
52,2019-05-25,0.0,1.0,0.0,70,290,3.0
53,2019-05-26,0.0,2.0,0.0,67,239,6.0
54,2019-05-28,0.0,2.0,0.0,61,254,3.0
55,2019-05-29,0.0,3.0,0.0,50,218,4.0
56,2019-05-30,0.0,2.0,0.0,67,262,2.0
57,2019-05-31,0.0,5.0,0.0,44,183,5.0
58,2019-06-01,0.0,6.0,0.0,36,151,10.0
59,2019-06-04,0.0,2.0,0.0,61,254,3.0
