,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-05-06,0.0,1.0,0.0,88,250,1.0
1,2018-05-29,0.0,3.0,0.0,82,227,3.0
2,2018-06-01,0.0,2.0,0.0,89,246,2.0
3,2018-06-03,0.0,4.0,0.0,68,205,4.0
4,2018-06-04,0.0,1.0,0.0,110,280,1.0
5,2018-06-06,0.0,3.0,0.0,68,215,3.0
6,2018-06-07,0.0,2.0,0.0,88,248,2.0
7,2018-06-08,0.0,1.0,0.0,115,287,1.0
8,2018-06-10,0.0,2.0,0.0,92,252,2.0
9,2018-06-16,0.0,2.0,0.0,84,243,2.0
10,2018-06-18,0.0,3.0,0.0,78,232,4.0
11,2018-06-20,0.0,2.0,0.0,92,267,2.0
12,2018-06-21,0.0,1.0,0.0,108,291,1.0
13,2018-06-25,0.0,1.0,0.0,99,285,1.0
14,2018-07-01,0.0,1.0,0.0,63,221,1.0
15,2018-07-02,0.0,1.0,0.0,54,205,1.0
16,2018-07-07,0.0,2.0,0.08,36,170,5.0
17,2018-07-08,0.0,9.0,0.12,34,139,19.0
18,2018-07-09,0.0,4.0,0.0,54,196,6.0
19,2018-07-10,0.0,4.0,0.0,54,206,5.0
20,2018-07-11,0.0,3.0,0.04,62,214,4.0
21,2018-07-12,0.0,1.0,0.0,82,260,2.0
22,2018-07-13,0.0,2.0,0.04,62,220,3.0
23,2018-07-14,0.0,6.0,0.16,28,121,9.0
24,2018-07-16,0.0,2.0,0.0,79,263,2.0
25,2018-07-17,0.0,3.0,0.0,68,240,3.0
26,2018-07-18,0.0,2.0,0.0,75,253,3.0
27,2018-07-19,0.0,1.0,0.0,104,301,1.0
28,2018-07-20,0.0,3.0,0.0,69,232,3.0
29,2018-07-21,0.0,2.0,0.0,74,236,2.0
30,2018-07-22,0.0,7.0,0.04,54,176,21.0
31,2018-07-23,0.0,5.0,0.0,67,209,10.0
32,2018-07-24,0.0,2.0,0.042247,92,271,11.0
33,2018-07-25,0.0,7.0,0.0011991,67,206,10.0
34,2018-07-26,0.0,2.0,0.0003675,104,287,2.0
35,2018-07-27,0.0,7.0,0.080651,63,199,12.0
36,2018-07-28,0.0,3.0,0.000369075,95,250,3.0
37,2018-07-29,0.0,3.0,0.04,96,257,11.0
38,2018-07-30,0.0,9.0,0.08127155,62,189,17.0
39,2018-07-31,0.0,15.0,0.12105,51,154,24.0
40,2018-08-01,0.0,4.0,0.000945,91,252,7.0
41,2018-08-02,0.0,2.0,0.00033075,110,287,3.0
42,2018-08-03,0.0,1.0,0.0,115,306,1.0
43,2018-08-05,0.0,7.0,0.08038325,54,175,10.0
44,2018-08-06,0.0,6.0,0.120483,61,198,13.0
45,2018-08-07,0.0,4.0,0.0426775,66,216,7.0
46,2018-08-08,0.0,2.0,0.00651,65,211,2.0
47,2018-08-09,0.0,4.0,0.00252,52,181,5.0
48,2018-08-10,0.0,4.0,0.08,62,205,8.0
49,2018-08-11,0.0,2.0,0.04,84,252,3.0
50,2018-08-12,0.0,2.0,0.00105,82,239,3.0
51,2018-08-16,0.0,6.0,0.04252,56,179,14.0
52,2018-08-17,0.0,3.0,0.00042,80,242,3.0
53,2018-08-18,0.0,2.0,0.001575,102,281,4.0
54,2018-08-19,0.0,3.0,0.000735,73,227,4.0
55,2018-08-20,0.0,2.0,0.040315,93,275,3.0
56,2018-08-21,0.0,2.0,0.0,92,273,2.0
57,2018-08-22,0.0,1.0,0.0,113,313,1.0
58,2018-08-24,0.0,1.0,0.0,108,301,2.0
59,2018-08-25,0.0,3.0,0.0,78,233,3.0
60,2018-08-26,0.0,1.0,0.0,106,294,1.0
61,2018-08-27,0.0,2.0,0.00084,87,262,2.0
62,2018-08-28,0.0,2.0,0.00084,84,271,2.0
