,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-08-20,0.0,2.0,0.0665079202118,93,275,9.0
1,2018-08-21,0.0,62.0,101.211722611002,15,39,251.0
2,2018-08-22,0.0,16.0,6.2172007635823,35,114,35.0
3,2018-08-23,0.0,6.0,1.44804908962442,52,181,15.0
4,2018-08-24,0.0,12.0,5.08924373937487,45,135,28.0
5,2018-08-25,0.0,10.0,5.359905406234,42,135,38.0
6,2018-08-26,0.0,12.0,5.54019360707574,38,118,39.0
7,2018-08-27,0.0,14.0,2.61414177974747,42,128,38.0
8,2018-08-28,0.0,19.0,17.139035941858,37,120,50.0
9,2018-08-29,0.0,9.0,2.02359017169366,53,159,16.0
10,2018-08-30,0.0,14.0,10.1185417079287,44,123,28.0
11,2018-08-31,0.0,42.0,57.5327940202006,23,61,158.0
12,2018-09-01,0.0,27.0,54.4398572132367,30,88,93.0
13,2018-09-02,0.0,19.0,5.43485153735147,36,104,33.0
14,2018-09-03,0.0,23.0,49.6876209385223,39,105,84.0
15,2018-09-04,0.0,16.0,8.21136166903307,46,132,43.0
16,2018-09-05,0.0,13.0,6.67503808704485,50,147,31.0
17,2018-09-06,0.0,10.0,1.63648374364945,57,163,16.0
18,2018-09-07,0.0,10.0,2.9513843830278,60,157,48.0
19,2018-09-08,0.0,6.0,1.09597205786483,63,180,11.0
20,2018-09-09,0.0,4.0,0.274807748457309,68,202,6.0
21,2018-09-10,0.0,6.0,1.29532461676293,68,191,11.0
22,2018-09-11,0.0,5.0,1.10109052232658,70,206,6.0
23,2018-09-12,0.0,8.0,0.763309591067292,67,177,9.0
24,2018-09-13,0.0,12.0,1.81280906091133,52,144,28.0
25,2018-09-14,0.0,8.0,1.58763780593565,64,172,11.0
26,2018-09-15,0.0,9.0,5.2309565198741,57,156,25.0
27,2018-09-16,0.0,7.0,6.79049590374154,67,173,17.0
28,2018-09-17,0.0,7.0,8.18077824555824,69,186,22.0
29,2018-09-18,0.0,6.0,0.420237973518572,67,191,8.0
30,2018-09-19,0.0,2.0,0.483805667783499,93,259,3.0
31,2018-09-20,0.0,6.0,0.797885662713451,65,184,6.0
32,2018-09-21,0.0,4.0,0.353029755262415,84,232,4.0
33,2018-09-22,0.0,5.0,33.1154476769698,79,199,16.0
34,2018-09-23,0.0,5.0,0.54652407072522,74,200,7.0
35,2018-09-24,0.0,6.0,0.468614772880291,69,184,7.0
36,2018-09-25,0.0,5.0,0.512564190771692,78,215,7.0
37,2018-09-26,0.0,1.0,0.0387137335960158,131,315,1.0
38,2018-09-27,0.0,3.0,2.25096588738762,95,253,8.0
39,2018-09-28,0.0,6.0,1.43075609171381,68,189,12.0
40,2018-09-29,0.0,2.0,0.257579681498048,105,273,4.0
41,2018-09-30,0.0,4.0,0.321417914289461,90,227,5.0
42,2018-10-01,0.0,3.0,0.148245793766534,96,251,3.0
43,2018-10-03,0.0,2.0,0.620454606896533,112,293,4.0
44,2018-10-04,0.0,2.0,0.568375204357553,120,300,5.0
45,2018-10-05,0.0,1.0,0.219118682207799,143,351,2.0
46,2018-10-06,0.0,4.0,0.739060927967772,91,228,6.0
47,2018-10-07,0.0,4.0,1.27894470354851,99,235,6.0
48,2018-10-08,0.0,2.0,0.0777533070007627,138,315,2.0
49,2018-10-09,0.0,4.0,0.290358302687616,107,266,5.0
50,2018-10-10,0.0,4.0,0.258450081250403,109,262,13.0
51,2018-10-12,0.0,3.0,0.290542499769512,116,277,4.0
52,2018-10-13,0.0,1.0,0.0389016690990605,153,352,1.0
53,2018-10-14,0.0,12.0,1.43439582861837,68,149,22.0
54,2018-10-15,0.0,5.0,1.08222487189757,96,245,18.0
55,2018-10-16,0.0,1.0,0.312097884784042,160,373,2.0
56,2018-10-17,0.0,3.0,0.542334649105175,132,316,4.0
57,2018-10-18,0.0,4.0,0.610899162852983,107,272,5.0
58,2018-10-19,0.0,7.0,1.47043299360986,87,208,11.0
59,2018-10-20,0.0,3.0,0.734766700945348,107,280,5.0
60,2018-10-21,0.0,6.0,0.416387657295594,84,210,7.0
61,2018-10-22,0.0,5.0,0.227861369914213,90,243,6.0
62,2018-10-23,0.0,7.0,0.840880509077005,77,214,8.0
63,2018-10-24,0.0,6.0,1.03697546121296,69,212,11.0
64,2018-10-25,0.0,8.0,3.42669554580181,62,201,18.0
65,2018-10-26,0.0,6.0,0.89687404069898,71,224,11.0
66,2018-10-27,0.0,3.0,0.343730243907817,84,260,4.0
67,2018-10-28,0.0,7.0,0.0500577169856125,70,201,7.0
68,2018-10-29,0.0,1.0,0.139400227469342,127,369,2.0
69,2018-10-30,0.0,3.0,22.8171825715441,94,279,9.0
70,2018-10-31,0.0,4.0,0.956272294521369,79,247,6.0
71,2018-11-01,0.0,5.0,2.56407446291334,77,234,13.0
72,2018-11-02,0.0,6.0,1.2546510297623,60,207,7.0
73,2018-11-03,0.0,1.0,0.349609166615951,117,331,1.0
74,2018-11-04,0.0,1.0,0.0874342824123049,116,326,1.0
75,2018-11-05,0.0,2.0,0.244269026033825,95,285,3.0
76,2018-11-06,0.0,4.0,0.262418067719825,78,240,4.0
77,2018-11-07,0.0,7.0,2.72630738861995,61,207,12.0
78,2018-11-08,0.0,2.0,0.553969520221486,96,301,4.0
79,2018-11-09,0.0,1.0,0.552979491497343,107,337,2.0
80,2018-11-10,0.0,4.0,0.621184392441023,71,217,6.0
81,2018-11-11,0.0,1.0,0.0,103,325,1.0
82,2018-11-12,0.0,1.0,0.298190417293731,110,336,1.0
83,2018-11-13,0.0,2.0,0.70039442156368,91,298,3.0
84,2018-11-14,0.0,2.0,0.458215325659106,81,283,2.0
85,2018-11-16,0.0,4.0,0.381001757773036,62,224,5.0
86,2018-11-17,0.0,3.0,0.792017865306948,61,225,3.0
87,2018-11-18,0.0,2.0,0.473150515644639,73,259,4.0
88,2018-11-19,0.0,2.0,2.1197642533299,79,288,6.0
89,2018-11-20,0.0,3.0,1.80292200433069,69,242,4.0
90,2018-11-21,0.0,5.0,3.45371898257888,59,209,13.0
91,2018-11-22,0.0,3.0,1.34549522181412,71,244,34.0
92,2018-11-23,0.0,6.0,13.6438736238452,52,181,24.0
93,2018-11-24,0.0,4.0,14.287122122609,61,208,17.0
94,2018-11-25,0.0,1.0,0.0,89,304,1.0
95,2018-11-26,0.0,4.0,3.65310356662916,65,216,14.0
96,2018-11-27,0.0,5.0,3.90469296006937,59,199,10.0
97,2018-11-28,0.0,1.0,0.930001772530588,101,335,3.0
98,2018-11-30,0.0,1.0,2.95,91,316,1.0
99,2018-12-02,0.0,3.0,5.2998721902598,69,205,7.0
100,2018-12-03,0.0,2.0,0.0,87,276,2.0
101,2018-12-04,0.0,1.0,0.0,100,322,1.0
102,2018-12-05,0.0,3.0,0.490733658427473,72,234,6.0
103,2018-12-06,0.0,2.0,0.0,83,277,2.0
104,2018-12-07,0.0,3.0,1.75090608144158,67,237,8.0
105,2018-12-10,0.0,2.0,1.82015626063734,77,275,5.0
106,2018-12-11,0.0,2.0,0.784121229563342,81,279,5.0
107,2018-12-12,0.0,1.0,0.411109596230447,100,340,4.0
108,2018-12-13,0.0,1.0,0.0777712987390941,90,328,1.0
109,2018-12-14,0.0,1.0,0.278378694443781,96,337,3.0
110,2018-12-15,0.0,1.0,0.191425504479626,95,317,2.0
111,2018-12-16,0.0,1.0,0.351069495577798,95,328,1.0
112,2018-12-17,0.0,3.0,0.68,67,252,4.0
113,2018-12-18,0.0,3.0,6.48573589740955,72,246,11.0
114,2018-12-19,0.0,6.0,19.2862476406583,55,188,25.0
115,2018-12-20,0.0,5.0,12.3980505526951,56,204,11.0
116,2018-12-21,0.0,6.0,3.73387813020742,50,174,10.0
117,2018-12-22,0.0,5.0,4.18513337984758,54,172,8.0
