,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-05-04,0.0,59.0,163.685,15,55,1541.0
1,2019-05-05,0.0,82.0,116.105,12,39,1227.0
2,2019-05-06,0.0,63.0,70.37,16,54,707.0
3,2019-05-07,0.0,46.0,18.3,15,59,323.0
4,2019-05-08,0.0,52.0,11.08,17,59,253.0
5,2019-05-09,0.0,48.0,105.895,17,56,850.0
6,2019-05-10,0.0,52.0,76.7,16,56,687.0
7,2019-05-11,0.0,56.0,6.755,16,62,261.0
8,2019-05-12,0.0,61.0,3.58,16,54,223.0
9,2019-05-13,0.0,47.0,5.555,18,59,191.0
10,2019-05-14,0.0,39.0,26.235,18,65,252.0
11,2019-05-15,0.0,37.0,1.195,16,69,113.0
12,2019-05-16,0.0,32.0,0.655,20,76,97.0
13,2019-05-17,0.0,37.0,1.1,16,65,117.0
14,2019-05-18,0.0,41.0,0.74,19,68,133.0
15,2019-05-19,0.0,39.0,0.36,18,70,115.0
16,2019-05-20,0.0,35.0,0.72,18,68,121.0
17,2019-05-21,576.57,35.0,0.18,19,69,87.0
18,2019-05-22,574.61,30.0,0.04,18,72,77.0
19,2019-05-23,574.72,33.0,0.115,20,68,82.0
20,2019-05-24,573.06,37.0,0.36,21,70,123.0
21,2019-05-25,573.25,39.0,0.2,21,64,88.0
22,2019-05-26,584.76,33.0,0.2,19,67,77.0
23,2019-05-27,582.77,34.0,0.02,20,72,88.0
24,2019-05-28,583.07,30.0,0.0,19,75,109.0
25,2019-05-29,573.59,28.0,0.36,21,76,94.0
26,2019-05-30,573.97,32.0,0.0,20,69,77.0
27,2019-05-31,574.12,28.0,0.0,23,76,88.0
28,2019-06-01,548.25,38.0,0.0,17,60,100.0
29,2019-06-02,542.26,35.0,0.0,20,70,128.0
30,2019-06-03,532.27,29.0,0.0,20,77,58.0
31,2019-06-04,532.28,36.0,0.0,16,65,75.0
32,2019-06-05,532.33,34.0,0.0,20,66,95.0
33,2019-06-06,532.34,40.0,0.0,17,60,75.0
34,2019-06-07,522.39,32.0,0.0,19,74,84.0
35,2019-06-08,512.4,26.0,0.0,20,75,73.0
36,2019-06-09,512.25,44.0,0.0,15,55,112.0
37,2019-06-10,512.26,30.0,0.0,20,71,55.0
38,2019-06-11,498.27,40.0,0.0,19,67,133.0
39,2019-06-12,498.3,42.0,0.0,19,65,150.0
40,2019-06-13,498.45,37.0,0.0,20,70,94.0
41,2019-06-14,498.45,44.0,0.0,16,60,91.0
42,2019-06-15,498.46,38.0,0.0,19,63,113.0
43,2019-06-16,498.52,51.0,0.0,17,61,86.0
44,2019-06-17,498.53,24.0,0.0,22,85,49.0
