,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-07-06,0,3.0,0,52,203,18.0
1,2019-07-07,0,10.0,0,34,126,54.0
2,2019-07-08,0,6.0,0,40,166,21.0
3,2019-07-09,0,6.0,0,40,172,17.0
4,2019-07-10,0,3.0,0,52,223,3.0
5,2019-07-11,0,5.0,0,37,167,21.0
6,2019-07-12,0,4.0,0,49,200,35.0
7,2019-07-13,0,3.0,0,50,197,4.0
8,2019-07-14,0,4.0,0,40,169,9.0
9,2019-07-15,0,2.0,0,54,233,6.0
10,2019-07-16,0,2.0,0,50,209,3.0
11,2019-07-17,0,4.0,0,46,191,10.0
12,2019-07-20,0,2.0,0,51,215,6.0
13,2019-07-21,0,2.0,0,54,211,2.0
14,2019-07-22,0,1.0,0,66,268,1.0
15,2019-07-23,0,2.0,0,55,229,4.0
16,2019-07-24,0,4.0,0,40,171,6.0
17,2019-07-26,0,4.0,0,46,175,10.0
18,2019-07-27,0,4.0,0,44,164,6.0
19,2019-07-28,0,5.0,0,39,150,11.0
20,2019-07-29,0,3.0,0,51,201,9.0
21,2019-07-30,0,3.0,0,50,202,5.0
22,2019-07-31,0,1.0,0,65,280,1.0
23,2019-08-01,0,3.0,0,54,192,10.0
24,2019-08-02,0,2.0,0,53,223,5.0
25,2019-08-03,0,3.0,0,47,178,6.0
26,2019-08-04,0,3.0,0,47,191,10.0
27,2019-08-05,0,3.0,0,47,204,4.0
28,2019-08-06,0,2.0,0,56,223,3.0
29,2019-08-07,0,14.0,0,29,103,52.0
30,2019-08-08,0,4.0,0,42,175,5.0
31,2019-08-09,0,3.0,0,50,192,7.0
32,2019-08-10,0,3.0,0,50,179,14.0
33,2019-08-11,0,1.0,0,68,257,1.0
34,2019-08-12,0,1.0,0,71,279,1.0
35,2019-08-13,0,9.0,0,34,123,14.0
36,2019-08-14,0,6.0,0,37,150,17.0
37,2019-08-15,0,3.0,0,46,194,3.0
38,2019-08-16,0,3.0,0,48,187,4.0
39,2019-08-17,0,4.0,0,42,167,13.0
40,2019-08-18,0,3.0,0,49,177,4.0
41,2019-08-19,0,2.0,0,53,219,2.0
42,2019-08-20,0,1.0,0,59,253,1.0
43,2019-08-21,0,3.0,0,45,198,3.0
44,2019-08-22,0,1.0,0,64,258,8.0
45,2019-08-23,0,2.0,0,48,219,2.0
46,2019-08-25,0,3.0,0,46,172,4.0
47,2019-08-26,0,2.0,0,47,202,4.0
48,2019-08-27,0,3.0,0,44,182,5.0
49,2019-08-28,0,2.0,0,52,224,2.0
50,2019-08-29,0,2.0,0,55,237,4.0
