,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-15,0,1.0,0.0,84,309,2.0
1,2019-01-21,0,1.0,0.0,89,318,1.0
2,2019-01-24,0,2.0,0.0,70,262,2.0
3,2019-01-26,0,1.0,0.0,82,285,1.0
4,2019-02-12,0,1.0,0.0,79,285,2.0
5,2019-02-25,0,2.0,0.0,63,246,3.0
6,2019-02-27,0,1.0,0.0,74,290,2.0
7,2019-02-28,0,1.0,0.0,78,286,1.0
8,2019-03-04,0,2.0,0.0,60,236,2.0
9,2019-03-05,0,3.0,0.0,51,203,3.0
10,2019-03-06,0,2.0,0.0,65,246,4.0
11,2019-03-11,0,1.0,0.0,76,300,3.0
12,2019-03-13,0,2.0,0.0,65,254,2.0
13,2019-03-18,0,1.0,0.0,76,293,1.0
14,2019-03-19,0,2.0,0.0,63,242,6.0
15,2019-03-20,0,3.0,0.0,53,206,3.0
16,2019-03-21,0,0.0,0.0,NULL,NULL,0.0
17,2019-03-22,0,1.0,0.0,78,303,1.0
18,2019-03-23,0,7.0,0.0,40,131,21.0
19,2019-03-24,0,4.0,0.0,45,173,20.0
20,2019-03-25,0,4.0,0.0,47,180,6.0
21,2019-03-26,0,1.0,0.0,75,296,1.0
22,2019-03-27,0,3.0,0.0,51,210,6.0
23,2019-03-28,0,8.0,0.0,40,133,21.0
24,2019-03-29,0,9.0,0.0,33,128,21.0
25,2019-03-30,0,5.0,0.0,43,157,48.0
26,2019-03-31,0,21.0,10.8,24,80,58.0
27,2019-04-01,0,32.0,25.25,19,71,144.0
28,2019-04-02,0,29.0,24.4,20,81,152.0
29,2019-04-03,0,11.0,0.2,33,135,13.0
30,2019-04-04,0,53.0,68.82,14,53,434.0
31,2019-04-05,0,25.0,7.4,21,83,142.0
32,2019-04-06,0,21.0,12.025,25,84,74.0
33,2019-04-07,0,28.0,22.615,21,71,134.0
34,2019-04-08,0,10.0,5.76,33,136,33.0
35,2019-04-09,0,10.0,1.62,33,131,12.0
36,2019-04-10,0,11.0,2.16,31,125,18.0
37,2019-04-11,0,12.0,1.44,28,126,17.0
38,2019-04-12,0,9.0,1.26,31,136,29.0
39,2019-04-13,0,8.0,3.06,30,120,20.0
40,2019-04-14,0,11.0,1.98,27,105,16.0
41,2019-04-15,0,11.0,5.4,29,121,32.0
42,2019-04-16,0,9.0,3.06,33,131,20.0
43,2019-04-17,0,13.0,6.12,28,112,37.0
44,2019-04-18,0,11.0,1.08,29,113,19.0
45,2019-04-19,0,38.0,25.2,16,60,149.0
46,2019-04-20,0,20.0,6.3,22,86,43.0
47,2019-04-21,0,16.0,5.04,24,91,30.0
48,2019-04-22,0,32.0,41.03,16,68,249.0
49,2019-04-23,0,20.0,5.6,23,91,80.0
50,2019-04-24,0,26.0,9.1,19,73,71.0
51,2019-04-25,0,13.0,3.5,27,115,34.0
52,2019-04-26,0,12.0,2.275,24,106,20.0
53,2019-04-27,0,16.0,4.375,24,91,36.0
54,2019-04-28,0,19.0,5.95,23,85,47.0
55,2019-04-29,0,11.0,5.6,29,119,38.0
56,2019-04-30,0,39.0,66.825,17,64,396.0
