,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-16,0.0,3.0,2.09991145833333,61,213,5.0
1,2019-01-17,0.0,20.0,14.1903155591975,32,93,31.0
2,2019-01-18,0.0,4.0,1.55933343253968,49,183,5.0
3,2019-01-19,0.0,3.0,3.08,55,206,7.0
4,2019-01-21,0.0,6.0,2.40150252718287,48,160,10.0
5,2019-01-22,0.0,1.0,0.500358796296296,82,312,1.0
6,2019-01-24,0.0,1.0,0.0,93,323,1.0
7,2019-01-25,0.0,1.0,0.5,87,303,1.0
8,2019-01-26,0.0,2.0,0.702196641991384,64,236,2.0
9,2019-01-28,0.0,2.0,1.5,68,255,3.0
10,2019-01-29,0.0,2.0,1.05,67,260,3.0
11,2019-01-31,0.0,7.0,2.0000037,40,129,15.0
12,2019-02-01,0.0,3.0,1.5,60,215,5.0
13,2019-02-02,0.0,3.0,0.5,59,188,3.0
14,2019-02-03,0.0,6.0,0.6,43,135,25.0
15,2019-02-04,0.0,51.0,24.0120831018519,14,33,55.0
16,2019-02-05,0.0,93.0,44.5841711805556,11,28,102.0
17,2019-02-06,0.0,8.0,0.256478738425926,39,128,12.0
18,2019-02-07,0.0,2.0,0.003,62,227,4.0
19,2019-02-08,0.0,2.0,0.2,69,239,2.0
20,2019-02-09,0.0,2.0,1.553,67,225,10.0
21,2019-02-10,0.0,3.0,0.37556712962963,51,190,6.0
22,2019-02-11,0.0,1.0,0.0,76,289,1.0
23,2019-02-12,0.0,1.0,0.0,79,285,2.0
24,2019-02-13,0.0,2.0,0.018,62,240,2.0
25,2019-02-14,0.0,2.0,0.04,63,236,3.0
26,2019-02-15,0.0,4.0,0.04,47,181,5.0
27,2019-02-16,0.0,2.0,0.0491251041666667,58,219,2.0
28,2019-02-19,0.0,1.0,0.0,75,297,1.0
29,2019-02-20,0.0,1.0,0.0,74,293,1.0
30,2019-02-21,0.0,1.0,0.0,74,272,1.0
31,2019-02-22,0.0,2.0,0.0,61,231,2.0
32,2019-02-23,0.0,1.0,0.0,73,283,1.0
33,2019-02-25,0.0,50.0,25.0,12,37,50.0
34,2019-02-26,0.0,50.0,25.0,13,45,50.0
35,2019-02-27,0.0,1.0,0.5,74,290,1.0
36,2019-02-28,0.0,2.0,0.418,63,229,2.0
37,2019-03-02,0.0,1.0,0.022,73,269,2.0
38,2019-03-03,0.0,1.0,0.03,70,282,1.0
39,2019-03-04,0.0,1.0,0.0,73,294,1.0
40,2019-03-05,0.0,1.0,0.0,79,295,3.0
41,2019-03-06,0.0,2.0,0.040254435483871,65,246,3.0
42,2019-03-07,0.0,2.0,0.028,65,238,2.0
43,2019-03-09,0.0,3.0,0.1,53,201,3.0
44,2019-03-11,0.0,1.0,0.0,76,300,1.0
45,2019-03-17,0.0,1.0,0.0,71,280,1.0
46,2019-03-18,0.0,1.0,0.0,76,293,2.0
47,2019-03-20,0.0,1.0,0.01,76,295,1.0
48,2019-03-24,0.0,1.0,0.0,77,272,2.0
49,2019-03-27,0.0,2.0,0.149458434139785,61,249,3.0
50,2019-03-28,0.0,1.0,0.02,69,289,1.0
51,2019-03-29,0.0,1.0,0.0,71,300,1.0
52,2019-03-30,0.0,1.0,0.0971668981481481,84,286,1.0
53,2019-04-03,0.0,1.0,0.02,75,336,1.0
54,2019-04-04,0.0,1.0,0.0001,83,333,1.0
55,2019-04-06,0.0,1.0,0.0,69,283,1.0
56,2019-04-07,0.0,1.0,0.0,70,298,1.0
57,2019-04-08,0.0,1.0,0.0,79,322,1.0
58,2019-04-09,0.0,2.0,0.11,64,268,4.0
59,2019-04-14,0.0,1.0,0.0005,70,298,5.0
60,2019-04-17,0.0,3.0,0.000399807870370371,52,215,4.0
61,2019-04-21,0.0,1.0,0.02,67,282,2.0
62,2019-04-26,0.0,1.0,0.019,70,295,2.0
63,2019-05-12,0.0,1.0,0.04,71,297,4.0
64,2019-05-22,5.38,0.0,0.0,NULL,NULL,0.0
65,2019-05-23,5.38,0.0,0.0,NULL,NULL,0.0
66,2019-05-24,5.38,0.0,0.0,NULL,NULL,0.0
67,2019-05-25,5.38,0.0,0.0,NULL,NULL,0.0
68,2019-05-26,5.38,0.0,0.0,NULL,NULL,0.0
69,2019-05-27,5.38,0.0,0.0,NULL,NULL,0.0
70,2019-05-28,5.38,0.0,0.0,NULL,NULL,0.0
71,2019-05-29,5.38,0.0,0.0,NULL,NULL,0.0
72,2019-05-30,5.38,0.0,0.0,NULL,NULL,0.0
73,2019-05-31,5.38,1.0,0.0,72,302,5.0
74,2019-06-01,5.38,0.0,0.0,NULL,NULL,0.0
75,2019-06-02,5.38,0.0,0.0,NULL,NULL,0.0
76,2019-06-03,5.38,0.0,0.0,NULL,NULL,0.0
77,2019-06-04,5.38,0.0,0.0,NULL,NULL,0.0
78,2019-06-05,5.38,0.0,0.0,NULL,NULL,0.0
79,2019-06-06,5.38,0.0,0.0,NULL,NULL,0.0
80,2019-06-07,5.38,1.0,0.0,72,300,5.0
81,2019-06-08,5.38,0.0,0.0,NULL,NULL,0.0
82,2019-06-09,5.38,0.0,0.0,NULL,NULL,0.0
83,2019-06-10,5.38,0.0,0.0,NULL,NULL,0.0
84,2019-06-11,5.38,0.0,0.0,NULL,NULL,0.0
85,2019-06-12,5.38,0.0,0.0,NULL,NULL,0.0
86,2019-06-13,5.38,0.0,0.0,NULL,NULL,0.0
87,2019-06-14,5.38,1.0,0.0,67,295,5.0
88,2019-06-15,5.38,0.0,0.0,NULL,NULL,0.0
89,2019-06-16,5.38,0.0,0.0,NULL,NULL,0.0
90,2019-06-17,5.38,0.0,0.0,NULL,NULL,0.0
91,2019-06-18,5.38,0.0,0.0,NULL,NULL,0.0
92,2019-06-19,5.38,1.0,0.01,68,309,1.0
93,2019-06-20,5.38,0.0,0.0,NULL,NULL,0.0
94,2019-06-21,5.38,1.0,0.0,70,303,5.0
95,2019-06-22,5.38,0.0,0.0,NULL,NULL,0.0
96,2019-06-23,5.38,0.0,0.0,NULL,NULL,0.0
97,2019-06-24,5.38,0.0,0.0,NULL,NULL,0.0
98,2019-06-25,5.38,0.0,0.0,NULL,NULL,0.0
99,2019-06-26,5.38,0.0,0.0,NULL,NULL,0.0
100,2019-06-27,5.38,0.0,0.0,NULL,NULL,0.0
101,2019-06-28,5.38,1.0,0.0,65,286,5.0
102,2019-06-29,5.38,0.0,0.0,NULL,NULL,0.0
103,2019-06-30,5.38,0.0,0.0,NULL,NULL,0.0
104,2019-07-01,5.38,0.0,0.0,NULL,NULL,0.0
105,2019-07-02,5.38,0.0,0.0,NULL,NULL,0.0
106,2019-07-03,5.38,0.0,0.0,NULL,NULL,0.0
107,2019-07-04,5.38,0.0,0.0,NULL,NULL,0.0
108,2019-07-05,5.38,0.0,0.0,NULL,NULL,0.0
109,2019-07-06,5.38,0.0,0.0,NULL,NULL,0.0
110,2019-07-07,5.38,0.0,0.0,NULL,NULL,0.0
111,2019-07-08,5.38,1.0,0.00638455719832736,72,307,1.0
112,2019-07-09,5.38,1.0,0.01,74,301,1.0
113,2019-07-10,5.38,0.0,0.0,NULL,NULL,0.0
114,2019-07-11,5.38,0.0,0.0,NULL,NULL,0.0
115,2019-07-12,5.38,0.0,0.0,NULL,NULL,0.0
116,2019-07-13,5.38,0.0,0.0,NULL,NULL,0.0
117,2019-07-14,5.38,0.0,0.0,NULL,NULL,0.0
118,2019-07-15,5.38,0.0,0.0,NULL,NULL,0.0
119,2019-07-16,5.38,0.0,0.0,NULL,NULL,0.0
120,2019-07-17,5.39,1.0,0.04,68,283,2.0
121,2019-07-18,5.39,0.0,0.0,NULL,NULL,0.0
122,2019-07-19,5.39,1.0,0.0,68,265,1.0
123,2019-07-20,5.39,0.0,0.0,NULL,NULL,0.0
124,2019-07-21,5.39,0.0,0.0,NULL,NULL,0.0
125,2019-07-22,5.39,1.0,0.08,66,268,3.0
126,2019-07-23,5.39,0.0,0.0,NULL,NULL,0.0
127,2019-07-24,5.39,0.0,0.0,NULL,NULL,0.0
128,2019-07-25,5.39,0.0,0.0,NULL,NULL,0.0
129,2019-07-26,5.39,0.0,0.0,NULL,NULL,0.0
130,2019-07-27,5.39,0.0,0.0,NULL,NULL,0.0
131,2019-07-28,5.39,0.0,0.0,NULL,NULL,0.0
