,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-08-16,0.0,1.0,0.0,65,266,34.0
1,2019-08-17,0.0,5.0,0.0,38,154,269.0
2,2019-08-18,0.0,2.0,51.9506493835601,55,207,7.0
3,2019-08-19,0.0,19.0,8.354252721,24,85,310.0
4,2019-08-20,0.0,136.0,19.072132575,12,33,8287.0
5,2019-08-21,0.0,123.0,12.01130118,12,35,5594.0
6,2019-08-22,0.0,109.0,13.23741225,13,37,3993.0
7,2019-08-23,0.0,100.0,5.67647921,13,38,3530.0
8,2019-08-24,0.0,95.0,5.631597765,14,40,3518.0
9,2019-08-25,0.0,79.0,5.47664617,15,40,2038.0
10,2019-08-26,0.0,57.0,3.34459798,17,50,1199.0
11,2019-08-27,0.0,65.0,4.41270808,17,49,2507.0
12,2019-08-28,0.0,77.0,2.51603138,16,48,1886.0
13,2019-08-29,0.0,50.0,2.61934438800029,20,53,1796.0
14,2019-08-30,0.0,36.0,2.22267990800057,23,61,1805.0
15,2019-08-31,0.0,27.0,1.231472556,24,66,1332.0
16,2019-09-01,0.0,21.0,0.852229026,28,81,1590.0
17,2019-09-02,0.0,23.0,0.481065664,26,77,792.0
18,2019-09-03,0.0,13.0,0.429770208,32,110,384.0
19,2019-09-04,0.0,15.0,0.192686082,31,95,737.0
20,2019-09-05,0.0,7.0,0.094574812,34,136,376.0
21,2019-09-06,0.0,8.0,0.186369636,34,135,119.0
22,2019-09-07,0.0,12.0,1.244259962,31,97,188.0
23,2019-09-08,0.0,6.0,0.079213858,34,130,17.0
24,2019-09-09,0.0,10.0,0.220620584,31,109,71.0
25,2019-09-10,0.0,12.0,0.283562504,24,84,72.0
26,2019-09-11,0.0,8.0,0.314173142,29,112,75.0
27,2019-09-12,0.0,8.0,0.194399308,31,121,37.0
28,2019-09-13,0.0,6.0,0.12231771,31,129,29.0
29,2019-09-14,0.0,6.0,0.07131909,35,126,20.0
30,2019-09-15,0.0,6.0,0.06654514,32,127,16.0
31,2019-09-16,0.0,6.0,0.05294192,33,141,14.0
32,2019-09-17,0.0,8.0,0.08647096,28,117,12.0
33,2019-09-18,0.0,7.0,0.03297901,33,133,20.0
