,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-11-01,0.0,1.0,0.0,65,289,1.0
1,2019-11-02,0.0,1.0,0.0,63,271,1.0
2,2019-11-11,0.0,1.0,0.0,69,276,2.0
3,2019-11-13,0.0,1.0,0.0,65,274,1.0
4,2019-11-14,0.0,1.0,0.0,62,280,1.0
5,2019-11-15,0.0,3.0,0.0,43,198,3.0
6,2019-11-23,0.0,1.0,0.0,57,256,1.0
7,2019-11-25,0.0,1.0,0.0,60,267,1.0
8,2019-11-26,0.0,2.0,0.272,48,209,118.0
9,2019-11-27,0.0,1.0,0.0,64,269,1.0
10,2019-11-28,0.0,4.0,0.0,39,172,24.0
11,2019-11-29,0.0,4.0,0.0,40,174,4.0
12,2019-11-30,0.0,25.0,13.38059,23,83,385.0
13,2019-12-01,0.0,15.0,1.18268,28,102,71.0
14,2019-12-02,12.74,5.0,3.73895,40,172,100.0
15,2019-12-03,13.24,5.0,0.6307,34,161,15.0
16,2019-12-04,13.24,1.0,0.0,61,263,1.0
17,2019-12-05,17.98,32.0,6.5145,18,67,213.0
18,2019-12-06,17.98,5.0,0.0,35,171,20.0
19,2019-12-07,18.11,5.0,0.17994,33,156,10.0
20,2019-12-08,18.11,2.0,0.0,46,215,4.0
21,2019-12-09,18.2,5.0,0.11446,35,161,30.0
22,2019-12-10,18.2,2.0,0.0,48,228,3.0
23,2019-12-11,18.2,2.0,0.0,50,230,5.0
24,2019-12-12,18.61,2.0,0.54807,46,234,11.0
25,2019-12-13,18.7,1.0,0.12304,59,269,2.0
26,2019-12-14,18.7,0.0,0.0,NULL,NULL,0.0
27,2019-12-15,18.98,3.0,0.32989,39,182,9.0
28,2019-12-16,18.98,5.0,0.0,36,162,39.0
29,2019-12-17,20.28,2.0,1.7565,44,218,27.0
30,2019-12-18,20.28,4.0,0.0,40,179,51.0
31,2019-12-19,20.33,1.0,0.06185,63,274,2.0
32,2019-12-20,20.33,1.0,0.0,54,259,2.0
33,2019-12-21,20.33,2.0,0.0,49,219,7.0
34,2019-12-22,20.33,1.0,0.0,56,255,14.0
35,2019-12-23,20.33,0.0,0.0,NULL,NULL,0.0
36,2019-12-24,20.33,3.0,0.0,43,193,4.0
37,2019-12-25,22.19,2.0,2.4443,44,208,9.0
38,2019-12-26,22.58,5.0,0.45821,34,156,27.0
39,2019-12-27,22.68,5.0,0.13228,34,150,12.0
40,2019-12-28,23.3,5.0,0.73549,35,146,15.0
41,2019-12-29,23.3,7.0,0.0,33,132,28.0
42,2019-12-30,0.05,6.0,0.06614,36,142,13.0
43,2019-12-31,0.05,2.0,0.0,48,214,2.0
44,2020-01-01,0.05,0.0,0.0,NULL,NULL,0.0
45,2020-01-02,0.05,0.0,0.0,NULL,NULL,0.0
46,2020-01-03,0.95,6.0,1.14549,36,144,59.0
47,2020-01-04,1.43,2.0,0.6449,47,209,10.0
48,2020-01-05,1.43,1.0,0.0,52,238,1.0
49,2020-01-06,2.19,4.0,1.01336,39,176,124.0
50,2020-01-07,2.19,9.0,0.0,35,134,54.0
51,2020-01-08,2.19,5.0,0.0,43,164,24.0
52,2020-01-09,2.83,6.0,0.84266,36,148,13.0
53,2020-01-10,2.83,3.0,0.0,44,194,4.0
54,2020-01-11,3.79,3.0,1.2799,42,183,14.0
55,2020-01-12,3.79,5.0,0.0,36,158,38.0
