,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-06-04,0.0,0.0,0.0,NULL,NULL,0.0
1,2019-06-05,0.0,0.0,0.0,NULL,NULL,0.0
2,2019-06-06,0.0,0.0,0.0,NULL,NULL,0.0
3,2019-06-07,0.0,0.0,0.0,NULL,NULL,0.0
4,2019-06-08,0.0,0.0,0.0,NULL,NULL,0.0
5,2019-06-09,0.0,0.0,0.0,NULL,NULL,0.0
6,2019-06-10,0.0,0.0,0.0,NULL,NULL,0.0
7,2019-06-11,0.0,0.0,0.0,NULL,NULL,0.0
8,2019-06-12,0.0,0.0,0.0,NULL,NULL,0.0
9,2019-06-13,0.0,0.0,0.0,NULL,NULL,0.0
10,2019-06-14,0.0,1.0,0.0,67,295,9.0
11,2019-06-15,0.0,0.0,0.0,NULL,NULL,0.0
12,2019-06-16,0.0,1.0,0.0,63,287,1.0
13,2019-06-17,0.0,1.0,0.0,67,292,3.0
14,2019-06-18,0.0,0.0,0.0,NULL,NULL,0.0
15,2019-06-19,0.0,0.0,0.0,NULL,NULL,0.0
16,2019-06-20,0.0,0.0,0.0,NULL,NULL,0.0
17,2019-06-21,0.0,0.0,0.0,NULL,NULL,0.0
18,2019-06-22,0.0,0.0,0.0,NULL,NULL,0.0
19,2019-06-23,0.0,1.0,0.0,68,290,5.0
20,2019-06-24,0.0,1.0,0.0,66,295,3.0
21,2019-06-25,0.0,1.0,0.0,66,288,18.0
22,2019-06-26,0.0,1.0,0.0,74,307,20.0
23,2019-06-27,0.0,1.0,0.0,69,287,21.0
24,2019-06-28,0.0,1.0,0.0,65,286,20.0
25,2019-06-29,0.0,1.0,0.0,66,286,22.0
26,2019-06-30,0.0,1.0,0.0,66,265,17.0
27,2019-07-01,0.0,1.0,0.0,61,276,16.0
28,2019-07-02,0.0,1.0,0.0,60,276,25.0
29,2019-07-03,0.0,1.0,0.0,68,292,34.0
30,2019-07-04,0.0,1.0,0.0,71,296,16.0
31,2019-07-05,0.0,1.0,0.0,69,284,14.0
32,2019-07-06,0.0,1.0,0.0,62,271,22.0
33,2019-07-07,0.0,1.0,0.0,63,264,30.0
34,2019-07-08,0.0,1.0,0.0,72,307,33.0
35,2019-07-09,0.0,1.0,0.0,74,301,12.0
36,2019-07-10,0.0,0.0,0.0,NULL,NULL,0.0
37,2019-07-11,0.0,0.0,0.0,NULL,NULL,0.0
38,2019-07-12,0.0,0.0,0.0,NULL,NULL,0.0
39,2019-07-13,0.0,0.0,0.0,NULL,NULL,0.0
40,2019-07-14,0.0,0.0,0.0,NULL,NULL,0.0
41,2019-07-15,0.0,0.0,0.0,NULL,NULL,0.0
42,2019-07-16,0.0,1.0,0.0,57,249,1.0
43,2019-07-17,0.0,0.0,0.0,NULL,NULL,0.0
44,2019-07-18,0.0,0.0,0.0,NULL,NULL,0.0
45,2019-07-19,0.0,0.0,0.0,NULL,NULL,0.0
46,2019-07-20,0.0,0.0,0.0,NULL,NULL,0.0
47,2019-07-21,0.0,2.0,0.0,54,211,2.0
48,2019-07-22,0.0,5.0,0.0,45,164,7.0
49,2019-07-23,0.0,58.0,0.0,17,49,100.0
50,2019-07-24,0.0,37.0,0.0,18,54,59.0
51,2019-07-25,0.0,14.0,0.0,28,86,15.0
52,2019-07-26,0.0,15.0,0.0,29,90,32.0
53,2019-07-27,0.0,16.0,0.0,26,83,21.0
54,2019-07-28,0.0,6.0,0.0,37,139,11.0
55,2019-07-29,0.0,7.0,0.0,39,149,10.0
56,2019-07-30,0.0,8.0,0.0,38,143,10.0
57,2019-07-31,0.0,1.0,0.0,65,280,1.0
58,2019-08-01,0.0,7.0,0.0,38,145,13.0
59,2019-08-02,0.0,3.0,0.0,48,193,3.0
60,2019-08-03,0.0,11.0,0.0,31,108,20.0
61,2019-08-04,0.0,7.0,0.0,35,134,17.0
62,2019-08-05,0.0,7.0,0.0,37,151,12.0
63,2019-08-06,0.0,7.0,0.0,37,145,23.0
64,2019-08-07,0.0,2.0,0.0,51,221,3.0
65,2019-08-08,0.0,3.0,0.0,47,191,9.0
66,2019-08-09,0.0,1.0,0.0,69,272,16.0
67,2019-08-10,0.0,2.0,0.0,58,211,6.0
68,2019-08-11,0.0,6.0,0.0,39,141,20.0
69,2019-08-12,0.0,5.0,0.0,43,167,24.0
70,2019-08-13,0.0,5.0,0.0,42,161,25.0
71,2019-08-14,0.0,6.0,0.0,37,150,17.0
72,2019-08-15,0.0,16.0,0.0,23,89,37.0
73,2019-08-16,0.0,12.0,0.0,29,107,42.0
74,2019-08-17,0.0,5.0,0.0,38,154,35.0
75,2019-08-18,0.0,6.0,0.0,38,137,22.0
76,2019-08-19,0.0,6.0,0.0,36,150,30.0
77,2019-08-20,0.0,12.0,0.0,32,110,27.0
78,2019-08-21,0.0,9.0,0.0,33,124,11.0
79,2019-08-22,0.0,12.0,0.0,30,109,20.0
80,2019-08-23,0.0,34.0,0.0,19,57,55.0
81,2019-08-24,0.0,15.0,0.0,29,96,36.0
82,2019-08-25,0.0,16.0,0.0,27,88,28.0
83,2019-08-26,0.0,5.0,0.0,42,159,7.0
84,2019-08-27,0.0,33.0,0.0,24,64,90.0
85,2019-08-28,0.0,50.0,0.0,19,53,88.0
86,2019-08-29,0.0,87.0,0.0,17,46,140.0
87,2019-08-30,0.0,41.0,0.0,20,56,68.0
88,2019-08-31,0.0,50.0,0.0,17,50,88.0
89,2019-09-01,0.0,35.0,0.0,21,58,46.0
90,2019-09-02,0.0,33.0,0.0,17,57,55.0
91,2019-09-03,0.0,28.0,0.0,23,67,51.0
92,2019-09-04,0.0,19.0,0.0,26,82,29.0
93,2019-09-05,0.0,18.0,0.0,25,83,39.0
94,2019-09-06,0.0,14.0,0.0,25,92,32.0
95,2019-09-07,0.0,15.0,0.0,25,85,32.0
96,2019-09-08,0.0,14.0,0.0,23,78,37.0
97,2019-09-09,0.0,23.0,0.0,19,56,52.0
98,2019-09-10,0.0,19.0,0.0,18,61,46.0
99,2019-09-11,0.0,18.0,0.0,19,68,43.0
100,2019-09-12,0.0,31.0,0.0,13,51,68.0
101,2019-09-13,0.0,27.0,0.0,17,53,57.0
102,2019-09-14,0.0,20.0,0.0,18,63,44.0
