,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-09-02,0.0,27.0,0.90411672,23,68,34.0
1,2019-09-03,0.0,157.0,1.15,12,34,162.0
2,2019-09-04,2.65,267.0,0.6,8,27,283.0
3,2019-09-05,3.3,200.0,0.65,8,29,207.0
4,2019-09-06,3.4,265.0,0.1,5,26,272.0
5,2019-09-07,3.65,243.0,0.25,5,23,256.0
6,2019-09-08,4.35,226.0,0.7,6,24,238.0
7,2019-09-09,4.65,167.0,0.3,7,28,174.0
8,2019-09-10,4.65,73.0,0.0,8,30,74.0
9,2019-09-11,5.2,203.0,0.55,5,21,222.0
10,2019-09-12,5.85,273.0,0.65,4,19,287.0
11,2019-09-13,5.85,212.0,0.0,5,22,213.0
12,2019-09-14,6.5,214.0,0.65,4,23,223.0
13,2019-09-15,6.75,211.0,0.25,6,27,221.0
14,2019-09-16,6.9,283.0,0.15,4,19,304.0
15,2019-09-17,7.0,294.0,0.1,3,20,298.0
16,2019-09-18,7.2,299.0,0.2,5,22,304.0
17,2019-09-19,7.25,121.0,0.05,7,31,134.0
18,2019-09-20,7.3,219.0,0.05,5,25,234.0
19,2019-09-21,7.4,207.0,0.1,7,26,210.0
20,2019-09-22,7.6,219.0,0.2,7,23,226.0
21,2019-09-23,7.9,224.0,0.3,7,25,229.0
22,2019-09-24,8.1,225.0,0.2,4,20,234.0
23,2019-09-25,8.25,237.0,0.15,4,20,243.0
24,2019-09-26,8.65,235.0,0.4,5,24,244.0
25,2019-09-27,8.8,230.0,0.15,6,22,234.0
26,2019-09-28,9.0,231.0,0.2,7,26,239.0
27,2019-09-29,9.0,241.0,0.0,6,26,242.0
28,2019-09-30,9.1,233.0,0.1,7,27,236.0
29,2019-10-01,9.5,244.0,0.4,8,30,251.0
30,2019-10-02,9.75,258.0,0.25532752,6,27,271.0
31,2019-10-03,9.9,242.0,0.15339024,7,25,253.0
32,2019-10-04,10.25,254.0,0.35169512,7,25,262.0
33,2019-10-05,10.4,241.0,0.15508536,8,26,250.0
34,2019-10-06,10.62,250.0,0.20266376,6,23,258.0
35,2019-10-07,10.77,253.0,0.15217944,6,25,261.0
36,2019-10-08,10.77,254.0,0.00169512,7,25,259.0
37,2019-10-09,10.82,241.0,0.05145296,7,26,250.0
38,2019-10-10,10.92,211.0,0.10072648,7,28,214.0
39,2019-10-11,11.02,242.0,0.10193728,7,26,252.0
40,2019-10-12,11.18,255.0,0.15145296,7,23,262.0
41,2019-10-13,11.63,255.0,0.45774912,7,21,272.0
42,2019-10-14,12.19,245.0,0.55582184,8,24,267.0
43,2019-10-15,12.65,281.0,0.45581184,7,24,297.0
44,2019-10-16,13.8,269.0,1.15871776,8,25,294.0
45,2019-10-17,14.86,286.0,1.05387456,7,24,304.0
46,2019-10-18,15.26,277.0,0.40217944,8,24,290.0
47,2019-10-19,15.36,270.0,0.10193728,8,21,278.0
48,2019-10-20,15.57,271.0,0.206054,7,21,285.0
49,2019-10-21,15.95,245.0,0.38185008,8,25,261.0
50,2019-10-22,16.51,198.0,0.56017072,10,28,214.0
51,2019-10-23,16.66,261.0,0.15435888,8,24,271.0
52,2019-10-24,17.62,292.0,0.96041288,8,22,309.0
53,2019-10-25,17.93,277.0,0.30217944,9,27,289.0
54,2019-10-26,18.19,272.0,0.25992856,8,23,283.0
