,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-10-24,0.0,2.0,0.05,51,227,24.0
1,2019-10-25,0.0,5.0,0.95,40,157,10.0
2,2019-10-26,0.0,1.0,0.05,64,253,1.0
3,2019-10-28,0.6,1.0,0.05,63,264,1.0
4,2019-10-29,0.6,2.0,0.0,51,225,7.0
5,2019-10-30,0.6,0.0,0.0,NULL,NULL,0.0
6,2019-10-31,0.9,3.0,0.25,49,210,5.0
7,2019-11-01,1.95,3.0,1.05,47,205,4.0
8,2019-11-02,2.0,1.0,0.05,63,271,1.0
9,2019-11-03,2.1,2.0,0.1,54,224,2.0
10,2019-11-04,2.2,2.0,0.1,50,228,2.0
11,2019-11-05,2.2,2.0,0.0,48,229,10.0
12,2019-11-06,2.6,1.0,0.4,60,275,1.0
13,2019-11-07,3.65,6.0,1.05,35,158,7.0
14,2019-11-08,5.85,3.0,2.15,46,212,8.0
15,2019-11-09,5.9,2.0,0.85,52,223,3.0
16,2019-11-10,6.3,1.0,0.4,59,262,1.0
17,2019-11-11,6.3,0.0,0.0,NULL,NULL,0.0
18,2019-11-12,6.3,1.0,0.0,62,284,10.0
19,2019-11-13,9.6,4.0,3.3,40,182,11.0
20,2019-11-14,10.5,4.0,0.9,39,180,4.0
21,2019-11-15,20.1,18.0,9.8,27,96,351.0
22,2019-11-16,23.9,7.0,3.8,32,142,14.0
23,2019-11-17,28.4,4.0,4.55,40,165,14.0
24,2019-11-18,36.0,9.0,7.6,33,140,27.0
25,2019-11-19,41.76,23.0,13.8555,21,83,138.0
26,2019-11-20,35.56,18.0,5.8,20,93,163.0
27,2019-11-21,41.81,1021.0,6.38904791,2,7,3186.0
28,2019-11-22,51.91,136.0,10.3,14,43,343.0
29,2019-11-23,64.51,231.0,12.6,10,33,693.0
30,2019-11-24,90.86,358.0,27.15,7,20,856.0
31,2019-11-25,46.91,169.0,1.850065439,10,35,708.0
32,2019-11-26,60.46,628.0,13.645855825,3,11,3332.0
33,2019-11-27,84.01,369.0,23.401914159,7,20,1480.0
34,2019-11-28,99.44,344.0,15.432543165,7,22,1041.0
35,2019-11-29,108.71,598.0,9.259232164,5,13,1313.0
36,2019-11-30,118.67,495.0,10.005084076,5,12,1340.0
37,2019-12-01,123.97,425.0,5.259853898,5,16,830.0
38,2019-12-02,128.34,578.0,4.367663209,5,14,1002.0
39,2019-12-03,131.76,517.0,3.418441208,5,14,961.0
40,2019-12-04,133.72,488.0,1.96410885,5,18,899.0
41,2019-12-05,136.07,480.0,2.35063155,5,17,802.0
42,2019-12-06,138.76,465.0,2.6809038,5,16,829.0
43,2019-12-07,140.96,463.0,2.203449,5,16,834.0
44,2019-12-08,143.12,462.0,2.1546741,5,14,789.0
45,2019-12-09,148.1,439.0,4.9796967,5,18,747.0
46,2019-12-10,149.65,452.0,1.554853125,5,17,733.0
47,2019-12-11,152.6,479.0,3.946155282,6,19,918.0
48,2019-12-12,155.35,446.0,2.74818375,6,18,855.0
49,2019-12-13,157.26,449.0,1.9161918,6,18,771.0
50,2019-12-14,158.88,466.0,1.230340725,6,17,846.0
51,2019-12-15,162.4,498.0,3.518943594,5,16,883.0
52,2019-12-16,159.65,451.0,1.632324625,5,16,841.0
53,2019-12-17,160.68,393.0,1.02193324,5,20,782.0
54,2019-12-18,163.26,428.0,2.665104979,5,19,851.0
55,2019-12-19,164.09,415.0,0.903011085,6,19,769.0
56,2019-12-20,166.78,428.0,2.76645744,6,20,815.0
57,2019-12-21,169.06,444.0,2.34632836,5,15,793.0
58,2019-12-22,169.9,447.0,0.902730625,6,18,561.0
59,2019-12-23,171.26,441.0,1.432387998,5,16,1062.0
60,2019-12-24,173.0,471.0,1.803258624,6,17,997.0
61,2019-12-25,176.56,477.0,3.631664736,6,16,922.0
62,2019-12-26,144.49,478.0,7.999836576,6,17,912.0
63,2019-12-27,147.45,454.0,3.021435456,6,17,855.0
64,2019-12-28,148.17,422.0,0.784712096,6,16,639.0
65,2019-12-29,149.96,461.0,1.828708723,6,16,1082.0
66,2019-12-30,151.8,499.0,1.905840711,6,17,1025.0
67,2019-12-31,145.26,469.0,3.538666755,6,17,920.0
68,2020-01-01,4.64,536.0,3.396998655,5,15,1059.0
69,2020-01-02,149.36,527.0,0.810475676,5,16,1050.0
