,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-01-19,0.0,53.0,31.3649777777778,14,38,1114.0
1,2019-01-20,0.0,57.0,10.7641157407407,12,36,730.0
2,2019-01-21,0.0,52.0,2.88373703703704,16,43,548.0
3,2019-01-22,0.0,50.0,2.90269074074074,13,39,429.0
4,2019-01-23,0.0,64.0,12.537125462963,14,37,624.0
5,2019-01-24,0.0,50.0,9.86503888888889,13,44,409.0
6,2019-01-25,0.0,57.0,6.96159136904762,13,36,688.0
7,2019-01-26,0.0,47.0,5.96301915509259,14,37,593.0
8,2019-01-27,0.0,70.0,35.4297470899471,12,29,2075.0
9,2019-01-28,0.0,74.0,6.24856805555556,11,31,878.0
10,2019-01-29,0.0,58.0,5.48264537037037,12,38,789.0
11,2019-01-30,0.0,52.0,9.38339523809524,13,39,785.0
12,2019-01-31,0.0,63.0,31.3607625,14,37,1379.0
13,2019-02-01,0.0,54.0,8.57282880291005,14,36,646.0
14,2019-02-02,0.0,42.0,4.50654490740741,16,43,655.0
15,2019-02-03,0.0,63.0,25.9482310185185,13,31,1550.0
16,2019-02-04,0.0,57.0,6.84660300925926,12,30,787.0
17,2019-02-05,0.0,61.0,5.92029212962963,13,33,900.0
18,2019-02-06,0.0,64.0,5.3724462962963,12,33,872.0
19,2019-02-07,0.0,80.0,19.5596921296296,12,29,1636.0
20,2019-02-08,0.0,66.0,7.52742037037037,13,37,1517.0
21,2019-02-09,0.0,59.0,6.40316365740741,14,36,1191.0
22,2019-02-10,0.0,76.0,32.9216861111111,12,30,1704.0
23,2019-02-11,0.0,62.0,6.5759162037037,13,36,1018.0
24,2019-02-12,0.0,37.0,1.94320416666667,17,49,486.0
25,2019-02-13,0.0,63.0,16.7871152777778,13,39,829.0
26,2019-02-14,0.0,46.0,1.86715972222222,14,47,404.0
27,2019-02-15,0.0,34.0,1.22822453703704,18,54,238.0
28,2019-02-16,0.0,63.0,23.9951972222222,12,34,1195.0
29,2019-02-17,0.0,45.0,3.48793703703704,16,44,430.0
30,2019-02-18,0.0,37.0,1.52830833333333,17,54,243.0
31,2019-02-19,0.0,31.0,1.419,20,60,255.0
32,2019-02-20,0.0,52.0,11.5585907407407,13,36,637.0
33,2019-02-21,0.0,49.0,2.31765972222222,12,38,360.0
34,2019-02-22,0.0,37.0,1.86847083333333,16,47,365.0
35,2019-02-23,0.0,28.0,0.847,20,56,264.0
