,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-04-02,0.0,1.0,0.0,79,332,2.0
1,2019-05-08,0.0,3.0,0.0,61,228,10.0
2,2019-05-09,0.0,1.0,0.0,71,306,5.0
3,2019-05-10,0.0,1.0,0.0,70,298,1.0
4,2019-06-09,0.0,1.0,0.0,68,286,2.0
5,2019-06-10,0.0,2.0,0.0,54,235,5.0
6,2019-06-11,0.0,1.0,0.0,68,290,1.0
7,2019-06-20,0.0,1.0,0.0,63,287,1.0
8,2019-06-23,0.0,0.0,0.0,NULL,NULL,0.0
9,2019-06-24,0.0,0.0,0.0,NULL,NULL,0.0
10,2019-06-25,0.0,0.0,0.0,NULL,NULL,0.0
11,2019-06-26,0.0,0.0,0.0,NULL,NULL,0.0
12,2019-06-27,0.0,0.0,0.0,NULL,NULL,0.0
13,2019-06-28,0.0,2.0,0.00653188171605615,50,229,4.0
14,2019-06-29,0.0,0.0,0.0,NULL,NULL,0.0
15,2019-06-30,0.0,1.0,0.0,66,265,2.0
16,2019-07-01,0.0,0.0,0.0,NULL,NULL,0.0
17,2019-07-02,0.0,1.0,0.00579052455857563,60,276,18.0
18,2019-07-03,0.0,1.0,0.00371426164679546,68,292,2.0
19,2019-07-04,0.0,1.0,0.0,71,296,4.0
20,2019-07-05,0.0,0.0,0.0,NULL,NULL,0.0
21,2019-07-06,0.0,0.0,0.0,NULL,NULL,0.0
22,2019-07-07,0.0,0.0,0.0,NULL,NULL,0.0
23,2019-07-08,0.0,0.0,0.0,NULL,NULL,0.0
24,2019-07-09,0.0,0.0,0.0,NULL,NULL,0.0
25,2019-07-10,0.0,0.0,0.0,NULL,NULL,0.0
26,2019-07-11,0.0,3.0,0.0,50,209,16.0
27,2019-07-12,0.0,4.0,0.0,49,200,8.0
28,2019-07-13,0.0,2.0,0.0,57,224,5.0
29,2019-07-14,0.0,1.0,0.0,63,264,1.0
30,2019-07-15,0.0,4.0,0.0,42,175,4.0
31,2019-07-16,0.0,1.0,0.0,57,249,1.0
32,2019-07-17,0.0,6.0,0.0,39,153,9.0
33,2019-07-18,0.0,4.0,0.0,45,186,9.0
34,2019-07-19,0.0,7.0,0.0,37,138,18.0
35,2019-07-20,0.0,2.0,0.0,51,215,2.0
36,2019-07-21,0.0,1.0,0.0,67,256,1.0
37,2019-07-22,0.0,226.0,0.0,7,24,226.0
38,2019-07-23,0.0,346.0,0.0,7,23,346.0
39,2019-07-24,0.0,259.0,0.0,7,22,259.0
40,2019-07-25,0.0,277.0,0.0,6,21,279.0
41,2019-07-26,0.0,268.0,0.0,7,25,268.0
