,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2018-08-23,0,26.0,0,35,96,261.0
1,2018-08-24,0,26.0,0,36,88,147.0
2,2018-08-25,0,19.0,0,31,97,102.0
3,2018-08-26,0,19.0,0,30,87,103.0
4,2018-08-27,0,63.0,0,17,47,185.0
5,2018-08-28,0,86.0,0,15,37,258.0
6,2018-08-29,0,62.0,0,17,48,235.0
7,2018-08-30,0,22.0,0,33,91,98.0
8,2018-08-31,0,37.0,0,25,69,141.0
9,2018-09-01,0,42.0,0,21,62,209.0
10,2018-09-02,0,44.0,0,21,58,193.0
11,2018-09-03,0,49.0,0,24,61,182.0
12,2018-09-04,0,36.0,0,27,75,141.0
13,2018-09-05,0,29.0,0,31,89,129.0
14,2018-09-06,0,32.0,0,30,86,122.0
15,2018-09-07,0,22.0,0,38,104,88.0
16,2018-09-08,0,22.0,0,37,96,106.0
17,2018-09-09,0,36.0,0,27,68,181.0
18,2018-09-10,0,31.0,0,29,77,184.0
19,2018-09-11,0,23.0,0,42,107,147.0
20,2018-09-12,0,28.0,0,36,96,146.0
21,2018-09-13,0,28.0,0,36,90,149.0
22,2018-09-14,0,38.0,0,28,63,234.0
23,2018-09-15,0,30.0,0,34,76,169.0
24,2018-09-16,0,20.0,0,42,98,133.0
25,2018-09-17,0,17.0,0,48,119,131.0
26,2018-09-18,0,23.0,0,34,89,203.0
27,2018-09-19,0,21.0,0,32,84,150.0
28,2018-09-20,0,22.0,0,33,80,109.0
29,2018-09-21,0,25.0,0,35,86,128.0
30,2018-09-22,0,30.0,0,31,73,134.0
31,2018-09-23,0,30.0,0,32,72,133.0
32,2018-09-24,0,27.0,0,36,79,109.0
33,2018-09-25,0,32.0,0,36,77,144.0
34,2018-09-26,0,33.0,0,32,71,146.0
35,2018-09-27,0,201.0,0,12,19,334.0
36,2018-09-28,0,80.0,0,20,37,256.0
37,2018-09-29,0,86.0,0,16,29,268.0
38,2018-09-30,0,76.0,0,21,40,215.0
39,2018-10-01,0,61.0,0,24,44,197.0
40,2018-10-02,0,68.0,0,22,43,206.0
41,2018-10-03,0,53.0,0,25,56,149.0
42,2018-10-04,0,43.0,0,27,59,124.0
43,2018-10-05,0,46.0,0,29,63,173.0
44,2018-10-06,0,47.0,0,27,66,201.0
45,2018-10-07,0,49.0,0,31,62,199.0
46,2018-10-08,0,61.0,0,29,54,191.0
47,2018-10-09,0,71.0,0,28,49,201.0
48,2018-10-10,0,68.0,0,28,51,217.0
49,2018-10-11,0,79.0,0,27,50,238.0
50,2018-10-12,0,75.0,0,30,55,208.0
51,2018-10-13,0,45.0,0,34,66,158.0
52,2018-10-14,0,83.0,0,29,49,263.0
53,2018-10-15,0,89.0,0,27,43,269.0
54,2018-10-16,0,54.0,0,35,64,170.0
55,2018-10-17,0,50.0,0,34,70,182.0
56,2018-10-18,0,30.0,0,44,102,173.0
57,2018-10-19,0,36.0,0,40,86,202.0
58,2018-10-20,0,31.0,0,39,90,264.0
