,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-06-15,0.0,1.0,0.0,62,258,4.0
1,2019-06-23,0.0,0.0,0.0,NULL,NULL,0.0
2,2019-06-24,0.0,0.0,0.0,NULL,NULL,0.0
3,2019-06-25,0.0,0.0,0.0,NULL,NULL,0.0
4,2019-06-26,0.0,0.0,0.0,NULL,NULL,0.0
5,2019-06-27,0.0,0.0,0.0,NULL,NULL,0.0
6,2019-06-28,0.0,0.0,0.0,NULL,NULL,0.0
7,2019-06-29,0.0,0.0,0.0,NULL,NULL,0.0
8,2019-06-30,0.0,0.0,0.0,NULL,NULL,0.0
9,2019-07-01,0.0,0.0,0.0,NULL,NULL,0.0
10,2019-07-02,0.0,0.0,0.0,NULL,NULL,0.0
11,2019-07-03,0.0,0.0,0.0,NULL,NULL,0.0
12,2019-07-04,0.0,0.0,0.0,NULL,NULL,0.0
13,2019-07-05,0.0,0.0,0.0,NULL,NULL,0.0
14,2019-07-06,0.0,0.0,0.0,NULL,NULL,0.0
15,2019-07-07,0.0,0.0,0.0,NULL,NULL,0.0
16,2019-07-08,0.0,0.0,0.0,NULL,NULL,0.0
17,2019-07-09,0.0,6.0,7.592,40,172,37.0
18,2019-07-10,0.0,885.0,4.449308,2,9,894.0
19,2019-07-11,6.65,427.0,1.188,4,19,428.0
20,2019-07-12,7.29,890.0,1.354,2,8,893.0
21,2019-07-13,7.29,1201.0,0.35,2,5,1201.0
22,2019-07-14,7.29,726.0,0.0,2,9,726.0
23,2019-07-15,7.29,1130.0,3.420129208,2,6,1130.0
24,2019-07-16,7.29,196.0,0.050782927,5,19,196.0
25,2019-07-17,7.29,1082.0,7.841694052,2,5,1526.0
26,2019-07-18,7.29,1132.0,4.301650699,2,5,1132.0
27,2019-07-19,7.29,1262.0,4.223388204,2,4,1264.0
28,2019-07-20,7.29,1269.0,4.377990749,2,5,1269.0
29,2019-07-21,7.34,1285.0,4.491519355,2,3,1285.0
30,2019-07-22,7.34,1291.0,4.39542847,2,5,1299.0
31,2019-07-23,7.34,1244.0,3.608553971,2,5,1248.0
32,2019-07-24,7.4,1245.0,4.899994969,2,5,1252.0
33,2019-07-25,7.4,1212.0,4.781326279,2,5,1212.0
34,2019-07-26,7.4,1243.0,4.211781429,2,5,1244.0
35,2019-07-27,7.4,1259.0,4.093034899,2,5,1259.0
36,2019-07-28,7.4,802.0,1.967011541,2,8,804.0
37,2019-07-29,7.4,1250.0,3.484150161,2,5,1255.0
38,2019-07-30,7.4,1256.0,4.222905923,2,5,1259.0
39,2019-07-31,7.4,1086.0,4.795277078,2,5,1089.0
40,2019-08-01,7.4,869.0,3.658456316,2,6,871.0
41,2019-08-02,7.4,927.0,2.625350843,2,7,930.0
42,2019-08-03,7.49,1287.0,5.548327872,2,4,1700.0
43,2019-08-04,7.49,1138.0,6.614290417,2,4,2559.0
44,2019-08-05,7.73,1167.0,7.716216166,2,5,2585.0
45,2019-08-06,9.57,1109.0,11.645160975,2,5,2556.0
46,2019-08-07,12.02,1085.0,9.730274769,2,5,2594.0
