,Date,Balance,DAU,ETH_Vol,Exchange Rank,Total Rank,Txs
0,2019-05-22,0.0,7.0,3.81,39,164,17.0
1,2019-05-23,0.0,1132.0,53.07,2,5,1294.0
2,2019-05-24,42.88,1684.0,1.29225,2,4,1736.0
3,2019-05-25,48.94,2475.0,8.719,1,2,2533.0
4,2019-05-26,49.66,2517.0,3.1822522,1,2,2557.0
5,2019-05-27,45.54,1996.0,0.359247685,2,5,2026.0
6,2019-05-28,45.97,1721.0,3.361658431,2,5,1764.0
7,2019-05-29,44.05,807.0,0.08380995499993,2,6,836.0
8,2019-05-30,55.79,2526.0,36.6300376412,1,4,2574.0
9,2019-05-31,55.44,2699.0,8.300934103,1,2,2729.0
10,2019-06-01,54.98,2858.0,0.27255479,1,3,2882.0
11,2019-06-02,53.48,3855.0,0.098,1,2,3874.0
12,2019-06-03,43.96,3657.0,24.292518058,1,2,3707.0
13,2019-06-04,44.03,3347.0,28.4675801042,1,3,3398.0
14,2019-06-05,43.54,2585.0,22.3200703729999,2,4,2629.0
15,2019-06-06,55.06,2780.0,20.3072067910001,1,3,2829.0
16,2019-06-07,51.04,4153.0,20.276,1,2,4224.0
17,2019-06-08,54.84,2182.0,17.121,1,3,2225.0
18,2019-06-09,50.27,4006.0,12.8762,1,2,4069.0
19,2019-06-10,53.84,3077.0,25.43933593125,1,3,3152.0
20,2019-06-11,55.65,2944.0,13.47369267,1,3,2997.0
21,2019-06-12,53.29,4120.0,24.92369791,1,3,4175.0
22,2019-06-13,52.65,4068.0,19.206241712,1,2,4113.0
23,2019-06-14,60.89,3873.0,16.649,1,3,3912.0
24,2019-06-15,57.06,3082.0,20.453,1,3,3116.0
25,2019-06-16,57.12,4133.0,19.313104,1,2,4191.0
26,2019-06-17,57.05,2816.0,20.69133582,1,3,2860.0
27,2019-06-18,57.05,4127.0,0.0922,1,3,4172.0
28,2019-06-19,55.77,3731.0,0.0353,1,3,3759.0
29,2019-06-20,63.42,2013.0,19.3751,2,5,2064.0
30,2019-06-21,55.39,711.0,20.6105,3,13,760.0
31,2019-06-22,54.8,117.0,0.0541,10,36,173.0
32,2019-06-23,54.72,124.0,0.0674,13,36,155.0
33,2019-06-24,54.58,2486.0,10.111,2,4,2513.0
34,2019-06-25,61.34,2523.0,12.774,2,4,2566.0
35,2019-06-26,61.08,2591.0,21.70125,2,5,2650.0
36,2019-06-27,53.98,1814.0,10.585,2,5,1853.0
37,2019-06-28,53.81,669.0,26.91,2,13,718.0
