,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-06-07,0.0,2.0,151.515,24,125,15.0
1,2019-06-14,0.0,1.0,378.7875,26,143,1.0
2,2019-06-24,0.0,1.0,128.205,25,140,2.0
3,2019-06-25,0.0,12.0,21886.46008,14,67,37.0
4,2019-06-26,0.0,6.0,1905776.47,16,83,1750.0
5,2019-06-27,5473.56,8.0,511192.9405,16,76,430.0
6,2019-06-28,7311.8,3.0,1838.2375,18,97,6.0
7,2019-06-29,8437.02,2.0,1125.2225,18,111,8.0
8,2019-06-30,8579.88,2.0,142.857,19,118,2.0
9,2019-07-01,8579.88,2.0,0.0,17,110,2.0
10,2019-07-02,10354.07,2.0,1774.1955,19,115,4.0
11,2019-07-03,10354.07,1.0,0.0,19,122,1.0
12,2019-07-04,10354.07,0.0,0.0,NULL,NULL,0.0
13,2019-07-05,13635.32,2.0,3281.25,18,113,3.0
14,2019-07-06,13635.32,0.0,0.0,NULL,NULL,0.0
15,2019-07-07,14129.07,1.0,968.75,24,128,5.0
16,2019-07-08,14129.07,1.0,0.0,24,129,1.0
17,2019-07-09,14276.13,2.0,147.059,18,113,7.0
18,2019-07-10,15011.43,2.0,0.0,18,109,2.0
19,2019-07-11,16526.58,1.0,0.0,24,135,1.0
20,2019-07-12,16526.58,1.0,0.0,24,132,1.0
21,2019-07-13,16526.58,0.0,0.0,NULL,NULL,0.0
22,2019-07-14,16526.58,1.0,0.0,19,124,1.0
23,2019-07-15,16526.58,2.0,0.0,16,109,6.0
24,2019-07-16,16526.58,0.0,0.0,NULL,NULL,0.0
25,2019-07-17,16734.91,2.0,208.3335,20,113,4.0
26,2019-07-18,16734.91,1.0,0.0,22,127,1.0
27,2019-07-19,16934.91,2.0,200.0,19,111,2.0
28,2019-07-20,17538.36,2.0,603.449,18,105,3.0
29,2019-07-21,17710.77,1.0,172.414,23,132,1.0
30,2019-07-22,17720.77,1.0,200.0,19,125,1.0
31,2019-07-23,17720.77,1.0,0.0,22,128,1.0
32,2019-07-24,18689.98,3.0,969.20375,17,96,4.0
33,2019-07-25,22929.11,3.0,4239.13425,16,96,10.0
34,2019-07-26,22929.11,2.0,0.0,18,100,5.0
35,2019-07-27,22929.11,1.0,0.0,22,112,1.0
36,2019-07-28,22929.11,0.0,0.0,NULL,NULL,0.0
37,2019-07-29,23004.11,2.0,1500.0,16,96,2.0
38,2019-07-30,23004.11,0.0,0.0,NULL,NULL,0.0
39,2019-07-31,23004.11,0.0,0.0,NULL,NULL,0.0
40,2019-08-01,23004.11,0.0,0.0,NULL,NULL,0.0
41,2019-08-02,23004.11,1.0,0.0,21,115,4.0
42,2019-08-03,23004.11,0.0,0.0,NULL,NULL,0.0
43,2019-08-04,23004.11,1.0,0.0,21,118,1.0
44,2019-08-05,23004.11,0.0,0.0,NULL,NULL,0.0
45,2019-08-06,23004.11,1.0,0.0,20,120,1.0
46,2019-08-07,23004.11,0.0,0.0,NULL,NULL,0.0
47,2019-08-08,23004.11,0.0,0.0,NULL,NULL,0.0
48,2019-08-09,23004.11,3.0,0.0,16,87,3.0
49,2019-08-10,23004.11,1.0,0.0,21,109,1.0
50,2019-08-11,23004.11,0.0,0.0,NULL,NULL,0.0
