,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-23,0.0,1.0,0.0,27,79,11.0
1,2019-01-24,0.0,5.0,68433.0,20,64,11.0
2,2019-01-25,0.0,6.0,4167.0,19,63,7.0
3,2019-01-26,0.0,3.0,4167.0,19,65,3.0
4,2019-01-27,0.0,6.0,40833.0,18,57,14.0
5,2019-01-28,0.0,3.0,8333.0,20,66,5.0
6,2019-01-29,0.0,2.0,10833.0,22,70,4.0
7,2019-01-30,0.0,4.0,12500.0,23,68,8.0
8,2019-01-31,0.0,3.0,8333.0,24,70,6.0
9,2019-02-02,0.0,1.0,1667.0,27,81,1.0
10,2019-02-05,0.0,2.0,1667.0,23,72,2.0
11,2019-02-07,0.0,5.0,39167.0,19,63,8.0
12,2019-02-08,0.0,3.0,34167.0,20,65,5.0
13,2019-02-09,0.0,4.0,8333.0,20,62,4.0
14,2019-02-10,0.0,2.0,2500.0,22,72,3.0
15,2019-02-11,0.0,2.0,2500.0,26,79,2.0
16,2019-02-12,0.0,5.0,10833.0,20,68,9.0
17,2019-02-13,0.0,3.0,12500.0,23,76,6.0
18,2019-02-18,0.0,1.0,0.0,30,90,2.0
19,2019-02-19,0.0,10.0,399.0,16,59,45.0
20,2019-02-20,0.0,4.0,730.0,19,72,15.0
21,2019-02-21,0.0,14.0,4023.0,15,61,83.0
22,2019-02-22,0.0,3.0,3050.0,20,84,53.0
23,2019-02-23,0.0,1.0,0.0,26,91,1.0
24,2019-02-24,0.0,4.0,0.0,19,74,13.0
25,2019-02-25,0.0,5.0,700.0,18,74,15.0
26,2019-02-26,0.0,5.0,1000.0,19,73,36.0
27,2019-02-27,0.0,4.0,1395.0,20,76,35.0
28,2019-02-28,0.0,2.0,100.0,24,91,3.0
29,2019-03-01,0.0,4.0,300.0,19,78,10.0
30,2019-03-02,0.0,5.0,200.0,19,75,11.0
31,2019-03-03,0.0,3.0,550.0,22,82,8.0
32,2019-03-04,0.0,5.0,5661.0,21,77,35.0
33,2019-03-05,0.0,2.0,4000.0,24,95,2.0
34,2019-03-06,0.0,2.0,750.0,24,96,11.0
35,2019-03-07,0.0,3.0,480.0,24,93,4.0
36,2019-03-08,0.0,4.0,100.0,22,86,8.0
37,2019-03-09,0.0,4.0,200.0,23,91,17.0
38,2019-03-10,0.0,2.0,0.0,24,97,4.0
39,2019-03-11,0.0,1.0,2239.0,30,115,4.0
40,2019-03-13,0.0,3.0,4676.0,22,89,11.0
41,2019-03-15,0.0,1.0,0.0,26,109,1.0
42,2019-03-16,0.0,2.0,6750.0,23,101,21.0
43,2019-03-17,0.0,5.0,1268.0,19,87,33.0
44,2019-03-18,0.0,1.0,1544.0,27,118,7.0
45,2019-03-19,0.0,5.0,1021.0,21,95,14.0
46,2019-03-20,0.0,3.0,759.0,21,105,3.0
47,2019-03-21,0.0,1.0,0.0,24,116,4.0
48,2019-03-22,0.0,0.0,0.0,NULL,NULL,0.0
49,2019-03-23,0.0,3.0,0.0,24,112,19.0
50,2019-03-24,0.0,3.0,683.0,25,116,5.0
51,2019-03-25,0.0,1.0,0.0,27,133,1.0
52,2019-03-26,0.0,1.0,209.0,28,136,1.0
53,2019-03-27,0.0,0.0,0.0,NULL,NULL,0.0
54,2019-03-28,0.0,1.0,0.0,29,142,2.0
55,2019-03-29,0.0,1.0,0.0,29,143,12.0
56,2019-03-30,0.0,0.0,0.0,NULL,NULL,0.0
57,2019-03-31,0.0,3.0,375.0,21,141,3.0
58,2019-04-01,0.0,0.0,0.0,NULL,NULL,0.0
59,2019-04-02,0.0,1.0,0.0,25,160,1.0
60,2019-04-03,0.0,1.0,0.0,25,159,14.0
61,2019-04-04,0.0,0.0,0.0,NULL,NULL,0.0
62,2019-04-05,0.0,1.0,5960.0,26,156,2.0
63,2019-04-06,0.0,1.0,550.0,26,157,1.0
64,2019-04-07,0.0,1.0,2250.0,28,156,1.0
65,2019-04-08,0.0,0.0,0.0,NULL,NULL,0.0
66,2019-04-09,0.0,1.0,1000.0,24,156,2.0
67,2019-04-10,0.0,0.0,0.0,NULL,NULL,0.0
68,2019-04-11,0.0,1.0,0.0,29,167,1.0
69,2019-04-12,0.0,0.0,0.0,NULL,NULL,0.0
70,2019-04-13,0.0,0.0,0.0,NULL,NULL,0.0
71,2019-04-14,0.0,0.0,0.0,NULL,NULL,0.0
72,2019-04-15,0.0,1.0,0.0,24,158,3.0
73,2019-04-16,0.0,0.0,0.0,NULL,NULL,0.0
74,2019-04-17,0.0,1.0,0.0,22,161,27.0
75,2019-04-18,0.0,2.0,0.0,21,139,12.0
76,2019-04-19,0.0,0.0,0.0,NULL,NULL,0.0
77,2019-04-20,0.0,1.0,300.0,23,157,2.0
78,2019-04-21,0.0,0.0,0.0,NULL,NULL,0.0
79,2019-04-22,0.0,1.0,0.0,26,155,2.0
80,2019-04-23,0.0,1.0,0.0,24,154,1.0
81,2019-04-24,0.0,4.0,700.0,19,122,27.0
82,2019-04-25,0.0,1.0,700.0,31,170,2.0
83,2019-04-26,0.0,2.0,2500.0,22,133,5.0
84,2019-04-27,0.0,0.0,0.0,NULL,NULL,0.0
85,2019-04-28,0.0,3.0,2937.809183,19,125,6.0
86,2019-04-29,0.0,2.0,200.0,20,138,2.0
87,2019-04-30,0.0,3.0,3999.0,19,122,9.0
88,2019-05-01,0.0,1.0,0.0,23,154,1.0
89,2019-05-02,0.0,2.0,0.0,20,136,5.0
90,2019-05-03,0.0,1.0,0.0,26,152,2.0
91,2019-05-04,0.0,2.0,0.0,21,130,4.0
92,2019-05-05,0.0,0.0,0.0,NULL,NULL,0.0
93,2019-05-06,0.0,0.0,0.0,NULL,NULL,0.0
94,2019-05-07,0.0,0.0,0.0,NULL,NULL,0.0
95,2019-05-08,0.0,1.0,0.0,26,143,2.0
96,2019-05-09,0.0,0.0,0.0,NULL,NULL,0.0
97,2019-05-10,0.0,1.0,0.0,21,135,2.0
98,2019-05-11,0.0,0.0,0.0,NULL,NULL,0.0
99,2019-05-12,0.0,0.0,0.0,NULL,NULL,0.0
100,2019-05-13,0.0,0.0,0.0,NULL,NULL,0.0
101,2019-05-14,0.0,1.0,0.0,23,132,1.0
102,2019-05-15,0.0,1.0,0.0,26,140,3.0
103,2019-05-16,0.0,1.0,0.0,24,141,10.0
104,2019-05-17,0.0,0.0,0.0,NULL,NULL,0.0
105,2019-05-18,0.0,0.0,0.0,NULL,NULL,0.0
106,2019-05-19,0.0,0.0,0.0,NULL,NULL,0.0
107,2019-05-20,0.0,2.0,0.0,23,120,12.0
108,2019-05-21,0.0,2.0,875.347244,22,118,7.0
109,2019-05-22,0.0,4.0,2619.481199,19,102,17.0
