,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-08-08,0.0,106.0,415550.0,3,25,2344.0
1,2019-08-09,0.0,180.0,640871.0,2,19,2796.0
2,2019-08-10,0.0,199.0,512279.5,2,18,1435.0
3,2019-08-11,0.0,164.0,289440.0,3,20,816.0
4,2019-08-12,1811903.5,259.0,199533.0,2,19,1707.0
5,2019-08-13,2173690.62,319.0,395316.0,2,17,2107.0
6,2019-08-14,2522538.33,578.0,410102.5,2,14,3875.0
7,2019-08-15,3146172.15,519.0,688702.9,2,13,3067.0
8,2019-08-16,3530927.23,568.0,457807.88,2,14,3061.0
9,2019-08-17,3584522.49,577.0,121976.5,2,12,2582.0
10,2019-08-18,3652603.67,580.0,111772.78,2,13,2290.0
11,2019-08-19,3749019.31,601.0,170050.54,2,10,2241.0
12,2019-08-20,3828211.02,694.0,170982.27,2,11,2437.0
13,2019-08-21,3913948.9,704.0,176414.56,2,10,2804.0
14,2019-08-22,0.0,747.0,113866.0,2,11,2247.0
15,2019-08-23,3948428.76,743.0,46597.0,2,10,2080.0
16,2019-08-24,3967469.07,678.0,67259.71,2,11,2218.0
17,2019-08-25,3945804.72,739.0,98260.87,2,11,2291.0
18,2019-08-26,3938987.44,771.0,73095.19,2,10,2513.0
19,2019-08-27,3911159.19,808.0,86788.83,2,8,2544.0
20,2019-08-28,3942055.44,811.0,130179.1,2,8,2590.0
21,2019-08-29,3916124.62,803.0,72096.883,2,8,2623.0
22,2019-08-30,3998897.06,810.0,163788.0,2,8,2573.0
23,2019-08-31,4196988.46,826.0,307846.0,2,8,2849.0
24,2019-09-01,4200252.98,839.0,165356.62,2,8,2887.0
25,2019-09-02,4279358.96,917.0,243670.139872,2,8,3517.0
26,2019-09-03,0.0,904.0,518830.0,2,8,3166.0
27,2019-09-04,4597725.78,912.0,140992.32,2,8,3269.0
28,2019-09-05,4735188.24,980.0,285779.94706,2,8,4093.0
29,2019-09-06,4845390.35,1035.0,273518.57,2,8,4611.0
30,2019-09-07,4947910.61,1042.0,247391.66,2,7,3836.0
31,2019-09-08,4966681.48,1007.0,163277.81,2,8,3622.0
32,2019-09-09,5104432.91,1133.0,323108.69,2,7,4387.0
33,2019-09-10,5009635.33,1120.0,131396.3,2,6,3734.0
34,2019-09-11,4915971.2,1113.0,92892.13,2,8,3746.0
35,2019-09-12,4864296.0,1162.0,108823.454188,2,7,4386.0
36,2019-09-13,4865110.92,1184.0,184726.74,2,7,4326.0
37,2019-09-14,4858749.2,1153.0,212132.28,2,7,4358.0
38,2019-09-15,4760201.28,1201.0,153708.6,2,5,4334.0
39,2019-09-16,4702755.46,1267.0,108650.6,2,5,4506.0
40,2019-09-17,4448195.73,1241.0,143691.23,2,6,4288.0
41,2019-09-18,4206560.65,1310.0,101728.42,2,6,4348.0
42,2019-09-19,4170191.77,1312.0,196964.416,2,5,4401.0
43,2019-09-20,4011919.66,1327.0,154903.69,2,5,4709.0
44,2019-09-21,4682762.74,1292.0,1010110.94,2,5,4913.0
45,2019-09-22,4598568.37,1340.0,272508.33,2,5,4849.0
46,2019-09-23,5497459.22,1474.0,1271333.63,2,4,6036.0
47,2019-09-24,5387717.11,1507.0,404890.95,2,6,5520.0
48,2019-09-25,5705071.57,1580.0,694475.86,2,5,6192.0
49,2019-09-26,5836694.3,1573.0,493340.93,2,5,5718.0
50,2019-09-27,5698861.92,1562.0,209546.48,1,4,5245.0
51,2019-09-28,5390295.54,1573.0,138649.54,1,3,5490.0
52,2019-09-29,5251973.71,1572.0,181618.69,1,4,5700.0
53,2019-09-30,5274863.49,1717.0,522535.72102,1,4,6144.0
54,2019-10-01,5273722.93,1850.0,453162.08,1,3,5958.0
55,2019-10-02,4999349.53,1937.0,235429.8,1,4,6139.0
56,2019-10-03,5399227.99,1985.0,891978.2,1,4,6911.0
57,2019-10-04,5550316.35,2113.0,685213.46,1,3,7307.0
58,2019-10-05,5526906.75,2094.0,504504.52,1,4,7496.0
59,2019-10-06,5239038.95,2455.0,291952.98,1,2,8228.0
60,2019-10-07,5135492.79,2470.0,441548.2,1,2,8615.0
61,2019-10-08,4984014.42,2615.0,315189.01,1,1,9616.0
62,2019-10-09,4705058.59,2748.0,263143.79,1,1,9043.0
63,2019-10-10,4435591.91,2782.0,264371.76,1,1,9980.0
64,2019-10-11,4643160.09,2698.0,821858.24,1,2,9030.0
65,2019-10-12,4559341.21,2612.0,578283.760009,1,1,9439.0
66,2019-10-13,4336673.06,2639.0,382304.45,1,2,9592.0
67,2019-10-14,3887427.09,2797.0,269267.65,1,1,9627.0
68,2019-10-15,3658726.92,2882.0,460250.63,1,1,10250.0
69,2019-10-16,3287873.19,3323.0,383407.17,1,1,10717.0
70,2019-10-17,2712388.95,3199.0,258503.62,1,1,10345.0
71,2019-10-18,1858330.56,3191.0,235544.05,1,1,10064.0
72,2019-10-19,1071548.4,3009.0,210104.72,1,2,10378.0
73,2019-10-20,1.41,3068.0,102764.73,1,1,10477.0
74,2019-10-21,498.0,1971.0,14602.3,1,4,3804.0
75,2019-10-22,245.0,1395.0,10578.0,1,5,2516.0
76,2019-10-23,0.44,1180.0,1952.0,1,6,2100.0
77,2019-10-24,0.0,1910.0,5120267.846259,1,4,20535.0
78,2019-10-25,7932143.78,2350.0,3537231.246152,1,3,14766.0
79,2019-10-26,9219065.19,5163.0,1422536.855628,1,1,13829.0
80,2019-10-27,10420130.7,6174.0,1472451.49413,1,1,17765.0
81,2019-10-28,0.0,7670.0,396120.959676,1,1,21304.0
82,2019-10-29,0.0,9652.0,760627.301907,1,1,26697.0
83,2019-10-30,0.0,9665.0,466856.161292,1,1,27635.0
84,2019-10-31,0.0,10417.0,175250.337132,1,1,30481.0
85,2019-11-01,0.0,10917.0,476928.720907,1,1,34727.0
86,2019-11-02,0.0,11175.0,213641.855894,1,1,33287.0
87,2019-11-03,0.0,12921.0,278039.191456,1,1,36187.0
88,2019-11-04,0.0,14279.0,322360.789819,1,1,41591.0
89,2019-11-05,0.0,14380.0,230736.832619,1,1,42499.0
90,2019-11-06,11823187.56,14331.0,124227.772653,1,1,43445.0
91,2019-11-07,11657180.26,14303.0,82914.422277,1,1,42911.0
92,2019-11-08,11476906.72,14345.0,86784.742939,1,1,40500.0
93,2019-11-09,11367995.26,14227.0,111482.560616,1,1,44905.0
94,2019-11-10,11247922.87,14423.0,96514.108835,1,1,40530.0
95,2019-11-11,11039187.61,14451.0,95436.680558,1,1,43527.0
96,2019-11-12,10937275.37,14473.0,86106.614255,1,1,44466.0
97,2019-11-13,10593997.53,14543.0,99788.197345,1,1,42363.0
98,2019-11-14,8505752.23,14433.0,472638.995769,1,1,43656.0
99,2019-11-15,8516309.46,14771.0,361833.733746,1,1,43390.0
100,2019-11-16,8365605.3,14711.0,176974.498123,1,1,43732.0
101,2019-11-17,8132153.08,14232.0,212474.810192,1,1,43065.0
102,2019-11-18,7943715.67,14705.0,154830.172398,1,1,48178.0
103,2019-11-19,7646550.63,14287.0,157288.582733,1,1,42655.0
104,2019-11-20,7412949.54,14731.0,103019.394519,1,1,41948.0
105,2019-11-21,7189444.99,14264.0,123852.934583,1,1,41507.0
106,2019-11-22,6867423.78,14673.0,62398.467668,1,1,41352.0
107,2019-11-23,6217895.39,14679.0,126924.71516,1,1,47260.0
108,2019-11-24,5985702.37,14570.0,235168.214041,1,1,45966.0
109,2019-11-25,5505149.9,14293.0,75486.044927,1,1,38929.0
110,2019-11-26,5011479.79,13880.0,76645.418062,1,1,40526.0
111,2019-11-27,4423581.15,14635.0,26119.17665,1,1,40709.0
112,2019-11-28,3855962.02,13253.0,39476.116292,1,1,39391.0
113,2019-11-29,3198683.76,9946.0,66318.869014,1,1,20149.0
114,2019-11-30,2662348.46,6441.0,139396.563915,1,1,13365.0
115,2019-12-01,1843501.25,9402.0,29895.641138,1,1,14532.0
116,2019-12-02,1195263.62,5307.0,104577.485025,1,1,9144.0
117,2019-12-03,295189.88,13894.0,14573.166442,1,1,19018.0
118,2019-12-04,16.88,9470.0,754.053047,1,1,11426.0
119,2019-12-05,12.85,611.0,465.085572,2,16,1063.0
120,2019-12-06,16.87,403.0,57.184163,2,25,728.0
121,2019-12-07,15.8,318.0,0.02418,2,26,555.0
122,2019-12-08,32.66,297.0,17.618813,2,24,556.0
123,2019-12-09,40.88,273.0,37.004763,2,26,551.0
124,2019-12-10,49.69,84.0,10.303833,4,39,133.0
125,2019-12-11,4.24,56.0,6.310859,5,50,101.0
126,2019-12-12,15.68,39.0,11.510353,5,51,61.0
127,2019-12-13,14.75,31.0,0.054416,7,57,60.0
128,2019-12-14,24.03,27.0,9.382362,6,55,48.0
129,2019-12-15,24.16,41.0,1035.129005,5,52,80.0
130,2019-12-16,24.28,17.0,0.124664,10,69,32.0
131,2019-12-17,7.52,13.0,16.20378,9,78,21.0
132,2019-12-18,14.73,18.0,7.279989,9,72,36.0
133,2019-12-19,16.56,22.0,121.856882,9,65,41.0
134,2019-12-20,16.69,10.0,0.127816,13,84,21.0
135,2019-12-21,16.81,10.0,0.122873,11,80,13.0
136,2019-12-22,22.85,10.0,6.064967,13,80,14.0
137,2019-12-23,41.65,8.0,18.829424,14,90,15.0
138,2019-12-24,10.37,7.0,34.612613,11,86,10.0
139,2019-12-25,29.45,5.0,19.150701,13,94,7.0
140,2019-12-26,31.49,6.0,4.392982,12,98,10.0
141,2019-12-27,26.67,8.0,0.0,12,91,13.0
142,2019-12-28,26.77,6.0,0.097746,12,96,7.0
143,2019-12-29,39.63,8.0,12.957394,12,86,10.0
144,2019-12-30,39.72,7.0,0.089593,12,88,12.0
145,2019-12-31,39.81,7.0,0.084493,11,84,11.0
146,2020-01-01,39.88,5.0,0.07853,12,95,7.0
147,2020-01-02,39.96,3.0,0.073728,17,112,5.0
148,2020-01-03,40.03,3.0,0.069104,16,107,3.0
149,2020-01-04,40.1,3.0,0.069783,15,109,9.0
150,2020-01-05,40.16,2.0,0.067088,16,118,2.0
151,2020-01-06,40.23,2.0,0.068065,17,110,2.0
152,2020-01-07,40.3,4.0,0.067529,14,101,12.0
153,2020-01-08,40.36,2.0,0.06289,18,108,5.0
154,2020-01-09,40.42,2.0,0.060184,16,111,2.0
155,2020-01-10,40.48,1.0,0.056691,16,129,1.0
156,2020-01-11,40.53,1.0,0.052659,20,142,1.0
157,2020-01-12,40.58,2.0,0.050415,15,112,2.0
