,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-12-27,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-12-28,0.0,0.0,0.0,NULL,NULL,0.0
2,2018-12-29,40596.0,0.0,0.0,NULL,NULL,0.0
3,2018-12-30,42342.0,0.0,0.0,NULL,NULL,0.0
4,2018-12-31,43299.0,30.0,5233.0,5,31,298.0
5,2019-01-01,45705.0,19.0,21765.0,6,30,523.0
6,2019-01-02,50989.0,25.0,28580.0,7,33,646.0
7,2019-01-03,51569.0,20.0,9672.0,8,36,545.0
8,2019-01-04,51664.0,18.0,475.0,9,39,53.0
9,2019-01-05,56132.0,16.0,24679.0,10,39,531.0
10,2019-01-06,63268.0,18.0,56590.0,13,38,1075.0
11,2019-01-07,63063.0,25.0,55647.0,11,33,1951.0
12,2019-01-08,64693.0,16.0,15430.0,11,41,654.0
13,2019-01-09,66043.0,17.0,6540.0,13,42,333.0
14,2019-01-10,66739.0,12.0,4688.0,16,47,177.0
15,2019-01-11,67089.0,15.0,630.0,12,43,36.0
16,2019-01-12,67789.0,14.0,5445.0,13,45,226.0
17,2019-01-13,72147.0,17.0,21093.0,14,45,785.0
18,2019-01-14,76707.0,10.0,13654.0,15,49,769.0
19,2019-01-15,78112.0,4.0,5200.0,19,61,230.0
20,2019-01-16,78437.0,26.0,3089.0,9,38,149.0
21,2019-01-17,78235.0,11.0,1961.0,15,48,75.0
22,2019-01-18,78280.0,7.0,240.0,18,56,23.0
23,2019-01-19,0.0,6.0,112.0,19,61,19.0
24,2019-01-20,0.0,2.0,78.0,22,68,8.0
25,2019-01-21,82461.0,16.0,23272.0,16,47,200.0
26,2019-01-22,0.0,7.0,82678.0,17,52,39.0
27,2019-01-23,82508.0,6.0,82712.0,18,55,18.0
28,2019-01-24,82581.0,3.0,110.0,25,71,13.0
29,2019-01-25,82737.0,8.0,710.0,18,58,128.0
30,2019-01-26,83047.0,3.0,430.0,19,65,14.0
31,2019-01-27,83047.0,1.0,0.0,28,79,1.0
32,2019-01-31,83349.0,8.0,1490.0,19,57,275.0
33,2019-02-01,83423.0,3.0,230.0,23,73,43.0
34,2019-02-02,83423.0,2.0,2240.0,22,71,16.0
35,2019-02-03,10.0,20.0,87233.0,13,44,717.0
36,2019-02-04,0.0,23.0,55374.0,13,40,1023.0
37,2019-02-05,0.0,39.0,2584.0,11,36,378.0
38,2019-02-06,93728.56,10.0,665.0,17,55,149.0
39,2019-02-07,97840.1,64.0,15201.0,10,32,415.0
40,2019-02-08,98661.56,8.0,4630.0,17,57,356.0
41,2019-02-09,100323.26,5.0,4420.0,18,59,204.0
42,2019-02-10,100569.16,2.0,1180.0,22,72,126.0
43,2019-02-11,103511.83,10.0,25867.0,17,59,446.0
44,2019-02-12,109569.58,72.0,35008.0,10,36,1266.0
45,2019-02-13,120214.71,76.0,50763.0,9,34,1771.0
46,2019-02-14,124113.86,77.0,32291.0,9,33,1065.0
47,2019-02-15,125591.76,67.0,10815.0,9,37,848.0
48,2019-02-16,126971.69,9.0,4929.0,17,61,117.0
49,2019-02-17,125877.54,62.0,19362.0,9,36,806.0
50,2019-02-18,125877.97,12.0,270.0,15,59,30.0
51,2019-02-19,125875.69,3.0,50.0,23,78,6.0
52,2019-02-20,125870.57,3.0,70.0,24,80,8.0
53,2019-02-21,125831.38,5.0,137.0,21,73,9.0
54,2019-02-22,0.0,3.0,60.0,20,84,12.0
55,2019-02-23,0.0,3.0,60.0,19,78,8.0
56,2019-02-24,0.0,3.0,7740.0,20,81,181.0
57,2019-02-25,127083.73,4.0,1320.0,19,78,57.0
58,2019-02-26,127299.5,7.0,523.0,17,66,34.0
59,2019-02-27,127293.59,2.0,100.0,25,88,10.0
60,2019-02-28,127287.73,3.0,220.0,20,85,32.0
61,2019-03-01,127293.35,4.0,70.0,19,78,12.0
62,2019-03-03,127312.24,2.0,300.0,26,90,11.0
63,2019-03-04,127296.64,3.0,580.0,25,90,10.0
64,2019-03-05,127295.46,2.0,20.0,24,95,2.0
65,2019-03-06,92758.48,6.0,43660.0,19,77,140.0
66,2019-03-07,153479.92,9.0,99140.0,18,76,201.0
67,2019-03-08,150638.93,10.0,55660.0,18,69,150.0
68,2019-03-09,138748.49,7.0,9468.0,20,76,51.0
69,2019-03-10,137152.47,9.0,5641.0,19,70,118.0
70,2019-03-11,116178.11,8.0,2436.0,17,70,110.0
71,2019-03-12,116176.46,2.0,20.0,22,95,2.0
72,2019-03-13,106302.84,3.0,4950.0,22,89,33.0
73,2019-03-14,0.0,7.0,24065.0,17,74,311.0
74,2019-03-15,0.0,3.0,2820.0,22,93,14.0
75,2019-03-16,0.0,5.0,10330.0,19,84,54.0
76,2019-03-17,0.0,3.0,12070.0,21,96,62.0
77,2019-03-18,0.0,5.0,570.0,20,88,40.0
78,2019-03-19,0.0,4.0,30.0,23,98,6.0
79,2019-03-20,81163.89,0.0,0.0,NULL,NULL,0.0
80,2019-03-21,81163.89,0.0,0.0,NULL,NULL,0.0
81,2019-03-22,81393.37,4.0,628.0,23,106,79.0
82,2019-03-23,85015.35,7.0,6019.0,22,97,45.0
83,2019-03-24,85662.21,7.0,873.0,20,100,45.0
84,2019-03-25,87550.01,7.0,4388.0,20,104,201.0
85,2019-03-26,87711.75,4.0,120.0,21,115,16.0
86,2019-03-27,88728.72,4.0,1644.0,22,122,37.0
87,2019-03-28,88728.72,0.0,0.0,NULL,NULL,0.0
88,2019-03-29,88824.64,3.0,140.0,23,127,19.0
89,2019-03-30,95736.39,6.0,11000.0,21,112,222.0
90,2019-03-31,99871.4,3.0,7490.0,21,141,64.0
91,2019-04-01,100011.75,5.0,290.0,20,134,40.0
92,2019-04-02,100011.75,0.0,0.0,NULL,NULL,0.0
93,2019-04-03,100020.25,3.0,52.8932,21,143,3.0
94,2019-04-04,100059.14,3.0,130.0,23,143,18.0
95,2019-04-05,100883.72,3.0,1700.0,22,133,28.0
96,2019-04-06,100885.18,7.0,990.0,19,108,98.0
97,2019-04-07,73620.77,3.0,35720.0,22,137,145.0
98,2019-04-08,73858.07,4.0,844.0,21,136,43.0
99,2019-04-09,73858.07,0.0,0.0,NULL,NULL,0.0
100,2019-04-10,74044.21,3.0,410.0,20,134,82.0
101,2019-04-11,74115.56,2.0,210.0,22,150,42.0
102,2019-04-12,74425.43,3.0,584.0,24,136,76.0
103,2019-04-13,74425.06,2.0,10.0,21,137,2.0
104,2019-04-14,74531.32,2.0,268.0,22,137,14.0
105,2019-04-15,74531.32,0.0,0.0,NULL,NULL,0.0
106,2019-04-16,74531.32,0.0,0.0,NULL,NULL,0.0
107,2019-04-17,74568.32,2.0,40.0,21,146,8.0
108,2019-04-18,74568.32,0.0,0.0,NULL,NULL,0.0
109,2019-04-19,74567.77,2.0,15.0,21,146,2.0
110,2019-04-20,75244.38,6.0,1290.0,18,115,84.0
111,2019-04-21,75267.81,5.0,80.0,20,118,16.0
112,2019-04-22,75349.94,5.0,210.0,21,115,34.0
113,2019-04-23,75366.57,3.0,30.0,20,127,6.0
114,2019-04-24,75574.44,2.0,254.983977,24,150,4.0
115,2019-04-25,75582.94,2.0,10.0,26,157,2.0
116,2019-04-26,75582.94,0.0,0.0,NULL,NULL,0.0
117,2019-04-27,75662.86,2.0,160.0,19,139,32.0
118,2019-04-28,75662.86,0.0,0.0,NULL,NULL,0.0
119,2019-04-29,75722.42,3.0,150.0,19,127,28.0
120,2019-04-30,75722.42,0.0,0.0,NULL,NULL,0.0
121,2019-05-01,75732.42,2.0,10.0,19,134,2.0
122,2019-05-02,75732.42,0.0,0.0,NULL,NULL,0.0
123,2019-05-03,77427.65,8.0,3230.0,16,97,119.0
124,2019-05-04,77901.35,8.0,1675.0,17,93,52.0
125,2019-05-05,78031.35,3.0,130.0,22,118,7.0
126,2019-05-06,78708.57,5.0,1345.0,19,103,35.0
127,2019-05-07,78920.06,3.0,405.0,20,121,66.0
128,2019-05-08,79643.23,4.0,1416.473034,19,112,47.0
129,2019-05-09,79651.73,2.0,10.0,22,131,2.0
130,2019-05-10,79651.73,0.0,0.0,NULL,NULL,0.0
131,2019-05-11,80777.19,2.0,2800.0,20,130,31.0
132,2019-05-12,80961.15,2.0,10.0,18,115,2.0
133,2019-05-13,80961.15,0.0,0.0,NULL,NULL,0.0
134,2019-05-14,81253.47,2.0,420.0,21,121,5.0
135,2019-05-15,81261.61,2.0,20.0,23,122,4.0
136,2019-05-16,81261.61,0.0,0.0,NULL,NULL,0.0
137,2019-05-17,81287.0,2.0,50.0,20,112,9.0
138,2019-05-18,81287.0,0.0,0.0,NULL,NULL,0.0
139,2019-05-19,81287.0,0.0,0.0,NULL,NULL,0.0
140,2019-05-20,81287.0,0.0,0.0,NULL,NULL,0.0
141,2019-05-21,81286.64,2.0,10.0,22,118,2.0
142,2019-05-22,81286.64,0.0,0.0,NULL,NULL,0.0
143,2019-05-23,10.19,2.0,10.0,24,129,4.0
144,2019-05-24,10.19,0.0,0.0,NULL,NULL,0.0
145,2019-05-25,10.19,0.0,0.0,NULL,NULL,0.0
146,2019-05-26,10.19,0.0,0.0,NULL,NULL,0.0
147,2019-05-27,10.19,0.0,0.0,NULL,NULL,0.0
148,2019-05-28,10.19,0.0,0.0,NULL,NULL,0.0
149,2019-05-29,0.19,0.0,0.0,NULL,NULL,0.0
150,2019-05-30,10.19,0.0,0.0,NULL,NULL,0.0
151,2019-05-31,10.19,0.0,0.0,NULL,NULL,0.0
152,2019-06-01,10.19,0.0,0.0,NULL,NULL,0.0
153,2019-06-02,10.19,0.0,0.0,NULL,NULL,0.0
154,2019-06-03,10.19,0.0,0.0,NULL,NULL,0.0
155,2019-06-04,10.19,0.0,0.0,NULL,NULL,0.0
156,2019-06-05,10.19,0.0,0.0,NULL,NULL,0.0
157,2019-06-06,10.19,0.0,0.0,NULL,NULL,0.0
158,2019-06-07,10.19,0.0,0.0,NULL,NULL,0.0
159,2019-06-08,10.19,0.0,0.0,NULL,NULL,0.0
160,2019-06-09,10.19,0.0,0.0,NULL,NULL,0.0
161,2019-06-10,10.19,0.0,0.0,NULL,NULL,0.0
162,2019-06-11,10.19,0.0,0.0,NULL,NULL,0.0
163,2019-06-12,10.19,0.0,0.0,NULL,NULL,0.0
164,2019-06-13,10.19,0.0,0.0,NULL,NULL,0.0
165,2019-06-14,10.19,0.0,0.0,NULL,NULL,0.0
166,2019-06-15,10.19,0.0,0.0,NULL,NULL,0.0
167,2019-06-16,10.19,0.0,0.0,NULL,NULL,0.0
168,2019-06-17,10.19,0.0,0.0,NULL,NULL,0.0
169,2019-06-18,10.19,0.0,0.0,NULL,NULL,0.0
170,2019-06-19,10.19,0.0,0.0,NULL,NULL,0.0
171,2019-06-20,10.19,0.0,0.0,NULL,NULL,0.0
172,2019-06-21,10.19,0.0,0.0,NULL,NULL,0.0
173,2019-06-22,10.19,0.0,0.0,NULL,NULL,0.0
174,2019-06-23,10.19,0.0,0.0,NULL,NULL,0.0
175,2019-06-24,10.19,0.0,0.0,NULL,NULL,0.0
176,2019-06-25,10.19,0.0,0.0,NULL,NULL,0.0
177,2019-06-26,10.19,0.0,0.0,NULL,NULL,0.0
178,2019-06-27,10.19,0.0,0.0,NULL,NULL,0.0
179,2019-06-28,10.19,0.0,0.0,NULL,NULL,0.0
180,2019-06-29,10.19,0.0,0.0,NULL,NULL,0.0
181,2019-06-30,10.19,0.0,0.0,NULL,NULL,0.0
182,2019-07-01,10.19,0.0,0.0,NULL,NULL,0.0
183,2019-07-02,10.19,0.0,0.0,NULL,NULL,0.0
184,2019-07-03,10.19,0.0,0.0,NULL,NULL,0.0
185,2019-07-04,10.19,0.0,0.0,NULL,NULL,0.0
186,2019-07-05,10.19,0.0,0.0,NULL,NULL,0.0
187,2019-07-06,10.19,0.0,0.0,NULL,NULL,0.0
188,2019-07-07,10.19,0.0,0.0,NULL,NULL,0.0
189,2019-07-08,10.19,0.0,0.0,NULL,NULL,0.0
190,2019-07-09,10.19,0.0,0.0,NULL,NULL,0.0
191,2019-07-10,10.19,0.0,0.0,NULL,NULL,0.0
192,2019-07-11,10.19,0.0,0.0,NULL,NULL,0.0
193,2019-07-12,10.19,0.0,0.0,NULL,NULL,0.0
194,2019-07-13,10.19,0.0,0.0,NULL,NULL,0.0
195,2019-07-14,10.19,0.0,0.0,NULL,NULL,0.0
196,2019-07-15,10.19,0.0,0.0,NULL,NULL,0.0
197,2019-07-16,10.19,0.0,0.0,NULL,NULL,0.0
198,2019-07-17,10.19,0.0,0.0,NULL,NULL,0.0
199,2019-07-18,10.19,0.0,0.0,NULL,NULL,0.0
200,2019-07-19,10.19,0.0,0.0,NULL,NULL,0.0
201,2019-07-20,10.19,0.0,0.0,NULL,NULL,0.0
202,2019-07-21,10.19,0.0,0.0,NULL,NULL,0.0
203,2019-07-22,10.19,0.0,0.0,NULL,NULL,0.0
