,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-12-09,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-12-11,0.0,0.0,0.0,NULL,NULL,0.0
2,2018-12-12,0.0,0.0,0.0,NULL,NULL,0.0
3,2018-12-13,65521.0,0.0,0.0,NULL,NULL,0.0
4,2018-12-14,77533.0,0.0,0.0,NULL,NULL,0.0
5,2018-12-15,126205.0,0.0,0.0,NULL,NULL,0.0
6,2018-12-16,130105.0,0.0,0.0,NULL,NULL,0.0
7,2018-12-17,1084045.0,0.0,0.0,NULL,NULL,0.0
8,2018-12-18,1855465.0,0.0,0.0,NULL,NULL,0.0
9,2018-12-19,2009128.0,0.0,0.0,NULL,NULL,0.0
10,2018-12-20,2053588.0,0.0,0.0,NULL,NULL,0.0
11,2018-12-21,2075428.0,0.0,0.0,NULL,NULL,0.0
12,2018-12-22,2128468.0,0.0,0.0,NULL,NULL,0.0
13,2018-12-23,2457628.0,0.0,0.0,NULL,NULL,0.0
14,2018-12-24,2742729.0,0.0,0.0,NULL,NULL,0.0
15,2018-12-25,2737729.0,0.0,0.0,NULL,NULL,0.0
16,2018-12-26,2450057.0,0.0,0.0,NULL,NULL,0.0
17,2018-12-27,2450057.0,0.0,0.0,NULL,NULL,0.0
18,2018-12-28,2314937.0,0.0,0.0,NULL,NULL,0.0
19,2018-12-29,2164741.0,0.0,0.0,NULL,NULL,0.0
20,2018-12-30,2012326.0,0.0,0.0,NULL,NULL,0.0
21,2018-12-31,2012203.0,85.0,64400.0,4,20,237.0
22,2019-01-01,2006203.0,87.0,5050.0,4,19,182.0
23,2019-01-02,2000203.0,86.0,107825.0,5,21,330.0
24,2019-01-03,2000203.0,85.0,50600.0,5,21,258.0
25,2019-01-04,2000203.0,65.0,5550.0,7,25,179.0
26,2019-01-05,2000203.0,67.0,1400.0,7,23,210.0
27,2019-01-06,2000203.0,140.0,1850.0,5,18,401.0
28,2019-01-07,1995203.0,80.0,203600.0,6,21,199.0
29,2019-01-08,1995203.0,108.0,5950.0,6,23,314.0
30,2019-01-09,2492103.0,107.0,1500.0,8,24,263.0
31,2019-01-10,2494103.0,33.0,2010.0,8,31,278.0
32,2019-01-11,2540103.0,72.0,51260.0,7,26,165.0
33,2019-01-12,2363103.0,75.0,3550.0,6,22,311.0
34,2019-01-13,2366103.0,88.0,7200.0,6,22,187.0
35,2019-01-14,2369903.0,93.0,4250.0,6,24,197.0
36,2019-01-15,55000.0,66.0,52200.0,7,29,174.0
37,2019-01-16,51000.0,78.0,51400.0,7,26,254.0
38,2019-01-17,57000.0,105.0,6450.0,6,21,379.0
39,2019-01-18,59000.0,98.0,2500.0,6,23,230.0
40,2019-01-19,59000.0,65.0,300.0,9,31,137.0
41,2019-01-20,0.0,70.0,2600.0,9,31,123.0
42,2019-01-21,0.0,65.0,1200.0,10,31,121.0
43,2019-01-22,1000.0,68.0,1400.0,10,33,164.0
44,2019-01-23,2000.0,48.0,1100.0,11,36,74.0
45,2019-01-24,2000.0,60.0,200.0,12,35,84.0
46,2019-01-25,0.0,79.0,57200.0,10,28,213.0
47,2019-01-26,0.0,44.0,200.0,11,29,76.0
48,2019-01-27,5000.0,74.0,5600.0,10,29,173.0
49,2019-01-28,0.0,110.0,2200.0,9,27,392.0
50,2019-01-29,6000.0,63.0,3200.0,10,30,109.0
51,2019-01-30,4700.0,74.0,2300.0,10,30,168.0
52,2019-01-31,15700.0,80.0,11600.0,10,30,272.0
53,2019-02-01,0.0,68.0,400.0,10,33,209.0
54,2019-02-02,3600.0,63.0,4200.0,9,33,111.0
55,2019-02-03,7600.0,53.0,4200.0,10,34,76.0
56,2019-02-04,1000.0,53.0,5200.0,9,32,95.0
57,2019-02-05,5400.0,55.0,5150.0,10,34,107.0
58,2019-02-06,9200.0,48.0,4100.0,10,34,90.0
59,2019-02-07,10000.0,49.0,4100.0,11,36,103.0
60,2019-02-08,13000.0,61.0,2100.0,10,32,133.0
61,2019-02-09,13800.0,53.0,1150.0,9,32,112.0
62,2019-02-10,15800.0,56.0,2100.0,10,34,91.0
63,2019-02-11,16000.0,75.0,5250.0,10,33,196.0
64,2019-02-12,19000.0,22.0,3000.0,16,48,41.0
65,2019-02-13,22000.0,18.0,3000.0,15,49,45.0
66,2019-02-14,72000.0,20.0,50000.0,13,46,52.0
67,2019-02-15,2000.0,63.0,2250.0,10,40,150.0
68,2019-02-16,7000.0,54.0,5100.0,9,38,98.0
69,2019-02-17,20000.0,59.0,13150.0,11,38,109.0
70,2019-02-18,20000.0,64.0,100.0,9,36,113.0
71,2019-02-19,25000.0,42.0,5050.0,10,40,61.0
72,2019-02-20,1000.0,53.0,6100.0,10,38,81.0
73,2019-02-21,1000.0,40.0,100.0,10,44,84.0
74,2019-02-22,8000.0,80.0,7250.0,11,35,109.0
75,2019-02-23,0.0,34.0,2050.0,11,43,43.0
76,2019-02-24,0.0,36.0,3050.0,11,44,43.0
77,2019-02-25,4000.0,65.0,1150.0,11,37,95.0
