,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-11-26,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-11-27,0.0,0.0,0.0,NULL,NULL,0.0
2,2018-12-01,0.0,0.0,0.0,NULL,NULL,0.0
3,2018-12-31,0.0,3.0,0.0,11,46,8.0
4,2019-01-02,0.0,1.0,0.0,16,63,1.0
5,2019-01-03,0.0,2.0,825.0,18,56,4.0
6,2019-01-04,0.0,1.0,0.0,24,74,1.0
7,2019-01-05,0.0,1.0,0.0,28,81,1.0
8,2019-01-07,0.0,1.0,0.0,28,77,1.0
9,2019-01-08,0.0,1.0,0.0,25,77,1.0
10,2019-01-09,472.6,6.0,4.0,18,56,10.0
11,2019-01-10,472.6,1.0,0.0,28,84,1.0
12,2019-01-12,472.6,1.0,0.0,24,73,1.0
13,2019-01-14,472.47,2.0,0.0,27,79,2.0
14,2019-01-16,472.47,1.0,0.0,25,77,1.0
15,2019-01-18,472.47,1.0,0.0,28,83,1.0
16,2019-01-20,0.0,1.0,0.0,26,76,1.0
17,2019-01-22,472.47,1.0,0.0,27,78,1.0
18,2019-01-24,472.19,1.0,0.0,31,83,1.0
19,2019-01-26,472.19,1.0,0.0,24,78,1.0
20,2019-01-28,0.0,1.0,0.0,24,77,1.0
21,2019-01-30,0.0,1.0,0.0,30,88,1.0
22,2019-02-01,0.0,1.0,0.0,25,81,1.0
23,2019-02-03,0.0,1.0,0.0,24,80,1.0
24,2019-02-04,500.0,1.0,500.0,26,80,1.0
25,2019-02-05,500.0,1.0,0.0,27,82,1.0
26,2019-02-07,500.0,1.0,0.0,25,75,1.0
27,2019-02-09,500.0,2.0,0.0,24,70,2.0
28,2019-02-11,500.0,1.0,0.0,31,87,1.0
29,2019-02-12,500.0,2.0,0.0,24,77,2.0
30,2019-02-14,500.0,1.0,0.0,28,90,1.0
31,2019-02-16,500.0,1.0,0.0,26,87,1.0
32,2019-02-18,500.0,1.0,0.0,30,90,1.0
33,2019-02-20,500.0,1.0,0.0,29,90,1.0
34,2019-02-22,500.0,1.0,0.0,24,94,1.0
35,2019-02-24,0.0,1.0,0.0,25,93,1.0
36,2019-02-27,500.0,1.0,0.0,28,99,1.0
37,2019-03-01,500.0,1.0,0.0,29,100,1.0
38,2019-03-03,500.0,2.0,0.0,26,90,2.0
39,2019-03-05,3.0,2.0,200.0,24,95,2.0
40,2019-03-06,0.0,1.0,0.0,28,104,1.0
41,2019-03-07,0.0,1.0,0.0,31,109,1.0
42,2019-03-08,0.0,1.0,0.0,30,107,1.0
43,2019-03-10,0.0,2.0,0.0,24,97,2.0
44,2019-03-11,0.0,1.0,0.0,30,115,1.0
45,2019-03-12,0.0,1.0,0.0,27,106,1.0
46,2019-03-13,0.0,1.0,0.0,28,108,1.0
47,2019-03-14,0.0,1.0,0.0,27,108,1.0
48,2019-03-15,0.0,2.0,30.0,23,98,2.0
49,2019-03-16,0.0,1.0,0.0,25,110,1.0
50,2019-03-19,0.0,1.0,0.0,28,124,1.0
51,2019-03-20,3.54,0.0,0.0,NULL,NULL,0.0
52,2019-03-21,3.54,1.0,0.0,24,116,1.0
53,2019-03-22,3.54,0.0,0.0,NULL,NULL,0.0
54,2019-03-23,3.54,1.0,0.0,28,129,1.0
55,2019-03-24,3.54,0.0,0.0,NULL,NULL,0.0
56,2019-03-25,3.54,1.0,0.0,27,133,1.0
57,2019-03-26,3.54,0.0,0.0,NULL,NULL,0.0
58,2019-03-27,3.54,0.0,0.0,NULL,NULL,0.0
59,2019-03-28,3.54,1.0,0.0,29,142,1.0
60,2019-03-29,3.54,0.0,0.0,NULL,NULL,0.0
61,2019-03-30,3.54,1.0,0.0,26,140,1.0
62,2019-03-31,3.54,0.0,0.0,NULL,NULL,0.0
63,2019-04-01,3.54,2.0,0.0,22,150,2.0
64,2019-04-02,3.54,0.0,0.0,NULL,NULL,0.0
65,2019-04-03,3.43,1.0,0.0,25,159,1.0
66,2019-04-04,3.43,0.0,0.0,NULL,NULL,0.0
67,2019-04-05,3.43,1.0,0.0,26,156,1.0
68,2019-04-06,3.43,0.0,0.0,NULL,NULL,0.0
69,2019-04-07,0.0,1.0,0.0,28,156,1.0
70,2019-04-08,7.03,1.0,19.0,26,158,1.0
71,2019-04-09,7.03,1.0,0.0,24,156,1.0
72,2019-04-10,7.03,0.0,0.0,NULL,NULL,0.0
73,2019-04-11,7.03,2.0,0.0,22,150,2.0
74,2019-04-12,7.03,0.0,0.0,NULL,NULL,0.0
75,2019-04-13,7.03,1.0,0.0,24,154,1.0
76,2019-04-14,7.03,0.0,0.0,NULL,NULL,0.0
77,2019-04-15,7.03,1.0,0.0,24,158,1.0
78,2019-04-16,7.03,0.0,0.0,NULL,NULL,0.0
79,2019-04-17,7.03,1.0,0.0,22,161,1.0
80,2019-04-18,7.03,0.0,0.0,NULL,NULL,0.0
81,2019-04-19,6.88,2.0,0.001483,21,146,3.0
82,2019-04-20,6.77,0.0,0.0,NULL,NULL,0.0
83,2019-04-21,6.77,1.0,0.0,27,162,1.0
84,2019-04-22,5.77,0.0,0.0,NULL,NULL,0.0
85,2019-04-23,5.77,0.0,0.0,NULL,NULL,0.0
86,2019-04-24,5.73,1.0,0.0,28,160,1.0
87,2019-04-25,5.73,0.0,0.0,NULL,NULL,0.0
88,2019-04-26,0.0,1.0,0.0,28,152,1.0
89,2019-04-27,5.73,1.0,0.0,23,150,1.0
90,2019-04-28,5.73,1.0,0.0,26,160,1.0
91,2019-04-29,5.73,0.0,0.0,NULL,NULL,0.0
92,2019-04-30,5.73,1.0,0.0,25,147,1.0
93,2019-05-01,3.58,0.0,0.0,NULL,NULL,0.0
94,2019-05-02,3.19,1.0,0.0,22,147,1.0
95,2019-05-03,3.19,0.0,0.0,NULL,NULL,0.0
96,2019-05-04,3.19,1.0,0.0,27,149,1.0
97,2019-05-05,3.19,0.0,0.0,NULL,NULL,0.0
