,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-12-23,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-12-25,60.0,0.0,0.0,NULL,NULL,0.0
2,2018-12-26,70.0,0.0,0.0,NULL,NULL,0.0
3,2018-12-27,140.0,0.0,0.0,NULL,NULL,0.0
4,2018-12-28,170.0,0.0,0.0,NULL,NULL,0.0
5,2018-12-29,250.0,0.0,0.0,NULL,NULL,0.0
6,2018-12-30,270.0,0.0,0.0,NULL,NULL,0.0
7,2018-12-31,280.0,1.0,10.0,15,56,1.0
8,2019-01-01,290.0,1.0,10.0,14,53,1.0
9,2019-01-03,300.0,1.0,10.0,21,65,1.0
10,2019-01-04,330.0,2.0,30.0,21,67,3.0
11,2019-01-12,340.0,1.0,10.0,24,73,1.0
12,2019-01-13,350.0,1.0,10.0,25,76,1.0
13,2019-01-14,360.0,1.0,10.0,30,85,1.0
14,2019-01-15,380.0,2.0,20.0,24,71,2.0
15,2019-01-17,400.0,1.0,20.0,27,80,2.0
16,2019-01-18,420.0,1.0,20.0,28,83,2.0
17,2019-01-28,430.0,1.0,10.0,24,77,1.0
18,2019-03-06,440.0,1.0,10.0,28,104,1.0
19,2019-03-18,0.0,2.0,30.0,25,110,3.0
20,2019-03-20,470.0,0.0,0.0,NULL,NULL,0.0
21,2019-03-21,490.0,1.0,20.0,24,116,2.0
22,2019-03-22,490.0,0.0,0.0,NULL,NULL,0.0
23,2019-03-23,490.0,0.0,0.0,NULL,NULL,0.0
24,2019-03-24,490.0,0.0,0.0,NULL,NULL,0.0
25,2019-03-25,490.0,0.0,0.0,NULL,NULL,0.0
26,2019-03-26,490.0,0.0,0.0,NULL,NULL,0.0
27,2019-03-27,490.0,0.0,0.0,NULL,NULL,0.0
28,2019-03-28,490.0,0.0,0.0,NULL,NULL,0.0
29,2019-03-29,500.0,1.0,10.0,29,143,1.0
30,2019-03-30,500.0,0.0,0.0,NULL,NULL,0.0
31,2019-03-31,500.0,0.0,0.0,NULL,NULL,0.0
32,2019-04-01,500.0,0.0,0.0,NULL,NULL,0.0
