,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-05,0.0,6.0,17494.0,15,52,98.0
1,2019-01-06,0.0,14.0,75994.0,14,39,476.0
2,2019-01-07,0.0,16.0,1703.0,15,41,191.0
3,2019-01-08,0.0,10.0,12800.0,13,48,1028.0
4,2019-01-09,11661.37,11.0,15720.0,15,46,2891.0
5,2019-01-10,14803.98,9.0,3530.0,17,49,82.0
6,2019-01-11,15351.28,10.0,1102.0,17,50,174.0
7,2019-01-12,15019.26,14.0,1938.0,13,45,223.0
8,2019-01-13,15030.41,3.0,30.0,21,62,7.0
9,2019-01-14,14986.29,7.0,603.0,18,55,133.0
10,2019-01-15,15602.01,10.0,1175.0,15,50,247.0
11,2019-01-16,15315.12,4.0,154.0,18,54,50.0
12,2019-01-17,15350.46,2.0,460.0,22,70,40.0
13,2019-01-18,15305.21,4.0,3140.0,24,67,26.0
14,2019-01-19,0.0,239.0,246296.0,5,19,5334.0
15,2019-01-20,0.0,174.0,460701.0,6,21,5520.0
16,2019-01-21,156366.95,337.0,12480.0,5,16,1339.0
17,2019-01-22,184143.3,574.0,402801.0,5,18,11286.0
18,2019-01-23,203182.89,568.0,331806.0,5,17,7995.0
19,2019-01-24,200088.89,1307.0,1084201.0,4,11,23404.0
20,2019-01-25,432910.93,2598.0,3753270.0,3,7,49067.0
21,2019-01-26,581690.33,3135.0,5375613.0,3,4,28961.0
22,2019-01-27,662588.12,3534.0,1602995.0,3,3,10660.0
23,2019-01-28,690489.49,3591.0,2079572.0,3,3,27097.0
24,2019-01-29,750992.64,3613.0,1339592.0,3,3,14129.0
25,2019-01-30,812680.73,5135.0,3512702.0,2,2,42797.0
26,2019-01-31,921222.05,5137.0,4623689.0,3,3,41298.0
27,2019-02-01,1389016.79,5253.0,17796631.0,2,2,181627.0
28,2019-02-02,624386.95,5185.0,11104886.0,2,2,131122.0
29,2019-02-03,779722.0,5184.0,12957475.0,3,3,152122.0
30,2019-02-04,910009.67,6677.0,6035868.0,2,2,87429.0
31,2019-02-05,945220.83,6671.0,5665009.0,3,3,87336.0
32,2019-02-06,979223.97,6687.0,4139568.0,3,3,59783.0
33,2019-02-07,1112722.87,6698.0,4645530.0,3,3,61758.0
34,2019-02-08,1175937.37,6729.0,3644104.0,3,3,54813.0
35,2019-02-09,92530.64,6676.0,8631812.0,3,3,75444.0
36,2019-02-10,84996.1,234.0,8433655.0,7,26,78470.0
37,2019-02-11,420601.37,6683.0,5861669.0,3,3,79637.0
38,2019-02-12,547767.48,6660.0,3903149.0,3,3,62925.0
