,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-05,0.0,1.0,0.0,28,81,2.0
1,2019-01-06,0.0,12.0,600.0,15,43,25.0
2,2019-01-07,0.0,19.0,560.0,12,36,31.0
3,2019-01-08,0.0,27.0,80.0,10,32,59.0
4,2019-01-09,0.0,14.0,0.0,14,44,56.0
5,2019-01-10,0.0,13.0,20.0,14,44,36.0
6,2019-01-11,0.0,43.0,100.0,9,29,83.0
7,2019-01-12,0.0,22.0,20.0,10,37,29.0
8,2019-01-13,0.0,21.0,20.0,12,40,43.0
9,2019-01-14,1400.0,20.0,0.0,13,42,57.0
10,2019-01-15,1400.0,15.0,0.0,12,44,23.0
11,2019-01-16,2860.0,18.0,1460.0,12,41,35.0
12,2019-01-17,3060.0,18.0,200.0,13,44,37.0
13,2019-01-18,3060.0,17.0,0.0,13,44,24.0
14,2019-01-19,3080.0,9.0,20.0,17,51,11.0
15,2019-01-20,0.0,7.0,0.0,18,53,9.0
16,2019-01-21,3080.0,13.0,0.0,19,51,18.0
17,2019-01-22,3080.0,7.0,0.0,17,52,8.0
18,2019-01-23,3080.0,5.0,0.0,19,58,5.0
19,2019-01-24,3080.0,6.0,0.0,19,59,7.0
20,2019-01-25,3080.0,6.0,0.0,19,63,17.0
21,2019-01-26,3080.0,10.0,0.0,16,53,11.0
22,2019-01-27,3080.0,6.0,0.0,18,57,7.0
23,2019-01-28,0.0,6.0,0.0,18,58,15.0
24,2019-01-29,3080.0,6.0,0.0,18,61,10.0
25,2019-01-30,3080.0,8.0,0.0,18,56,13.0
26,2019-01-31,3080.0,5.0,0.0,20,63,6.0
27,2019-02-01,3080.0,4.0,0.0,21,67,5.0
28,2019-02-02,3080.0,6.0,0.0,19,59,6.0
29,2019-02-03,3080.0,3.0,0.0,21,67,4.0
30,2019-02-04,3080.0,5.0,0.0,20,61,5.0
31,2019-02-05,3100.0,3.0,20.0,21,70,5.0
32,2019-02-06,3100.0,4.0,0.0,20,64,5.0
33,2019-02-07,3100.0,5.0,0.0,19,63,19.0
34,2019-02-08,3100.0,4.0,0.0,19,64,10.0
35,2019-02-09,3100.0,3.0,0.0,22,67,3.0
36,2019-02-10,3120.0,5.0,20.0,18,63,6.0
37,2019-02-11,3120.0,3.0,0.0,23,72,3.0
38,2019-02-12,3120.0,2.0,0.0,24,77,2.0
39,2019-02-13,3120.0,3.0,0.0,23,76,3.0
40,2019-02-14,3120.0,2.0,0.0,23,78,2.0
41,2019-02-15,3120.0,4.0,0.0,21,76,14.0
42,2019-02-16,3120.0,3.0,0.0,20,75,3.0
43,2019-02-17,3120.0,1.0,0.0,25,83,1.0
44,2019-02-18,3540.0,4.0,420.0,21,73,7.0
45,2019-02-20,3740.0,4.0,200.0,19,72,5.0
46,2019-02-21,3740.0,3.0,0.0,22,82,3.0
47,2019-02-22,0.0,1.0,0.0,24,94,4.0
48,2019-02-23,0.0,3.0,0.0,19,78,4.0
49,2019-02-24,0.0,3.0,0.0,20,81,3.0
50,2019-02-25,3760.0,3.0,20.0,21,83,4.0
51,2019-02-26,3760.0,2.0,0.0,26,91,2.0
52,2019-02-27,3760.0,3.0,0.0,23,84,3.0
