,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-03-21,0.0,1.0,408.0,24,116,19.0
1,2019-03-22,0.0,56.0,123907.0,14,56,799.0
2,2019-03-23,0.0,35.0,33772.0,15,67,722.0
3,2019-03-24,0.0,103.0,327443.0,12,50,1849.0
4,2019-03-25,0.0,182.0,558836.0,11,45,2175.0
5,2019-03-26,1059942.75,147.0,223030.0,13,49,2114.0
6,2019-03-27,1077576.9,95.0,43327.0,14,64,1337.0
7,2019-03-28,1096140.1,94.0,32254.0,14,62,830.0
8,2019-03-29,1117097.49,105.0,142613.0,14,56,1551.0
9,2019-03-30,1064634.8,100.0,80726.0,13,57,1671.0
10,2019-03-31,1022897.57,135.0,133946.17,10,61,1821.0
11,2019-04-01,960073.52,102.0,19531.71,11,70,994.0
12,2019-04-02,896488.4,85.0,26497.45,11,70,1146.0
13,2019-04-03,846151.79,66.0,24841.09,11,72,954.0
14,2019-04-04,780655.14,60.0,3115.1,11,69,762.0
15,2019-04-05,731644.29,60.0,8015.2,11,67,619.0
16,2019-04-06,694620.45,67.0,15004.13,11,69,1105.0
17,2019-04-07,654936.58,63.0,11843.46,11,68,2889.0
18,2019-04-08,606526.75,60.0,2832.05,13,72,550.0
19,2019-04-09,565419.54,55.0,2620.09,13,73,526.0
20,2019-04-10,511625.72,44.0,21930.02,13,76,456.0
21,2019-04-11,477404.55,64.0,1125.13,12,71,497.0
22,2019-04-12,443181.45,36.0,360.01,13,77,346.0
23,2019-04-13,411496.53,51.0,24140.01,11,70,445.0
24,2019-04-14,388321.45,46.0,3410.05,11,71,368.0
25,2019-04-15,356846.99,42.0,210.06,10,71,351.0
26,2019-04-16,328812.84,47.0,515.02,10,69,315.0
27,2019-04-17,323987.8,40.0,6380.05,11,76,248.0
28,2019-04-18,305294.47,42.0,14300.09,10,70,501.0
29,2019-04-19,283206.93,38.0,2400.03,11,71,276.0
30,2019-04-20,272542.1,30.0,0.02,12,74,233.0
31,2019-04-21,263174.69,33.0,408.09,11,71,235.0
32,2019-04-22,258597.63,34.0,8185.02,11,72,261.0
33,2019-04-23,216558.44,34.0,300.01,11,69,197.0
34,2019-04-24,212593.93,33.0,100.02,10,69,218.0
35,2019-04-25,187355.19,29.0,0.01,13,73,203.0
36,2019-04-26,0.0,27.0,385.02,13,71,133.0
37,2019-04-27,176044.18,27.0,160.03,11,72,215.0
38,2019-04-28,156648.79,30.0,50.0,12,68,200.0
39,2019-04-29,144488.69,26.0,0.01,12,73,135.0
40,2019-04-30,136975.62,27.0,120.02,11,70,158.0
41,2019-05-01,136534.93,29.0,780.02,11,69,169.0
42,2019-05-02,122643.15,28.0,480.01,11,71,172.0
43,2019-05-03,115769.23,31.0,200.02,11,72,150.0
44,2019-05-04,111846.4,24.0,580.02,12,74,165.0
45,2019-05-05,103725.76,27.0,530.04,11,70,164.0
46,2019-05-06,101587.8,23.0,200.02,13,74,153.0
47,2019-05-07,94191.0,19.0,0.0,13,74,114.0
48,2019-05-08,89429.04,18.0,0.0,15,73,104.0
49,2019-05-09,85180.34,19.0,0.0,13,72,97.0
50,2019-05-10,82368.54,24.0,0.01,13,69,110.0
51,2019-05-11,67904.49,17.0,0.0,13,72,87.0
52,2019-05-12,64776.23,13.0,0.0,13,68,50.0
53,2019-05-13,60496.64,25.0,0.01,13,66,139.0
54,2019-05-14,58148.86,14.0,0.01,14,73,73.0
55,2019-05-15,57866.42,17.0,0.01,15,75,67.0
56,2019-05-16,55240.69,11.0,0.0,15,80,53.0
57,2019-05-17,54989.64,15.0,443.0,14,71,62.0
58,2019-05-18,51264.22,15.0,0.0,13,71,61.0
59,2019-05-19,49924.15,16.0,0.02,13,69,66.0
60,2019-05-20,49332.35,15.0,0.0,14,72,53.0
61,2019-05-21,44656.74,19.0,0.01,13,68,83.0
62,2019-05-22,44503.97,16.0,0.01,14,71,63.0
63,2019-05-23,44301.8,10.0,0.01,19,85,31.0
64,2019-05-24,41192.73,11.0,0.0,19,84,37.0
65,2019-05-25,41056.61,9.0,0.0,17,84,45.0
66,2019-05-26,40819.48,9.0,0.0,18,83,47.0
67,2019-05-27,40775.65,14.0,0.0,16,78,50.0
68,2019-05-28,37781.09,13.0,0.0,16,79,43.0
69,2019-05-29,0.0,11.0,0.0,15,78,32.0
70,2019-05-30,36545.72,13.0,0.01,15,77,33.0
71,2019-05-31,36226.19,11.0,0.02,16,84,28.0
72,2019-06-01,36138.58,10.0,0.02,18,84,30.0
73,2019-06-02,35751.3,12.0,0.01,16,78,40.0
74,2019-06-03,35634.17,11.0,0.0,18,86,26.0
75,2019-06-04,35372.91,8.0,0.0,18,89,24.0
76,2019-06-05,34631.66,8.0,0.0,17,85,22.0
77,2019-06-06,34625.79,8.0,0.01,17,82,26.0
78,2019-06-07,29767.28,6.0,0.01,17,92,17.0
79,2019-06-08,29708.66,5.0,0.0,18,94,24.0
80,2019-06-09,29708.66,3.0,0.0,19,106,7.0
81,2019-06-10,29677.57,7.0,0.0,15,93,21.0
82,2019-06-11,29608.69,9.0,0.0,18,93,35.0
83,2019-06-12,29608.69,6.0,0.0,16,93,26.0
84,2019-06-13,29592.29,7.0,0.0,17,90,13.0
85,2019-06-14,28551.36,7.0,0.0,16,83,20.0
86,2019-06-15,28455.43,6.0,0.0,16,89,11.0
87,2019-06-16,28455.43,3.0,0.01,18,107,5.0
