,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-04-21,0.0,10.0,257372.0,15,98,3105.0
1,2019-04-22,0.0,9.0,250738.0,18,103,3641.0
2,2019-04-23,0.0,7.0,3792.0,17,101,51.0
3,2019-04-24,0.0,8.0,250331.0,17,101,5709.0
4,2019-04-25,0.0,381.0,122287918.35788,5,33,246578.0
5,2019-04-26,0.0,597.0,169793346.0,4,29,533179.0
6,2019-04-27,0.0,527.0,216855104.0,4,34,571458.0
7,2019-04-28,0.0,424.0,68112549.0,4,32,381759.0
8,2019-04-29,0.0,305.0,27717742.0,3,33,196617.0
9,2019-04-30,0.0,209.0,12891534.0,6,39,100514.0
10,2019-05-01,0.0,173.0,8912828.0,6,39,76471.0
11,2019-05-02,0.0,184.0,11834233.0,5,36,76664.0
12,2019-05-03,0.0,138.0,4358875.0,5,38,57441.0
13,2019-05-04,0.0,97.0,3461209.0,8,46,44050.0
14,2019-05-05,0.0,102.0,2434404.0,8,49,27515.0
15,2019-05-06,0.0,68.0,1189889.0,8,53,23092.0
16,2019-05-07,0.0,78.0,1008488.0,8,52,13781.0
17,2019-05-08,0.0,69.0,713647.0,8,47,9917.0
18,2019-05-09,0.0,61.0,1306185.0,9,50,10027.0
19,2019-05-10,0.0,54.0,1648803.0,8,52,18489.0
20,2019-05-11,0.0,36.0,608649.0,10,59,9138.0
21,2019-05-12,0.0,53.0,1708580.0,8,45,10074.0
22,2019-05-13,0.0,59.0,1147292.0,8,52,21401.0
23,2019-05-14,0.0,40.0,1013754.0,10,58,13390.0
24,2019-05-15,0.0,75.0,1179011.0,8,51,15121.0
25,2019-05-16,0.0,65.0,597937.0,9,55,7089.0
26,2019-05-17,0.0,60.0,787305.552,9,51,5725.0
27,2019-05-18,0.0,53.0,851135.457,9,54,8613.0
28,2019-05-19,0.0,66.0,1417997.764,7,47,9432.0
29,2019-05-20,0.0,56.0,2378961.981,9,53,18977.0
30,2019-05-21,1639142.12,93.0,3225036.68,6,43,27226.0
31,2019-05-22,1687374.96,75.0,2307029.125,8,45,23414.0
32,2019-05-23,1687246.5,139.0,1766347.0,7,37,23177.0
33,2019-05-24,1659898.34,123.0,1550457.0,9,38,16801.0
34,2019-05-25,1611908.48,75.0,1140644.0,9,44,11354.0
35,2019-05-26,1617131.03,75.0,945727.0,11,46,15750.0
36,2019-05-27,1717400.07,106.0,1675848.0,9,41,16759.0
37,2019-05-28,1637236.67,98.0,1966265.0,9,44,13566.0
38,2019-05-29,1714348.72,101.0,1874575.0,8,44,18536.0
39,2019-05-30,1658533.27,92.0,1666711.0,8,43,13132.0
40,2019-05-31,1626014.93,89.0,1508781.0,9,46,12809.0
41,2019-06-01,1693231.13,79.0,1095725.0,12,47,12452.0
42,2019-06-02,1674230.2,89.0,1004790.0,11,45,13633.0
43,2019-06-03,1676870.84,96.0,1346451.0,10,47,13278.0
44,2019-06-04,1699656.47,85.0,4401810.0,10,47,28406.0
45,2019-06-05,1594343.31,99.0,4100268.0,10,45,23530.0
46,2019-06-06,1641527.57,74.0,1523987.0,10,49,20114.0
47,2019-06-07,1702374.79,71.0,955004.0,10,48,12484.0
48,2019-06-08,1693382.97,54.0,690875.0,11,50,13019.0
49,2019-06-09,1715590.03,65.0,1204214.0,10,48,14705.0
50,2019-06-10,1704209.78,62.0,1077670.0,10,54,17302.0
51,2019-06-11,2524400.25,71.0,824885.944,12,54,15139.0
52,2019-06-12,2523193.53,62.0,499598.0,11,53,8745.0
53,2019-06-13,2519768.74,69.0,228185.0,9,51,2564.0
54,2019-06-14,2100561.67,54.0,153185.101,9,53,815.0
55,2019-06-15,2101651.43,43.0,114395.0,11,53,782.0
56,2019-06-16,2114787.74,53.0,198962.0,11,52,601.0
57,2019-06-17,2110806.85,45.0,174805.0,10,53,1107.0
58,2019-06-18,2109002.06,61.0,213052.0,10,47,1560.0
59,2019-06-19,2111982.03,38.0,46663.0,10,53,684.0
60,2019-06-20,2104216.9,60.0,111739.0,10,48,965.0
61,2019-06-21,2104660.57,67.0,127838.0,9,47,1463.0
62,2019-06-22,2107292.01,22.0,3050.0,13,61,37.0
63,2019-06-23,2109992.01,19.0,2700.0,13,59,29.0
64,2019-06-24,2112999.19,26.0,6351.0,12,58,149.0
65,2019-06-25,2119007.74,56.0,463467.0,10,51,10993.0
66,2019-06-26,2131418.97,54.0,222675.0,10,51,3107.0
67,2019-06-27,2126423.09,48.0,230206.0,9,50,1721.0
68,2019-06-28,2138446.42,44.0,251527.0,9,47,3693.0
69,2019-06-29,2150237.0,47.0,260251.0,9,46,4443.0
70,2019-06-30,2147187.54,57.0,309185.0,7,46,3837.0
71,2019-07-01,2160159.02,39.0,139732.0,8,53,1773.0
72,2019-07-02,2159540.58,46.0,82600.0,8,51,1323.0
73,2019-07-03,2152596.02,36.0,237115.0,8,51,2578.0
74,2019-07-04,2165773.16,44.0,164780.0,8,49,2189.0
75,2019-07-05,2169909.17,26.0,88834.0,10,54,3356.0
76,2019-07-06,2170895.91,25.0,41950.0,7,51,1405.0
77,2019-07-07,2175745.49,35.0,59034.0,6,48,1630.0
78,2019-07-08,2177557.9,28.0,63818.0,8,53,1300.0
79,2019-07-09,2046656.05,34.0,358038.0,9,52,3522.0
80,2019-07-10,2056165.64,40.0,193201.0,7,49,4004.0
81,2019-07-11,2054308.49,46.0,187600.0,7,47,4422.0
82,2019-07-12,2065431.94,36.0,227572.0,8,52,3791.0
83,2019-07-13,2063581.37,39.0,29883.0,7,48,806.0
84,2019-07-14,2052048.54,33.0,311740.0,7,51,3171.0
85,2019-07-15,2041869.14,19.0,251550.0,10,60,4510.0
86,2019-07-16,2065991.01,25.0,536226.0,9,57,1991.0
87,2019-07-17,2086239.88,27.0,254767.0,9,53,948.0
88,2019-07-18,2086146.54,26.0,60024.0,10,57,1290.0
89,2019-07-19,2091999.55,32.0,365712.0,10,53,2202.0
90,2019-07-20,2093038.94,31.0,77979.0,9,54,1602.0
91,2019-07-21,2092044.6,34.0,48320.0,9,53,598.0
92,2019-07-22,2107233.35,27.0,88385.0,9,55,941.0
93,2019-07-23,2094897.05,34.0,110457.0,9,49,768.0
94,2019-07-24,2091670.82,40.0,45022.0,8,47,370.0
95,2019-07-25,2097691.66,26.0,33380.0,8,50,263.0
96,2019-07-26,2095302.24,27.0,30955.0,8,48,202.0
97,2019-07-27,2095662.59,26.0,28880.0,8,45,720.0
98,2019-07-28,2099785.7,28.0,27669.0,7,46,199.0
99,2019-07-29,2101989.33,31.0,69271.0,7,44,467.0
100,2019-07-30,2086569.0,24.0,41719.0,9,47,787.0
101,2019-07-31,2095097.66,26.0,72605.0,8,49,652.0
102,2019-08-01,2098082.49,32.0,14365.0,7,44,272.0
103,2019-08-02,2103148.1,29.0,66700.0,7,44,631.0
104,2019-08-03,2102406.78,21.0,22895.0,7,50,270.0
105,2019-08-04,2107410.52,29.0,60898.0,7,45,486.0
106,2019-08-05,2109880.61,23.0,67772.0,7,49,347.0
107,2019-08-06,2111407.65,23.0,18507.0,8,51,251.0
108,2019-08-07,2120917.6,22.0,26143.0,8,55,108.0
109,2019-08-08,1928596.59,24.0,54956.0,8,48,296.0
110,2019-08-09,1930509.23,32.0,54259.0,8,45,720.0
111,2019-08-10,1928723.83,30.0,62782.0,8,45,205.0
112,2019-08-11,1943780.15,34.0,191337.0,8,42,483.0
113,2019-08-12,1950815.23,31.0,15751.0,8,44,161.0
114,2019-08-13,1949347.13,26.0,40675.0,8,47,602.0
115,2019-08-14,269265.47,25.0,49311.0,8,45,633.0
116,2019-08-15,1956180.71,35.0,59565.0,8,40,409.0
117,2019-08-16,1958019.73,30.0,11187.0,9,42,318.0
118,2019-08-17,1961804.03,25.0,41887.0,9,41,394.0
119,2019-08-18,1963614.26,25.0,12074.0,8,43,342.0
120,2019-08-19,1967128.66,30.0,9727.0,8,40,162.0
121,2019-08-20,1965991.13,28.0,70131.0,8,42,628.0
122,2019-08-21,1961493.89,25.0,30660.0,9,45,119.0
123,2019-08-22,1926805.69,23.0,19137.0,8,47,202.0
124,2019-08-23,1965392.56,28.0,4327.0,8,42,88.0
125,2019-08-24,1968269.92,30.0,12087.0,6,39,221.0
126,2019-08-25,1970568.68,22.0,18001.0,9,45,413.0
127,2019-08-26,1964838.36,20.0,36095.0,9,47,154.0
128,2019-08-27,1967532.65,22.0,4992.0,10,46,97.0
129,2019-08-28,1968863.36,24.0,8661.0,9,44,201.0
130,2019-08-29,1972280.44,20.0,7186.0,9,45,142.0
131,2019-08-30,1951857.11,27.0,65465.0,8,41,197.0
132,2019-08-31,1949215.87,16.0,15035.0,9,49,183.0
133,2019-09-01,1953711.35,23.0,31569.0,9,46,332.0
134,2019-09-02,1954602.38,23.0,8030.0,8,45,158.0
135,2019-09-03,320886.98,21.0,68978.0,12,51,350.0
136,2019-09-04,1947539.39,20.0,22414.0,11,53,191.0
137,2019-09-05,1946478.66,13.0,10071.0,13,61,121.0
138,2019-09-06,1950130.16,23.0,11393.0,11,56,127.0
139,2019-09-07,1958748.37,26.0,33723.0,10,47,664.0
140,2019-09-08,1969772.68,23.0,36585.0,10,51,358.0
141,2019-09-09,1972375.44,21.0,14050.0,12,51,204.0
142,2019-09-10,1937058.66,43.0,78976.0,8,41,477.0
143,2019-09-11,1959877.12,36.0,223727.0,8,43,412.0
144,2019-09-12,1895618.99,26.0,206793.0,10,48,337.0
145,2019-09-13,1898626.48,21.0,4405.0,11,53,71.0
146,2019-09-14,1902540.5,31.0,10203.0,9,43,162.0
147,2019-09-15,257551.73,25.0,63902.0,9,47,285.0
148,2019-09-16,1907069.37,26.0,26440.0,11,47,215.0
149,2019-09-17,1909016.45,20.0,8295.0,12,54,204.0
150,2019-09-18,1874993.08,24.0,475540.0,11,51,370.0
151,2019-09-19,1900062.86,57.0,77960.0,7,46,482.0
152,2019-09-20,1903627.73,47.0,60357.0,7,50,1014.0
153,2019-09-21,1875705.99,35.0,189660.0,8,47,721.0
154,2019-09-22,1787719.32,36.0,706428.0,9,49,790.0
155,2019-09-23,1703274.83,28.0,408364.0,10,53,388.0
156,2019-09-24,1864249.36,33.0,364139.0,10,57,770.0
157,2019-09-25,1853953.44,38.0,152150.0,8,53,589.0
158,2019-09-26,1789659.8,34.0,352989.0,8,54,729.0
159,2019-09-27,1769881.09,28.0,124777.0,9,54,715.0
160,2019-09-28,1764563.21,37.0,89920.0,8,52,1301.0
161,2019-09-29,1817481.09,32.0,246262.0,9,55,440.0
162,2019-09-30,1819180.78,28.0,37150.0,10,61,200.0
163,2019-10-01,1822180.78,22.0,3000.0,11,64,24.0
164,2019-10-02,1824580.78,15.0,2400.0,11,67,28.0
165,2019-10-03,1827580.78,17.0,3000.0,11,66,20.0
166,2019-10-04,68652.29,16.0,3802.0,11,65,20.0
167,2019-10-05,71052.29,13.0,2400.0,10,69,16.0
168,2019-10-06,73452.29,13.0,2400.0,12,71,14.0
169,2019-10-07,76452.29,41.0,3000.0,8,56,65.0
170,2019-10-08,79452.29,25.0,3000.0,9,62,44.0
171,2019-10-09,81552.29,21.0,2100.0,10,64,71.0
172,2019-10-10,83952.29,11.0,2400.0,11,77,12.0
173,2019-10-11,86352.29,8.0,2400.0,12,80,8.0
174,2019-10-12,89652.29,13.0,3300.0,11,73,14.0
175,2019-10-13,93852.29,14.0,4200.0,11,70,16.0
176,2019-10-14,96852.29,13.0,3000.0,11,73,13.0
177,2019-10-15,100452.29,13.0,3600.0,12,74,13.0
178,2019-10-16,103152.29,10.0,2700.0,11,72,10.0
179,2019-10-17,104952.29,8.0,1800.0,11,80,9.0
180,2019-10-18,107052.29,8.0,2100.0,12,84,8.0
181,2019-10-19,110052.29,10.0,3000.0,12,79,10.0
182,2019-10-20,112452.29,9.0,2400.0,11,77,10.0
183,2019-10-21,115452.29,13.0,3000.0,12,73,15.0
184,2019-10-22,118152.29,12.0,2700.0,12,71,17.0
185,2019-10-23,120552.29,10.0,2400.0,13,79,11.0
186,2019-10-24,122652.29,7.0,2100.0,13,85,7.0
187,2019-10-25,124452.29,6.0,1800.0,13,85,6.0
188,2019-10-26,127752.29,13.0,3300.0,13,78,14.0
189,2019-10-27,130452.29,9.0,2700.0,14,83,9.0
190,2019-10-28,132852.29,8.0,2400.0,14,88,8.0
191,2019-10-29,135252.29,9.0,2400.0,16,82,10.0
192,2019-10-30,900.02,9.0,2100.0,15,83,9.0
193,2019-10-31,4200.02,12.0,3300.0,13,79,12.0
194,2019-11-01,7200.02,13.0,3000.0,13,77,13.0
195,2019-11-02,10200.02,10.0,3000.0,14,83,10.0
196,2019-11-03,13200.02,10.0,3000.0,15,85,10.0
197,2019-11-04,15900.02,9.0,2700.0,15,90,9.0
198,2019-11-05,19500.02,13.0,3600.0,14,83,13.0
199,2019-11-06,23100.02,13.0,3600.0,13,80,13.0
200,2019-11-07,26400.02,11.0,3300.0,13,83,11.0
201,2019-11-08,30600.02,15.0,4200.0,15,79,16.0
202,2019-11-09,32400.02,6.0,1800.0,15,96,6.0
203,2019-11-10,34200.02,8.0,1800.0,15,91,8.0
204,2019-11-11,36900.02,9.0,2700.0,14,92,9.0
205,2019-11-12,39600.02,9.0,2700.0,16,86,9.0
206,2019-11-13,42000.02,8.0,2400.0,16,89,8.0
207,2019-11-14,1500.02,12.0,3300.0,13,75,12.0
208,2019-11-15,2700.02,4.0,1200.0,16,92,4.0
209,2019-11-16,2700.02,0.0,0.0,NULL,NULL,0.0
210,2019-11-17,2700.02,0.0,0.0,NULL,NULL,0.0
211,2019-11-18,2700.02,1.0,0.0,21,130,1.0
212,2019-11-19,2700.02,1.0,0.0,20,129,1.0
213,2019-11-20,2700.02,1.0,0.0,20,124,1.0
214,2019-11-21,2700.02,0.0,0.0,NULL,NULL,0.0
215,2019-11-22,2700.02,1.0,0.0,20,127,1.0
216,2019-11-23,2700.02,0.0,0.0,NULL,NULL,0.0
217,2019-11-24,2700.02,0.0,0.0,NULL,NULL,0.0
218,2019-11-25,2700.02,2.0,0.0,17,110,2.0
219,2019-11-26,2700.02,3.0,0.0,16,104,3.0
220,2019-11-27,3000.02,1.0,300.0,18,125,1.0
221,2019-11-28,3300.02,1.0,300.0,17,128,1.0
222,2019-11-29,3300.02,2.0,0.0,17,116,2.0
223,2019-11-30,3600.02,1.0,300.0,18,127,1.0
224,2019-12-01,3600.02,0.0,0.0,NULL,NULL,0.0
225,2019-12-02,3600.02,0.0,0.0,NULL,NULL,0.0
226,2019-12-03,3600.02,0.0,0.0,NULL,NULL,0.0
227,2019-12-04,3600.02,0.0,0.0,NULL,NULL,0.0
228,2019-12-05,3600.02,0.0,0.0,NULL,NULL,0.0
229,2019-12-06,3600.02,1.0,0.0,17,123,1.0
230,2019-12-07,3600.02,1.0,0.0,16,113,1.0
231,2019-12-08,3600.02,1.0,0.0,17,116,1.0
232,2019-12-09,3600.02,0.0,0.0,NULL,NULL,0.0
233,2019-12-10,3600.02,0.0,0.0,NULL,NULL,0.0
234,2019-12-11,3600.02,0.0,0.0,NULL,NULL,0.0
235,2019-12-12,3600.02,1.0,0.0,16,120,2.0
236,2019-12-13,3600.02,0.0,0.0,NULL,NULL,0.0
237,2019-12-14,3600.02,0.0,0.0,NULL,NULL,0.0
238,2019-12-15,3600.02,0.0,0.0,NULL,NULL,0.0
239,2019-12-16,3600.02,1.0,0.0,17,112,1.0
240,2019-12-17,3600.02,0.0,0.0,NULL,NULL,0.0
241,2019-12-18,3600.02,1.0,0.0,20,129,2.0
242,2019-12-19,3900.02,2.0,300.0,17,116,2.0
243,2019-12-20,3900.02,0.0,0.0,NULL,NULL,0.0
244,2019-12-21,4200.02,1.0,300.0,19,119,1.0
245,2019-12-22,4200.02,0.0,0.0,NULL,NULL,0.0
246,2019-12-23,4200.02,1.0,0.0,20,134,1.0
247,2019-12-24,4200.02,0.0,0.0,NULL,NULL,0.0
248,2019-12-25,4200.02,0.0,0.0,NULL,NULL,0.0
249,2019-12-26,4200.02,2.0,0.0,16,112,2.0
250,2019-12-27,4200.02,0.0,0.0,NULL,NULL,0.0
251,2019-12-28,4200.02,0.0,0.0,NULL,NULL,0.0
252,2019-12-29,4200.02,0.0,0.0,NULL,NULL,0.0
253,2019-12-30,4200.02,0.0,0.0,NULL,NULL,0.0
254,2019-12-31,4200.02,0.0,0.0,NULL,NULL,0.0
255,2020-01-01,4200.02,0.0,0.0,NULL,NULL,0.0
256,2020-01-02,4200.02,0.0,0.0,NULL,NULL,0.0
257,2020-01-03,4200.02,0.0,0.0,NULL,NULL,0.0
258,2020-01-04,4200.02,0.0,0.0,NULL,NULL,0.0
259,2020-01-05,4200.02,0.0,0.0,NULL,NULL,0.0
260,2020-01-06,4200.02,2.0,0.0,17,110,2.0
261,2020-01-07,4200.02,0.0,0.0,NULL,NULL,0.0
262,2020-01-08,4200.02,0.0,0.0,NULL,NULL,0.0
263,2020-01-09,4200.02,0.0,0.0,NULL,NULL,0.0
264,2020-01-10,4200.02,0.0,0.0,NULL,NULL,0.0
265,2020-01-11,4200.02,0.0,0.0,NULL,NULL,0.0
266,2020-01-12,4200.02,0.0,0.0,NULL,NULL,0.0
