,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-04,0.0,3.0,3846.0,18,61,21.0
1,2019-01-05,0.0,2.0,0.0,23,68,5.0
2,2019-01-06,0.0,93.0,64447.0,6,21,276.0
3,2019-01-07,0.0,253.0,112945.0,4,14,483.0
4,2019-01-08,0.0,0.0,0.0,NULL,NULL,0.0
5,2019-01-09,2177.64,979.0,280784.0,3,10,1832.0
6,2019-01-10,3601.35,1482.0,361225.0,2,6,2639.0
7,2019-01-11,4091.47,1979.0,442775.0,2,4,3399.0
8,2019-01-12,4413.47,2476.0,536896.0,2,3,3596.0
9,2019-01-13,7717.94,3086.0,660921.0,1,1,4612.0
10,2019-01-14,23310.73,3720.0,773169.0,1,1,6028.0
11,2019-01-15,28634.77,4414.0,759250.0,1,1,6672.0
12,2019-01-16,35804.12,4951.0,641645.0,1,1,6736.0
13,2019-01-17,38305.84,5497.0,552540.0,1,1,7008.0
14,2019-01-18,37448.06,5897.0,453652.0,2,2,7194.0
15,2019-01-19,41217.28,6196.0,326364.0,1,1,7133.0
16,2019-01-20,0.0,6008.0,227124.0,1,1,6831.0
17,2019-01-21,45908.32,6133.0,380813.0,1,1,6605.0
18,2019-01-22,47493.1,6306.0,425039.0,1,1,6732.0
19,2019-01-23,53017.08,6198.0,460763.0,1,1,6460.0
20,2019-01-24,54957.53,6184.0,482018.0,1,1,6478.0
21,2019-01-25,56003.81,5975.0,337005.0,1,1,6141.0
22,2019-01-26,67615.55,5821.0,300632.0,1,1,6208.0
23,2019-01-27,69743.54,5730.0,31190.0,1,1,5848.0
24,2019-01-28,61153.49,6348.0,268275.0,1,1,6488.0
25,2019-01-29,64909.92,6603.0,373661.0,1,1,6816.0
26,2019-01-30,64597.58,5922.0,278520.0,1,1,6136.0
27,2019-01-31,66411.3,6672.0,310292.0,1,1,6809.0
28,2019-02-01,67208.49,6464.0,330880.0,1,1,6646.0
29,2019-02-02,65462.64,6387.0,343984.0,1,1,6750.0
