,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-12-29,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-12-30,0.0,0.0,0.0,NULL,NULL,0.0
2,2018-12-31,0.0,4.0,690.0,10,44,13.0
3,2019-01-01,0.0,3.0,650.0,11,44,14.0
4,2019-01-02,0.0,3.0,257.0,13,50,9.0
5,2019-01-03,0.0,4.0,4018.0,14,50,33.0
6,2019-01-04,0.0,5.0,3307.0,14,55,28.0
7,2019-01-05,0.0,3.0,5178.0,19,63,30.0
8,2019-01-06,0.0,3.0,1781.0,18,63,13.0
9,2019-01-07,0.0,2.0,215.0,23,70,2.0
10,2019-01-08,0.0,4.0,440.0,17,62,6.0
11,2019-01-09,0.0,5.0,2069.0,19,58,26.0
12,2019-01-10,0.0,3.0,5.0,25,73,4.0
13,2019-01-11,0.0,5.0,111.0,21,62,9.0
14,2019-01-12,0.0,5.0,253.0,20,60,6.0
15,2019-01-13,0.0,6.0,663.0,18,53,12.0
16,2019-01-14,2659.92,7.0,1549.0,18,55,27.0
17,2019-01-15,3255.89,8.0,661.0,17,52,16.0
18,2019-01-16,3736.12,3.0,20.0,20,60,12.0
19,2019-01-17,4328.66,5.0,1182.0,18,58,16.0
20,2019-01-18,4444.49,5.0,199.0,23,65,11.0
21,2019-01-19,3261.93,8.0,225.0,18,55,22.0
22,2019-01-20,0.0,8.0,1336.0,17,52,23.0
23,2019-01-21,1310.21,3.0,0.0,25,70,3.0
24,2019-01-22,1127.82,7.0,755.0,17,52,13.0
25,2019-01-23,1522.66,4.0,107.0,22,65,19.0
26,2019-01-24,1707.55,5.0,259.0,20,64,19.0
27,2019-01-25,1958.41,4.0,233.0,22,70,9.0
28,2019-01-26,2176.96,6.0,254.0,17,56,17.0
29,2019-01-27,1802.03,4.0,129.0,20,63,5.0
30,2019-01-28,2230.47,4.0,237.0,19,62,11.0
31,2019-01-29,2267.82,3.0,208.0,21,66,4.0
32,2019-01-30,2470.52,3.0,250.0,25,72,7.0
33,2019-01-31,2567.3,4.0,50.0,21,65,7.0
34,2019-02-01,2936.74,6.0,1595.0,19,61,24.0
35,2019-02-02,3580.41,2.0,701.0,22,71,6.0
36,2019-02-03,1905.36,6.0,390.0,19,60,16.0
37,2019-02-04,1436.3,3.0,0.0,21,65,3.0
38,2019-02-05,2170.36,4.0,973.0,19,66,20.0
39,2019-02-06,2903.57,3.0,1635.0,21,70,13.0
40,2019-02-07,4483.31,3.0,2113.0,21,66,7.0
41,2019-02-08,3420.53,5.0,480.0,18,62,7.0
42,2019-02-09,3582.76,4.0,390.0,20,62,8.0
43,2019-02-10,3882.55,3.0,365.0,20,68,16.0
44,2019-02-11,5003.11,5.0,2823.0,22,67,12.0
45,2019-02-12,5508.52,2.0,2478.0,24,77,14.0
46,2019-02-13,5766.43,3.0,857.0,23,76,9.0
47,2019-02-14,5907.33,3.0,770.0,20,73,7.0
48,2019-02-15,6858.64,2.0,2361.0,25,86,7.0
