,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-12-29,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-12-31,0.0,5.0,24788.0,16,41,11.0
2,2019-01-01,0.0,2.0,0.0,19,48,2.0
3,2019-01-02,0.0,4.0,5.0,13,46,8.0
4,2019-01-03,0.0,3.0,102.0,15,54,4.0
5,2019-01-04,0.0,5.0,113.0,14,55,23.0
6,2019-01-05,0.0,4.0,230.0,12,56,13.0
7,2019-01-07,0.0,1.0,1.0,14,77,1.0
8,2019-01-08,0.0,1.0,14910.0,14,77,1.0
9,2019-01-09,0.0,5.0,11038.0,11,58,11.0
10,2019-01-10,0.0,7.0,97818.0,11,54,51.0
11,2019-01-11,0.0,6.0,24327.0,11,59,16.0
12,2019-01-12,0.0,6.0,20800.0,10,56,9.0
13,2019-01-13,0.0,8.0,18645.0,10,51,23.0
14,2019-01-14,317732.13,4.0,7000.0,11,65,5.0
15,2019-01-15,330597.38,4.0,13585.0,11,61,7.0
16,2019-01-16,329727.38,1.0,816.0,15,77,2.0
17,2019-01-17,336041.3,3.0,6205.0,12,66,3.0
18,2019-01-18,337968.18,5.0,2001.0,11,65,16.0
19,2019-01-19,0.0,3.0,4622.0,10,70,21.0
20,2019-01-20,0.0,5.0,25561.0,10,59,111.0
21,2019-01-21,369939.35,2.0,1717.0,13,75,2.0
22,2019-01-22,369254.97,5.0,3037.0,11,57,18.0
23,2019-01-23,368210.94,2.0,458.0,13,74,5.0
24,2019-01-24,545033.31,8.0,189268.0,9,56,22.0
25,2019-01-25,545422.32,3.0,931.0,12,72,4.0
26,2019-01-26,601651.39,6.0,56189.0,10,56,16.0
27,2019-01-27,601860.34,2.0,192.0,14,72,3.0
28,2019-01-28,601894.29,2.0,1128.0,14,72,5.0
29,2019-01-29,640878.43,4.0,40069.0,12,63,21.0
30,2019-01-30,634502.59,3.0,106.0,14,72,4.0
31,2019-01-31,447215.02,3.0,46.0,13,70,8.0
32,2019-02-01,440043.97,3.0,6260.0,15,73,17.0
33,2019-02-02,504098.74,4.0,65571.0,13,64,8.0
34,2019-02-03,467500.74,5.0,1212.0,15,63,12.0
35,2019-02-04,438761.37,5.0,1614.0,13,61,12.0
36,2019-02-05,431905.52,2.0,0.0,15,72,5.0
37,2019-02-06,419158.04,4.0,550.0,13,64,6.0
38,2019-02-07,420577.35,1.0,1000.0,17,75,1.0
39,2019-02-08,369722.82,3.0,4.0,15,65,3.0
40,2019-02-09,371919.67,2.0,2500.0,16,70,3.0
41,2019-02-10,360479.13,3.0,68.0,16,68,6.0
42,2019-02-12,361630.33,1.0,0.0,16,83,1.0
43,2019-02-13,361693.18,2.0,0.0,20,83,2.0
44,2019-02-14,363471.46,1.0,1500.0,22,90,1.0
45,2019-02-15,373820.27,4.0,10244.0,21,76,9.0
46,2019-02-16,375978.39,3.0,3967.0,20,75,5.0
47,2019-02-17,377432.86,2.0,1000.0,20,77,2.0
48,2019-02-20,377849.17,1.0,0.0,22,90,2.0
49,2019-02-21,377860.07,1.0,1.0,26,93,1.0
50,2019-02-22,0.0,1.0,500.0,27,94,1.0
51,2019-02-23,0.0,1.0,0.0,25,91,1.0
52,2019-02-25,379128.21,3.0,300.0,25,83,5.0
53,2019-02-26,379603.96,1.0,501.0,29,102,4.0
54,2019-02-27,378295.41,2.0,1580.0,25,88,4.0
55,2019-02-28,377929.42,1.0,1400.0,27,102,1.0
56,2019-03-01,372052.66,3.0,1650.0,25,84,4.0
57,2019-03-02,372042.21,2.0,196.0,27,86,3.0
58,2019-03-03,375519.48,2.0,2900.0,27,90,5.0
59,2019-03-04,378448.95,2.0,3100.0,28,96,7.0
60,2019-03-06,373362.86,3.0,12.0,29,91,14.0
61,2019-03-07,195782.57,2.0,0.0,30,100,20.0
62,2019-03-08,0.0,1.0,0.0,32,107,1.0
63,2019-03-09,188736.59,1.0,0.0,34,109,1.0
64,2019-03-10,178220.96,2.0,0.0,34,97,2.0
65,2019-03-15,0.0,2.0,26500.0,37,98,2.0
66,2019-03-16,0.0,4.0,1653.0,33,88,12.0
67,2019-03-20,180269.76,0.0,0.0,NULL,NULL,0.0
68,2019-03-21,180444.99,0.0,0.0,NULL,NULL,0.0
69,2019-03-22,180465.49,0.0,0.0,NULL,NULL,0.0
70,2019-03-23,206391.79,1.0,25900.0,54,129,1.0
71,2019-03-24,182579.05,1.0,0.0,54,127,1.0
72,2019-03-25,182596.51,0.0,0.0,NULL,NULL,0.0
73,2019-03-26,182640.82,0.0,0.0,NULL,NULL,0.0
74,2019-03-27,196431.69,2.0,13630.0,61,130,6.0
75,2019-03-28,196440.79,0.0,0.0,NULL,NULL,0.0
76,2019-03-29,196471.04,1.0,20.0,67,143,1.0
