,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-10-31,0.0,4.0,0.0,19,96,120.0
1,2019-11-01,0.0,7.0,3049.953577,15,86,134.0
2,2019-11-02,0.0,5.0,9731.25,18,96,157.0
3,2019-11-03,0.0,4.0,0.0,20,102,65.0
4,2019-11-04,0.0,6.0,560.0,18,96,107.0
5,2019-11-05,0.0,7.0,1540.0,16,95,165.0
6,2019-11-06,0.0,5.0,170.0,17,99,66.0
7,2019-11-07,0.0,5.0,0.0,16,98,32.0
8,2019-11-08,0.0,6.0,4276.5625,17,97,184.0
9,2019-11-09,0.0,4.0,781.25,18,102,179.0
10,2019-11-10,0.0,5.0,100.0,17,99,264.0
11,2019-11-11,0.0,8.0,480.0,16,94,180.0
12,2019-11-12,8576.13,19.0,10593.789063,13,70,435.0
13,2019-11-13,9120.63,17.0,11808.210448,11,68,384.0
14,2019-11-14,14225.72,19.0,29258.922574,12,68,572.0
15,2019-11-15,11710.37,19.0,4801.345214,12,68,244.0
16,2019-11-16,11336.46,16.0,2514.84375,13,75,231.0
17,2019-11-17,14100.61,17.0,2872.607422,13,70,207.0
18,2019-11-18,13142.41,21.0,830.0,11,65,160.0
19,2019-11-19,10370.99,19.0,984.375,11,66,135.0
20,2019-11-20,9822.23,13.0,200.0,13,75,125.0
21,2019-11-21,9047.61,13.0,0.0,14,77,68.0
22,2019-11-22,8694.07,12.0,0.0,15,79,62.0
23,2019-11-23,8239.51,10.0,0.0,14,82,61.0
24,2019-11-24,7968.57,9.0,0.0,15,89,26.0
25,2019-11-25,7941.13,11.0,0.0,13,84,52.0
26,2019-11-26,9088.14,7.0,1230.46875,12,88,25.0
27,2019-11-27,8559.38,7.0,0.0,12,85,28.0
28,2019-11-28,8064.19,8.0,0.0,13,87,36.0
29,2019-11-29,7983.59,5.0,0.0,15,97,13.0
30,2019-11-30,7983.59,5.0,0.0,14,96,18.0
31,2019-12-01,7983.59,4.0,0.0,14,97,20.0
32,2019-12-02,7983.59,11.0,0.0,11,81,40.0
33,2019-12-03,7945.24,5.0,0.0,13,90,22.0
34,2019-12-04,7781.32,6.0,0.0,14,92,13.0
35,2019-12-05,7781.32,2.0,0.0,15,113,11.0
36,2019-12-06,7635.4,8.0,0.0,11,83,40.0
37,2019-12-07,7342.51,6.0,0.0,13,89,34.0
38,2019-12-08,7342.51,4.0,0.0,14,92,63.0
39,2019-12-09,7281.99,5.0,0.0,13,86,37.0
40,2019-12-10,7281.99,5.0,0.0,12,86,41.0
41,2019-12-11,7281.99,6.0,0.0,13,90,33.0
42,2019-12-12,7281.99,3.0,0.0,14,104,12.0
43,2019-12-13,7281.99,4.0,0.0,13,90,10.0
44,2019-12-14,7281.99,2.0,0.0,15,105,10.0
45,2019-12-15,7281.99,1.0,0.0,16,114,5.0
46,2019-12-16,7281.99,3.0,0.0,15,99,9.0
47,2019-12-17,7281.99,5.0,0.0,15,96,15.0
48,2019-12-18,7281.99,4.0,0.0,16,103,12.0
49,2019-12-19,7281.99,5.0,0.0,14,93,21.0
50,2019-12-20,7281.99,4.0,0.0,16,102,18.0
51,2019-12-21,7281.99,3.0,0.0,17,102,14.0
52,2019-12-22,7281.99,2.0,0.0,17,106,7.0
53,2019-12-23,7017.01,4.0,0.0,16,102,9.0
54,2019-12-24,7017.01,3.0,0.0,17,106,5.0
55,2019-12-25,7017.01,4.0,0.0,14,99,5.0
56,2019-12-26,7017.01,2.0,0.0,16,112,8.0
57,2019-12-27,6893.0,2.0,0.0,16,110,7.0
58,2019-12-28,5630.9,3.0,0.0,16,107,8.0
59,2019-12-29,5607.41,2.0,0.0,18,112,13.0
60,2019-12-30,5572.81,2.0,0.0,16,114,5.0
61,2019-12-31,5572.81,2.0,0.0,17,113,6.0
62,2020-01-01,5572.81,3.0,0.0,15,106,3.0
63,2020-01-02,5572.81,3.0,0.0,17,112,13.0
64,2020-01-03,5572.81,4.0,0.0,14,97,18.0
65,2020-01-04,5572.81,2.0,0.0,16,118,12.0
66,2020-01-05,5472.71,3.0,0.0,14,108,7.0
67,2020-01-06,5472.71,2.0,0.0,17,110,4.0
68,2020-01-07,5472.71,2.0,0.0,16,114,3.0
69,2020-01-08,5472.71,3.0,0.0,15,104,10.0
70,2020-01-09,5433.41,3.0,0.0,14,104,10.0
71,2020-01-10,5433.41,2.0,0.0,15,119,2.0
72,2020-01-11,5323.17,3.0,0.0,14,113,9.0
73,2020-01-12,5323.17,2.0,0.0,15,112,3.0
