,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-07-16,0.0,4.0,27517.0,13,87,30.0
1,2019-07-17,0.0,8.0,12306.0,11,74,12.0
2,2019-07-18,0.0,6.0,2163.0,13,82,8.0
3,2019-07-19,0.0,3.0,15484.0,16,98,5.0
4,2019-07-20,0.0,10.0,2744.0,12,73,12.0
5,2019-07-21,0.0,5.0,19292.0,16,89,9.0
6,2019-07-22,0.0,13.0,11151.0,10,69,21.0
7,2019-07-23,0.0,5.0,16653.0,14,86,7.0
8,2019-07-24,0.0,7.0,3409.0,13,77,12.0
9,2019-07-25,128779.0,6.0,18060.0,13,79,9.0
10,2019-07-26,131446.0,9.0,2667.0,9,63,15.0
11,2019-07-27,131782.0,3.0,336.0,16,84,3.0
12,2019-07-28,133287.0,6.0,1505.0,13,73,7.0
13,2019-07-29,226058.0,4.0,68439.0,14,77,9.0
14,2019-07-30,227304.0,4.0,1246.0,13,80,8.0
15,2019-07-31,241703.0,9.0,14399.0,11,69,13.0
16,2019-08-01,243775.0,3.0,2072.0,17,84,5.0
17,2019-08-02,248675.0,3.0,4900.0,17,84,7.0
18,2019-08-03,249004.0,1.0,329.0,19,122,1.0
19,2019-08-04,254093.0,5.0,5089.0,13,79,6.0
20,2019-08-05,257495.0,6.0,3402.0,14,79,11.0
21,2019-08-06,257992.0,3.0,497.0,17,88,3.0
22,2019-08-07,258496.0,3.0,504.0,18,92,3.0
23,2019-08-08,285845.0,4.0,27349.0,17,83,5.0
24,2019-08-09,286013.0,2.0,168.0,17,92,2.0
25,2019-08-10,287756.0,4.0,1743.0,16,79,4.0
26,2019-08-11,289751.0,2.0,1995.0,22,102,4.0
27,2019-08-12,293237.0,10.0,3486.0,10,62,14.0
28,2019-08-13,313922.0,12.0,20685.0,11,64,20.0
29,2019-08-14,314258.0,2.0,336.0,17,91,4.0
30,2019-08-15,314426.0,2.0,168.0,18,95,2.0
31,2019-08-16,318325.0,4.0,3899.0,15,76,6.0
32,2019-08-17,318409.0,1.0,84.0,18,110,1.0
33,2019-08-18,321566.0,3.0,3157.0,18,86,8.0
34,2019-08-19,321979.0,2.0,413.0,16,94,2.0
35,2019-08-20,323974.0,2.0,1995.0,16,99,3.0
36,2019-08-21,328937.0,7.0,4963.0,15,69,12.0
37,2019-08-22,0.0,5.0,4760.0,15,78,5.0
38,2019-08-23,408625.0,6.0,74928.0,14,68,17.0
39,2019-08-24,2912.0,9.0,6475.0,12,60,19.0
40,2019-08-25,3080.0,1.0,168.0,21,107,1.0
41,2019-08-26,11403.0,7.0,8323.0,14,68,12.0
42,2019-08-27,59570.0,6.0,48167.0,15,67,16.0
43,2019-08-28,88249.0,10.0,28679.0,12,59,20.0
44,2019-08-29,150178.0,6.0,59360.0,12,66,9.0
45,2019-08-30,154000.0,9.0,3822.0,12,57,13.0
46,2019-08-31,241311.0,9.0,87311.0,12,56,26.0
47,2019-09-01,262612.0,13.0,21301.0,11,54,23.0
48,2019-09-02,289513.0,6.0,26901.0,13,71,14.0
49,2019-09-03,347368.0,24.0,57855.0,10,47,33.0
50,2019-09-04,362278.0,11.0,14910.0,14,63,13.0
51,2019-09-05,367353.0,14.0,5075.0,12,59,15.0
52,2019-09-06,458248.0,23.0,90895.0,11,56,34.0
53,2019-09-07,512722.0,11.0,54474.0,13,61,23.0
54,2019-09-08,609091.0,20.0,96369.0,11,53,65.0
55,2019-09-09,655424.0,17.0,46333.0,14,57,30.0
56,2019-09-10,740614.0,36.0,85190.0,11,45,74.0
57,2019-09-11,787948.0,27.0,47334.0,10,47,50.0
58,2019-09-12,788188.0,2.0,240.0,20,101,2.0
59,2019-09-13,791068.0,6.0,2880.0,16,73,16.0
60,2019-09-14,791788.0,3.0,720.0,18,84,3.0
61,2019-09-15,799498.0,5.0,7710.0,17,76,10.0
62,2019-09-16,805328.0,7.0,5830.0,15,68,14.0
63,2019-09-17,806998.0,6.0,1670.0,13,73,7.0
64,2019-09-18,807588.0,2.0,590.0,19,94,2.0
65,2019-09-19,809838.0,2.0,2250.0,18,97,2.0
66,2019-09-20,811618.0,6.0,1780.0,14,79,9.0
67,2019-09-21,815418.0,10.0,3800.0,12,65,12.0
68,2019-09-22,815538.0,1.0,120.0,19,116,1.0
69,2019-09-23,820518.0,6.0,4980.0,15,78,8.0
70,2019-09-24,827058.0,6.0,6540.0,15,81,11.0
71,2019-09-25,0.0,5.0,950.0,15,81,5.0
72,2019-09-26,833108.0,3.0,5100.0,17,100,8.0
73,2019-09-27,838308.0,6.0,5200.0,14,83,10.0
74,2019-09-28,840568.0,7.0,2260.0,15,79,10.0
75,2019-09-29,841878.0,7.0,1310.0,14,80,8.0
76,2019-09-30,844018.0,10.0,2140.0,14,77,11.0
77,2019-10-01,854348.0,7.0,10330.0,17,89,11.0
78,2019-10-02,861108.0,6.0,6760.0,17,86,13.0
79,2019-10-03,885058.0,11.0,23950.0,13,75,21.0
80,2019-10-04,886488.0,5.0,1430.0,17,91,7.0
81,2019-10-05,888268.0,6.0,1780.0,13,81,8.0
82,2019-10-06,894188.0,9.0,5920.0,13,79,18.0
83,2019-10-07,897848.0,10.0,3660.0,14,78,11.0
84,2019-10-08,900728.0,1.0,2880.0,22,129,1.0
85,2019-10-09,903938.0,8.0,3210.0,13,79,11.0
86,2019-10-10,905618.0,2.0,1680.0,18,114,6.0
87,2019-10-11,905738.0,1.0,120.0,23,138,1.0
88,2019-10-12,906798.0,3.0,1060.0,15,96,3.0
89,2019-10-13,907748.0,4.0,950.0,14,89,4.0
90,2019-10-14,907748.0,0.0,0.0,NULL,NULL,0.0
91,2019-10-15,908698.0,3.0,950.0,19,103,4.0
92,2019-10-16,908818.0,1.0,120.0,17,116,1.0
93,2019-10-17,909528.0,2.0,710.0,18,102,3.0
94,2019-10-18,911068.0,4.0,1540.0,13,97,5.0
95,2019-10-19,913198.0,8.0,2130.0,13,83,9.0
96,2019-10-20,914748.0,8.0,1550.0,12,79,9.0
97,2019-10-21,918188.0,5.0,3440.0,14,89,7.0
98,2019-10-22,919388.0,4.0,1200.0,15,90,4.0
99,2019-10-23,920578.0,5.0,1190.0,14,89,7.0
100,2019-10-24,921408.0,4.0,830.0,16,96,4.0
101,2019-10-25,922718.0,4.0,1310.0,18,96,6.0
102,2019-10-26,923428.0,2.0,710.0,21,108,3.0
103,2019-10-27,120.0,3.0,590.0,17,97,3.0
104,2019-10-28,120.0,0.0,0.0,NULL,NULL,0.0
105,2019-10-29,120.0,0.0,0.0,NULL,NULL,0.0
106,2019-10-30,120.0,0.0,0.0,NULL,NULL,0.0
107,2019-10-31,120.0,0.0,0.0,NULL,NULL,0.0
108,2019-11-01,120.0,0.0,0.0,NULL,NULL,0.0
109,2019-11-02,120.0,0.0,0.0,NULL,NULL,0.0
110,2019-11-03,120.0,0.0,0.0,NULL,NULL,0.0
111,2019-11-04,120.0,0.0,0.0,NULL,NULL,0.0
112,2019-11-05,120.0,0.0,0.0,NULL,NULL,0.0
113,2019-11-06,120.0,0.0,0.0,NULL,NULL,0.0
114,2019-11-07,120.0,0.0,0.0,NULL,NULL,0.0
115,2019-11-08,120.0,0.0,0.0,NULL,NULL,0.0
116,2019-11-09,120.0,0.0,0.0,NULL,NULL,0.0
117,2019-11-10,120.0,0.0,0.0,NULL,NULL,0.0
118,2019-11-11,120.0,0.0,0.0,NULL,NULL,0.0
119,2019-11-12,120.0,0.0,0.0,NULL,NULL,0.0
120,2019-11-13,120.0,0.0,0.0,NULL,NULL,0.0
121,2019-11-14,120.0,0.0,0.0,NULL,NULL,0.0
122,2019-11-15,120.0,0.0,0.0,NULL,NULL,0.0
123,2019-11-16,120.0,0.0,0.0,NULL,NULL,0.0
124,2019-11-17,120.0,0.0,0.0,NULL,NULL,0.0
125,2019-11-18,120.0,0.0,0.0,NULL,NULL,0.0
126,2019-11-19,120.0,0.0,0.0,NULL,NULL,0.0
127,2019-11-20,120.0,0.0,0.0,NULL,NULL,0.0
128,2019-11-21,120.0,0.0,0.0,NULL,NULL,0.0
129,2019-11-22,120.0,0.0,0.0,NULL,NULL,0.0
130,2019-11-23,120.0,0.0,0.0,NULL,NULL,0.0
131,2019-11-24,120.0,0.0,0.0,NULL,NULL,0.0
132,2019-11-25,120.0,0.0,0.0,NULL,NULL,0.0
133,2019-11-26,120.0,0.0,0.0,NULL,NULL,0.0
134,2019-11-27,120.0,0.0,0.0,NULL,NULL,0.0
135,2019-11-28,120.0,0.0,0.0,NULL,NULL,0.0
136,2019-11-29,120.0,0.0,0.0,NULL,NULL,0.0
137,2019-11-30,120.0,0.0,0.0,NULL,NULL,0.0
138,2019-12-01,120.0,0.0,0.0,NULL,NULL,0.0
139,2019-12-02,120.0,0.0,0.0,NULL,NULL,0.0
140,2019-12-03,120.0,0.0,0.0,NULL,NULL,0.0
141,2019-12-04,120.0,0.0,0.0,NULL,NULL,0.0
142,2019-12-05,120.0,0.0,0.0,NULL,NULL,0.0
143,2019-12-06,120.0,0.0,0.0,NULL,NULL,0.0
144,2019-12-07,120.0,0.0,0.0,NULL,NULL,0.0
145,2019-12-08,120.0,0.0,0.0,NULL,NULL,0.0
146,2019-12-09,0.0,1.0,0.0,16,115,2.0
147,2019-12-10,0.0,0.0,0.0,NULL,NULL,0.0
148,2019-12-11,0.0,0.0,0.0,NULL,NULL,0.0
149,2019-12-12,0.0,0.0,0.0,NULL,NULL,0.0
150,2019-12-13,0.0,0.0,0.0,NULL,NULL,0.0
151,2019-12-14,0.0,0.0,0.0,NULL,NULL,0.0
152,2019-12-15,0.0,0.0,0.0,NULL,NULL,0.0
153,2019-12-16,0.0,0.0,0.0,NULL,NULL,0.0
154,2019-12-17,0.0,0.0,0.0,NULL,NULL,0.0
155,2019-12-18,0.0,0.0,0.0,NULL,NULL,0.0
156,2019-12-19,0.0,0.0,0.0,NULL,NULL,0.0
157,2019-12-20,0.0,0.0,0.0,NULL,NULL,0.0
158,2019-12-21,0.0,0.0,0.0,NULL,NULL,0.0
159,2019-12-22,0.0,0.0,0.0,NULL,NULL,0.0
160,2019-12-23,0.0,0.0,0.0,NULL,NULL,0.0
161,2019-12-24,0.0,0.0,0.0,NULL,NULL,0.0
162,2019-12-25,0.0,0.0,0.0,NULL,NULL,0.0
163,2019-12-26,0.0,0.0,0.0,NULL,NULL,0.0
164,2019-12-27,0.0,0.0,0.0,NULL,NULL,0.0
165,2019-12-28,0.0,0.0,0.0,NULL,NULL,0.0
166,2019-12-29,0.0,0.0,0.0,NULL,NULL,0.0
167,2019-12-30,0.0,0.0,0.0,NULL,NULL,0.0
168,2019-12-31,0.0,0.0,0.0,NULL,NULL,0.0
169,2020-01-01,0.0,0.0,0.0,NULL,NULL,0.0
170,2020-01-02,0.0,0.0,0.0,NULL,NULL,0.0
171,2020-01-03,0.0,0.0,0.0,NULL,NULL,0.0
172,2020-01-04,0.0,0.0,0.0,NULL,NULL,0.0
173,2020-01-05,0.0,0.0,0.0,NULL,NULL,0.0
174,2020-01-06,0.0,0.0,0.0,NULL,NULL,0.0
175,2020-01-07,0.0,0.0,0.0,NULL,NULL,0.0
176,2020-01-08,0.0,0.0,0.0,NULL,NULL,0.0
177,2020-01-09,0.0,0.0,0.0,NULL,NULL,0.0
178,2020-01-10,0.0,0.0,0.0,NULL,NULL,0.0
179,2020-01-11,0.0,0.0,0.0,NULL,NULL,0.0
180,2020-01-12,0.0,0.0,0.0,NULL,NULL,0.0
