,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-12-28,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-12-29,0.0,0.0,0.0,NULL,NULL,0.0
2,2018-12-30,0.0,0.0,0.0,NULL,NULL,0.0
3,2018-12-31,0.0,216.0,464300.0,3,13,2967.0
4,2019-01-01,0.0,182.0,146850.0,3,13,1664.0
5,2019-01-02,0.0,167.0,125250.0,4,17,1390.0
6,2019-01-03,0.0,133.0,37100.0,4,18,753.0
7,2019-01-04,0.0,96.0,33800.0,5,22,607.0
8,2019-01-05,0.0,76.0,15650.0,6,22,390.0
9,2019-01-06,0.0,68.0,11300.0,8,24,303.0
10,2019-01-07,0.0,41.0,2050.0,10,28,145.0
11,2019-01-08,0.0,32.0,2400.0,9,30,90.0
12,2019-01-09,8109.0,22.0,2850.0,11,36,65.0
13,2019-01-10,7945.67,17.0,450.0,12,40,32.0
14,2019-01-11,7727.33,13.0,250.0,13,44,19.0
15,2019-01-12,9181.5,20.0,4200.0,11,40,63.0
16,2019-01-13,9658.5,24.0,3200.0,10,38,64.0
17,2019-01-14,8735.17,21.0,850.0,11,40,55.0
18,2019-01-15,10335.0,14.0,3400.0,14,48,64.0
19,2019-01-16,9283.0,12.0,550.0,14,43,35.0
20,2019-01-17,8353.83,21.0,1250.0,11,42,58.0
21,2019-01-18,8490.5,13.0,450.0,17,50,28.0
22,2019-01-19,8053.83,11.0,400.0,15,49,20.0
23,2019-01-20,0.0,21.0,10500.0,13,44,88.0
24,2019-01-21,11250.17,33.0,1500.0,12,37,93.0
25,2019-01-22,9555.0,23.0,1100.0,13,42,57.0
26,2019-01-23,8759.0,13.0,900.0,14,47,29.0
27,2019-01-24,8508.0,10.0,200.0,16,53,18.0
28,2019-01-25,8176.33,12.0,350.0,16,54,22.0
29,2019-01-26,8443.83,12.0,750.0,15,51,24.0
30,2019-01-27,8199.5,21.0,1500.0,14,41,50.0
31,2019-01-28,8063.67,9.0,1100.0,16,55,41.0
32,2019-01-29,8093.67,8.0,300.0,17,59,15.0
33,2019-01-30,7885.33,6.0,335.0,20,61,23.0
34,2019-01-31,7546.83,37.0,3470.0,13,39,295.0
35,2019-02-01,7631.0,17.0,1400.0,14,46,151.0
36,2019-02-02,7861.83,25.0,3120.0,12,39,116.0
37,2019-02-03,7158.5,9.0,435.0,17,54,35.0
38,2019-02-04,6797.5,9.0,530.0,19,52,17.0
39,2019-02-05,6797.5,1.0,50.0,27,82,1.0
40,2019-02-06,7386.67,7.0,2535.0,18,59,181.0
41,2019-02-07,7163.33,6.0,200.0,18,62,45.0
42,2019-02-08,7940.83,3.0,1100.0,20,65,34.0
43,2019-02-09,7312.5,7.0,305.0,17,57,13.0
44,2019-02-10,7015.0,7.0,2720.0,17,57,537.0
45,2019-02-11,7040.0,3.0,55.0,23,72,4.0
46,2019-02-12,6872.5,4.0,100.0,21,71,7.0
47,2019-02-13,6855.0,3.0,60.0,23,76,5.0
48,2019-02-14,6760.0,4.0,0.0,19,71,5.0
49,2019-02-15,6742.5,2.0,10.0,25,86,4.0
50,2019-02-16,6650.0,4.0,250.0,18,71,5.0
51,2019-02-17,6650.83,10.0,180.0,14,58,17.0
52,2019-02-18,6820.83,2.0,205.0,25,83,2.0
53,2019-02-19,0.0,1.0,5.0,27,91,1.0
54,2019-02-20,6790.83,2.0,0.0,26,86,2.0
55,2019-02-21,0.0,1.0,5.0,27,93,1.0
56,2019-02-22,6697.5,3.0,5.0,20,84,3.0
57,2019-02-24,0.0,1.0,250.0,25,93,2.0
58,2019-02-25,7174.17,3.0,660.0,21,83,6.0
59,2019-02-26,6745.83,4.0,250.0,21,79,6.0
60,2019-02-27,6710.83,4.0,105.0,20,76,5.0
61,2019-02-28,6617.5,3.0,0.0,20,85,3.0
62,2019-03-01,6592.5,4.0,45.0,19,78,11.0
63,2019-03-03,6534.17,3.0,50.0,22,82,3.0
