,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-02-01,0.0,7.0,30048.0,18,60,49.0
1,2019-02-02,0.0,13.0,6133.0,15,50,30.0
2,2019-02-03,0.0,9.0,21071.0,17,54,63.0
3,2019-02-04,0.0,16.0,64078.0,15,44,147.0
4,2019-02-05,3923.99,12.0,12799.0,17,52,39.0
5,2019-02-06,7057.28,17.0,51890.0,15,46,119.0
6,2019-02-07,11509.64,42.0,120571.0,12,37,265.0
7,2019-02-08,14986.74,44.0,80877.0,12,35,237.0
8,2019-02-09,24783.9,42.0,152207.0,10,33,318.0
9,2019-02-10,29563.12,46.0,147259.0,11,37,362.0
10,2019-02-11,20769.53,41.0,37407.0,11,38,136.0
11,2019-02-12,9591.36,28.0,0.0,11,43,50.0
12,2019-02-13,8897.89,10.0,0.0,17,59,11.0
13,2019-02-14,8435.26,11.0,0.0,17,57,13.0
14,2019-02-15,7743.15,9.0,0.0,18,60,11.0
15,2019-02-16,7733.87,2.0,0.0,23,82,3.0
16,2019-02-17,7638.99,4.0,0.0,21,71,8.0
17,2019-02-18,7553.86,2.0,0.0,25,83,2.0
18,2019-02-19,7392.74,2.0,0.0,26,84,2.0
19,2019-02-20,7392.74,2.0,0.0,26,86,4.0
20,2019-02-21,7392.74,1.0,0.0,27,93,1.0
21,2019-02-22,0.0,1.0,0.0,24,94,1.0
22,2019-02-23,0.0,1.0,0.0,26,91,1.0
23,2019-02-24,0.0,2.0,0.0,24,88,3.0
24,2019-02-26,6940.37,2.0,0.0,26,91,2.0
25,2019-02-27,6940.37,2.0,0.0,25,88,5.0
26,2019-02-28,6940.37,2.0,0.0,24,91,2.0
27,2019-03-01,0.0,1.0,0.0,29,100,1.0
28,2019-03-04,6940.37,1.0,0.0,28,102,1.0
29,2019-03-05,6940.37,4.0,0.0,21,84,10.0
30,2019-03-06,6940.37,4.0,0.0,21,88,5.0
31,2019-03-07,6940.37,7.0,0.0,21,82,10.0
32,2019-03-08,6940.37,2.0,0.0,27,97,3.0
33,2019-03-11,6940.37,1.0,0.0,30,115,1.0
34,2019-03-12,6940.37,1.0,0.0,27,106,1.0
35,2019-03-13,6940.37,2.0,0.0,25,99,4.0
36,2019-03-14,0.0,2.0,0.0,23,101,3.0
37,2019-03-15,0.0,1.0,0.0,26,109,1.0
38,2019-03-16,0.0,1.0,0.0,25,110,1.0
39,2019-03-17,0.0,2.0,0.0,25,103,2.0
40,2019-03-18,0.0,1.0,0.0,27,118,1.0
41,2019-03-19,0.0,1.0,0.0,28,124,2.0
42,2019-03-20,6884.02,3.0,0.0,21,105,4.0
43,2019-03-21,6491.06,1.0,0.0,24,116,1.0
44,2019-03-22,6491.06,1.0,0.0,28,128,1.0
45,2019-03-23,6491.06,0.0,0.0,NULL,NULL,0.0
46,2019-03-24,6491.06,0.0,0.0,NULL,NULL,0.0
47,2019-03-25,6491.06,0.0,0.0,NULL,NULL,0.0
48,2019-03-26,6491.06,0.0,0.0,NULL,NULL,0.0
49,2019-03-27,6491.06,0.0,0.0,NULL,NULL,0.0
50,2019-03-28,6491.06,2.0,0.0,25,130,2.0
51,2019-03-29,6491.06,0.0,0.0,NULL,NULL,0.0
52,2019-03-30,6491.06,2.0,0.0,25,136,2.0
53,2019-03-31,6491.06,0.0,0.0,NULL,NULL,0.0
54,2019-04-01,6491.06,0.0,0.0,NULL,NULL,0.0
55,2019-04-02,6491.06,0.0,0.0,NULL,NULL,0.0
56,2019-04-03,6491.06,0.0,0.0,NULL,NULL,0.0
57,2019-04-04,5709.84,2.0,0.0,25,151,2.0
58,2019-04-05,5709.84,2.0,0.0,24,145,3.0
59,2019-04-06,5709.84,2.0,0.0,23,145,4.0
60,2019-04-07,5709.84,0.0,0.0,NULL,NULL,0.0
61,2019-04-08,5709.84,0.0,0.0,NULL,NULL,0.0
62,2019-04-09,5678.71,1.0,0.0,24,156,1.0
63,2019-04-10,5678.71,0.0,0.0,NULL,NULL,0.0
64,2019-04-11,5678.71,0.0,0.0,NULL,NULL,0.0
65,2019-04-12,5678.71,0.0,0.0,NULL,NULL,0.0
66,2019-04-13,5678.71,0.0,0.0,NULL,NULL,0.0
67,2019-04-14,5678.71,0.0,0.0,NULL,NULL,0.0
68,2019-04-15,5678.71,0.0,0.0,NULL,NULL,0.0
69,2019-04-16,5678.71,0.0,0.0,NULL,NULL,0.0
70,2019-04-17,5678.71,0.0,0.0,NULL,NULL,0.0
71,2019-04-18,5678.71,0.0,0.0,NULL,NULL,0.0
72,2019-04-19,5678.71,0.0,0.0,NULL,NULL,0.0
73,2019-04-20,5678.71,0.0,0.0,NULL,NULL,0.0
74,2019-04-21,5678.71,2.0,0.0,25,146,3.0
75,2019-04-22,5678.71,0.0,0.0,NULL,NULL,0.0
76,2019-04-23,5678.71,0.0,0.0,NULL,NULL,0.0
77,2019-04-24,5678.71,0.0,0.0,NULL,NULL,0.0
78,2019-04-25,5678.71,0.0,0.0,NULL,NULL,0.0
79,2019-04-26,5678.71,0.0,0.0,NULL,NULL,0.0
80,2019-04-27,5678.71,0.0,0.0,NULL,NULL,0.0
81,2019-04-28,5678.71,1.0,0.0,30,154,1.0
82,2019-04-29,5678.71,1.0,0.0,24,153,1.0
83,2019-04-30,5678.71,0.0,0.0,NULL,NULL,0.0
84,2019-05-01,5678.71,0.0,0.0,NULL,NULL,0.0
85,2019-05-02,5678.71,2.0,0.0,20,136,2.0
86,2019-05-03,5678.71,2.0,0.0,19,125,5.0
87,2019-05-04,5678.71,51.0,106574.4375,9,58,730.0
88,2019-05-05,5678.71,4.0,0.0,19,109,7.0
89,2019-05-06,5678.71,45.0,39641.06875,10,59,473.0
90,2019-05-07,5678.71,47.0,60971.56075,9,55,495.0
91,2019-05-08,5678.71,57.0,53486.28825,9,51,271.0
92,2019-05-09,5678.71,65.0,33850.897,8,47,256.0
93,2019-05-10,5678.71,51.0,9620.937,9,54,239.0
94,2019-05-11,5678.71,46.0,3877.854375,9,57,113.0
95,2019-05-12,5678.71,21.0,203.10775,10,58,41.0
96,2019-05-13,0.0,30.0,7501.179375,12,62,89.0
97,2019-05-14,5678.71,33.0,2608.26125,12,60,58.0
98,2019-05-15,5678.71,25.0,202.64975,12,66,40.0
99,2019-05-16,5678.71,25.0,301.178875,13,65,44.0
100,2019-05-17,5678.71,23.0,0.0,12,64,45.0
101,2019-05-18,5678.71,22.0,1618.390125,12,68,40.0
102,2019-05-19,5678.71,23.0,1549.92,12,66,48.0
103,2019-05-20,8509.76,26.0,249.066,12,65,50.0
104,2019-05-21,8871.72,25.0,1393.578,12,65,45.0
105,2019-05-22,7333.48,23.0,347.27,12,65,32.0
106,2019-05-23,5678.71,23.0,199.12,16,71,29.0
107,2019-05-24,8545.2,10.0,148.296,20,88,16.0
108,2019-05-25,8472.57,7.0,0.0,20,93,11.0
109,2019-05-26,8464.37,15.0,49.322,16,73,15.0
110,2019-05-27,8382.21,11.0,0.0,18,85,17.0
111,2019-05-28,7677.16,14.0,0.0,15,76,16.0
112,2019-05-29,7058.07,10.0,840.612,16,81,17.0
113,2019-05-30,9041.43,18.0,1945.45925,13,71,33.0
114,2019-05-31,8887.29,22.0,1426.05,13,68,42.0
115,2019-06-01,8679.9,18.0,488.66,14,69,28.0
116,2019-06-02,8496.95,11.0,0.0,17,81,11.0
117,2019-06-03,8756.37,19.0,977.72,14,77,19.0
118,2019-06-04,8557.81,16.0,0.0,14,74,18.0
119,2019-06-05,8243.56,14.0,48.696,15,76,20.0
120,2019-06-06,8104.47,10.0,389.584,16,81,15.0
121,2019-06-07,7744.6,6.0,0.0,17,92,7.0
122,2019-06-08,7687.52,9.0,0.0,14,80,16.0
123,2019-06-09,7584.63,5.0,0.0,16,90,5.0
124,2019-06-10,7325.71,6.0,0.0,16,97,6.0
125,2019-06-11,7310.87,2.0,0.0,22,132,2.0
126,2019-06-12,7296.35,3.0,0.0,19,117,4.0
127,2019-06-13,7294.83,3.0,0.0,21,113,5.0
128,2019-06-14,7294.83,1.0,0.0,26,143,1.0
129,2019-06-15,7289.86,3.0,0.0,19,109,7.0
130,2019-06-16,7283.17,2.0,0.0,22,127,2.0
131,2019-06-17,7268.88,4.0,0.0,21,103,6.0
132,2019-06-18,7265.07,3.0,0.0,20,108,3.0
133,2019-06-19,7263.09,2.0,0.0,23,131,2.0
134,2019-06-20,7180.37,3.0,0.0,24,113,3.0
135,2019-06-21,7180.37,1.0,0.0,24,145,1.0
136,2019-06-22,7180.37,1.0,0.0,22,136,1.0
137,2019-06-23,7180.37,1.0,0.0,25,134,1.0
138,2019-06-24,7163.34,2.0,0.0,23,123,2.0
139,2019-06-25,25761.85,3.0,48.352,20,108,3.0
140,2019-06-26,25752.87,4.0,0.0,17,92,4.0
141,2019-06-27,25719.26,3.0,0.0,22,103,3.0
142,2019-06-28,25717.1,3.0,0.0,18,97,8.0
143,2019-06-29,25716.47,2.0,0.0,18,111,2.0
144,2019-06-30,25716.47,1.0,0.0,24,129,1.0
145,2019-07-01,25711.2,2.0,0.0,18,105,2.0
146,2019-07-02,25711.2,1.0,0.0,21,128,1.0
147,2019-07-03,25710.38,1.0,0.0,19,116,1.0
148,2019-07-04,25707.21,2.0,0.0,18,104,2.0
149,2019-07-05,25707.21,0.0,0.0,NULL,NULL,0.0
150,2019-07-06,25707.21,0.0,0.0,NULL,NULL,0.0
151,2019-07-07,25707.21,0.0,0.0,NULL,NULL,0.0
152,2019-07-08,25707.14,1.0,0.0,25,124,1.0
153,2019-07-09,25707.14,0.0,0.0,NULL,NULL,0.0
154,2019-07-10,25707.14,1.0,0.0,25,124,1.0
155,2019-07-11,25707.14,0.0,0.0,NULL,NULL,0.0
156,2019-07-12,25695.55,1.0,0.0,25,127,1.0
157,2019-07-13,25695.55,0.0,0.0,NULL,NULL,0.0
