,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-11-12,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-11-13,0.0,0.0,0.0,NULL,NULL,0.0
2,2018-11-14,0.0,0.0,0.0,NULL,NULL,0.0
3,2018-11-15,0.0,0.0,0.0,NULL,NULL,0.0
4,2018-11-16,0.0,0.0,0.0,NULL,NULL,0.0
5,2018-11-17,0.0,0.0,0.0,NULL,NULL,0.0
6,2018-11-18,0.0,0.0,0.0,NULL,NULL,0.0
7,2018-11-19,0.0,0.0,0.0,NULL,NULL,0.0
8,2018-11-20,0.0,0.0,0.0,NULL,NULL,0.0
9,2018-11-21,0.0,0.0,0.0,NULL,NULL,0.0
10,2018-11-22,0.0,0.0,0.0,NULL,NULL,0.0
11,2018-11-23,0.0,0.0,0.0,NULL,NULL,0.0
12,2018-11-24,0.0,0.0,0.0,NULL,NULL,0.0
13,2018-11-25,0.0,0.0,0.0,NULL,NULL,0.0
14,2018-11-26,0.0,0.0,0.0,NULL,NULL,0.0
15,2018-11-27,0.0,0.0,0.0,NULL,NULL,0.0
16,2018-11-28,0.0,0.0,0.0,NULL,NULL,0.0
17,2018-11-29,0.0,0.0,0.0,NULL,NULL,0.0
18,2018-11-30,0.0,0.0,0.0,NULL,NULL,0.0
19,2018-12-01,0.0,0.0,0.0,NULL,NULL,0.0
20,2018-12-02,0.0,0.0,0.0,NULL,NULL,0.0
21,2018-12-03,0.0,0.0,0.0,NULL,NULL,0.0
22,2018-12-04,0.0,0.0,0.0,NULL,NULL,0.0
23,2018-12-05,0.0,0.0,0.0,NULL,NULL,0.0
24,2018-12-06,0.0,0.0,0.0,NULL,NULL,0.0
25,2018-12-07,0.0,0.0,0.0,NULL,NULL,0.0
26,2018-12-08,0.0,0.0,0.0,NULL,NULL,0.0
27,2018-12-09,0.0,0.0,0.0,NULL,NULL,0.0
28,2018-12-10,0.0,0.0,0.0,NULL,NULL,0.0
29,2018-12-11,0.0,0.0,0.0,NULL,NULL,0.0
30,2018-12-12,0.0,0.0,0.0,NULL,NULL,0.0
31,2018-12-13,0.0,0.0,0.0,NULL,NULL,0.0
32,2018-12-14,0.0,0.0,0.0,NULL,NULL,0.0
33,2018-12-15,0.0,0.0,0.0,NULL,NULL,0.0
34,2018-12-16,0.0,0.0,0.0,NULL,NULL,0.0
35,2018-12-17,0.0,0.0,0.0,NULL,NULL,0.0
36,2018-12-18,0.0,0.0,0.0,NULL,NULL,0.0
37,2018-12-19,0.0,0.0,0.0,NULL,NULL,0.0
38,2018-12-20,0.0,0.0,0.0,NULL,NULL,0.0
39,2018-12-21,0.0,0.0,0.0,NULL,NULL,0.0
40,2018-12-22,0.0,0.0,0.0,NULL,NULL,0.0
41,2018-12-23,0.0,0.0,0.0,NULL,NULL,0.0
42,2018-12-24,0.0,0.0,0.0,NULL,NULL,0.0
43,2018-12-25,0.0,0.0,0.0,NULL,NULL,0.0
44,2018-12-26,0.0,0.0,0.0,NULL,NULL,0.0
45,2018-12-27,0.0,0.0,0.0,NULL,NULL,0.0
46,2018-12-28,0.0,0.0,0.0,NULL,NULL,0.0
47,2018-12-29,415.0,0.0,0.0,NULL,NULL,0.0
48,2018-12-30,415.0,0.0,0.0,NULL,NULL,0.0
49,2018-12-31,1415.0,241.0,90716.0,2,11,917.0
50,2019-01-01,1415.0,213.0,6095.0,2,12,675.0
51,2019-01-02,1415.0,201.0,16740.0,2,13,663.0
52,2019-01-03,1415.0,216.0,123928.0,2,14,1610.0
53,2019-01-04,1415.0,276.0,8685.0,2,13,1079.0
54,2019-01-05,1415.0,420.0,56208.0,3,10,1881.0
55,2019-01-06,1415.0,371.0,880502.0,3,13,1461.0
56,2019-01-07,1415.0,378.0,113407.0,3,13,1527.0
57,2019-01-08,1415.0,463.0,888858.0,3,14,2068.0
58,2019-01-09,1415.0,408.0,183278.0,4,14,1457.0
59,2019-01-10,1415.0,429.0,1512565.0,4,14,2245.0
60,2019-01-11,1415.0,528.0,2087386.0,4,14,2710.0
61,2019-01-12,1415.0,493.0,844256.0,4,13,3051.0
62,2019-01-13,1415.0,492.0,1526071.0,5,15,2187.0
63,2019-01-14,1433429.63,490.0,4858722.0,5,15,1692.0
64,2019-01-15,398039.55,502.0,1178720.0,4,15,2640.0
65,2019-01-16,412721.91,3279.0,7328084.0,2,3,9340.0
66,2019-01-17,275351.78,3868.0,290674.0,3,4,9504.0
67,2019-01-18,344033.35,3811.0,2772416.0,3,4,9468.0
68,2019-01-19,580463.72,3762.0,4024869.0,2,3,9305.0
69,2019-01-20,0.0,4263.0,1812229.0,2,2,15725.0
70,2019-01-21,506438.39,4152.0,1914990.0,2,2,12824.0
71,2019-01-22,292444.39,3800.0,89270.0,2,2,9310.0
72,2019-01-23,333593.39,3819.0,492609.0,2,2,9595.0
73,2019-01-24,637575.39,3832.0,672823.0,2,2,9509.0
74,2019-01-25,387457.14,3797.0,1223505.0,2,3,9364.0
75,2019-01-26,95175.2,3933.0,526026.0,2,2,9761.0
76,2019-01-27,132026.24,3978.0,268229.0,2,2,9787.0
77,2019-01-28,180502.31,3909.0,272233.0,2,2,10186.0
78,2019-01-29,202138.51,4742.0,233370.0,2,2,9793.0
79,2019-01-30,130127.65,3874.0,464414.0,3,4,6804.0
80,2019-01-31,116790.13,5176.0,491512.0,2,2,11284.0
