,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-24,0.0,1.0,7.0,31,83,3.0
1,2019-01-25,0.0,1.0,8.0,27,85,5.0
2,2019-01-29,0.0,1.0,50.0,25,78,2.0
3,2019-01-30,0.0,4.0,157.0,23,68,4.0
4,2019-01-31,1537.9,9.0,1320.0,18,56,10.0
5,2019-02-01,4117.9,5.0,2580.0,20,64,9.0
6,2019-02-02,5794.4,6.0,1677.0,19,59,8.0
7,2019-02-03,8514.4,3.0,3320.0,21,67,3.0
8,2019-02-05,9761.4,4.0,1247.0,19,66,5.0
9,2019-02-06,9961.4,1.0,200.0,24,79,1.0
10,2019-02-08,10272.4,3.0,311.0,20,65,3.0
11,2019-02-09,14522.4,5.0,4250.0,18,59,5.0
12,2019-02-10,16282.4,4.0,1760.0,19,65,4.0
13,2019-02-11,16876.4,2.0,184.0,26,79,2.0
14,2019-02-12,19831.4,6.0,3365.0,19,63,12.0
15,2019-02-13,20476.4,4.0,645.0,20,73,5.0
16,2019-02-14,20667.05,2.0,191.0,23,78,2.0
17,2019-02-15,20726.05,1.0,59.0,27,91,1.0
18,2019-02-16,20661.05,3.0,335.0,20,75,4.0
19,2019-02-17,15437.19,6.0,1134.0,17,64,9.0
20,2019-02-18,14588.87,6.0,338.0,20,69,9.0
21,2019-02-19,0.0,1.0,30.0,27,91,1.0
22,2019-02-20,14610.87,3.0,112.0,24,80,3.0
23,2019-02-21,14700.87,2.0,120.0,24,89,2.0
24,2019-02-22,14730.87,2.0,60.0,23,88,2.0
25,2019-02-24,0.0,1.0,30.0,25,93,1.0
26,2019-02-25,14730.87,1.0,30.0,26,100,1.0
27,2019-02-26,15483.87,4.0,950.0,21,79,5.0
28,2019-02-28,15549.87,1.0,160.0,30,102,1.0
29,2019-03-01,15629.87,2.0,80.0,25,91,2.0
30,2019-03-02,15769.87,1.0,140.0,22,95,2.0
31,2019-03-04,16369.87,1.0,600.0,28,102,1.0
32,2019-03-07,1699.87,2.0,330.0,28,100,2.0
33,2019-03-08,1699.87,1.0,0.0,30,107,1.0
34,2019-03-10,1789.87,2.0,90.0,24,97,2.0
35,2019-03-11,1845.87,2.0,120.0,24,101,2.0
36,2019-03-12,1873.87,2.0,110.0,22,95,2.0
37,2019-03-16,0.0,2.0,60.0,23,101,2.0
38,2019-03-17,0.0,1.0,100.0,29,115,1.0
39,2019-03-18,0.0,1.0,153.0,27,118,2.0
40,2019-03-20,2118.33,1.0,30.0,27,121,1.0
41,2019-03-21,2118.33,0.0,0.0,NULL,NULL,0.0
42,2019-03-22,2360.14,1.0,242.0,28,128,1.0
43,2019-03-23,2360.14,0.0,0.0,NULL,NULL,0.0
44,2019-03-24,2360.14,0.0,0.0,NULL,NULL,0.0
45,2019-03-25,2360.14,0.0,0.0,NULL,NULL,0.0
46,2019-03-26,2360.14,0.0,0.0,NULL,NULL,0.0
47,2019-03-27,2420.14,1.0,60.0,29,145,1.0
48,2019-03-28,2490.14,1.0,70.0,29,142,1.0
49,2019-03-29,640.14,2.0,2460.0,25,132,2.0
50,2019-03-30,640.14,0.0,0.0,NULL,NULL,0.0
51,2019-03-31,640.14,0.0,0.0,NULL,NULL,0.0
52,2019-04-01,730.14,1.0,90.0,25,162,1.0
53,2019-04-02,1490.14,2.0,760.0,21,148,2.0
54,2019-04-03,1635.14,3.0,210.0,21,143,3.0
55,2019-04-04,1667.72,1.0,94.58,27,162,1.0
56,2019-04-05,198.72,3.0,91.0,22,133,3.0
57,2019-04-06,244.72,2.0,90.0,23,145,3.0
58,2019-04-07,389.72,2.0,194.0,23,142,2.0
59,2019-04-08,389.72,0.0,0.0,NULL,NULL,0.0
60,2019-04-09,389.72,0.0,0.0,NULL,NULL,0.0
61,2019-04-10,719.72,1.0,330.0,25,157,1.0
62,2019-04-11,719.72,1.0,0.0,29,167,1.0
63,2019-04-12,634.72,2.0,1060.0,26,147,2.0
64,2019-04-13,695.72,1.0,111.0,24,154,1.0
65,2019-04-14,849.72,2.0,154.0,22,137,2.0
66,2019-04-15,944.72,1.0,95.0,24,158,1.0
67,2019-04-16,944.72,0.0,0.0,NULL,NULL,0.0
68,2019-04-17,1139.72,1.0,195.0,22,161,2.0
69,2019-04-18,1139.72,0.0,0.0,NULL,NULL,0.0
70,2019-04-19,1139.72,0.0,0.0,NULL,NULL,0.0
71,2019-04-20,1139.72,0.0,0.0,NULL,NULL,0.0
72,2019-04-21,1169.72,1.0,30.0,27,162,1.0
73,2019-04-22,1279.72,1.0,110.0,26,155,1.0
74,2019-04-23,1429.72,1.0,150.0,24,154,1.0
75,2019-04-24,1429.72,0.0,0.0,NULL,NULL,0.0
76,2019-04-25,1429.72,0.0,0.0,NULL,NULL,0.0
77,2019-04-26,1463.72,1.0,34.0,28,152,1.0
78,2019-04-27,1463.72,0.0,0.0,NULL,NULL,0.0
79,2019-04-28,1783.72,2.0,320.0,21,138,2.0
80,2019-04-29,1783.72,0.0,0.0,NULL,NULL,0.0
81,2019-04-30,1783.72,0.0,0.0,NULL,NULL,0.0
82,2019-05-01,2265.12,2.0,592.4,19,134,4.0
83,2019-05-02,2265.12,0.0,0.0,NULL,NULL,0.0
84,2019-05-03,2265.12,0.0,0.0,NULL,NULL,0.0
85,2019-05-04,2265.12,0.0,0.0,NULL,NULL,0.0
86,2019-05-05,2265.12,0.0,0.0,NULL,NULL,0.0
87,2019-05-06,2265.12,0.0,0.0,NULL,NULL,0.0
88,2019-05-07,2265.12,0.0,0.0,NULL,NULL,0.0
89,2019-05-08,2265.12,0.0,0.0,NULL,NULL,0.0
90,2019-05-09,2265.12,0.0,0.0,NULL,NULL,0.0
91,2019-05-10,2265.12,0.0,0.0,NULL,NULL,0.0
92,2019-05-11,2265.12,1.0,0.0,24,145,1.0
