,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-03-02,0.0,7.0,108.0,17,69,14.0
1,2019-03-03,0.0,5.0,65.0,17,74,214.0
2,2019-03-04,6.13,58.0,252.0,12,44,601.0
3,2019-03-05,5.03,55.0,113.0,12,43,379.0
4,2019-03-06,1.55,23.0,36.0,14,55,76.0
5,2019-03-07,1.76,14.0,22.0,15,66,45.0
6,2019-03-08,1.03,15.0,29.0,14,58,73.0
7,2019-03-09,2.47,8.0,11.0,18,72,23.0
8,2019-03-10,1.19,3.0,5.0,21,90,9.0
9,2019-03-11,1.16,17.0,31.0,13,60,82.0
10,2019-03-12,2.19,10.0,20.0,15,67,50.0
11,2019-03-13,2.37,7.0,13.0,19,73,41.0
12,2019-03-14,0.0,5.0,9.0,19,84,19.0
13,2019-03-15,0.0,8.0,11.0,16,73,26.0
14,2019-03-16,0.0,6.0,14.0,18,82,48.0
15,2019-03-17,0.0,5.0,12.0,19,87,46.0
16,2019-03-18,0.0,3.0,6.0,24,102,12.0
17,2019-03-19,0.0,2.0,3.0,26,111,6.0
18,2019-03-20,5.75,1.0,4.0,27,121,27.0
19,2019-03-21,5.75,0.0,0.0,NULL,NULL,0.0
20,2019-03-22,5.75,0.0,0.0,NULL,NULL,0.0
21,2019-03-23,2.24,3.0,7.0,24,112,26.0
22,2019-03-24,2.24,0.0,0.0,NULL,NULL,0.0
23,2019-03-25,3.04,1.0,1.0,27,133,2.0
24,2019-03-26,3.92,1.0,1.0,28,136,2.0
25,2019-03-27,3.08,1.0,2.0,29,145,6.0
26,2019-03-28,3.51,3.0,5.0,24,123,11.0
27,2019-03-29,5.27,2.0,2.0,25,132,4.0
28,2019-03-30,2.89,3.0,4.0,23,128,8.0
29,2019-03-31,3.59,1.0,1.0,25,157,1.0
30,2019-04-01,4.29,1.0,1.0,25,162,1.0
31,2019-04-02,2.01,2.0,4.2,21,148,12.0
32,2019-04-03,2.01,0.0,0.0,NULL,NULL,0.0
33,2019-04-04,1.53,1.0,1.5,27,162,2.0
34,2019-04-05,1.53,0.0,0.0,NULL,NULL,0.0
35,2019-04-06,1.53,0.0,0.0,NULL,NULL,0.0
36,2019-04-07,1.53,0.0,0.0,NULL,NULL,0.0
37,2019-04-08,1.53,0.0,0.0,NULL,NULL,0.0
38,2019-04-09,2.06,2.0,2.5,21,147,3.0
39,2019-04-10,2.86,1.0,1.0,25,157,1.0
40,2019-04-11,3.66,1.0,1.0,29,167,1.0
41,2019-04-12,3.66,0.0,0.0,NULL,NULL,0.0
42,2019-04-13,4.46,1.0,1.0,24,154,1.0
43,2019-04-14,5.26,1.0,1.0,29,158,1.0
44,2019-04-15,0.94,8.0,18.9,15,105,63.0
45,2019-04-16,0.74,8.0,18.3,17,110,97.0
46,2019-04-17,0.74,0.0,0.0,NULL,NULL,0.0
47,2019-04-18,2.24,2.0,3.8,21,139,8.0
48,2019-04-19,2.24,0.0,0.0,NULL,NULL,0.0
49,2019-04-20,2.24,0.0,0.0,NULL,NULL,0.0
50,2019-04-21,7.03,1.0,20.6,27,162,49.0
51,2019-04-22,9.75,3.0,3.4,22,131,7.0
52,2019-04-23,6.43,2.0,2.8,22,138,6.0
53,2019-04-24,0.78,2.0,7.6,24,150,26.0
54,2019-04-25,0.53,2.0,7.7,26,157,27.0
55,2019-04-26,0.53,0.0,0.0,NULL,NULL,0.0
56,2019-04-27,0.53,0.0,0.0,NULL,NULL,0.0
57,2019-04-28,2.94,6.0,24.5,18,111,71.0
58,2019-04-29,2.94,0.0,0.0,NULL,NULL,0.0
59,2019-04-30,3.74,1.0,1.0,25,147,1.0
60,2019-05-01,3.74,0.0,0.0,NULL,NULL,0.0
61,2019-05-02,3.74,0.0,0.0,NULL,NULL,0.0
62,2019-05-03,4.62,1.0,1.1,26,152,2.0
63,2019-05-04,4.62,0.0,0.0,NULL,NULL,0.0
64,2019-05-05,4.62,0.0,0.0,NULL,NULL,0.0
65,2019-05-06,5.42,1.0,1.0,24,146,1.0
66,2019-05-07,5.42,0.0,0.0,NULL,NULL,0.0
67,2019-05-08,5.42,0.0,0.0,NULL,NULL,0.0
68,2019-05-09,6.22,1.0,1.0,25,145,1.0
69,2019-05-10,7.02,1.0,1.0,21,135,1.0
70,2019-05-11,7.02,0.0,0.0,NULL,NULL,0.0
71,2019-05-12,3.33,0.0,0.0,NULL,NULL,0.0
72,2019-05-13,3.33,0.0,0.0,NULL,NULL,0.0
73,2019-05-14,3.33,0.0,0.0,NULL,NULL,0.0
74,2019-05-15,3.33,0.0,0.0,NULL,NULL,0.0
75,2019-05-16,3.33,0.0,0.0,NULL,NULL,0.0
76,2019-05-17,3.33,0.0,0.0,NULL,NULL,0.0
77,2019-05-18,3.33,0.0,0.0,NULL,NULL,0.0
78,2019-05-19,3.33,0.0,0.0,NULL,NULL,0.0
79,2019-05-20,4.37,1.0,8.8,24,137,31.0
80,2019-05-21,4.37,0.0,0.0,NULL,NULL,0.0
81,2019-05-22,4.37,0.0,0.0,NULL,NULL,0.0
82,2019-05-23,4.37,0.0,0.0,NULL,NULL,0.0
83,2019-05-24,4.37,0.0,0.0,NULL,NULL,0.0
84,2019-05-25,5.33,1.0,1.2,25,141,3.0
85,2019-05-26,5.33,0.0,0.0,NULL,NULL,0.0
86,2019-05-27,5.33,0.0,0.0,NULL,NULL,0.0
87,2019-05-28,5.33,0.0,0.0,NULL,NULL,0.0
88,2019-05-29,5.33,0.0,0.0,NULL,NULL,0.0
89,2019-05-30,5.33,0.0,0.0,NULL,NULL,0.0
90,2019-05-31,5.33,0.0,0.0,NULL,NULL,0.0
91,2019-06-01,0.9,1.0,3.7,26,145,12.0
92,2019-06-02,0.9,0.0,0.0,NULL,NULL,0.0
93,2019-06-03,0.0,0.0,0.0,NULL,NULL,0.0
94,2019-06-04,0.9,0.0,0.0,NULL,NULL,0.0
95,2019-06-05,0.9,0.0,0.0,NULL,NULL,0.0
96,2019-06-06,0.9,0.0,0.0,NULL,NULL,0.0
97,2019-06-07,0.9,0.0,0.0,NULL,NULL,0.0
98,2019-06-08,0.9,0.0,0.0,NULL,NULL,0.0
99,2019-06-09,0.9,0.0,0.0,NULL,NULL,0.0
100,2019-06-10,0.9,0.0,0.0,NULL,NULL,0.0
101,2019-06-11,1.78,1.0,1.1,28,155,2.0
102,2019-06-12,1.78,0.0,0.0,NULL,NULL,0.0
103,2019-06-13,1.78,0.0,0.0,NULL,NULL,0.0
104,2019-06-14,1.78,0.0,0.0,NULL,NULL,0.0
105,2019-06-15,1.78,0.0,0.0,NULL,NULL,0.0
106,2019-06-16,1.78,0.0,0.0,NULL,NULL,0.0
107,2019-06-17,1.78,0.0,0.0,NULL,NULL,0.0
108,2019-06-18,1.78,0.0,0.0,NULL,NULL,0.0
109,2019-06-19,1.78,0.0,0.0,NULL,NULL,0.0
110,2019-06-20,10.45,2.0,37.7,26,129,99.0
