,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-08-07,0.0,7.0,21050.0,13,76,440.0
1,2019-08-08,10760.0,7.0,39250.0,14,71,318.0
2,2019-08-09,12090.0,4.0,8450.0,15,80,116.0
3,2019-08-10,12170.0,2.0,100.0,19,94,4.0
4,2019-08-11,12440.0,4.0,750.0,16,78,28.0
5,2019-08-12,12510.0,4.0,250.0,15,79,10.0
6,2019-08-13,12660.0,9.0,7750.0,14,68,200.0
7,2019-08-14,12670.0,6.0,5400.0,12,72,213.0
8,2019-08-15,11990.0,8.0,6980.0,12,67,213.0
9,2019-08-16,12370.0,9.0,2250.0,13,65,89.0
10,2019-08-17,12420.0,3.0,500.0,16,83,16.0
11,2019-08-18,12490.0,4.0,200.0,17,81,8.0
12,2019-08-19,12390.0,4.0,250.0,14,82,8.0
13,2019-08-20,12780.0,2.0,750.0,16,99,30.0
14,2019-08-21,13550.0,9.0,5000.0,12,64,150.0
15,2019-08-22,14010.0,5.0,2050.0,15,78,81.0
16,2019-08-23,14250.0,5.0,400.0,16,75,16.0
17,2019-08-24,13890.0,3.0,200.0,17,77,8.0
18,2019-08-25,13890.0,0.0,0.0,NULL,NULL,0.0
19,2019-08-26,13890.0,0.0,0.0,NULL,NULL,0.0
20,2019-08-27,14180.0,4.0,2375.0,17,75,86.0
21,2019-08-28,14030.0,4.0,1400.0,15,75,56.0
22,2019-08-29,10383.6,4.0,8692.0,15,81,187.0
23,2019-08-30,11572.0,5.0,5923.0,14,70,177.0
24,2019-08-31,12206.0,3.0,2730.0,17,91,82.0
25,2019-09-01,12206.0,0.0,0.0,NULL,NULL,0.0
26,2019-09-02,12366.0,3.0,450.0,18,92,18.0
27,2019-09-03,13396.0,4.0,2450.0,18,84,88.0
28,2019-09-04,12656.0,4.0,1700.0,20,92,68.0
29,2019-09-05,13348.4,5.0,5728.0,17,84,94.0
30,2019-09-06,13428.4,2.0,100.0,22,101,4.0
31,2019-09-07,13378.4,2.0,50.0,22,99,2.0
32,2019-09-08,13378.4,0.0,0.0,NULL,NULL,0.0
33,2019-09-09,13678.4,2.0,1150.0,21,100,46.0
34,2019-09-10,13678.4,0.0,0.0,NULL,NULL,0.0
35,2019-09-11,13908.4,5.0,450.0,18,79,18.0
36,2019-09-12,13908.4,0.0,0.0,NULL,NULL,0.0
37,2019-09-13,13908.4,0.0,0.0,NULL,NULL,0.0
38,2019-09-14,13358.4,3.0,650.0,18,84,25.0
39,2019-09-15,13964.4,3.0,4620.0,19,88,109.0
40,2019-09-16,14594.4,5.0,3150.0,16,75,124.0
41,2019-09-17,14920.0,3.0,4280.0,17,86,82.0
42,2019-09-18,15080.0,3.0,200.0,15,80,8.0
43,2019-09-19,14750.0,2.0,2650.0,18,97,104.0
44,2019-09-20,14820.0,2.0,250.0,18,102,10.0
45,2019-09-21,14820.0,0.0,0.0,NULL,NULL,0.0
46,2019-09-22,14770.0,2.0,50.0,16,97,2.0
47,2019-09-23,14300.0,5.0,3000.0,16,83,119.0
48,2019-09-24,14300.0,0.0,0.0,NULL,NULL,0.0
49,2019-09-25,14300.0,0.0,0.0,NULL,NULL,0.0
50,2019-09-26,14300.0,0.0,0.0,NULL,NULL,0.0
51,2019-09-27,14300.0,0.0,0.0,NULL,NULL,0.0
52,2019-09-28,14220.0,2.0,1500.0,19,100,60.0
53,2019-09-29,14300.0,2.0,150.0,20,101,6.0
54,2019-09-30,14340.0,2.0,50.0,19,111,2.0
55,2019-10-01,14340.0,0.0,0.0,NULL,NULL,0.0
56,2019-10-02,14490.0,2.0,400.0,20,111,16.0
57,2019-10-03,14490.0,0.0,0.0,NULL,NULL,0.0
