,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-11-13,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-11-14,0.0,0.0,0.0,NULL,NULL,0.0
2,2018-11-15,0.0,0.0,0.0,NULL,NULL,0.0
3,2018-11-17,0.0,0.0,0.0,NULL,NULL,0.0
4,2018-11-18,0.0,0.0,0.0,NULL,NULL,0.0
5,2018-11-19,0.0,0.0,0.0,NULL,NULL,0.0
6,2018-11-20,0.0,0.0,0.0,NULL,NULL,0.0
7,2018-11-21,0.0,0.0,0.0,NULL,NULL,0.0
8,2018-11-23,0.0,0.0,0.0,NULL,NULL,0.0
9,2018-11-25,0.0,0.0,0.0,NULL,NULL,0.0
10,2018-11-26,0.0,0.0,0.0,NULL,NULL,0.0
11,2018-11-27,0.0,0.0,0.0,NULL,NULL,0.0
12,2018-11-30,0.0,0.0,0.0,NULL,NULL,0.0
13,2018-12-01,0.0,0.0,0.0,NULL,NULL,0.0
14,2018-12-02,0.0,0.0,0.0,NULL,NULL,0.0
15,2018-12-04,0.0,0.0,0.0,NULL,NULL,0.0
16,2018-12-05,0.0,0.0,0.0,NULL,NULL,0.0
17,2018-12-06,0.0,0.0,0.0,NULL,NULL,0.0
18,2018-12-07,0.0,0.0,0.0,NULL,NULL,0.0
19,2018-12-08,0.0,0.0,0.0,NULL,NULL,0.0
20,2018-12-09,0.0,0.0,0.0,NULL,NULL,0.0
21,2018-12-10,0.0,0.0,0.0,NULL,NULL,0.0
22,2018-12-11,0.0,0.0,0.0,NULL,NULL,0.0
23,2018-12-12,0.0,0.0,0.0,NULL,NULL,0.0
24,2018-12-13,0.0,0.0,0.0,NULL,NULL,0.0
25,2018-12-14,12803.2,0.0,0.0,NULL,NULL,0.0
26,2018-12-15,1224.4,0.0,0.0,NULL,NULL,0.0
27,2018-12-16,6924.4,0.0,0.0,NULL,NULL,0.0
28,2018-12-17,8892.6,0.0,0.0,NULL,NULL,0.0
29,2018-12-18,1666.6,0.0,0.0,NULL,NULL,0.0
30,2018-12-19,2726.6,0.0,0.0,NULL,NULL,0.0
