,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-03-31,0.0,1.0,0.0,25,157,1.0
1,2019-04-04,0.0,1.0,1400.0,27,162,15.0
2,2019-04-11,0.0,2.0,600.0,22,150,9.0
3,2019-04-12,0.0,1.0,0.0,29,162,5.0
4,2019-04-13,0.0,1.0,400.0,24,154,5.0
5,2019-04-19,0.0,1.0,200.0,24,157,2.0
6,2019-04-20,0.0,1.0,0.0,23,157,1.0
7,2019-04-21,0.0,8.0,7600.0,16,105,76.0
8,2019-04-22,7318.16,8.0,4200.0,19,107,44.0
9,2019-04-23,7796.92,5.0,4200.0,18,115,38.0
10,2019-04-24,8092.25,1.0,600.0,28,160,5.0
11,2019-04-25,8371.38,4.0,3400.0,21,130,35.0
12,2019-04-26,7843.14,6.0,3800.0,18,102,20.0
13,2019-04-27,8044.37,2.0,600.0,19,139,7.0
14,2019-04-28,7784.3,1.0,200.0,26,160,3.0
15,2019-04-29,7673.27,1.0,200.0,24,153,3.0
16,2019-04-30,7621.41,1.0,800.0,25,147,10.0
17,2019-05-01,7621.41,0.0,0.0,NULL,NULL,0.0
18,2019-05-02,7508.9,1.0,200.0,22,147,3.0
19,2019-05-03,7851.64,2.0,600.0,19,125,5.0
20,2019-05-04,7700.01,1.0,200.0,27,149,3.0
21,2019-05-05,7453.19,1.0,0.0,27,147,1.0
22,2019-05-06,7672.24,1.0,1800.0,24,146,12.0
23,2019-05-07,7672.24,0.0,0.0,NULL,NULL,0.0
24,2019-05-08,7672.24,0.0,0.0,NULL,NULL,0.0
25,2019-05-09,7672.24,0.0,0.0,NULL,NULL,0.0
26,2019-05-10,7672.24,0.0,0.0,NULL,NULL,0.0
27,2019-05-11,7672.24,0.0,0.0,NULL,NULL,0.0
28,2019-05-12,7605.53,0.0,0.0,NULL,NULL,0.0
29,2019-05-13,7605.53,0.0,0.0,NULL,NULL,0.0
30,2019-05-14,7605.53,0.0,0.0,NULL,NULL,0.0
31,2019-05-15,7429.83,1.0,0.0,26,140,1.0
32,2019-05-16,7429.83,1.0,0.0,25,137,2.0
33,2019-05-17,7429.83,0.0,0.0,NULL,NULL,0.0
34,2019-05-18,7429.83,0.0,0.0,NULL,NULL,0.0
35,2019-05-19,7429.83,0.0,0.0,NULL,NULL,0.0
36,2019-05-20,7429.83,0.0,0.0,NULL,NULL,0.0
37,2019-05-21,7429.83,0.0,0.0,NULL,NULL,0.0
38,2019-05-22,7429.83,0.0,0.0,NULL,NULL,0.0
39,2019-05-23,7429.83,0.0,0.0,NULL,NULL,0.0
40,2019-05-24,7429.83,0.0,0.0,NULL,NULL,0.0
41,2019-05-25,7429.83,0.0,0.0,NULL,NULL,0.0
42,2019-05-26,7429.83,0.0,0.0,NULL,NULL,0.0
43,2019-05-27,7429.83,0.0,0.0,NULL,NULL,0.0
44,2019-05-28,7429.83,0.0,0.0,NULL,NULL,0.0
45,2019-05-29,7429.83,0.0,0.0,NULL,NULL,0.0
46,2019-05-30,7429.83,0.0,0.0,NULL,NULL,0.0
47,2019-05-31,7429.83,0.0,0.0,NULL,NULL,0.0
48,2019-06-01,7429.83,0.0,0.0,NULL,NULL,0.0
49,2019-06-02,7429.83,0.0,0.0,NULL,NULL,0.0
50,2019-06-03,7429.83,0.0,0.0,NULL,NULL,0.0
51,2019-06-04,7429.83,0.0,0.0,NULL,NULL,0.0
52,2019-06-05,7429.83,0.0,0.0,NULL,NULL,0.0
53,2019-06-06,7429.83,0.0,0.0,NULL,NULL,0.0
54,2019-06-07,7355.28,1.0,0.0,26,137,5.0
55,2019-06-08,7545.28,1.0,0.0,27,133,2.0
56,2019-06-09,7153.43,1.0,0.0,25,137,1.0
57,2019-06-10,7153.43,0.0,0.0,NULL,NULL,0.0
58,2019-06-11,7153.43,0.0,0.0,NULL,NULL,0.0
59,2019-06-12,7153.43,0.0,0.0,NULL,NULL,0.0
60,2019-06-13,7153.43,0.0,0.0,NULL,NULL,0.0
61,2019-06-14,7153.43,0.0,0.0,NULL,NULL,0.0
62,2019-06-15,7153.43,0.0,0.0,NULL,NULL,0.0
63,2019-06-16,7153.43,0.0,0.0,NULL,NULL,0.0
64,2019-06-17,7153.43,0.0,0.0,NULL,NULL,0.0
65,2019-06-18,7153.43,0.0,0.0,NULL,NULL,0.0
66,2019-06-19,7153.43,0.0,0.0,NULL,NULL,0.0
67,2019-06-20,7153.43,0.0,0.0,NULL,NULL,0.0
68,2019-06-21,7153.43,0.0,0.0,NULL,NULL,0.0
69,2019-06-22,7153.43,0.0,0.0,NULL,NULL,0.0
70,2019-06-23,7153.43,0.0,0.0,NULL,NULL,0.0
71,2019-06-24,7153.43,0.0,0.0,NULL,NULL,0.0
72,2019-06-25,7153.43,0.0,0.0,NULL,NULL,0.0
73,2019-06-26,7153.43,0.0,0.0,NULL,NULL,0.0
74,2019-06-27,7153.43,0.0,0.0,NULL,NULL,0.0
75,2019-06-28,7153.43,0.0,0.0,NULL,NULL,0.0
76,2019-06-29,7153.43,0.0,0.0,NULL,NULL,0.0
77,2019-06-30,7153.43,0.0,0.0,NULL,NULL,0.0
78,2019-07-01,7153.43,0.0,0.0,NULL,NULL,0.0
79,2019-07-02,7153.43,0.0,0.0,NULL,NULL,0.0
80,2019-07-03,7153.43,0.0,0.0,NULL,NULL,0.0
81,2019-07-04,7153.43,0.0,0.0,NULL,NULL,0.0
82,2019-07-05,7153.43,0.0,0.0,NULL,NULL,0.0
