,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-04-09,0.0,0.0,0.0,NULL,NULL,0.0
1,2019-05-23,0.0,381.0,15900.0,4,27,669.0
2,2019-05-24,0.0,360.0,8850.0,4,29,607.0
3,2019-05-25,0.0,323.0,4620.0,4,26,544.0
4,2019-05-26,0.0,199.0,2100.0,6,33,327.0
5,2019-05-27,0.0,304.0,5940.0,4,29,529.0
6,2019-05-28,0.0,165.0,6150.0,6,33,278.0
7,2019-05-29,0.0,169.0,5430.0,6,36,274.0
8,2019-05-30,0.0,282.0,9360.0,5,28,486.0
9,2019-05-31,0.0,274.0,7740.0,5,31,478.0
10,2019-06-01,0.0,244.0,4800.0,6,30,417.0
11,2019-06-02,0.0,214.0,5100.0,6,32,362.0
12,2019-06-03,0.0,200.0,5010.0,7,35,331.0
13,2019-06-04,0.0,168.0,5640.0,7,32,271.0
14,2019-06-05,0.0,170.0,3900.0,7,34,284.0
15,2019-06-06,0.0,185.0,3900.0,7,33,298.0
16,2019-06-07,0.0,165.0,3600.0,7,35,267.0
17,2019-06-08,0.0,156.0,2100.0,7,34,271.0
18,2019-06-09,0.0,157.0,1710.0,6,32,264.0
19,2019-06-10,0.0,145.0,1620.0,7,38,245.0
20,2019-06-11,0.0,119.0,1620.0,7,40,206.0
21,2019-06-12,0.0,129.0,1830.0,8,40,227.0
22,2019-06-13,0.0,124.0,2550.0,7,40,213.0
23,2019-06-14,0.0,116.0,1020.0,7,43,192.0
24,2019-06-15,0.0,117.0,0.0,7,38,185.0
25,2019-06-16,0.0,120.0,0.0,7,40,199.0
26,2019-06-17,0.0,122.0,0.0,7,41,207.0
27,2019-06-18,0.0,127.0,2820.0,7,38,204.0
28,2019-06-19,0.0,123.0,3720.0,7,39,193.0
29,2019-06-20,0.0,120.0,5130.0,7,38,180.0
30,2019-06-21,0.0,124.0,2700.0,7,36,200.0
31,2019-06-22,0.0,128.0,2700.0,7,37,197.0
32,2019-06-23,0.0,116.0,2700.0,7,35,189.0
