,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-14,0.0,5.0,240.0,22,61,11.0
1,2019-01-15,280.0,3.0,80.0,21,66,4.0
2,2019-01-16,0.0,1.0,0.0,25,77,1.0
3,2019-01-17,60.0,5.0,180.0,18,58,9.0
4,2019-01-18,0.0,1.0,20.0,28,83,1.0
5,2019-01-19,0.0,4.0,940.0,22,65,11.0
6,2019-01-21,0.0,5.0,900.0,22,61,9.0
7,2019-01-22,0.0,4.0,720.0,22,62,6.0
8,2019-01-23,0.0,3.0,4000.0,23,68,11.0
9,2019-01-24,0.0,5.0,2500.0,20,64,12.0
10,2019-01-25,560.0,2.0,500.0,24,80,2.0
11,2019-01-26,600.0,1.0,40.0,24,78,2.0
12,2019-01-27,1160.0,3.0,560.0,22,65,4.0
13,2019-01-29,2160.0,1.0,1000.0,25,78,2.0
14,2019-01-30,7120.0,5.0,5960.0,22,65,16.0
15,2019-02-18,0.0,31.0,32194.0,11,44,377.0
16,2019-02-19,0.0,562.0,151152.0,8,23,873.0
17,2019-02-20,8720.69,236.0,52852.0,8,29,320.0
18,2019-02-21,10816.76,976.0,183783.0,6,19,1109.0
19,2019-02-22,9612.97,1575.0,233792.0,5,14,1763.0
20,2019-02-23,0.0,1243.0,209639.0,5,14,1384.0
21,2019-02-24,0.0,1182.0,202671.0,5,15,1325.0
22,2019-02-25,7577.76,1194.0,205861.0,5,15,1337.0
23,2019-02-26,7554.86,1209.0,198111.0,6,15,1350.0
24,2019-02-27,7442.47,1630.0,169716.0,6,14,1784.0
25,2019-02-28,9120.0,2206.0,191609.0,6,12,2383.0
26,2019-03-01,7520.0,2203.0,163343.0,6,12,2378.0
27,2019-03-02,7520.0,1707.0,156165.0,6,15,1886.0
28,2019-03-03,9420.0,1961.0,146492.0,6,11,2140.0
29,2019-03-04,1660.0,1445.0,142041.0,5,15,1623.0
30,2019-03-05,1361.67,1539.0,135301.0,5,15,1712.0
31,2019-03-06,60.0,1467.0,114569.0,5,15,1646.0
32,2019-03-07,308.72,1338.0,122993.0,4,14,1515.0
33,2019-03-08,904.41,1289.0,115261.0,6,15,1464.0
34,2019-03-09,60.0,1379.0,118941.0,6,16,1556.0
35,2019-03-10,317.17,1711.0,148106.0,6,14,1886.0
36,2019-03-11,1440.0,2132.0,135273.0,4,11,2303.0
37,2019-03-12,420.0,2178.0,130849.0,5,12,2349.0
38,2019-03-13,1440.0,2189.0,131460.0,6,13,2366.0
39,2019-03-14,0.0,2160.0,129840.0,5,13,2331.0
40,2019-03-15,0.0,2146.0,129540.0,6,14,2316.0
41,2019-03-16,0.0,2160.0,130080.0,6,15,2331.0
42,2019-03-17,0.0,2188.0,131580.0,6,14,2361.0
43,2019-03-18,0.0,2179.0,130740.0,6,16,2354.0
44,2019-03-19,0.0,2187.0,131520.0,6,16,2362.0
45,2019-03-20,1020.0,2152.0,129240.0,6,16,2322.0
46,2019-03-21,900.0,2061.0,123780.0,4,14,2227.0
47,2019-03-22,420.0,2155.0,129300.0,6,17,2328.0
48,2019-03-23,1380.0,2012.0,120720.0,5,17,2169.0
49,2019-03-24,180.0,2093.0,126120.0,5,16,2262.0
50,2019-03-25,1200.0,2101.0,126060.0,7,19,2266.0
51,2019-03-26,60.0,2089.0,125280.0,7,18,2258.0
52,2019-03-27,1020.0,1273.0,78300.0,7,24,1385.0
53,2019-03-28,1020.0,718.0,43080.0,8,31,775.0
54,2019-03-29,360.0,719.0,43080.0,8,27,776.0
55,2019-03-30,120.0,746.0,44700.0,8,25,805.0
56,2019-03-31,660.0,752.0,45179.98498,5,30,811.0
57,2019-04-01,780.0,756.0,45359.9849,6,34,815.0
58,2019-04-02,1020.0,726.0,43559.9855,6,36,783.0
59,2019-04-03,660.0,735.0,44039.98532,5,34,794.0
60,2019-04-04,120.0,719.0,43079.98564,5,35,776.0
61,2019-04-05,540.0,733.0,43919.98536,6,34,790.0
62,2019-04-06,60.0,753.0,45179.98348,6,32,814.0
63,2019-04-07,120.0,726.0,43499.9855,6,33,783.0
64,2019-04-08,660.0,737.0,44159.98528,5,29,794.0
65,2019-04-09,720.0,751.0,44999.985,5,29,810.0
66,2019-04-10,340.0,714.0,23329.98532,5,27,792.0
67,2019-04-11,110.0,763.0,17614.96251,4,26,824.0
68,2019-04-12,65.0,724.0,17044.96186,4,25,781.0
69,2019-04-13,520.0,737.0,17114.93348,4,26,794.0
70,2019-04-14,145.0,736.0,17164.98234,4,24,795.0
71,2019-04-15,550.0,741.0,16819.9852,4,27,798.0
72,2019-04-16,645.0,764.0,17614.98474,4,28,825.0
73,2019-04-17,60.0,755.0,17249.98492,4,28,816.0
74,2019-04-18,180.0,729.0,17194.98544,4,32,786.0
75,2019-04-19,4420.0,505.0,11714.98992,5,32,531.0
76,2019-04-20,285.0,364.0,8084.99274,5,31,394.0
77,2019-04-21,570.0,739.0,16609.98524,5,30,798.0
78,2019-04-22,105.0,734.0,16989.98534,5,31,791.0
79,2019-04-23,60.0,712.0,16089.98578,5,29,769.0
80,2019-04-24,340.0,757.0,16724.98488,4,34,816.0
81,2019-04-25,60.0,743.0,16354.98516,4,32,802.0
82,2019-04-26,60.0,159.0,3674.99684,6,38,174.0
83,2019-04-27,60.0,0.0,0.0,NULL,NULL,0.0
84,2019-04-28,60.0,0.0,0.0,NULL,NULL,0.0
85,2019-04-29,60.0,1.0,0.0,24,153,2.0
86,2019-04-30,60.0,0.0,0.0,NULL,NULL,0.0
87,2019-05-01,60.0,0.0,0.0,NULL,NULL,0.0
88,2019-05-02,60.0,0.0,0.0,NULL,NULL,0.0
89,2019-05-03,60.0,0.0,0.0,NULL,NULL,0.0
90,2019-05-04,60.0,0.0,0.0,NULL,NULL,0.0
91,2019-05-05,60.0,1.0,0.0,27,147,2.0
92,2019-05-06,60.0,0.0,0.0,NULL,NULL,0.0
93,2019-05-07,60.0,0.0,0.0,NULL,NULL,0.0
94,2019-05-08,60.0,0.0,0.0,NULL,NULL,0.0
95,2019-05-09,60.0,0.0,0.0,NULL,NULL,0.0
96,2019-05-10,60.0,1.0,0.0,21,135,1.0
97,2019-05-11,60.0,0.0,0.0,NULL,NULL,0.0
98,2019-05-12,60.0,0.0,0.0,NULL,NULL,0.0
99,2019-05-13,60.0,0.0,0.0,NULL,NULL,0.0
100,2019-05-14,60.0,0.0,0.0,NULL,NULL,0.0
101,2019-05-15,60.0,0.0,0.0,NULL,NULL,0.0
102,2019-05-16,60.0,0.0,0.0,NULL,NULL,0.0
103,2019-05-17,60.0,0.0,0.0,NULL,NULL,0.0
104,2019-05-18,60.0,0.0,0.0,NULL,NULL,0.0
105,2019-05-19,60.0,0.0,0.0,NULL,NULL,0.0
106,2019-05-20,60.0,0.0,0.0,NULL,NULL,0.0
107,2019-05-21,60.0,0.0,0.0,NULL,NULL,0.0
108,2019-05-22,60.0,0.0,0.0,NULL,NULL,0.0
109,2019-05-23,60.0,0.0,0.0,NULL,NULL,0.0
110,2019-05-24,60.0,0.0,0.0,NULL,NULL,0.0
111,2019-05-25,60.0,0.0,0.0,NULL,NULL,0.0
112,2019-05-26,60.0,0.0,0.0,NULL,NULL,0.0
113,2019-05-27,60.0,0.0,0.0,NULL,NULL,0.0
114,2019-05-28,60.0,0.0,0.0,NULL,NULL,0.0
115,2019-05-29,60.0,0.0,0.0,NULL,NULL,0.0
116,2019-05-30,60.0,0.0,0.0,NULL,NULL,0.0
117,2019-05-31,60.0,0.0,0.0,NULL,NULL,0.0
118,2019-06-01,60.0,0.0,0.0,NULL,NULL,0.0
119,2019-06-02,60.0,0.0,0.0,NULL,NULL,0.0
120,2019-06-03,60.0,0.0,0.0,NULL,NULL,0.0
121,2019-06-04,60.0,0.0,0.0,NULL,NULL,0.0
122,2019-06-05,60.0,0.0,0.0,NULL,NULL,0.0
123,2019-06-06,60.0,0.0,0.0,NULL,NULL,0.0
124,2019-06-07,60.0,0.0,0.0,NULL,NULL,0.0
125,2019-06-08,60.0,0.0,0.0,NULL,NULL,0.0
126,2019-06-09,60.0,0.0,0.0,NULL,NULL,0.0
127,2019-06-10,60.0,0.0,0.0,NULL,NULL,0.0
128,2019-06-11,60.0,0.0,0.0,NULL,NULL,0.0
129,2019-06-12,60.0,0.0,0.0,NULL,NULL,0.0
130,2019-06-13,60.0,0.0,0.0,NULL,NULL,0.0
131,2019-06-14,60.0,0.0,0.0,NULL,NULL,0.0
132,2019-06-15,60.0,0.0,0.0,NULL,NULL,0.0
133,2019-06-16,60.0,0.0,0.0,NULL,NULL,0.0
134,2019-06-17,60.0,0.0,0.0,NULL,NULL,0.0
135,2019-06-18,60.0,0.0,0.0,NULL,NULL,0.0
136,2019-06-19,60.0,0.0,0.0,NULL,NULL,0.0
137,2019-06-20,60.0,0.0,0.0,NULL,NULL,0.0
138,2019-06-21,60.0,0.0,0.0,NULL,NULL,0.0
139,2019-06-22,60.0,0.0,0.0,NULL,NULL,0.0
140,2019-06-23,60.0,0.0,0.0,NULL,NULL,0.0
141,2019-06-24,60.0,0.0,0.0,NULL,NULL,0.0
142,2019-06-25,60.0,0.0,0.0,NULL,NULL,0.0
143,2019-06-26,60.0,0.0,0.0,NULL,NULL,0.0
144,2019-06-27,60.0,0.0,0.0,NULL,NULL,0.0
145,2019-06-28,60.0,0.0,0.0,NULL,NULL,0.0
146,2019-06-29,60.0,0.0,0.0,NULL,NULL,0.0
147,2019-06-30,60.0,0.0,0.0,NULL,NULL,0.0
148,2019-07-01,60.0,0.0,0.0,NULL,NULL,0.0
149,2019-07-02,60.0,0.0,0.0,NULL,NULL,0.0
150,2019-07-03,60.0,0.0,0.0,NULL,NULL,0.0
151,2019-07-04,60.0,0.0,0.0,NULL,NULL,0.0
152,2019-07-05,60.0,0.0,0.0,NULL,NULL,0.0
153,2019-07-06,60.0,0.0,0.0,NULL,NULL,0.0
154,2019-07-07,60.0,0.0,0.0,NULL,NULL,0.0
155,2019-07-08,60.0,0.0,0.0,NULL,NULL,0.0
156,2019-07-09,60.0,0.0,0.0,NULL,NULL,0.0
157,2019-07-10,60.0,0.0,0.0,NULL,NULL,0.0
158,2019-07-11,60.0,0.0,0.0,NULL,NULL,0.0
159,2019-07-12,60.0,0.0,0.0,NULL,NULL,0.0
160,2019-07-13,60.0,0.0,0.0,NULL,NULL,0.0
161,2019-07-14,60.0,0.0,0.0,NULL,NULL,0.0
162,2019-07-15,60.0,0.0,0.0,NULL,NULL,0.0
163,2019-07-16,60.0,0.0,0.0,NULL,NULL,0.0
