,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-03-11,0.0,0.0,0.0,NULL,NULL,0.0
1,2019-03-12,0.0,0.0,0.0,NULL,NULL,0.0
2,2019-03-13,0.0,0.0,0.0,NULL,NULL,0.0
3,2019-03-14,0.0,0.0,0.0,NULL,NULL,0.0
4,2019-03-15,0.0,0.0,0.0,NULL,NULL,0.0
5,2019-03-16,0.0,0.0,0.0,NULL,NULL,0.0
6,2019-03-17,0.0,109.0,1627741.0,14,43,12838.0
7,2019-03-18,0.0,66.0,630377.0,15,55,5799.0
8,2019-03-19,0.0,123.0,1377450.0,14,41,8432.0
9,2019-03-20,0.0,169.0,2362440.0,14,40,15107.0
10,2019-03-21,0.0,491.0,6233965.0,10,30,37793.0
11,2019-03-22,0.0,470.0,9046929.0,11,33,48078.0
12,2019-03-23,0.0,381.0,7956365.0,12,38,34409.0
13,2019-03-24,0.0,376.0,8526239.0,11,36,37377.0
14,2019-03-25,0.0,378.0,6052239.0,12,36,34533.0
15,2019-03-26,0.0,0.0,0.0,NULL,NULL,0.0
16,2019-03-27,0.0,0.0,0.0,NULL,NULL,0.0
17,2019-03-28,0.0,0.0,0.0,NULL,NULL,0.0
18,2019-03-29,0.0,621.0,25555599.0,11,34,68878.0
19,2019-03-30,0.0,646.0,21329854.0,11,30,72997.0
20,2019-03-31,0.0,748.0,30587278.00003,6,31,91123.0
21,2019-04-01,0.0,859.0,27970957.0,5,31,84568.0
22,2019-04-02,0.0,895.0,24731284.0,5,29,93067.0
23,2019-04-03,0.0,890.0,35877331.0,4,28,167103.0
24,2019-04-04,0.0,717.0,17388231.02,6,36,93210.0
25,2019-04-05,0.0,654.0,19263634.0,7,35,68509.0
26,2019-04-06,0.0,501.0,4473749.0,7,36,34568.0
27,2019-04-07,0.0,419.0,3557014.0,7,38,32008.0
28,2019-04-08,0.0,396.0,1802229.0,7,37,16927.0
29,2019-04-09,0.0,354.0,1396786.0,9,40,17179.0
30,2019-04-10,0.0,314.0,1641421.0,8,35,13939.0
31,2019-04-11,0.0,259.0,1139006.0,7,42,7003.0
32,2019-04-12,0.0,245.0,889584.0,7,44,6975.0
33,2019-04-13,0.0,249.0,1328627.0,7,42,11328.0
34,2019-04-14,0.0,206.0,462591.0,8,45,6443.0
35,2019-04-15,0.0,199.0,369646.0,8,48,11440.0
36,2019-04-16,0.0,185.0,269290.0,8,46,5460.0
37,2019-04-17,0.0,180.0,305158.0,8,48,6395.0
38,2019-04-18,0.0,133.0,73168.0,8,49,2001.0
39,2019-04-19,0.0,152.0,129229.0,8,47,4027.0
40,2019-04-20,0.0,137.0,74570.0,8,45,2997.0
41,2019-04-21,0.0,113.0,107925.0,8,45,2994.0
42,2019-04-22,0.0,129.0,138674.0,8,47,3864.0
43,2019-04-23,0.0,117.0,58048.0,7,44,2612.0
44,2019-04-24,0.0,100.0,59103.0,8,52,2583.0
45,2019-04-25,0.0,108.0,87661.0,10,50,1771.0
46,2019-04-26,0.0,82.0,34120.0,9,51,1866.0
47,2019-04-27,0.0,108.0,110440.0,8,50,2356.0
48,2019-04-28,0.0,87.0,151195.0,8,50,3409.0
49,2019-04-29,0.0,80.0,17300.0,8,53,880.0
50,2019-04-30,0.0,50.0,26524.0,8,57,342.0
51,2019-05-01,0.0,49.0,19767.0,9,59,488.0
52,2019-05-02,0.0,37.0,3281.0,10,65,214.0
53,2019-05-03,0.0,41.0,4351.0,10,65,204.0
54,2019-05-04,0.0,35.0,7451.0,11,65,114.0
55,2019-05-05,0.0,53.0,27807.0,9,58,397.0
56,2019-05-06,0.0,41.0,8014.0,11,61,309.0
57,2019-05-07,0.0,39.0,2508.0,11,59,5998.0
58,2019-05-08,0.0,39.0,1250.0,11,55,4973.0
59,2019-05-09,0.0,32.0,3500.0,12,59,1137.0
60,2019-05-10,0.0,38.0,1430.0,11,61,1693.0
61,2019-05-11,0.0,26.0,10950.0,11,60,524.0
62,2019-05-12,0.0,17.0,4201.0,11,61,170.0
63,2019-05-13,0.0,20.0,495.0,14,73,868.0
64,2019-05-14,0.0,23.0,970.0,13,64,509.0
65,2019-05-15,0.0,25.0,1050.0,12,66,93.0
66,2019-05-16,0.0,20.0,1452.0,14,68,177.0
67,2019-05-17,0.0,23.0,3800.0,12,64,1758.0
68,2019-05-18,0.0,15.0,1950.0,13,71,1472.0
69,2019-05-19,0.0,14.0,6550.0,14,70,880.0
70,2019-05-20,0.0,13.0,3800.0,15,75,589.0
71,2019-05-21,0.0,15.0,1000.0,14,72,234.0
72,2019-05-22,0.0,13.0,10975.0,16,76,654.0
73,2019-05-23,75316.6,13.0,200.0,18,76,98.0
74,2019-05-24,75511.27,12.0,3040.0,18,81,519.0
75,2019-05-25,75631.54,8.0,350.0,19,88,336.0
76,2019-05-26,75571.29,14.0,2600.0,17,75,783.0
77,2019-05-27,75989.7,13.0,410.0,17,80,341.0
78,2019-05-28,76105.24,13.0,300.0,16,79,113.0
79,2019-05-29,76252.48,9.0,750.0,17,84,120.0
80,2019-05-30,76306.63,5.0,0.0,20,96,60.0
81,2019-05-31,25526.18,11.0,750.0,16,84,236.0
82,2019-06-01,76885.8,13.0,2800.0,16,75,273.0
83,2019-06-02,77060.64,6.0,550.0,20,96,55.0
84,2019-06-03,77111.88,10.0,100.0,19,88,41.0
85,2019-06-04,77076.02,10.0,700.0,17,84,82.0
86,2019-06-05,77660.02,12.0,1600.0,16,79,55.0
87,2019-06-06,77550.65,11.0,600.0,15,79,51.0
88,2019-06-07,77640.86,10.0,850.0,15,80,39.0
89,2019-06-08,77835.24,6.0,750.0,16,88,34.0
90,2019-06-09,77672.87,10.0,3532.0,13,77,220.0
91,2019-06-10,79491.44,10.0,6644.0,13,82,101.0
92,2019-06-11,79442.61,12.0,7140.0,16,83,203.0
93,2019-06-12,80151.92,10.0,6495.0,14,82,199.0
94,2019-06-13,80160.82,13.0,1850.0,14,74,88.0
95,2019-06-14,80265.7,8.0,1200.0,15,82,136.0
96,2019-06-15,79768.33,6.0,1739.0,16,89,159.0
97,2019-06-16,80013.05,14.0,4288.0,13,70,148.0
98,2019-06-17,80526.12,11.0,13142.0,16,79,313.0
99,2019-06-18,80547.35,11.0,2048.0,14,73,65.0
100,2019-06-19,84434.03,6.0,4576.0,17,94,57.0
101,2019-06-20,84122.76,7.0,1000.0,17,84,17.0
102,2019-06-21,83954.07,15.0,1997.0,14,67,70.0
103,2019-06-22,83954.07,12.0,0.0,15,69,31.0
104,2019-06-23,83965.96,6.0,250.0,15,77,48.0
105,2019-06-24,83890.29,11.0,300.0,15,70,46.0
106,2019-06-25,83954.61,7.0,300.0,16,85,17.0
107,2019-06-26,83954.61,2.0,0.0,25,127,3.0
108,2019-06-27,84005.94,5.0,50.0,17,85,14.0
109,2019-06-28,84204.47,7.0,350.0,16,77,66.0
110,2019-06-29,84198.17,4.0,200.0,15,85,9.0
111,2019-06-30,83885.13,8.0,12050.0,13,75,116.0
112,2019-07-01,85262.36,5.0,6075.0,14,82,112.0
113,2019-07-02,85403.2,5.0,300.0,14,83,14.0
114,2019-07-03,85403.2,3.0,0.0,15,97,5.0
115,2019-07-04,85108.42,5.0,1250.0,14,85,26.0
116,2019-07-05,85153.3,6.0,1250.0,14,81,54.0
117,2019-07-06,85240.48,5.0,150.0,12,74,6.0
118,2019-07-07,85316.48,7.0,200.0,12,72,12.0
119,2019-07-08,85438.08,5.0,6990.0,15,86,284.0
120,2019-07-09,85563.35,9.0,535.0,12,71,29.0
121,2019-07-10,90113.35,5.0,6200.0,14,82,36.0
