,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-05-19,0.0,6.0,185.0,17,85,61.0
1,2019-05-20,75.0,0.0,0.0,NULL,NULL,0.0
2,2019-05-21,75.0,0.0,0.0,NULL,NULL,0.0
3,2019-05-22,75.0,0.0,0.0,NULL,NULL,0.0
4,2019-05-23,75.0,27.0,58936.0,15,62,685.0
5,2019-05-24,75.0,22.0,14648.0,14,68,505.0
6,2019-05-25,75.0,11.0,4820.0,16,79,186.0
7,2019-05-26,75.0,6.0,450.0,19,95,23.0
8,2019-05-27,75.0,6.0,4550.0,19,101,170.0
9,2019-05-28,75.0,4.0,100.0,22,114,7.0
10,2019-05-29,75.0,3.0,100.0,22,114,8.0
11,2019-05-30,75.0,10.0,1133.0,17,81,45.0
12,2019-05-31,75.0,7.0,2650.0,19,96,82.0
13,2019-06-01,75.0,4.0,2700.0,22,107,63.0
14,2019-06-02,75.0,3.0,1220.0,23,115,21.0
15,2019-06-03,75.0,3.0,0.0,22,120,27.0
16,2019-06-04,75.0,1.0,0.0,26,147,1.0
17,2019-06-05,75.0,1.0,900.0,23,138,9.0
18,2019-06-06,75.0,2.0,100.0,22,122,20.0
19,2019-06-07,75.0,1.0,0.0,26,137,6.0
20,2019-06-08,75.0,0.0,0.0,NULL,NULL,0.0
21,2019-06-09,75.0,2.0,100.0,21,115,8.0
22,2019-06-10,75.0,1.0,0.0,24,143,12.0
23,2019-06-11,75.0,1.0,0.0,28,155,6.0
24,2019-06-12,75.0,1.0,0.0,22,142,1.0
25,2019-06-13,75.0,1.0,0.0,27,146,6.0
26,2019-06-14,75.0,1.0,0.0,26,143,2.0
27,2019-06-15,75.0,1.0,0.0,22,140,12.0
28,2019-06-16,75.0,0.0,0.0,NULL,NULL,0.0
29,2019-06-17,75.0,1.0,0.0,25,144,6.0
30,2019-06-18,75.0,1.0,0.0,27,144,1.0
31,2019-06-19,75.0,0.0,0.0,NULL,NULL,0.0
32,2019-06-20,75.0,0.0,0.0,NULL,NULL,0.0
33,2019-06-21,75.0,0.0,0.0,NULL,NULL,0.0
34,2019-06-22,75.0,0.0,0.0,NULL,NULL,0.0
35,2019-06-23,75.0,0.0,0.0,NULL,NULL,0.0
36,2019-06-24,2481.6,0.0,0.0,NULL,NULL,0.0
37,2019-06-25,2481.6,0.0,0.0,NULL,NULL,0.0
38,2019-06-26,2481.6,0.0,0.0,NULL,NULL,0.0
39,2019-06-27,2481.6,0.0,0.0,NULL,NULL,0.0
40,2019-06-28,2481.6,0.0,0.0,NULL,NULL,0.0
41,2019-06-29,2381.6,1.0,0.0,23,131,1.0
42,2019-06-30,2381.6,0.0,0.0,NULL,NULL,0.0
43,2019-07-01,2381.6,0.0,0.0,NULL,NULL,0.0
44,2019-07-02,2381.6,0.0,0.0,NULL,NULL,0.0
45,2019-07-03,2381.6,0.0,0.0,NULL,NULL,0.0
46,2019-07-04,2381.6,0.0,0.0,NULL,NULL,0.0
47,2019-07-05,2381.6,0.0,0.0,NULL,NULL,0.0
48,2019-07-06,2381.6,0.0,0.0,NULL,NULL,0.0
49,2019-07-07,2381.6,0.0,0.0,NULL,NULL,0.0
50,2019-07-08,2381.6,0.0,0.0,NULL,NULL,0.0
51,2019-07-09,2381.6,0.0,0.0,NULL,NULL,0.0
52,2019-07-10,2381.6,0.0,0.0,NULL,NULL,0.0
53,2019-07-11,2381.6,0.0,0.0,NULL,NULL,0.0
54,2019-07-12,2381.6,0.0,0.0,NULL,NULL,0.0
55,2019-07-13,2381.6,0.0,0.0,NULL,NULL,0.0
56,2019-07-14,2381.6,0.0,0.0,NULL,NULL,0.0
57,2019-07-15,2381.6,0.0,0.0,NULL,NULL,0.0
58,2019-07-16,2381.6,0.0,0.0,NULL,NULL,0.0
59,2019-07-17,2381.6,0.0,0.0,NULL,NULL,0.0
60,2019-07-18,2381.6,0.0,0.0,NULL,NULL,0.0
61,2019-07-19,2381.6,0.0,0.0,NULL,NULL,0.0
62,2019-07-20,2381.6,0.0,0.0,NULL,NULL,0.0
63,2019-07-21,2381.6,0.0,0.0,NULL,NULL,0.0
64,2019-07-22,2381.6,0.0,0.0,NULL,NULL,0.0
65,2019-07-23,2381.6,0.0,0.0,NULL,NULL,0.0
66,2019-07-24,2381.6,0.0,0.0,NULL,NULL,0.0
67,2019-07-25,2381.6,0.0,0.0,NULL,NULL,0.0
