,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-02,0.0,5.0,254.0,11,43,92.0
1,2019-01-03,0.0,12.0,6445.0,10,39,16829.0
2,2019-01-04,0.0,5.0,1930.0,14,55,383.0
3,2019-01-05,0.0,8.0,5355.0,14,49,392.0
4,2019-01-06,0.0,3.0,310.0,18,63,5.0
5,2019-01-07,0.0,42.0,4274.0,8,26,294.0
6,2019-01-08,0.0,88.0,73099.0,7,24,3704.0
7,2019-01-09,14.0,66.0,11437.0,9,29,1171.0
8,2019-01-10,1256.0,60.0,7688.0,6,26,853.0
9,2019-01-11,6748.0,56.0,7664.0,8,27,647.0
10,2019-01-12,13662.0,44.0,6915.0,8,30,312.0
11,2019-01-13,14867.0,28.0,1215.0,8,36,128.0
12,2019-01-14,19468.0,43.0,7114.0,8,31,624.0
13,2019-01-15,18644.0,22.0,1176.0,10,40,188.0
14,2019-01-16,15684.0,15.0,540.0,13,42,72.0
15,2019-01-17,15713.0,29.0,1044.0,10,38,145.0
16,2019-01-18,17955.0,50.0,5767.0,9,32,472.0
17,2019-01-19,17633.0,51.0,5186.0,11,33,528.0
18,2019-01-20,0.0,38.0,3111.0,11,34,300.0
19,2019-01-21,17113.0,30.0,862.0,13,39,117.0
20,2019-01-22,17042.0,37.0,4432.0,11,39,103.0
21,2019-01-23,16451.0,135.0,17082.0,8,24,834.0
22,2019-01-24,16542.27,1156.0,30165.0,6,13,3601.0
23,2019-01-25,13616.63,1134.0,12503.0,6,15,5229.0
24,2019-01-26,7556.71,1060.0,2721.0,6,15,3797.0
25,2019-01-27,9951.07,1064.0,5158.0,6,15,3869.0
26,2019-01-28,10895.95,1058.0,5757.0,6,18,4668.0
27,2019-01-29,16460.1,1068.0,8776.0,5,15,5325.0
28,2019-01-30,15974.38,1056.0,10541.0,5,18,5190.0
29,2019-01-31,18280.32,1053.0,9858.0,6,19,5643.0
30,2019-02-01,11889.96,1046.0,2226.0,6,19,5104.0
31,2019-02-02,15358.85,1027.0,4580.0,6,20,4568.0
32,2019-02-03,14899.31,1034.0,1219.0,6,21,4955.0
33,2019-02-04,14840.21,1027.0,1189.0,6,20,4385.0
34,2019-02-05,14974.51,1003.0,144.0,6,20,2892.0
35,2019-02-06,16469.51,1018.0,1820.0,5,19,3942.0
36,2019-02-07,15333.58,1045.0,838.0,5,17,4596.0
37,2019-02-08,14435.07,1021.0,706.0,5,16,4464.0
38,2019-02-09,14548.2,1013.0,398.0,5,18,3651.0
39,2019-02-10,14703.84,1025.0,513.0,4,17,4018.0
40,2019-02-11,18117.58,1015.0,4430.0,5,18,4188.0
41,2019-02-12,15833.58,1036.0,560.0,6,19,4726.0
42,2019-02-13,16915.09,1034.0,2487.0,5,16,5039.0
43,2019-02-14,17677.64,1034.0,1920.0,5,16,4638.0
44,2019-02-15,17991.66,1030.0,1416.0,5,17,4788.0
45,2019-02-16,18256.14,1030.0,1274.0,5,16,4686.0
46,2019-02-17,18365.69,1017.0,458.0,5,14,4255.0
47,2019-02-18,18396.24,1014.0,315.0,5,17,4192.0
48,2019-02-19,18443.46,1030.0,409.0,5,16,4326.0
49,2019-02-20,18705.25,1013.0,455.0,5,18,4173.0
50,2019-02-21,18776.58,1013.0,578.0,5,18,4450.0
51,2019-02-22,18741.94,1009.0,348.0,6,17,4250.0
52,2019-02-23,0.0,1011.0,464.0,6,17,4198.0
53,2019-02-24,0.0,1017.0,537.0,6,18,4385.0
54,2019-02-25,19118.67,1007.0,302.0,6,17,4070.0
55,2019-02-26,19240.32,1008.0,496.0,7,19,4130.0
56,2019-02-27,19280.34,1008.0,189.0,7,18,4030.0
57,2019-02-28,19404.11,1013.0,586.0,7,17,4258.0
58,2019-03-01,19684.52,1016.0,754.0,7,18,4389.0
59,2019-03-02,19832.52,1010.0,256.0,7,17,3425.0
60,2019-03-03,19980.67,1010.0,217.0,7,16,3153.0
61,2019-03-04,20175.93,1016.0,282.0,6,16,3175.0
62,2019-03-05,22002.15,1015.0,1969.0,6,16,3225.0
63,2019-03-06,22368.96,1012.0,949.0,7,18,3311.0
64,2019-03-07,23780.9,1018.0,1824.0,6,17,3179.0
65,2019-03-08,25386.39,1013.0,2382.0,7,17,3121.0
66,2019-03-09,26513.34,1012.0,1436.0,7,18,3115.0
67,2019-03-10,27705.88,1007.0,1771.0,7,17,3105.0
68,2019-03-11,27965.89,1009.0,448.0,7,17,3113.0
69,2019-03-12,29069.39,1008.0,1242.0,7,17,3097.0
70,2019-03-13,29176.18,1018.0,263.0,7,19,3119.0
71,2019-03-14,0.0,1000.0,92.0,7,20,3058.0
72,2019-03-15,0.0,967.0,348.0,7,19,3126.0
73,2019-03-16,0.0,742.0,1257.0,7,20,3160.0
74,2019-03-17,0.0,1018.0,580.0,7,19,3140.0
75,2019-03-18,0.0,1014.0,1514.0,7,21,3188.0
76,2019-03-19,0.0,1014.0,1573.0,7,21,3205.0
