,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-12-28,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-12-29,0.0,0.0,0.0,NULL,NULL,0.0
2,2019-01-01,0.0,4.0,2.0,9,42,16.0
3,2019-01-03,0.0,5.0,4.0,12,47,19.0
4,2019-01-04,0.0,8.0,2.0,12,46,30.0
5,2019-01-05,0.0,10.0,153.0,12,45,76.0
6,2019-01-06,0.0,5.0,34.0,16,55,23.0
7,2019-01-07,0.0,6.0,387.0,19,55,89.0
8,2019-01-08,0.0,2.0,0.0,22,71,24.0
9,2019-01-09,49.33,9.0,171.0,16,53,112.0
10,2019-01-10,426.93,18.0,2513.0,11,39,128.0
11,2019-01-11,722.88,11.0,814.0,14,46,51.0
12,2019-01-12,902.86,12.0,214.0,16,49,64.0
13,2019-01-13,955.05,11.0,60.0,15,49,75.0
14,2019-01-14,1029.55,8.0,111.0,17,54,64.0
15,2019-01-15,1230.12,5.0,239.0,18,57,62.0
16,2019-01-16,1309.02,7.0,96.0,17,50,55.0
17,2019-01-17,1340.09,5.0,49.0,18,58,60.0
18,2019-01-18,1366.77,6.0,34.0,21,61,61.0
19,2019-01-19,1368.84,3.0,2.0,25,70,35.0
20,2019-01-20,0.0,5.0,1.0,21,59,33.0
21,2019-01-21,1371.9,4.0,2.0,24,66,18.0
22,2019-01-22,1375.94,7.0,33.0,17,52,16.0
23,2019-01-23,1376.83,3.0,1.0,23,68,6.0
24,2019-01-24,1381.31,4.0,205.0,23,69,14.0
25,2019-01-25,1381.31,3.0,80.0,23,72,8.0
26,2019-01-26,1381.31,2.0,0.0,22,70,5.0
27,2019-01-27,1381.31,3.0,64.0,22,65,16.0
28,2019-01-28,1381.31,2.0,0.0,22,72,5.0
29,2019-01-29,1381.31,2.0,47.0,22,70,5.0
30,2019-01-30,1384.48,3.0,3.0,25,72,37.0
31,2019-01-31,1388.78,4.0,4.0,21,65,10.0
32,2019-02-01,1391.59,3.0,3.0,23,73,6.0
33,2019-02-02,1395.78,4.0,4.0,21,64,8.0
34,2019-02-03,1398.22,5.0,2.0,20,63,9.0
35,2019-02-04,1401.58,2.0,3.0,22,70,9.0
36,2019-02-05,1401.93,2.0,0.0,23,72,6.0
37,2019-02-06,1402.14,3.0,0.0,21,70,9.0
38,2019-02-07,1402.92,3.0,1.0,21,66,10.0
39,2019-02-08,1405.47,2.0,3.0,23,70,11.0
40,2019-02-09,1405.54,3.0,0.0,22,67,3.0
41,2019-02-10,1406.18,3.0,1.0,20,68,6.0
42,2019-02-11,1408.89,3.0,3.0,23,72,9.0
43,2019-02-12,1409.67,3.0,3.0,22,73,9.0
44,2019-02-13,1410.27,4.0,2.0,20,73,12.0
45,2019-02-14,1410.46,3.0,0.0,20,73,8.0
46,2019-02-15,1412.63,3.0,2.0,22,81,11.0
47,2019-02-16,1412.63,1.0,0.0,26,87,4.0
48,2019-02-17,1414.14,6.0,2.0,17,64,16.0
49,2019-02-18,1417.39,2.0,4.0,25,83,9.0
50,2019-02-19,1419.9,3.0,5.0,23,78,11.0
51,2019-02-20,1421.03,2.0,1.0,26,86,6.0
52,2019-02-21,1421.03,3.0,0.0,22,82,6.0
53,2019-02-22,0.0,4.0,2.0,19,80,17.0
54,2019-02-23,0.0,2.0,0.0,23,84,5.0
55,2019-02-24,0.0,3.0,0.0,20,81,8.0
56,2019-02-25,1422.78,3.0,0.0,21,83,8.0
57,2019-02-26,1422.78,2.0,0.0,26,91,12.0
58,2019-02-27,1422.78,1.0,0.0,28,99,4.0
59,2019-02-28,1422.78,2.0,0.0,24,91,5.0
60,2019-03-01,1422.78,3.0,0.0,22,84,7.0
61,2019-03-02,1422.78,1.0,0.0,22,95,4.0
62,2019-03-03,1422.78,3.0,0.0,22,82,9.0
63,2019-03-04,1423.71,6.0,40.0,19,75,25.0
64,2019-03-05,1424.57,2.0,1.0,24,95,11.0
