,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-06-11,0.0,2.0,3.0,22,132,3.0
1,2019-06-12,0.0,3.0,32.0,19,117,33.0
2,2019-06-13,0.0,2.0,8.0,22,123,8.0
3,2019-06-14,0.0,1.0,20.0,26,143,20.0
4,2019-06-16,0.0,3.0,6.0,18,107,6.0
5,2019-06-17,0.0,17.0,93.0,13,65,25.0
6,2019-06-18,0.0,18.0,240.0,13,63,48.0
7,2019-06-19,0.0,9.0,165.0,15,81,33.0
8,2019-06-20,0.0,12.0,540.0,14,70,108.0
9,2019-06-21,0.0,15.0,998.0,14,67,195.0
10,2019-06-22,0.0,16.0,880.0,14,64,176.0
11,2019-06-23,0.0,6.0,70.0,15,77,14.0
12,2019-06-24,0.0,8.0,200.0,16,79,40.0
13,2019-06-25,0.0,11.0,170.0,15,73,34.0
14,2019-06-26,0.0,15.0,555.0,13,67,67.0
15,2019-06-27,0.0,9.0,530.0,15,73,53.0
16,2019-06-28,0.0,10.0,250.0,15,73,26.0
17,2019-06-29,0.0,1.0,10.0,23,131,1.0
18,2019-06-30,0.0,4.0,80.0,14,88,8.0
19,2019-07-01,808.43,11.0,480.0,13,72,48.0
20,2019-07-02,502.93,6.0,90.0,13,78,9.0
21,2019-07-03,842.93,11.0,340.0,13,67,34.0
22,2019-07-04,562.93,4.0,80.0,15,92,8.0
23,2019-07-05,682.93,9.0,120.0,12,71,12.0
24,2019-07-06,732.65,5.0,50.0,12,74,5.0
25,2019-07-07,842.65,6.0,110.0,15,78,11.0
26,2019-07-08,639.04,7.0,130.0,13,77,13.0
27,2019-07-09,462.97,3.0,30.0,16,100,3.0
28,2019-07-10,498.34,6.0,80.0,13,79,8.0
29,2019-07-11,848.9,45.0,671.0,8,49,71.0
30,2019-07-12,938.9,31.0,490.0,9,56,53.0
31,2019-07-13,1108.9,20.0,340.0,9,56,34.0
32,2019-07-14,1258.9,12.0,240.0,10,65,24.0
33,2019-07-15,1039.21,20.0,300.0,9,58,30.0
34,2019-07-16,343.49,14.0,170.0,11,70,17.0
35,2019-07-17,403.49,5.0,140.0,14,83,14.0
36,2019-07-18,259.46,5.0,70.0,15,86,7.0
37,2019-07-19,299.46,7.0,160.0,13,81,16.0
38,2019-07-20,309.46,2.0,30.0,18,105,3.0
39,2019-07-21,369.46,12.0,150.0,10,68,16.0
40,2019-07-22,588.56,2.0,30.0,17,107,3.0
41,2019-07-23,768.56,9.0,180.0,11,72,19.0
42,2019-07-24,790.56,3.0,60.0,17,96,6.0
43,2019-07-25,809.07,3.0,80.0,16,96,8.0
44,2019-07-26,909.07,6.0,100.0,14,72,10.0
45,2019-07-27,969.07,5.0,60.0,13,72,6.0
