,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-04-20,0.0,3.0,32250.0,20,135,17.0
1,2019-04-21,0.0,7.0,2700.0,18,109,135.0
2,2019-04-22,0.0,33.0,93321.0,12,73,1369.0
3,2019-04-23,0.0,35.0,421314.3061,10,67,1601.0
4,2019-04-24,0.0,26.0,156449.52818,12,78,2722.0
5,2019-04-25,533709.14,167.0,6924254.0,8,41,33419.0
6,2019-04-26,519893.14,93.0,2517383.0,8,48,16940.0
7,2019-04-27,513892.28,57.0,486864.000259,9,59,5390.0
8,2019-04-28,522153.72,156.0,8157674.3382,6,40,37870.0
9,2019-04-29,568162.52,189.0,20693437.0,6,40,63794.0
10,2019-04-30,515744.4,217.0,17764311.0,5,38,73699.0
11,2019-05-01,539842.27,128.0,20177947.0,8,43,69549.0
12,2019-05-02,530983.48,166.0,8639446.0,6,37,51483.0
13,2019-05-03,522013.04,101.0,7264759.0,7,45,39951.0
14,2019-05-04,572594.37,169.0,2628513.0,5,37,13323.0
15,2019-05-05,486994.88,105.0,2244658.0,7,48,14883.0
16,2019-05-06,275441.43,158.0,1060715.0,5,36,9161.0
17,2019-05-07,100.0,85.0,1284459.0,7,48,13588.0
18,2019-05-08,100.0,136.0,274714.1867,5,34,9900.0
19,2019-05-09,100.0,73.0,108455.0,7,44,1999.0
20,2019-05-10,100.0,124.0,324309.890295,6,40,3373.0
21,2019-05-11,100.0,69.0,128008.9442,7,48,832.0
22,2019-05-12,100.0,74.0,10426.0,6,39,292.0
23,2019-05-13,100.0,59.0,127968.0,8,52,1702.0
24,2019-05-14,506316.31,113.0,36577.0,6,42,1027.0
25,2019-05-15,503870.21,44.0,11461.0,9,58,226.0
26,2019-05-16,466705.0,104.0,18466.0,6,46,403.0
27,2019-05-17,468438.05,107.0,184871.0,6,41,3675.0
28,2019-05-18,453614.94,104.0,167683.0,6,44,3168.0
29,2019-05-19,460620.24,61.0,241574.0,9,49,1358.0
30,2019-05-20,392456.65,98.0,99862.0,6,42,1196.0
31,2019-05-21,876626.07,51.0,30786.156273,9,52,398.0
32,2019-05-22,458889.33,87.0,37488.0,7,43,1165.0
33,2019-05-23,454923.53,4069.0,101514.0,2,5,8913.0
34,2019-05-24,444912.22,4108.0,309037.98305,2,5,10889.0
35,2019-05-25,448019.47,4093.0,654653.305194,2,5,11661.0
36,2019-05-26,441111.53,4110.0,643925.56,2,5,10974.0
37,2019-05-27,355189.96,4104.0,407889.3089,2,5,10300.0
38,2019-05-28,421896.34,4089.0,1068608.865359,2,4,11772.0
39,2019-05-29,421747.52,4047.0,4223546.771983,2,4,15143.0
40,2019-05-30,414182.01,4100.0,1221906.884,2,3,11988.0
41,2019-05-31,414772.54,4069.0,2552746.7483,2,3,14387.0
42,2019-06-01,410144.04,4069.0,334221.0069,2,4,11638.0
43,2019-06-02,411828.97,4064.0,168821.5,2,4,11427.0
44,2019-06-03,407540.66,4093.0,449906.6871,2,5,11607.0
45,2019-06-04,407546.9,4065.0,198442.9935,2,3,10800.0
46,2019-06-05,403683.9,4072.0,131098.68,2,4,10685.0
47,2019-06-06,403018.31,3975.0,193164.49,2,4,10743.0
48,2019-06-07,400868.49,3960.0,317520.97,1,2,10618.0
49,2019-06-08,400109.49,3926.0,100630.4944,2,4,10364.0
50,2019-06-09,401954.57,4022.0,32899.23,2,4,11322.0
51,2019-06-10,402529.05,3897.0,89277.9,2,4,14537.0
52,2019-06-11,401567.21,4076.0,90060.622899,2,4,10533.0
53,2019-06-12,401431.41,3949.0,88488.0,2,4,9993.0
54,2019-06-13,416939.47,4063.0,217718.810712,2,4,10989.0
55,2019-06-14,418721.68,4022.0,51522.0,2,4,10351.0
56,2019-06-15,413184.56,4080.0,143569.196882,2,4,11083.0
57,2019-06-16,406653.2,3961.0,40440.5,2,4,10126.0
58,2019-06-17,406157.32,3901.0,30194.883198,2,4,10317.0
59,2019-06-18,405806.44,4060.0,190394.1738,2,4,12766.0
60,2019-06-19,405219.61,3976.0,192268.6126,2,4,13154.0
