,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-01-05,0.0,4.0,24.0,18,56,30.0
1,2019-01-06,0.0,1.0,50.0,24,76,16.0
2,2019-01-07,0.0,7.0,88.0,18,51,33.0
3,2019-01-08,0.0,6.0,10.0,15,54,8.0
4,2019-01-09,189.03,8.0,110.0,17,54,20.0
5,2019-01-10,2329.25,13.0,2291.0,14,44,34.0
6,2019-01-11,3729.22,11.0,2647.0,14,46,23.0
7,2019-01-12,2613.32,3.0,10.0,23,67,3.0
8,2019-01-13,3147.59,3.0,555.0,21,62,7.0
9,2019-01-14,6014.18,14.0,4707.0,14,47,40.0
10,2019-01-15,7177.39,10.0,1507.0,15,50,31.0
11,2019-01-16,5458.15,11.0,1980.0,15,44,36.0
12,2019-01-17,5451.39,11.0,560.0,15,48,31.0
13,2019-01-18,4662.89,17.0,1621.0,13,44,46.0
14,2019-01-19,0.0,4.0,590.0,22,65,5.0
15,2019-01-20,0.0,6.0,956.0,19,56,18.0
16,2019-01-21,4291.46,15.0,1780.0,17,48,41.0
17,2019-01-22,2677.61,12.0,590.0,14,47,22.0
18,2019-01-23,3912.47,11.0,1665.0,16,50,26.0
19,2019-01-24,5394.97,12.0,3136.0,15,51,49.0
20,2019-01-25,6806.1,14.0,3934.0,15,52,43.0
21,2019-01-26,6846.1,1.0,40.0,24,78,4.0
22,2019-01-27,6886.1,2.0,40.0,27,72,2.0
23,2019-01-28,0.0,16.0,3556.0,14,49,38.0
24,2019-01-29,6664.26,16.0,3280.0,15,50,37.0
25,2019-01-30,3764.2,10.0,570.0,17,54,19.0
26,2019-01-31,2922.62,10.0,210.0,17,55,25.0
27,2019-02-01,3067.4,10.0,360.0,17,54,50.0
28,2019-02-02,2433.55,8.0,60.0,18,57,14.0
29,2019-02-03,2463.55,1.0,30.0,24,80,3.0
30,2019-02-04,2533.55,2.0,120.0,22,70,7.0
31,2019-02-05,2643.55,3.0,110.0,21,70,3.0
32,2019-02-06,2721.35,2.0,110.0,23,73,9.0
33,2019-02-08,2741.35,1.0,20.0,25,76,2.0
34,2019-02-09,2761.35,1.0,20.0,28,83,2.0
35,2019-02-10,2781.35,1.0,20.0,25,80,2.0
36,2019-02-11,2324.1,6.0,20.0,20,64,34.0
37,2019-02-12,2334.1,2.0,10.0,24,77,2.0
38,2019-02-13,2043.99,7.0,90.0,19,65,12.0
39,2019-02-14,2072.49,2.0,30.0,23,78,8.0
40,2019-02-15,1997.07,3.0,0.0,22,81,3.0
41,2019-02-16,2006.96,2.0,20.0,23,82,2.0
42,2019-02-18,2015.96,2.0,10.0,25,83,9.0
43,2019-02-19,2085.96,6.0,90.0,20,69,13.0
44,2019-02-20,2155.96,4.0,80.0,19,72,12.0
45,2019-02-21,2262.46,6.0,120.0,20,72,18.0
46,2019-02-22,0.0,1.0,20.0,24,94,2.0
47,2019-02-23,0.0,3.0,130.0,19,78,7.0
48,2019-02-25,2317.21,2.0,50.0,25,92,19.0
49,2019-02-26,2397.21,3.0,80.0,23,83,11.0
50,2019-02-27,2455.21,5.0,70.0,18,71,14.0
51,2019-02-28,2546.21,6.0,190.0,18,74,23.0
52,2019-03-01,2387.08,5.0,90.0,18,75,20.0
53,2019-03-02,2407.08,1.0,20.0,22,95,2.0
54,2019-03-03,2437.08,2.0,30.0,26,90,3.0
55,2019-03-04,2525.08,5.0,100.0,21,77,20.0
56,2019-03-05,2335.46,7.0,110.0,18,73,22.0
57,2019-03-06,2335.46,1.0,0.0,28,104,4.0
58,2019-03-07,2363.96,2.0,30.0,28,100,17.0
59,2019-03-08,2383.96,3.0,20.0,24,91,7.0
60,2019-03-09,2393.96,1.0,10.0,28,109,1.0
61,2019-03-11,2429.96,2.0,40.0,24,101,27.0
