,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-03-12,0.0,1.0,0.0,27,106,2.0
1,2019-03-13,0.0,17.0,14764.0,15,59,2230.0
2,2019-03-15,0.0,0.0,0.0,NULL,NULL,0.0
3,2019-03-18,0.0,5.0,916.0,20,88,2410.0
4,2019-03-19,0.0,5.0,1233.0,21,95,4818.0
5,2019-03-20,0.0,75.0,1122662.0,13,49,3365.0
6,2019-03-21,0.0,52.0,3614539.0,13,57,12928.0
7,2019-03-22,0.0,57.0,452107.0,13,55,6506.0
8,2019-03-23,0.0,45.0,69208.0,13,61,6663.0
9,2019-03-24,0.0,48.0,3102.0,14,62,6451.0
10,2019-03-25,0.0,5201.0,599805.0,3,4,15872.0
11,2019-03-26,67589.13,5931.0,2863024.0,2,3,16867.0
12,2019-03-27,70216.05,6677.0,106925.0,1,2,14512.0
13,2019-03-28,102711.3,6172.0,13771553.0,1,2,17364.0
14,2019-03-29,193377.22,7134.0,13033059.0,1,2,24448.0
15,2019-03-30,248643.99,4934.0,6511306.0,3,5,18362.0
16,2019-03-31,344840.01,7160.0,6466772.1,1,1,21020.0
17,2019-04-01,20.0,5788.0,9519302.5,2,3,17440.0
18,2019-04-02,30.0,8046.0,12464177.0,1,1,21023.0
19,2019-04-03,30.0,8318.0,16265025.999292,1,1,32665.0
20,2019-04-04,30.0,7565.0,18093605.99837,1,1,43145.0
21,2019-04-05,30.0,8298.0,16212793.998399,1,1,32664.0
22,2019-04-06,30.0,8272.0,11707348.998881,1,1,32182.0
23,2019-04-07,30.0,8253.0,11906358.998817,1,1,27582.0
24,2019-04-08,30.0,8244.0,18094368.998202,1,1,29107.0
25,2019-04-09,508607.79,4997.0,12847275.99872,2,3,8213.0
26,2019-04-10,514207.84,8268.0,17539153.998251,1,1,17367.0
27,2019-04-11,515816.3,8270.0,24035355.997599,1,1,24028.0
28,2019-04-12,85493.56,8268.0,26576298.997356,1,1,24096.0
29,2019-04-13,92243.19,8236.0,13537642.998649,1,1,14518.0
30,2019-04-14,103613.17,8221.0,10369968.998968,1,1,10770.0
31,2019-04-15,130521.03,6809.0,12371640.998768,1,2,9120.0
32,2019-04-16,130225.72,6416.0,11042993.998901,2,3,8548.0
33,2019-04-17,131874.29,3669.0,12107866.998793,2,7,6922.0
34,2019-04-18,131563.97,5976.0,6609211.999343,2,3,7437.0
35,2019-04-19,137354.96,6264.0,2028781.999802,2,4,7496.0
36,2019-04-20,141275.91,6417.0,22102.0,2,4,7160.0
37,2019-04-21,141509.96,6452.0,1992.0,2,3,6620.0
38,2019-04-22,141051.88,6402.0,3311.0,1,2,6734.0
39,2019-04-23,141337.77,1457.0,2012.0,4,23,1657.0
40,2019-04-24,12908.7,19.0,11492.0,13,83,75.0
41,2019-04-25,13111.45,20.0,1331.0,14,82,156.0
42,2019-04-26,13111.05,4.0,10.0,19,111,4.0
43,2019-04-27,13111.05,8.0,530.0,17,101,16.0
44,2019-04-28,13286.42,11.0,13904.0,16,93,198.0
45,2019-04-29,13085.12,8.0,1620.0,16,98,38.0
46,2019-04-30,13063.82,6.0,1310.0,16,105,86.0
47,2019-05-01,13198.44,8.0,838.0,16,98,53.0
48,2019-05-02,13196.74,11.0,303.0,15,91,46.0
49,2019-05-03,13214.44,9.0,50.0,15,94,13.0
50,2019-05-04,13639.34,11.0,1100.0,15,87,43.0
51,2019-05-05,14472.64,11.0,2330.0,15,92,189.0
52,2019-05-06,14469.54,7.0,70.0,17,95,13.0
53,2019-05-07,15147.35,14.0,1052.0,16,84,89.0
54,2019-05-08,15110.5,6.0,193.0,18,97,19.0
55,2019-05-09,15180.7,12.0,280.0,17,85,62.0
56,2019-05-10,15421.1,8.0,505.0,17,90,37.0
57,2019-05-11,15424.73,6.0,531.0,16,97,32.0
58,2019-05-12,15419.23,2.0,9.0,18,115,4.0
59,2019-05-13,15399.08,7.0,91.0,17,96,21.0
60,2019-05-14,15206.45,4.0,565.0,19,103,16.0
61,2019-05-15,15447.05,3.0,6710.0,19,104,45.0
62,2019-05-16,30.0,6.0,82.0,17,93,11.0
63,2019-05-17,15488.15,5.0,1050.0,17,91,8.0
64,2019-05-18,23765.75,5.0,13860.0,19,98,41.0
65,2019-05-19,13848.45,3.0,480.0,20,107,44.0
66,2019-05-20,13877.43,4.0,118.0,20,99,12.0
67,2019-05-21,13877.43,2.0,0.0,22,118,3.0
68,2019-05-22,13877.43,0.0,0.0,NULL,NULL,0.0
69,2019-05-23,13877.43,1.0,0.0,26,142,2.0
70,2019-05-24,13877.43,1.0,0.0,25,149,1.0
71,2019-05-25,13877.43,0.0,0.0,NULL,NULL,0.0
72,2019-05-26,13877.43,0.0,0.0,NULL,NULL,0.0
73,2019-05-27,13877.43,0.0,0.0,NULL,NULL,0.0
74,2019-05-28,13888.43,3.0,11.0,24,123,3.0
75,2019-05-29,13911.13,7.0,90.0,18,91,17.0
76,2019-05-30,14008.66,4.0,271.0,21,100,30.0
77,2019-05-31,14007.46,5.0,110.0,21,102,9.0
78,2019-06-01,30.0,4.0,80.0,22,107,6.0
79,2019-06-02,13936.66,2.0,10.0,24,126,2.0
80,2019-06-03,13945.26,2.0,20.0,23,128,5.0
81,2019-06-04,13947.06,6.0,170.0,20,97,15.0
82,2019-06-05,13947.06,0.0,0.0,NULL,NULL,0.0
83,2019-06-06,13947.06,0.0,0.0,NULL,NULL,0.0
84,2019-06-07,13959.31,5.0,64.0,19,97,8.0
85,2019-06-08,13956.11,3.0,50.0,20,109,10.0
86,2019-06-09,13955.31,2.0,20.0,21,115,5.0
87,2019-06-10,13954.31,2.0,25.0,21,129,5.0
88,2019-06-11,14153.51,4.0,220.0,20,114,7.0
89,2019-06-12,14153.16,3.0,50.0,19,117,11.0
90,2019-06-13,14153.16,0.0,0.0,NULL,NULL,0.0
91,2019-06-14,14152.36,2.0,20.0,22,123,4.0
92,2019-06-15,14152.36,1.0,0.0,22,140,1.0
93,2019-06-16,14112.36,3.0,1000.0,18,107,5.0
94,2019-06-17,14112.36,1.0,0.0,25,144,1.0
95,2019-06-18,14132.36,2.0,20.0,23,125,4.0
96,2019-06-19,14132.36,2.0,0.0,23,131,5.0
97,2019-06-20,14131.96,4.0,10.0,21,104,5.0
98,2019-06-21,14080.16,5.0,1520.0,19,99,11.0
99,2019-06-22,14096.76,6.0,30.0,16,86,11.0
100,2019-06-23,14091.56,3.0,30.0,19,105,13.0
101,2019-06-24,14667.56,4.0,1200.0,19,97,9.0
102,2019-06-25,14666.36,2.0,30.0,23,124,6.0
103,2019-06-26,14660.02,4.0,383.0,17,92,45.0
104,2019-06-27,14657.72,5.0,10.0,17,85,5.0
105,2019-06-28,14611.62,5.0,100.0,17,82,37.0
106,2019-06-29,14611.62,0.0,0.0,NULL,NULL,0.0
107,2019-06-30,14509.82,4.0,260.0,14,88,13.0
108,2019-07-01,14488.82,2.0,210.0,17,110,7.0
109,2019-07-02,14726.42,4.0,810.0,16,89,21.0
110,2019-07-03,19735.12,3.0,15500.0,15,97,48.0
111,2019-07-04,19735.12,0.0,0.0,NULL,NULL,0.0
112,2019-07-05,19802.32,3.0,920.0,17,97,27.0
113,2019-07-06,19795.12,3.0,180.0,15,95,4.0
114,2019-07-07,19790.32,2.0,20.0,20,110,4.0
115,2019-07-08,19743.02,3.0,150.0,16,97,12.0
116,2019-07-09,19703.12,3.0,250.0,16,100,9.0
117,2019-07-10,20569.12,7.0,1720.0,12,76,98.0
118,2019-07-11,20619.42,2.0,70.0,19,115,16.0
119,2019-07-12,20597.62,2.0,30.0,20,112,6.0
120,2019-07-13,20597.62,0.0,0.0,NULL,NULL,0.0
121,2019-07-14,20597.62,0.0,0.0,NULL,NULL,0.0
122,2019-07-15,20597.62,0.0,0.0,NULL,NULL,0.0
123,2019-07-16,20597.62,0.0,0.0,NULL,NULL,0.0
124,2019-07-17,20596.72,2.0,10.0,20,113,2.0
125,2019-07-18,20596.72,0.0,0.0,NULL,NULL,0.0
126,2019-07-19,20596.72,0.0,0.0,NULL,NULL,0.0
127,2019-07-20,20596.72,0.0,0.0,NULL,NULL,0.0
128,2019-07-21,20596.52,3.0,30.0,18,100,7.0
129,2019-07-22,20577.12,3.0,20.0,16,101,5.0
130,2019-07-23,20583.12,3.0,110.0,15,96,4.0
131,2019-07-24,20700.32,4.0,242.0,14,92,15.0
132,2019-07-25,20736.72,3.0,90.0,16,96,6.0
133,2019-07-26,20746.72,2.0,10.0,18,100,2.0
134,2019-07-27,20746.72,0.0,0.0,NULL,NULL,0.0
135,2019-07-28,20756.72,2.0,10.0,19,103,2.0
136,2019-07-29,20753.54,3.0,2.0,15,84,6.0
137,2019-07-30,20753.54,0.0,0.0,NULL,NULL,0.0
138,2019-07-31,20762.74,3.0,30.0,16,91,8.0
139,2019-08-01,20762.64,3.0,20.0,17,84,5.0
140,2019-08-02,20762.64,1.0,0.0,21,115,1.0
141,2019-08-03,20762.64,1.0,0.0,19,122,1.0
142,2019-08-04,20761.84,2.0,20.0,18,97,4.0
143,2019-08-05,20771.74,2.0,30.0,20,105,6.0
144,2019-08-06,20623.44,2.0,180.0,19,100,36.0
145,2019-08-07,20653.04,4.0,40.0,16,84,6.0
146,2019-08-08,20733.04,2.0,80.0,21,99,12.0
147,2019-08-09,20743.04,2.0,10.0,17,92,2.0
148,2019-08-10,20743.04,0.0,0.0,NULL,NULL,0.0
149,2019-08-11,20740.79,4.0,65.0,16,78,14.0
150,2019-08-12,20840.79,2.0,100.0,20,100,2.0
151,2019-08-13,20840.79,1.0,0.0,20,110,1.0
152,2019-08-14,20920.79,2.0,80.0,17,91,16.0
153,2019-08-15,20898.79,3.0,410.0,16,86,5.0
154,2019-08-16,20898.79,0.0,0.0,NULL,NULL,0.0
155,2019-08-17,20898.79,1.0,0.0,18,110,1.0
156,2019-08-18,20898.79,0.0,0.0,NULL,NULL,0.0
157,2019-08-19,20894.79,2.0,10.0,16,94,2.0
158,2019-08-20,20894.39,2.0,10.0,16,99,2.0
159,2019-08-21,20894.39,0.0,0.0,NULL,NULL,0.0
160,2019-08-22,20894.39,0.0,0.0,NULL,NULL,0.0
161,2019-08-23,20894.39,0.0,0.0,NULL,NULL,0.0
162,2019-08-24,20892.89,3.0,320.0,17,77,12.0
163,2019-08-25,20892.89,2.0,0.0,17,95,2.0
164,2019-08-26,20892.89,1.0,0.0,19,117,1.0
165,2019-08-27,20888.79,2.0,55.0,21,96,10.0
166,2019-08-28,20887.78,2.0,2.0,18,91,4.0
167,2019-08-29,20887.78,1.0,0.0,21,113,1.0
168,2019-08-30,20887.78,0.0,0.0,NULL,NULL,0.0
169,2019-08-31,20900.87,4.0,40.0,16,85,13.0
170,2019-09-01,20900.87,0.0,0.0,NULL,NULL,0.0
171,2019-09-02,20910.87,2.0,10.0,19,98,2.0
172,2019-09-03,20910.87,0.0,0.0,NULL,NULL,0.0
173,2019-09-04,20911.87,3.0,1.0,22,97,3.0
174,2019-09-05,20911.87,0.0,0.0,NULL,NULL,0.0
175,2019-09-06,20888.97,4.0,120.0,16,82,10.0
176,2019-09-07,20928.97,2.0,40.0,22,99,2.0
177,2019-09-08,20929.27,2.0,26.0,21,108,16.0
178,2019-09-09,20936.07,2.0,90.0,21,100,14.0
179,2019-09-10,20936.07,0.0,0.0,NULL,NULL,0.0
180,2019-09-11,20936.07,0.0,0.0,NULL,NULL,0.0
181,2019-09-12,20956.07,2.0,20.0,20,101,3.0
182,2019-09-13,20975.8,4.0,22.0,19,83,10.0
183,2019-09-14,20945.8,0.0,0.0,NULL,NULL,0.0
184,2019-09-15,20975.8,0.0,0.0,NULL,NULL,0.0
185,2019-09-16,20972.6,2.0,80.0,20,105,11.0
186,2019-09-17,20972.6,0.0,0.0,NULL,NULL,0.0
187,2019-09-18,20963.5,3.0,50.0,15,80,8.0
188,2019-09-19,20963.3,4.0,50.0,15,82,9.0
189,2019-09-20,20963.3,0.0,0.0,NULL,NULL,0.0
190,2019-09-21,20963.3,0.0,0.0,NULL,NULL,0.0
191,2019-09-22,20973.3,1.0,10.0,19,116,1.0
192,2019-09-23,20973.3,0.0,0.0,NULL,NULL,0.0
193,2019-09-24,20973.3,0.0,0.0,NULL,NULL,0.0
194,2019-09-25,20973.3,1.0,0.0,20,127,1.0
195,2019-09-26,20973.3,0.0,0.0,NULL,NULL,0.0
196,2019-09-27,20973.3,0.0,0.0,NULL,NULL,0.0
197,2019-09-28,20973.3,0.0,0.0,NULL,NULL,0.0
198,2019-09-29,21003.3,1.0,30.0,22,121,4.0
199,2019-09-30,21003.3,0.0,0.0,NULL,NULL,0.0
200,2019-10-01,21003.3,0.0,0.0,NULL,NULL,0.0
201,2019-10-02,21013.3,2.0,10.0,20,111,2.0
202,2019-10-03,21013.3,1.0,0.0,22,127,2.0
203,2019-10-04,21013.3,1.0,0.0,21,123,1.0
204,2019-10-05,21013.3,0.0,0.0,NULL,NULL,0.0
