,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2018-12-12,0.0,0.0,0.0,NULL,NULL,0.0
1,2018-12-13,0.0,0.0,0.0,NULL,NULL,0.0
2,2018-12-14,582600.14,0.0,0.0,NULL,NULL,0.0
3,2018-12-15,600252.39,0.0,0.0,NULL,NULL,0.0
4,2018-12-16,612163.5,0.0,0.0,NULL,NULL,0.0
5,2018-12-17,673278.55,0.0,0.0,NULL,NULL,0.0
6,2018-12-18,708099.91,0.0,0.0,NULL,NULL,0.0
7,2018-12-19,746570.96,0.0,0.0,NULL,NULL,0.0
8,2018-12-20,758756.94,0.0,0.0,NULL,NULL,0.0
9,2018-12-21,768258.01,0.0,0.0,NULL,NULL,0.0
10,2018-12-22,797447.56,0.0,0.0,NULL,NULL,0.0
11,2018-12-23,807654.56,0.0,0.0,NULL,NULL,0.0
12,2018-12-24,810994.56,0.0,0.0,NULL,NULL,0.0
13,2018-12-25,820817.46,0.0,0.0,NULL,NULL,0.0
14,2018-12-26,822364.46,0.0,0.0,NULL,NULL,0.0
15,2018-12-27,832280.91,0.0,0.0,NULL,NULL,0.0
16,2018-12-28,841487.91,0.0,0.0,NULL,NULL,0.0
17,2018-12-31,841607.91,3.0,120.0,11,46,3.0
18,2019-01-01,841607.91,1.0,200.0,14,53,2.0
19,2019-01-02,841644.36,1.0,36.0,16,63,1.0
20,2019-01-04,841664.36,1.0,20.0,24,74,1.0
21,2019-01-05,841684.36,2.0,20.0,23,68,2.0
22,2019-01-06,841704.36,2.0,20.0,22,71,2.0
23,2019-01-15,841724.36,1.0,20.0,25,78,1.0
24,2019-01-18,841744.36,1.0,20.0,28,83,1.0
25,2019-01-23,841784.36,1.0,40.0,27,79,1.0
26,2019-02-04,465341.84,19.0,1695009.0,14,42,1748.0
27,2019-02-05,356016.73,11.0,0.0,18,54,24.0
28,2019-02-06,298733.03,7.0,0.0,18,59,9.0
29,2019-02-07,291645.6,3.0,0.0,21,66,16.0
30,2019-02-08,269739.45,2.0,0.0,23,70,4.0
31,2019-02-09,265687.18,1.0,0.0,28,83,7.0
32,2019-02-10,222117.45,1.0,0.0,25,80,1.0
33,2019-02-11,196554.31,6.0,0.0,20,64,8.0
34,2019-02-12,196554.31,1.0,0.0,28,83,1.0
35,2019-02-13,162662.45,4.0,0.0,20,73,7.0
36,2019-02-14,162662.45,1.0,0.0,28,90,1.0
37,2019-02-15,156137.02,1.0,0.0,27,91,1.0
38,2019-02-18,145783.31,3.0,0.0,23,77,6.0
39,2019-02-19,96342.49,3.0,0.0,23,78,4.0
40,2019-02-23,0.0,1.0,0.0,26,91,2.0
41,2019-02-24,0.0,3.0,393.0,20,81,20.0
42,2019-02-25,56827.13,1.0,0.0,26,100,1.0
43,2019-02-26,56827.13,3.0,0.0,23,83,3.0
44,2019-02-27,0.0,1.0,0.0,28,99,1.0
45,2019-02-28,56827.13,2.0,0.0,24,91,2.0
46,2019-03-02,56827.13,1.0,0.0,22,95,1.0
47,2019-03-04,56827.13,1.0,0.0,28,102,1.0
48,2019-03-05,54683.75,1.0,0.0,29,107,3.0
49,2019-03-06,54683.75,1.0,0.0,28,104,1.0
50,2019-03-07,51582.31,1.0,0.0,31,109,2.0
51,2019-03-09,50069.72,2.0,20.0,25,101,2.0
52,2019-03-11,49726.72,1.0,0.0,30,115,2.0
53,2019-03-20,39922.97,2.0,0.0,26,113,3.0
54,2019-03-21,39922.97,1.0,0.0,24,116,1.0
55,2019-03-22,39922.97,0.0,0.0,NULL,NULL,0.0
56,2019-03-23,39922.97,1.0,0.0,28,129,1.0
57,2019-03-24,39922.97,0.0,0.0,NULL,NULL,0.0
58,2019-03-25,39922.97,0.0,0.0,NULL,NULL,0.0
59,2019-03-26,38936.99,1.0,0.0,28,136,2.0
60,2019-03-27,38850.73,1.0,0.0,29,145,2.0
61,2019-03-28,38850.73,0.0,0.0,NULL,NULL,0.0
62,2019-03-29,38850.73,0.0,0.0,NULL,NULL,0.0
63,2019-03-30,38850.73,0.0,0.0,NULL,NULL,0.0
64,2019-03-31,38850.73,0.0,0.0,NULL,NULL,0.0
65,2019-04-01,38850.73,0.0,0.0,NULL,NULL,0.0
66,2019-04-02,38850.73,1.0,0.0,25,160,1.0
67,2019-04-03,38850.73,0.0,0.0,NULL,NULL,0.0
68,2019-04-04,38870.73,1.0,20.0,27,162,1.0
69,2019-04-05,38870.73,0.0,0.0,NULL,NULL,0.0
70,2019-04-06,38870.73,0.0,0.0,NULL,NULL,0.0
71,2019-04-07,38870.73,0.0,0.0,NULL,NULL,0.0
72,2019-04-08,38890.73,1.0,20.0,26,158,4.0
73,2019-04-09,38890.73,0.0,0.0,NULL,NULL,0.0
74,2019-04-10,38890.73,1.0,0.0,25,157,1.0
75,2019-04-11,38890.73,0.0,0.0,NULL,NULL,0.0
76,2019-04-12,38890.73,0.0,0.0,NULL,NULL,0.0
77,2019-04-13,38890.73,0.0,0.0,NULL,NULL,0.0
78,2019-04-14,38890.73,0.0,0.0,NULL,NULL,0.0
79,2019-04-15,38890.73,0.0,0.0,NULL,NULL,0.0
80,2019-04-16,38890.73,0.0,0.0,NULL,NULL,0.0
81,2019-04-17,38890.73,1.0,0.0,22,161,1.0
82,2019-04-18,38890.73,0.0,0.0,NULL,NULL,0.0
83,2019-04-19,31637.97,1.0,0.0,24,157,1.0
84,2019-04-20,31637.97,0.0,0.0,NULL,NULL,0.0
85,2019-04-21,31637.97,0.0,0.0,NULL,NULL,0.0
86,2019-04-22,31637.97,0.0,0.0,NULL,NULL,0.0
87,2019-04-23,31637.97,0.0,0.0,NULL,NULL,0.0
88,2019-04-24,31637.97,0.0,0.0,NULL,NULL,0.0
89,2019-04-25,31637.97,0.0,0.0,NULL,NULL,0.0
90,2019-04-26,31637.97,0.0,0.0,NULL,NULL,0.0
91,2019-04-27,31637.97,0.0,0.0,NULL,NULL,0.0
92,2019-04-28,31637.97,0.0,0.0,NULL,NULL,0.0
93,2019-04-29,31637.97,0.0,0.0,NULL,NULL,0.0
94,2019-04-30,31637.97,0.0,0.0,NULL,NULL,0.0
95,2019-05-01,31637.97,0.0,0.0,NULL,NULL,0.0
96,2019-05-02,31637.97,0.0,0.0,NULL,NULL,0.0
97,2019-05-03,31637.97,0.0,0.0,NULL,NULL,0.0
98,2019-05-04,31637.97,0.0,0.0,NULL,NULL,0.0
99,2019-05-05,31637.97,0.0,0.0,NULL,NULL,0.0
100,2019-05-06,31637.97,0.0,0.0,NULL,NULL,0.0
101,2019-05-07,31637.97,0.0,0.0,NULL,NULL,0.0
102,2019-05-08,31637.97,0.0,0.0,NULL,NULL,0.0
103,2019-05-09,31637.97,0.0,0.0,NULL,NULL,0.0
104,2019-05-10,31637.97,0.0,0.0,NULL,NULL,0.0
105,2019-05-11,31637.97,0.0,0.0,NULL,NULL,0.0
106,2019-05-12,31637.97,0.0,0.0,NULL,NULL,0.0
107,2019-05-13,31637.97,0.0,0.0,NULL,NULL,0.0
108,2019-05-14,31637.97,0.0,0.0,NULL,NULL,0.0
109,2019-05-15,31637.97,0.0,0.0,NULL,NULL,0.0
110,2019-05-16,31637.97,0.0,0.0,NULL,NULL,0.0
111,2019-05-17,31637.97,0.0,0.0,NULL,NULL,0.0
112,2019-05-18,31637.97,0.0,0.0,NULL,NULL,0.0
113,2019-05-19,31637.97,0.0,0.0,NULL,NULL,0.0
114,2019-05-20,31637.97,0.0,0.0,NULL,NULL,0.0
115,2019-05-21,31637.97,0.0,0.0,NULL,NULL,0.0
116,2019-05-22,31637.97,0.0,0.0,NULL,NULL,0.0
117,2019-05-23,31637.97,0.0,0.0,NULL,NULL,0.0
118,2019-05-24,31637.97,0.0,0.0,NULL,NULL,0.0
119,2019-05-25,31637.97,0.0,0.0,NULL,NULL,0.0
120,2019-05-26,31637.97,0.0,0.0,NULL,NULL,0.0
121,2019-05-27,31637.97,0.0,0.0,NULL,NULL,0.0
122,2019-05-28,31637.97,0.0,0.0,NULL,NULL,0.0
123,2019-05-29,31637.97,0.0,0.0,NULL,NULL,0.0
124,2019-05-30,31637.97,0.0,0.0,NULL,NULL,0.0
125,2019-05-31,31637.97,0.0,0.0,NULL,NULL,0.0
126,2019-06-01,31637.97,0.0,0.0,NULL,NULL,0.0
127,2019-06-02,31637.97,0.0,0.0,NULL,NULL,0.0
