,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-04-24,0.0,28.0,72315.0,11,75,137.0
1,2019-04-25,0.0,40.0,94151.0,11,65,261.0
2,2019-04-26,175137.91,38.0,14465.0,10,64,167.0
3,2019-04-27,214941.6,43.0,64952.0,10,62,149.0
4,2019-04-28,215872.03,32.0,4226.0,11,67,134.0
5,2019-04-29,224034.95,44.0,11146.0,9,62,157.0
6,2019-04-30,235449.72,47.0,13655.0,9,58,166.0
7,2019-05-01,234361.25,45.0,7927.0,10,62,132.0
8,2019-05-02,272327.0,42.0,44573.0,9,62,152.0
9,2019-05-03,281976.22,48.0,12683.0,9,59,194.0
10,2019-05-04,278795.43,50.0,746.0,10,59,165.0
11,2019-05-05,277158.14,43.0,493.0,10,62,126.0
12,2019-05-06,269623.39,46.0,1972.0,9,58,182.0
13,2019-05-07,262172.93,41.0,685.0,10,57,143.0
14,2019-05-08,264335.02,48.0,4646.0,10,53,147.0
15,2019-05-09,258715.22,42.0,461.0,11,54,137.0
16,2019-05-10,255549.32,44.0,188.0,10,57,126.0
17,2019-05-11,248796.98,47.0,682.0,8,56,173.0
18,2019-05-12,244739.23,33.0,133.0,9,55,71.0
19,2019-05-13,240303.72,52.0,32.0,10,56,183.0
20,2019-05-14,224941.4,44.0,11.0,9,56,137.0
21,2019-05-15,222164.59,37.0,34.0,10,59,133.0
22,2019-05-16,217407.63,34.0,18.0,10,60,127.0
23,2019-05-17,191474.14,47.0,1.0,10,56,164.0
24,2019-05-18,185890.13,49.0,62.0,10,56,186.0
25,2019-05-19,181501.87,49.0,72.0,10,53,174.0
26,2019-05-20,164577.47,47.0,0.0,10,54,165.0
27,2019-05-21,159246.45,42.0,38.0,10,56,142.0
28,2019-05-22,156513.67,47.0,2510.0,10,50,182.0
29,2019-05-23,144440.04,44.0,3.0,13,54,160.0
30,2019-05-24,137879.5,44.0,526.0,12,56,156.0
31,2019-05-25,130367.98,43.0,1.0,12,54,177.0
32,2019-05-26,120311.11,52.0,45.0,13,52,162.0
33,2019-05-27,0.0,52.0,12.0,12,56,185.0
34,2019-05-28,84221.59,51.0,0.0,12,54,195.0
35,2019-05-29,75285.8,57.0,5.0,10,50,188.0
36,2019-05-30,64788.84,47.0,0.0,10,52,180.0
37,2019-05-31,56323.27,45.0,1.0,11,55,176.0
38,2019-06-01,47039.76,45.0,10.0,13,57,182.0
39,2019-06-02,37206.17,54.0,120.0,13,51,210.0
40,2019-06-03,27501.6,48.0,120.02,12,57,197.0
41,2019-06-04,16532.39,60.0,0.0,11,52,244.0
42,2019-06-05,6497.67,62.0,0.0,11,52,263.0
43,2019-06-06,0.0,59.0,120.0,11,54,220.0
44,2019-06-07,0.0,12.0,0.0,13,76,15.0
45,2019-06-08,0.0,6.0,0.0,16,88,9.0
46,2019-06-09,0.0,8.0,0.0,15,82,16.0
47,2019-06-10,0.0,6.0,0.0,16,97,14.0
48,2019-06-11,0.0,18.0,0.0,14,77,28.0
49,2019-06-12,0.0,6.0,0.0,16,93,15.0
50,2019-06-13,0.0,6.0,0.0,18,92,10.0
51,2019-06-14,0.0,4.0,0.0,19,103,12.0
52,2019-06-15,0.0,11.0,4.0,14,75,22.0
53,2019-06-16,0.0,3.0,0.0,18,107,12.0
54,2019-06-17,0.0,16.0,896.0,14,68,46.0
55,2019-06-18,0.0,5.0,0.0,18,95,13.0
56,2019-06-19,0.0,7.0,0.0,16,88,22.0
57,2019-06-20,0.0,7.0,0.0,17,84,19.0
58,2019-06-21,0.0,16.0,50.0,13,66,40.0
59,2019-06-22,0.0,6.0,0.0,16,86,19.0
60,2019-06-23,0.0,3.0,0.0,19,105,6.0
61,2019-06-24,0.0,3.0,0.0,21,110,5.0
62,2019-06-25,0.0,3.0,0.0,20,108,8.0
63,2019-06-26,0.0,3.0,0.0,19,107,9.0
64,2019-06-27,0.0,4.0,0.0,20,91,11.0
65,2019-06-28,0.0,3.0,0.0,18,97,8.0
66,2019-06-29,0.0,1.0,0.0,23,131,3.0
67,2019-06-30,0.0,4.0,0.0,14,88,7.0
68,2019-07-01,0.0,4.0,0.0,15,87,14.0
69,2019-07-02,0.0,4.0,0.0,16,89,6.0
70,2019-07-03,0.0,2.0,0.0,18,109,2.0
71,2019-07-04,0.0,13.0,1.0,12,63,28.0
72,2019-07-05,0.0,5.0,2.0,15,85,16.0
73,2019-07-06,0.0,2.0,0.0,18,108,9.0
74,2019-07-07,0.0,13.0,1.0,10,60,32.0
75,2019-07-08,0.0,7.0,124.0,13,77,32.0
76,2019-07-09,0.0,2.0,0.0,18,113,14.0
77,2019-07-10,0.0,2.0,0.0,18,109,7.0
78,2019-07-11,0.0,14.0,4.0,11,71,43.0
79,2019-07-12,2.46,19.0,74.0,10,62,43.0
80,2019-07-13,0.46,2.0,0.0,15,101,9.0
81,2019-07-14,1.0,13.0,1.0,9,63,28.0
82,2019-07-15,0.0,5.0,2.0,14,87,22.0
83,2019-07-16,0.0,1.0,0.0,23,130,4.0
84,2019-07-17,0.0,5.0,3.0,14,83,17.0
85,2019-07-18,0.0,5.0,3.0,15,86,16.0
86,2019-07-19,2.0,4.0,2.0,15,94,15.0
87,2019-07-20,0.0,21.0,12.0,10,60,58.0
88,2019-07-21,0.0,4.0,0.0,17,94,12.0
89,2019-07-22,0.0,2.0,0.0,17,107,8.0
90,2019-07-23,0.0,2.0,0.0,18,106,4.0
91,2019-07-24,0.0,2.0,0.0,20,109,2.0
92,2019-07-25,0.0,2.0,0.0,20,105,3.0
93,2019-07-26,0.0,2.0,0.0,18,100,7.0
94,2019-07-27,0.0,3.0,0.0,16,84,9.0
95,2019-07-28,0.0,5.0,0.0,14,74,13.0
96,2019-07-29,0.0,2.0,0.0,16,96,5.0
97,2019-07-30,0.0,2.0,0.0,16,92,8.0
98,2019-07-31,0.0,1.0,0.0,20,119,2.0
99,2019-08-01,0.0,9.0,0.0,10,64,20.0
100,2019-08-02,0.0,1.0,0.0,21,115,6.0
101,2019-08-03,1.0,12.0,2.0,10,63,21.0
102,2019-08-04,0.0,4.0,0.0,15,87,9.0
103,2019-08-05,3.0,14.0,3.0,9,60,34.0
104,2019-08-06,0.0,4.0,0.0,16,85,18.0
105,2019-08-07,0.0,14.0,0.0,9,60,34.0
106,2019-08-08,0.0,2.0,0.0,21,99,16.0
107,2019-08-09,0.0,2.0,0.0,17,92,9.0
108,2019-08-10,0.0,12.0,0.0,10,59,53.0
109,2019-08-11,0.0,3.0,0.0,18,88,10.0
110,2019-08-12,0.0,2.0,0.0,20,100,18.0
111,2019-08-13,0.0,12.0,0.0,11,64,31.0
112,2019-08-14,0.0,4.0,0.0,13,78,10.0
113,2019-08-15,0.0,12.0,0.0,10,59,35.0
114,2019-08-16,0.0,3.0,0.0,16,84,12.0
115,2019-08-17,0.0,5.0,10.0,14,71,15.0
116,2019-08-18,1.06,11.0,20.0,12,59,37.0
117,2019-08-19,0.06,4.0,0.0,14,82,24.0
118,2019-08-20,0.06,13.0,0.0,10,57,49.0
119,2019-08-21,0.06,11.0,0.0,11,60,36.0
120,2019-08-22,0.0,13.0,0.0,10,55,45.0
121,2019-08-23,0.0,15.0,602.0,10,52,64.0
122,2019-08-24,0.0,15.0,40020.0,11,51,108.0
123,2019-08-25,0.0,17.0,0.0,10,50,49.0
124,2019-08-26,0.0,14.0,0.0,10,54,30.0
125,2019-08-27,0.0,14.0,0.0,12,52,41.0
126,2019-08-28,0.0,15.0,0.0,11,49,47.0
127,2019-08-29,0.12,16.0,25.0,10,47,72.0
128,2019-08-30,0.12,13.0,0.0,11,52,39.0
129,2019-08-31,0.12,16.0,0.0,9,49,71.0
130,2019-09-01,0.12,20.0,190.0,10,49,90.0
131,2019-09-02,0.06,18.0,225.0,11,51,77.0
132,2019-09-03,0.0,21.0,664.0,12,51,69.0
133,2019-09-04,0.0,20.0,376.0,11,53,90.0
134,2019-09-05,0.0,17.0,0.0,11,57,80.0
135,2019-09-06,0.0,22.0,0.0,13,58,88.0
136,2019-09-07,0.0,19.0,0.0,11,56,114.0
137,2019-09-08,0.0,18.0,0.0,13,56,111.0
138,2019-09-09,0.0,19.0,0.0,13,53,116.0
139,2019-09-10,0.0,18.0,0.0,15,57,128.0
140,2019-09-11,0.0,16.0,0.0,14,55,99.0
141,2019-09-12,0.0,21.0,0.0,12,52,129.0
142,2019-09-13,0.0,18.0,0.0,12,56,128.0
143,2019-09-14,0.0,5.0,0.0,16,77,99.0
144,2019-09-15,0.0,10.0,0.0,14,63,108.0
145,2019-09-16,0.0,18.0,0.0,13,57,120.0
146,2019-09-17,0.0,2.0,0.0,20,98,42.0
147,2019-09-18,0.0,4.0,0.0,14,77,57.0
148,2019-09-19,0.0,2.0,0.0,18,97,38.0
