,Date,Balance,DAU,Vol,Cate Rank,Total Rank,Txs
0,2019-09-04,0.0,18.0,5490.0,13,57,188.0
1,2019-09-05,0.0,7.0,0.0,15,70,7.0
2,2019-09-06,327.76,0.0,0.0,NULL,NULL,0.0
3,2019-09-07,327.76,0.0,0.0,NULL,NULL,0.0
4,2019-09-08,327.76,0.0,0.0,NULL,NULL,0.0
5,2019-09-09,245.82,1.0,0.0,25,117,1.0
6,2019-09-10,245.82,0.0,0.0,NULL,NULL,0.0
7,2019-09-11,245.82,0.0,0.0,NULL,NULL,0.0
8,2019-09-12,245.82,0.0,0.0,NULL,NULL,0.0
9,2019-09-13,245.82,0.0,0.0,NULL,NULL,0.0
10,2019-09-14,245.82,0.0,0.0,NULL,NULL,0.0
11,2019-09-15,245.82,0.0,0.0,NULL,NULL,0.0
12,2019-09-16,245.82,0.0,0.0,NULL,NULL,0.0
13,2019-09-17,245.82,0.0,0.0,NULL,NULL,0.0
14,2019-09-18,245.82,0.0,0.0,NULL,NULL,0.0
15,2019-09-19,245.82,0.0,0.0,NULL,NULL,0.0
16,2019-09-20,245.82,0.0,0.0,NULL,NULL,0.0
17,2019-09-21,245.82,0.0,0.0,NULL,NULL,0.0
18,2019-09-22,245.82,0.0,0.0,NULL,NULL,0.0
19,2019-09-23,245.82,0.0,0.0,NULL,NULL,0.0
20,2019-09-24,245.82,0.0,0.0,NULL,NULL,0.0
21,2019-09-25,245.82,0.0,0.0,NULL,NULL,0.0
22,2019-09-26,245.82,0.0,0.0,NULL,NULL,0.0
23,2019-09-27,245.82,0.0,0.0,NULL,NULL,0.0
24,2019-09-28,245.82,0.0,0.0,NULL,NULL,0.0
25,2019-09-29,245.82,0.0,0.0,NULL,NULL,0.0
26,2019-09-30,245.82,0.0,0.0,NULL,NULL,0.0
27,2019-10-01,245.82,0.0,0.0,NULL,NULL,0.0
28,2019-10-02,245.82,0.0,0.0,NULL,NULL,0.0
29,2019-10-03,245.82,0.0,0.0,NULL,NULL,0.0
30,2019-10-04,245.82,0.0,0.0,NULL,NULL,0.0
31,2019-10-05,245.82,0.0,0.0,NULL,NULL,0.0
32,2019-10-06,245.82,0.0,0.0,NULL,NULL,0.0
33,2019-10-07,245.82,0.0,0.0,NULL,NULL,0.0
34,2019-10-08,245.82,0.0,0.0,NULL,NULL,0.0
35,2019-10-09,245.82,0.0,0.0,NULL,NULL,0.0
36,2019-10-10,245.82,0.0,0.0,NULL,NULL,0.0
37,2019-10-11,245.82,0.0,0.0,NULL,NULL,0.0
38,2019-10-12,245.82,0.0,0.0,NULL,NULL,0.0
39,2019-10-13,245.82,0.0,0.0,NULL,NULL,0.0
40,2019-10-14,245.82,0.0,0.0,NULL,NULL,0.0
41,2019-10-15,245.82,0.0,0.0,NULL,NULL,0.0
42,2019-10-16,245.82,0.0,0.0,NULL,NULL,0.0
43,2019-10-17,245.82,0.0,0.0,NULL,NULL,0.0
44,2019-10-18,245.82,0.0,0.0,NULL,NULL,0.0
45,2019-10-19,245.82,0.0,0.0,NULL,NULL,0.0
46,2019-10-20,245.82,0.0,0.0,NULL,NULL,0.0
47,2019-10-21,245.82,0.0,0.0,NULL,NULL,0.0
48,2019-10-22,245.82,0.0,0.0,NULL,NULL,0.0
